date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,24.925806451612903,1242.3000000000002,0.0,31,2.37,22,0,72.03,0,26,16.561290322580643,67.00967741935484,-0.9653225806451644
2000-02-01,32.682758620689654,937.1999999999998,0.0,29,1.74,14,0,66.67999999999999,0,22,14.96206896551724,70.01034482758621,4.942573891625617
2000-03-01,43.39032258064516,670.9,1.0,31,2.33,17,0,3.3200000000000003,0,11,15.606451612903227,59.225806451612904,6.268064516129037
2000-04-01,47.40333333333333,527.9,0.0,30,7.529999999999999,9,2,3.15,0,5,14.636666666666667,59.57666666666667,-1.7008333333333425
2000-05-01,61.70322580645161,161.59999999999997,59.40000000000002,31,6.66,17,1,0.0,0,0,15.693548387096774,63.54838709677419,1.0495161290322628
2000-06-01,69.09333333333333,35.900000000000006,158.7,30,7.2,19,2,0.0,1,0,15.72,60.30333333333333,-0.9675000000000011
2000-07-01,69.93548387096774,1.1000000000000014,154.09999999999997,31,7.3,14,2,0.0,0,0,12.27741935483871,58.89677419354839,-4.340000000000003
2000-08-01,70.11612903225806,13.700000000000003,172.29999999999998,31,7.8999999999999995,15,3,0.0,0,0,11.990322580645161,56.39677419354839,-2.4891935483870924
2000-09-01,62.10333333333333,153.99999999999997,67.1,30,8.56,13,3,0.0,0,0,13.976666666666667,49.63333333333333,-3.3873333333333377
2000-10-01,54.57096774193548,326.5,3.200000000000003,31,3.61,14,1,0.0,0,0,12.196774193548388,51.87096774193548,1.3029032258064532
2000-11-01,39.913333333333334,752.6,0.0,30,2.7399999999999998,18,0,3.54,0,12,14.783333333333333,77.55,-1.7029999999999959
2000-12-01,19.76451612903226,1402.3,0.0,31,8.16,27,1,221.69,0,31,15.46774193548387,73.28709677419356,-11.449677419354835
2001-01-01,26.703225806451613,1187.2,0.0,31,2.05,23,0,170.82,0,27,14.193548387096774,75.0741935483871,0.8120967741935452
2001-02-01,29.724999999999998,987.7,0.0,28,4.2,21,1,15.65,0,24,16.84642857142857,77.05714285714285,1.984815270935961
2001-03-01,34.46451612903226,946.6000000000001,0.0,31,1.81,15,0,11.46,0,23,14.551612903225807,68.58387096774193,-2.6577419354838625
2001-04-01,50.54333333333333,440.50000000000017,6.799999999999997,30,4.26,21,0,0.0,0,4,16.326666666666668,55.00666666666667,1.439166666666658
2001-05-01,61.061290322580646,153.5,31.39999999999999,31,5.8,17,0,0.0,0,0,13.73225806451613,63.18709677419355,0.4075806451612962
2001-06-01,69.55666666666666,53.800000000000004,190.5,30,3.85,15,0,0.0,1,0,12.71,52.03333333333333,-0.5041666666666771
2001-07-01,73.27741935483871,5.899999999999999,262.5,31,2.92,12,0,0.0,1,0,12.806451612903226,45.46774193548387,-0.998064516129034
2001-08-01,73.70645161290322,0.0,269.9,31,3.4699999999999998,15,1,0.0,4,0,12.258064516129032,48.696774193548386,1.101129032258072
2001-09-01,61.86333333333334,143.7,49.60000000000001,30,6.29,15,2,0.0,1,0,13.163333333333332,51.61666666666667,-3.6273333333333326
2001-10-01,52.34838709677419,395.6000000000001,3.4000000000000057,31,8.03,18,2,0.0,0,2,17.190322580645162,65.66451612903226,-0.9196774193548407
2001-11-01,47.38,528.5999999999999,0.0,30,3.5700000000000003,13,1,0.0,0,2,15.136666666666667,56.00333333333333,5.763666666666673
2001-12-01,35.9483870967742,900.5999999999999,0.0,31,2.35,20,0,11.1,0,15,15.13225806451613,72.58064516129032,4.734193548387104
2002-01-01,32.42258064516129,1009.9000000000001,0.0,31,3.3,17,1,38.91,0,23,16.5258064516129,64.2741935483871,6.531451612903222
