date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,25.25483870967742,1232.1,0.0,31,2.56,23,0,72.91,0,26,16.287096774193547,65.78064516129032,-0.7741935483870996
2000-02-01,32.720689655172414,936.1,0.0,29,2.0100000000000002,14,0,65.97,0,22,14.803448275862069,68.00344827586207,4.961416256157634
2000-03-01,43.358064516129026,670.9000000000001,0.0,31,2.6799999999999997,17,0,3.83,0,10,15.270967741935483,57.34193548387096,6.463225806451611
2000-04-01,47.34666666666667,529.6,0.0,30,7.89,9,2,0.79,0,4,14.533333333333333,57.45333333333333,-1.4166666666666643
2000-05-01,61.774193548387096,159.79999999999998,59.80000000000001,31,6.74,17,1,0.0,0,0,15.26774193548387,62.10322580645161,1.3909677419354765
2000-06-01,69.02666666666667,36.00000000000001,156.79999999999995,30,7.33,19,2,0.0,1,0,15.4,58.42999999999999,-0.804000000000002
2000-07-01,69.92258064516129,1.0,153.60000000000002,31,7.28,16,2,0.0,0,0,11.961290322580645,56.26129032258064,-4.086774193548393
2000-08-01,70.16129032258064,13.0,173.0,31,7.62,15,2,0.0,0,0,11.616129032258065,54.458064516129035,-2.29451612903226
2000-09-01,62.25333333333333,150.10000000000002,67.69999999999996,30,8.75,13,3,0.0,0,0,13.823333333333332,48.39,-3.285833333333329
2000-10-01,54.75483870967742,321.0,3.4000000000000057,31,3.9499999999999997,13,2,0.0,0,0,11.858064516129032,51.277419354838706,1.3645161290322605
2000-11-01,40.123333333333335,746.2999999999998,0.0,30,3.12,18,0,1.18,0,11,14.803333333333335,77.70333333333333,-1.6669999999999945
2000-12-01,20.003225806451614,1394.9,0.0,31,8.97,27,1,210.08,0,31,15.59032258064516,73.23225806451612,-11.378548387096775
2001-01-01,26.82903225806452,1183.3000000000002,0.0,31,2.23,23,0,164.56,0,27,14.167741935483871,74.92258064516129,0.8000000000000007
2001-02-01,29.932142857142857,981.9000000000001,0.0,28,4.55,21,1,12.51,0,24,16.532142857142855,76.41071428571429,2.1728694581280763
2001-03-01,34.538709677419355,944.2999999999998,0.0,31,1.92,16,0,9.309999999999999,0,23,14.425806451612903,67.96129032258065,-2.3561290322580604
2001-04-01,50.58,439.7000000000001,7.099999999999994,30,4.5,21,0,0.0,0,3,16.113333333333333,54.736666666666665,1.8166666666666629
2001-05-01,61.1741935483871,150.9,32.30000000000001,31,6.04,17,0,0.0,0,0,13.580645161290322,62.667741935483875,0.7909677419354821
2001-06-01,69.72666666666667,52.2,194.0,30,4.16,14,0,0.0,1,0,12.526666666666667,50.943333333333335,-0.1039999999999992
2001-07-01,73.38064516129033,5.799999999999997,265.59999999999997,31,3.11,12,0,0.0,1,0,12.651612903225805,44.377419354838715,-0.6287096774193515
2001-08-01,73.83870967741936,0.0,274.0,31,3.5900000000000003,16,1,0.0,3,0,12.248387096774193,48.17741935483871,1.3829032258064586
