date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,15.96774193548387,1520.0,0.0,31,0.34,4,0,177.69,0,31,14.003225806451614,53.36129032258064,-0.7091935483871001
2000-02-01,28.096551724137928,1070.2,0.0,29,1.77,6,0,172.14,0,23,13.979310344827585,62.16206896551724,8.691096059113299
2000-03-01,40.78064516129032,750.7999999999998,0.0,31,1.26,7,0,3.12,0,16,15.35483870967742,56.11290322580645,7.587741935483869
2000-04-01,47.07666666666667,537.6999999999999,0.0,30,1.22,11,0,1.18,0,6,17.216666666666665,57.38333333333333,-0.3958333333333357
2000-05-01,61.50967741935484,164.1,55.89999999999999,31,5.46,14,3,0.0,0,0,16.822580645161292,56.83870967741935,2.013548387096769
2000-06-01,66.73333333333333,64.10000000000002,116.1,30,5.29,17,2,0.0,2,0,15.463333333333333,54.00333333333333,-2.762666666666675
2000-07-01,72.8225806451613,12.399999999999999,254.90000000000003,31,4.49,12,1,0.0,1,0,14.319354838709677,53.690322580645166,-1.7070967741935448
2000-08-01,72.29032258064517,2.6000000000000014,228.6,31,4.05,10,1,0.0,1,0,13.187096774193549,47.99677419354839,0.9104838709677523
2000-09-01,62.25,140.0,57.50000000000003,30,1.48,9,0,0.0,1,0,15.156666666666666,44.92666666666666,-1.5859999999999985
2000-10-01,53.66451612903226,358.79999999999995,7.3999999999999915,31,1.07,8,0,0.0,0,3,13.76774193548387,60.21290322580645,4.16951612903226
2000-11-01,31.543333333333333,1003.7,0.0,30,4.29,10,2,43.07,0,23,14.506666666666666,75.03666666666666,-4.262833333333337
2000-12-01,7.870967741935484,1771.0,0.0,31,0.19,2,0,239.79,0,31,14.464516129032257,69.51612903225806,-13.558709677419355
2001-01-01,20.361290322580647,1383.7999999999997,0.0,31,1.78,9,0,328.06,0,30,14.40967741935484,57.57741935483871,3.6843548387096767
2001-02-01,11.921428571428573,1486.2000000000003,0.0,28,0.59,4,0,423.65,0,28,14.225,56.128571428571426,-7.4840270935960564
2001-03-01,27.41290322580645,1165.2000000000003,0.0,31,1.4300000000000002,13,0,386.06,0,29,13.235483870967743,52.99677419354839,-5.780000000000005
2001-04-01,47.96333333333334,519.8000000000001,8.700000000000003,30,7.81,17,2,15.36,0,6,18.133333333333333,65.13000000000001,0.49083333333333456
2001-05-01,59.55806451612903,200.3,31.60000000000001,31,5.07,14,1,0.0,2,0,15.587096774193547,65.74193548387096,0.06193548387096115
2001-06-01,68.55666666666666,59.8,166.5,30,6.92,15,2,0.0,1,0,15.863333333333333,55.97666666666667,-0.9393333333333516
2001-07-01,75.13870967741936,8.099999999999994,322.4,31,2.17,10,0,0.0,6,0,13.574193548387097,45.02903225806452,0.6090322580645164
2001-08-01,72.95161290322581,5.199999999999996,251.7,31,4.23,10,1,0.0,5,0,13.287096774193548,40.71290322580645,1.5717741935483929
2001-09-01,60.2,181.3,37.3,30,5.22,10,2,0.0,0,0,12.406666666666666,49.72,-3.6359999999999957
2001-10-01,47.987096774193546,527.5,0.09999999999999432,31,0.83,9,0,0.0,0,4,16.29032258064516,65.35161290322581,-1.5079032258064515
2001-11-01,45.68,579.6,0.0,30,1.99,10,1,34.47,0,9,14.756666666666666,54.973333333333336,9.87383333333333
2001-12-01,27.177419354838708,1172.5,0.0,31,0.68,6,0,43.589999999999996,0,28,14.751612903225807,62.02258064516129,5.7477419354838695
2002-01-01,24.125806451612902,1267.1000000000001,0.0,31,0.33,6,0,57.51,0,30,13.412903225806453,59.58709677419355,7.448870967741932
2002-02-01,28.40357142857143,1024.7,0.0,28,0.39,6,0,16.57,0,23,17.492857142857144,55.425000000000004,8.9981157635468
2002-03-01,24.63225806451613,1251.4,0.0,31,1.43,10,0,56.5,0,29,16.119354838709675,60.99032258064516,-8.560645161290324
2002-04-01,45.080000000000005,616.4,18.799999999999997,30,3.14,13,0,29.46,0,9,17.39,67.89666666666668,-2.3924999999999983
2002-05-01,54.5,354.69999999999993,29.19999999999999,31,3.8200000000000003,12,1,0.0,0,2,16.951612903225808,60.47096774193548,-4.996129032258068
2002-06-01,70.38000000000001,34.699999999999996,196.09999999999997,30,8.11,16,2,0.0,2,0,15.41,60.85333333333333,0.8840000000000003
2002-07-01,75.78064516129032,0.0,334.20000000000005,31,7.81,15,2,0.0,4,0,13.561290322580644,58.809677419354834,1.250967741935483
2002-08-01,70.11612903225806,4.199999999999996,162.8,31,8.53,12,4,0.0,0,0,13.100000000000001,65.73225806451613,-1.2637096774193566
2002-09-01,64.78333333333333,123.9,117.39999999999998,30,5.5600000000000005,13,2,0.0,2,0,14.1,54.559999999999995,0.9473333333333329
2002-10-01,42.75483870967742,689.9,0.29999999999999716,31,3.49,12,1,0.0,0,13,14.09032258064516,75.85806451612903,-6.740161290322575
2002-11-01,33.60333333333333,941.9,0.0,30,0.13,3,0,0.0,0,23,13.576666666666666,67.35333333333334,-2.202833333333338
2002-12-01,26.393548387096775,1196.8,0.0,31,0.19,2,0,11.799999999999999,0,30,14.441935483870967,61.25483870967742,4.963870967741936
2003-01-01,15.458064516129031,1535.7999999999997,0.0,31,0.15,2,0,16.009999999999998,0,31,15.112903225806452,61.13225806451613,-1.218870967741939
2003-02-01,15.442857142857141,1387.6000000000001,0.0,28,0.63,4,0,131.39000000000001,0,28,15.025,53.88214285714286,-3.9625985221674878
2003-03-01,31.051612903225806,1052.4,0.0,31,2.73,8,1,48.67,0,18,15.693548387096774,68.04193548387097,-2.141290322580648
2003-04-01,48.190000000000005,514.5,10.200000000000003,30,2.2600000000000002,7,0,1.18,0,7,15.996666666666666,64.25666666666667,0.7175000000000011
2003-05-01,57.938709677419354,228.6,9.700000000000003,31,5.5600000000000005,11,0,0.0,0,0,15.7,62.76129032258064,-1.5574193548387143
2003-06-01,67.56,43.599999999999994,120.39999999999999,30,5.58,13,1,0.0,0,0,12.613333333333333,63.61666666666667,-1.936000000000007
2003-07-01,73.12903225806451,0.0,251.99999999999994,31,4.69,12,2,0.0,0,0,13.37741935483871,54.854838709677416,-1.4006451612903277
2003-08-01,74.5,1.0999999999999943,295.5999999999999,31,0.75,5,0,0.0,7,0,12.583870967741936,47.8,3.120161290322585
2003-09-01,62.230000000000004,176.39999999999998,93.30000000000001,30,2.56,5,2,0.0,3,0,15.110000000000001,55.720000000000006,-1.6059999999999945
2003-10-01,51.39677419354839,435.09999999999997,13.400000000000006,31,0.73,6,0,0.0,0,3,15.051612903225807,56.78709677419355,1.9017741935483912
2003-11-01,32.77333333333333,966.8000000000002,0.0,30,0.74,7,0,32.81,0,20,16.11,67.91333333333334,-3.032833333333336
2003-12-01,24.85483870967742,1244.5000000000002,0.0,31,0.28,7,0,134.02,0,30,14.80967741935484,67.34193548387097,3.425161290322581
2004-01-01,11.803225806451612,1649.1000000000001,0.0,31,0.17,1,0,45.95,0,31,15.403225806451612,69.33548387096775,-4.873709677419358
2004-02-01,21.99310344827586,1247.2,0.0,29,1.1,11,0,306.61,0,25,12.741379310344827,73.12758620689655,2.5876477832512315
2004-03-01,36.067741935483866,896.9,0.0,31,2.31,13,0,23.12,0,22,16.483870967741936,72.25806451612904,2.8748387096774124
2004-04-01,49.68333333333333,472.0000000000001,12.5,30,2.54,7,1,0.0,1,8,16.826666666666668,57.156666666666666,2.2108333333333263
2004-05-01,56.851612903225806,257.1,4.499999999999986,31,8.82,18,2,0.0,1,0,16.325806451612905,73.38387096774194,-2.6445161290322616
2004-06-01,65.68,62.2,82.6,30,4.0600000000000005,10,2,0.0,1,0,14.943333333333333,61.10666666666667,-3.8160000000000025
2004-07-01,71.32903225806452,9.699999999999996,205.89999999999998,31,4.930000000000001,11,2,0.0,2,0,11.880645161290323,62.62580645161291,-3.200645161290325
2004-08-01,65.63548387096775,56.59999999999999,76.29999999999998,31,1.72,10,0,0.0,0,0,13.63225806451613,64.45483870967742,-5.744354838709668
2004-09-01,66.68333333333334,65.6,116.1,30,4.7,8,2,0.0,0,0,15.543333333333333,50.44666666666667,2.8473333333333386
2004-10-01,49.67741935483871,475.59999999999997,0.5999999999999943,31,2.35,10,1,0.0,0,2,14.861290322580645,72.98709677419355,0.1824193548387143
2004-11-01,38.17333333333333,804.8,0.0,30,0.97,6,0,4.72,0,14,12.676666666666668,56.79333333333333,2.3671666666666624
2004-12-01,22.996774193548386,1302.1000000000001,0.0,31,0.27,4,0,9.44,0,28,16.25161290322581,70.46129032258065,1.5670967741935478
2005-01-01,15.758064516129032,1526.5000000000002,0.0,31,0.73,3,0,81.84,0,31,14.754838709677419,71.89354838709677,-0.9188709677419382
2005-02-01,26.214285714285715,1086.0,0.0,28,0.75,5,0,57.01,0,23,13.5,66.35357142857143,6.808830049261086
