date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,16.080645161290324,1516.5,0.0,31,0.16,4,0,166.52,0,31,13.35483870967742,53.400000000000006,-0.8129032258064512
2000-02-01,28.058620689655175,1071.3,0.0,29,1.25,5,0,183.76,0,24,13.306896551724137,60.37931034482759,8.310818965517242
2000-03-01,40.667741935483875,754.3000000000001,0.0,31,1.06,7,0,2.52,0,17,14.880645161290323,55.28709677419355,7.40467741935484
2000-04-01,46.78333333333333,546.5,0.0,30,1.3800000000000001,9,0,1.18,0,7,16.103333333333335,56.59,-0.3998333333333335
2000-05-01,61.39032258064516,168.5,56.599999999999994,31,4.82,13,2,0.0,0,0,16.119354838709675,56.483870967741936,2.1480645161290397
2000-06-01,66.51666666666667,63.199999999999996,108.69999999999999,30,5.31,16,2,0.0,3,0,15.15,53.623333333333335,-2.8758333333333326
2000-07-01,72.19999999999999,13.799999999999997,237.00000000000006,31,5.43,11,1,0.0,1,0,13.47741935483871,52.880645161290325,-2.3946774193548492
2000-08-01,71.91935483870968,3.000000000000007,217.5,31,3.4,9,2,0.0,1,0,12.793548387096775,46.641935483870974,0.4309677419354898
2000-09-01,61.269999999999996,155.39999999999998,43.5,30,2.57,7,1,0.0,0,0,14.78,43.89,-2.3913333333333355
2000-10-01,52.958064516129035,378.49999999999994,5.200000000000003,31,1.0999999999999999,7,0,0.0,0,3,12.719354838709679,58.932258064516134,3.7430645161290386
2000-11-01,31.563333333333333,1003.1,0.0,30,3.97,10,2,39.269999999999996,0,23,13.846666666666666,75.89333333333335,-4.0191666666666634
2000-12-01,8.096774193548388,1764.0,0.0,31,0.4,5,0,233.88,0,31,14.058064516129033,68.97096774193548,-13.535967741935483
2001-01-01,20.60967741935484,1376.1000000000001,0.0,31,1.75,9,0,313.8,0,30,13.693548387096774,57.23870967741936,3.7161290322580633
2001-02-01,12.571428571428571,1468.0,0.0,28,0.78,6,0,434.06,0,28,14.182142857142859,55.4,-7.1763731527093615
2001-03-01,27.86774193548387,1151.1000000000004,0.0,31,1.6300000000000001,11,0,386.98,0,29,12.696774193548388,52.25483870967742,-5.395322580645164
2001-04-01,48.07666666666667,515.9,8.200000000000003,30,7.87,15,2,15.36,0,7,17.413333333333334,64.58,0.8935000000000031
2001-05-01,59.41935483870968,201.60000000000005,28.599999999999994,31,4.89,14,1,0.0,2,0,15.051612903225807,66.14838709677419,0.17709677419355785
2001-06-01,68.51333333333334,62.500000000000014,167.9,30,6.47,14,1,0.0,1,0,14.953333333333335,56.92666666666666,-0.8791666666666629
2001-07-01,75.30967741935484,8.100000000000001,327.69999999999993,31,3.52,10,1,0.0,7,0,13.47741935483871,45.10322580645161,0.7150000000000034
2001-08-01,73.16129032258064,4.600000000000001,257.6,31,3.81,10,1,0.0,5,0,12.580645161290322,39.71935483870968,1.6729032258064507
2001-09-01,60.18666666666666,184.40000000000003,40.0,30,4.37,9,2,0.0,0,0,11.706666666666667,49.10666666666667,-3.4746666666666712
2001-10-01,48.10645161290322,523.7,0.0,31,1.11,8,0,0.0,0,4,15.654838709677419,61.13225806451613,-1.108548387096775
2001-11-01,45.516666666666666,584.5000000000001,0.0,30,2.47,11,1,27.34,0,6,13.76,53.19666666666667,9.93416666666667
2001-12-01,27.69677419354839,1156.4,0.0,31,0.72,6,0,41.8,0,28,14.62258064516129,64.80645161290323,6.064032258064518
2002-01-01,24.703225806451613,1249.1999999999998,0.0,31,0.5700000000000001,4,0,68.83,0,29,12.98709677419355,63.76451612903226,7.809677419354838
2002-02-01,28.775000000000002,1014.3,0.0,28,0.29,4,0,18.24,0,23,16.696428571428573,55.36071428571428,9.02719827586207
2002-03-01,24.98709677419355,1240.4,0.0,31,1.6400000000000001,10,0,67.21000000000001,0,29,15.461290322580645,57.78387096774193,-8.275967741935485
2002-04-01,45.21,612.6999999999999,19.0,30,3.38,11,0,34.79,1,11,16.41,65.81333333333333,-1.973166666666664
2002-05-01,54.512903225806454,355.2,30.10000000000001,31,4.41,12,2,0.0,0,2,15.935483870967742,58.038709677419355,-4.729354838709668
2002-06-01,70.63666666666667,32.800000000000004,201.90000000000003,30,8.8,16,2,0.0,2,0,14.82,61.583333333333336,1.244166666666672
2002-07-01,76.13548387096773,0.0,345.2,31,8.34,16,2,0.0,5,0,12.774193548387096,54.23225806451613,1.5408064516128945
2002-08-01,70.42903225806452,3.500000000000007,171.8,31,7.15,12,3,0.0,0,0,12.96774193548387,62.25806451612903,-1.059354838709666
2002-09-01,64.46,129.6,113.39999999999999,30,4.28,13,1,0.0,2,0,13.47,52.71666666666667,0.7986666666666622
2002-10-01,42.12580645161291,709.1,0.0,31,3.89,14,1,0.0,0,13,13.083870967741936,75.47096774193548,-7.089193548387087
2002-11-01,32.413333333333334,977.5999999999999,0.0,30,0.08,3,0,0.0,0,26,13.106666666666666,66.92,-3.169166666666662
2002-12-01,26.080645161290324,1206.4999999999998,0.0,31,0.19,2,0,11.799999999999999,0,30,13.04516129032258,60.49354838709677,4.447903225806453
2003-01-01,15.425806451612903,1536.8000000000002,0.0,31,0.14,2,0,14.809999999999999,0,31,14.27741935483871,58.877419354838715,-1.4677419354838719
2003-02-01,15.696428571428571,1380.4999999999998,0.0,28,0.8200000000000001,4,0,127.95,0,28,14.053571428571429,51.771428571428565,-4.0513731527093615
2003-03-01,31.112903225806452,1050.5000000000002,0.0,31,3.95,15,1,43.89,0,18,14.7,65.0516129032258,-2.1501612903225826
2003-04-01,47.90333333333333,523.2000000000002,10.299999999999997,30,2.47,9,1,1.18,0,7,14.9,61.1,0.720166666666664
2003-05-01,57.79354838709677,232.5,9.099999999999994,31,6.06,11,2,0.0,0,0,14.158064516129032,60.76451612903226,-1.4487096774193517
2003-06-01,67.59333333333333,42.599999999999994,120.39999999999999,30,6.03,14,2,0.0,0,0,12.16,61.64,-1.7991666666666646
2003-07-01,72.91935483870968,0.7000000000000028,246.2,31,2.94,13,0,0.0,0,0,12.774193548387096,54.21935483870968,-1.6753225806451582
2003-08-01,74.1516129032258,1.6000000000000014,285.3,31,0.83,5,0,0.0,7,0,11.538709677419355,44.44193548387097,2.6632258064516066
2003-09-01,62.03333333333333,181.39999999999998,92.39999999999999,30,2.14,6,0,0.0,2,0,14.506666666666666,53.55333333333333,-1.6280000000000001
2003-10-01,50.777419354838706,452.19999999999993,11.300000000000011,31,0.8200000000000001,5,0,0.0,0,3,13.667741935483871,55.225806451612904,1.5624193548387098
2003-11-01,32.9,963.0,0.0,30,0.62,8,0,32.68,0,21,15.203333333333335,66.46333333333334,-2.6824999999999974
2003-12-01,25.27741935483871,1231.4000000000003,0.0,31,0.46,7,0,114.74000000000001,0,29,14.100000000000001,65.46451612903226,3.6446774193548386
2004-01-01,11.73225806451613,1651.3,0.0,31,0.14,2,0,34.25,0,31,14.619354838709677,66.6516129032258,-5.161290322580646
2004-02-01,22.406896551724138,1235.2,0.0,29,1.04,9,0,257.42,0,26,12.006896551724138,68.81724137931035,2.6590948275862054
2004-03-01,35.76774193548387,906.2,0.0,31,2.0,14,0,23.46,0,23,15.083870967741936,70.26129032258065,2.5046774193548345
2004-04-01,49.083333333333336,487.3999999999999,9.900000000000006,30,2.36,7,1,0.0,1,8,16.043333333333333,56.373333333333335,1.9001666666666708
2004-05-01,56.377419354838715,269.20000000000005,1.8999999999999915,31,7.16,17,2,0.0,0,0,14.958064516129031,70.39032258064516,-2.8648387096774073
2004-06-01,65.39666666666668,69.89999999999999,81.79999999999998,30,3.87,12,1,0.0,1,0,14.163333333333332,58.71666666666667,-3.995833333333323
2004-07-01,71.44516129032259,10.299999999999997,210.09999999999997,31,3.6,10,1,0.0,1,0,11.441935483870967,55.806451612903224,-3.14951612903225
2004-08-01,65.7741935483871,56.39999999999999,80.39999999999999,31,1.67,11,0,0.0,0,0,13.041935483870969,59.28064516129032,-5.714193548387087
2004-09-01,66.67333333333333,66.80000000000001,116.99999999999999,30,4.41,8,2,0.0,0,0,15.31,47.46,3.0120000000000005
2004-10-01,49.60645161290322,477.7,0.5,31,2.63,10,1,0.0,0,1,13.948387096774194,70.06451612903226,0.39145161290322505
2004-11-01,37.90333333333333,812.8999999999999,0.0,30,0.8999999999999999,6,0,4.72,0,14,11.96,46.78,2.320833333333333
2004-12-01,22.583870967741937,1314.9,0.0,31,0.33,5,0,9.44,0,29,15.345161290322581,64.3741935483871,0.9511290322580663
2005-01-01,15.341935483870968,1539.3999999999999,0.0,31,0.86,10,0,76.68,0,31,13.82258064516129,59.07741935483871,-1.5516129032258075
2005-02-01,26.110714285714288,1088.9,0.0,28,0.89,5,0,50.11,0,24,12.882142857142856,57.73571428571428,6.362912561576355
2005-03-01,31.6,1035.3999999999999,0.0,31,1.24,6,0,30.35,0,26,13.748387096774193,43.70967741935484,-1.6630645161290332
2005-04-01,51.2,418.6999999999999,4.700000000000003,30,2.34,9,1,0.0,0,4,15.15,50.79666666666667,4.016833333333338
2005-05-01,55.016129032258064,312.6,3.0999999999999943,31,3.45,16,0,0.0,0,3,15.280645161290321,66.40967741935484,-4.226129032258058
2005-06-01,71.70333333333333,0.09999999999999432,201.2,30,5.9399999999999995,13,2,0.0,1,0,14.113333333333333,46.87,2.310833333333335
2005-07-01,75.54193548387097,1.1000000000000085,327.8999999999999,31,2.85,7,1,0.0,6,0,14.119354838709677,32.25483870967742,0.9472580645161344
2005-08-01,70.86774193548388,7.700000000000003,189.59999999999997,31,4.43,9,1,0.0,4,0,12.19032258064516,37.122580645161285,-0.6206451612903123
2005-09-01,65.61,68.1,86.39999999999999,30,7.46,13,2,0.0,0,0,15.110000000000001,37.45666666666667,1.9486666666666679
2005-10-01,51.31935483870968,446.2,22.099999999999994,31,4.39,7,2,0.0,0,4,12.961290322580645,42.099999999999994,2.104354838709682
2005-11-01,36.42333333333333,857.3,0.0,30,1.41,10,0,12.6,0,14,15.093333333333334,61.09666666666667,0.840833333333336
2005-12-01,19.94516129032258,1396.7000000000003,0.0,31,0.63,6,0,159.52,0,28,11.154838709677419,72.46451612903226,-1.6875806451612902
2006-01-01,29.135483870967743,1111.8,0.0,31,0.61,7,0,33.85,0,30,13.764516129032257,61.31935483870968,12.241935483870968
2006-02-01,19.714285714285715,1268.0000000000005,0.0,28,0.23,4,0,12.99,0,28,14.114285714285714,45.464285714285715,-0.033516009852217366
