date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,16.0,1518.9999999999998,0.0,31,0.18,4,0,167.02,0,31,13.396774193548387,54.39677419354839,-0.8312903225806458
2000-02-01,28.017241379310345,1072.4999999999998,0.0,29,1.29,6,0,181.14000000000001,0,24,13.341379310344827,61.53793103448275,8.361822660098522
2000-03-01,40.63870967741936,755.2,0.0,31,1.04,7,0,2.6399999999999997,0,17,14.893548387096773,56.18709677419355,7.3854838709677395
2000-04-01,46.74,547.8000000000001,0.0,30,1.35,10,0,1.18,0,8,16.153333333333332,57.70666666666667,-0.5351666666666617
2000-05-01,61.3258064516129,169.49999999999997,55.599999999999994,31,4.89,14,1,0.0,0,0,16.096774193548388,57.599999999999994,1.9699999999999989
2000-06-01,66.46666666666667,64.3,108.3,30,5.37,16,3,0.0,3,0,15.156666666666666,54.64666666666666,-3.0388333333333435
2000-07-01,72.29032258064517,13.699999999999996,239.70000000000005,31,5.4,12,1,0.0,1,0,13.516129032258064,54.13870967741936,-2.40467741935484
2000-08-01,71.95483870967742,3.000000000000007,218.60000000000002,31,3.54,10,1,0.0,1,0,12.812903225806451,48.03548387096774,0.4124193548387183
2000-09-01,61.38666666666666,153.5,45.10000000000001,30,2.39,7,1,0.0,0,0,14.67,45.25,-2.369000000000007
2000-10-01,53.041935483870965,376.09999999999997,5.3999999999999915,31,1.07,7,0,0.0,0,3,12.819354838709677,59.89677419354839,3.746451612903222
2000-11-01,31.5,1004.9999999999999,0.0,30,3.9899999999999998,10,2,39.78,0,23,13.91,76.17,-4.122500000000002
2000-12-01,8.016129032258064,1766.5000000000002,0.0,31,0.36,5,0,233.79,0,31,14.003225806451614,69.54516129032258,-13.558548387096774
2001-01-01,20.551612903225806,1377.9,0.0,31,1.82,9,0,315.81,0,30,13.745161290322581,57.851612903225806,3.72032258064516
2001-02-01,12.439285714285715,1471.6999999999998,0.0,28,0.75,7,0,431.33,0,28,14.214285714285714,56.17857142857143,-7.2161330049261085
2001-03-01,27.761290322580646,1154.4,0.0,31,1.6,12,0,385.71999999999997,0,29,12.654838709677419,53.190322580645166,-5.4919354838709715
2001-04-01,48.083333333333336,515.8,8.299999999999997,30,7.87,15,2,15.36,0,7,17.40666666666667,65.33,0.808166666666672
2001-05-01,59.44516129032258,201.1,28.89999999999999,31,4.92,14,1,0.0,2,0,14.990322580645161,66.8967741935484,0.08935483870968142
2001-06-01,68.55,61.80000000000001,168.29999999999998,30,6.57,15,1,0.0,1,0,14.82,57.473333333333336,-0.9555000000000149
2001-07-01,75.31290322580645,8.100000000000001,327.80000000000007,31,3.4200000000000004,10,1,0.0,7,0,13.461290322580645,46.60322580645161,0.6179032258064439
2001-08-01,73.13548387096773,4.700000000000003,256.9,31,3.9699999999999998,10,1,0.0,5,0,12.658064516129034,40.84193548387096,1.5930645161290329
2001-09-01,60.166666666666664,184.5,39.500000000000014,30,4.58,9,2,0.0,0,0,11.816666666666666,49.84666666666667,-3.5890000000000057
2001-10-01,48.05806451612903,525.2,0.0,31,1.09,8,0,0.0,0,4,15.66451612903226,63.02258064516129,-1.237419354838714
2001-11-01,45.526666666666664,584.1999999999999,0.0,30,2.39,11,1,27.77,0,7,13.783333333333333,54.30333333333333,9.904166666666661
2001-12-01,27.58709677419355,1159.8,0.0,31,0.73,6,0,41.56,0,28,14.612903225806452,65.4483870967742,6.012419354838713
2002-01-01,24.593548387096774,1252.6,0.0,31,0.52,6,0,67.28,0,29,12.941935483870967,64.5,7.7622580645161285
2002-02-01,28.689285714285713,1016.7,0.0,28,0.27999999999999997,4,0,18.02,0,23,16.75357142857143,56.69285714285714,9.03386699507389
2002-03-01,24.903225806451612,1242.9999999999998,0.0,31,1.65,11,0,65.43,0,29,15.44516129032258,59.222580645161294,-8.350000000000005
