date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,32.07096774193548,1020.8000000000001,0.0,31,1.09,9,0,0.0,0,24,17.038709677419355,38.38387096774194,1.3259677419354858
2000-02-01,42.09310344827586,664.3,0.0,29,3.9799999999999995,8,2,0.0,0,17,17.224137931034484,39.95172413793103,7.888282019704434
2000-03-01,47.54516129032258,543.0999999999999,2.0,31,2.4,10,0,0.0,0,6,16.606451612903225,38.94193548387097,2.004516129032261
2000-04-01,54.63,316.40000000000003,5.300000000000011,30,1.16,9,0,0.0,0,2,17.43,35.656666666666666,-2.0771666666666704
2000-05-01,67.59032258064516,56.9,137.2,31,6.44,9,2,0.0,0,0,15.577419354838709,39.12580645161291,1.9775806451612965
2000-06-01,70.51,12.999999999999993,178.29999999999998,30,6.67,15,2,0.0,0,0,14.926666666666668,38.88333333333333,-3.7464999999999833
2000-07-01,75.74838709677418,0.0,333.20000000000005,31,4.65,11,0,0.0,7,0,11.85483870967742,31.46451612903226,-2.0864516129032467
2000-08-01,78.14516129032258,0.0,407.50000000000006,31,7.59,10,3,0.0,15,0,12.496774193548386,17.59032258064516,1.9295161290322511
2000-09-01,67.60333333333332,73.79999999999998,151.9,30,2.38,6,0,0.0,5,0,13.233333333333333,18.193333333333335,-1.1386666666666656
2000-10-01,59.39677419354839,202.70000000000002,29.000000000000014,31,3.81,7,1,0.0,0,4,12.345161290322581,34.31935483870968,2.6846774193548413
2000-11-01,38.980000000000004,784.6999999999999,4.099999999999994,30,2.31,6,0,0.0,0,20,15.523333333333333,48.059999999999995,-6.130666666666663
2000-12-01,20.383870967741935,1383.1,0.0,31,0.84,7,0,0.0,0,30,15.770967741935483,51.92258064516129,-14.013387096774196
2001-01-01,29.287096774193547,1107.1,0.0,31,2.7,7,1,0.0,0,25,14.241935483870968,46.619354838709675,-1.4579032258064508
2001-02-01,33.346428571428575,886.3000000000001,0.0,28,4.92,10,1,0.0,0,24,16.585714285714285,57.050000000000004,-0.858392857142853
2001-03-01,39.725806451612904,783.5000000000001,0.0,31,1.27,8,0,0.0,0,20,15.480645161290324,39.00967741935484,-5.814838709677417
2001-04-01,61.593333333333334,175.00000000000003,72.80000000000001,30,4.3500000000000005,12,2,0.0,0,1,19.113333333333333,38.53333333333333,4.886166666666661
2001-05-01,65.22258064516129,78.6,85.49999999999997,31,10.31,17,4,0.0,0,0,16.603225806451615,35.377419354838715,-0.39016129032258107
2001-06-01,71.54333333333334,23.1,219.40000000000003,30,5.9799999999999995,11,3,0.0,1,0,14.31,30.62333333333333,-2.713166666666652
2001-07-01,78.54838709677419,0.0,419.99999999999983,31,6.38,11,2,0.0,11,0,11.883870967741935,26.24516129032258,0.7135483870967647
2001-08-01,76.18387096774192,0.0,346.70000000000005,31,4.27,11,0,0.0,9,0,12.225806451612904,23.90967741935484,-0.03177419354840083
2001-09-01,65.96,72.79999999999998,101.60000000000001,30,5.13,8,2,0.0,1,0,12.316666666666666,23.393333333333334,-2.7819999999999965
2001-10-01,55.538709677419355,300.1,6.799999999999997,31,4.57,9,2,0.0,0,2,16.493548387096773,27.364516129032257,-1.1733870967741922
2001-11-01,50.60666666666667,431.8999999999999,0.09999999999999432,30,2.22,10,0,0.0,0,3,14.479999999999999,29.236666666666668,5.496000000000002
2001-12-01,37.97741935483871,837.7,0.0,31,1.52,7,0,0.0,0,18,15.006451612903225,37.667741935483875,3.580161290322579
2002-01-01,34.593548387096774,942.6000000000001,0.0,31,2.6399999999999997,7,1,0.0,0,23,15.635483870967741,29.73225806451613,3.848548387096777
2002-02-01,36.75714285714286,790.8,0.0,28,0.76,5,0,0.0,0,19,17.6,31.2,2.5523214285714317
2002-03-01,40.15483870967742,770.1999999999998,0.0,31,1.94,10,0,0.0,0,16,18.1,40.222580645161294,-5.3858064516129005
2002-04-01,56.54,295.9,42.10000000000002,30,4.71,9,2,0.0,0,4,17.506666666666668,35.56333333333334,-0.1671666666666738
2002-05-01,61.13225806451613,155.70000000000002,35.80000000000001,31,10.17,14,4,0.0,0,0,15.864516129032259,38.50322580645161,-4.480483870967738
2002-06-01,74.42666666666668,0.29999999999999716,283.09999999999997,30,3.5900000000000003,6,2,0.0,1,0,12.486666666666668,17.12,0.17016666666668812
2002-07-01,78.18709677419355,0.0,408.8,31,2.48,7,1,0.0,13,0,11.922580645161291,17.938709677419357,0.3522580645161213
2002-08-01,76.59354838709677,0.0,359.40000000000003,31,9.67,8,3,0.0,9,0,12.648387096774194,19.33225806451613,0.377903225806449
2002-09-01,69.76666666666667,26.599999999999994,169.6,30,2.77,6,1,0.0,2,0,11.806666666666667,18.333333333333332,1.0246666666666755
2002-10-01,51.567741935483866,440.8,24.400000000000006,31,4.3,13,0,0.0,0,0,12.619354838709677,47.12903225806452,-5.144354838709681
