date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,34.03225806451613,960.0,0.0,31,0.3,4,0,0.0,0,22,16.096774193548388,35.24516129032258,2.403053763440859
2000-02-01,43.06551724137931,636.0999999999999,0.0,29,2.22,9,1,0.0,0,15,16.375862068965517,35.06896551724138,8.131311576354676
2000-03-01,48.74516129032258,508.7000000000001,4.799999999999997,31,2.2600000000000002,8,0,0.0,0,6,15.848387096774195,40.89677419354839,1.8429032258064524
2000-04-01,56.32333333333334,270.00000000000006,9.700000000000003,30,0.73,5,0,0.0,0,1,17.36,34.74333333333333,-1.463166666666666
2000-05-01,69.58709677419354,36.900000000000006,179.10000000000002,31,2.52,6,1,0.0,1,0,16.287096774193547,38.71612903225807,2.289032258064509
2000-06-01,73.20333333333333,4.299999999999997,250.4,30,10.620000000000001,12,2,0.0,1,0,17.383333333333333,34.97,-3.563833333333335
2000-07-01,79.26129032258065,0.0,442.1,31,5.5600000000000005,11,2,0.0,9,0,13.929032258064517,24.193548387096776,-1.7704838709677375
2000-08-01,83.60967741935484,0.0,576.9,31,0.86,3,0,0.0,21,0,15.383870967741936,7.174193548387097,4.387903225806454
2000-09-01,72.28999999999999,52.7,271.3999999999999,30,4.61,7,1,0.0,8,0,15.253333333333334,14.756666666666666,1.0450000000000017
2000-10-01,61.067741935483866,173.80000000000004,51.90000000000002,31,4.9399999999999995,10,3,0.0,0,2,13.848387096774195,39.46451612903226,2.803225806451607
2000-11-01,38.42666666666666,799.0999999999999,1.9000000000000057,30,1.75,6,0,0.0,0,20,13.676666666666668,40.416666666666664,-7.795333333333339
2000-12-01,21.10967741935484,1360.5999999999997,0.0,31,0.6699999999999999,4,0,0.0,0,29,14.8,48.58387096774193,-13.798548387096773
2001-01-01,30.719354838709677,1062.6999999999998,0.0,31,1.71,6,0,0.0,0,26,12.529032258064516,41.81935483870967,-0.9098494623655924
2001-02-01,31.099999999999998,949.1999999999999,0.0,28,3.0900000000000003,8,1,0.0,0,23,15.171428571428573,50.375,-3.834205665024637
2001-03-01,40.567741935483866,757.4000000000001,0.0,31,2.51,11,1,0.0,0,17,14.183870967741935,36.806451612903224,-6.334516129032259
2001-04-01,62.6,163.39999999999998,91.39999999999999,30,4.35,9,2,0.0,0,0,19.87666666666667,39.40333333333333,4.813499999999998
2001-05-01,67.8225806451613,50.4,137.89999999999998,31,6.72,11,2,0.0,0,0,17.229032258064517,31.91290322580645,0.5245161290322642
2001-06-01,73.94333333333334,13.199999999999996,281.50000000000006,30,10.129999999999999,10,4,0.0,2,0,15.586666666666668,28.946666666666665,-2.823833333333326
2001-07-01,82.65806451612903,0.0,547.4,31,4.73,8,2,0.0,18,0,15.187096774193549,22.35483870967742,1.626290322580644
2001-08-01,79.58064516129032,0.0,452.0,31,1.87,6,0,0.0,12,0,12.62258064516129,13.329032258064515,0.35887096774193594
2001-09-01,67.4,56.70000000000001,128.7,30,3.71,10,0,0.0,0,0,12.516666666666667,25.27,-3.8449999999999847
2001-10-01,57.6741935483871,241.3,14.200000000000003,31,3.2800000000000002,8,1,0.0,0,1,16.6,22.62258064516129,-0.5903225806451573
2001-11-01,52.31666666666667,382.70000000000005,2.200000000000003,30,1.17,4,0,0.0,0,4,14.716666666666667,34.559999999999995,6.094666666666669
2001-12-01,38.567741935483866,819.4,0.0,31,0.6699999999999999,3,0,0.0,0,19,15.416129032258066,34.57419354838709,3.659516129032255
2002-01-01,34.91290322580645,932.7,0.0,31,2.11,6,1,0.0,0,25,15.077419354838709,26.90967741935484,3.2836989247311834
2002-02-01,37.517857142857146,769.5,0.0,28,1.06,2,0,0.0,0,17,16.317857142857143,26.410714285714285,2.583651477832511
2002-03-01,41.11290322580645,740.4999999999998,0.0,31,1.05,6,0,0.0,0,16,17.796774193548387,32.16451612903226,-5.789354838709677
2002-04-01,57.230000000000004,276.0,42.89999999999999,30,5.21,10,2,0.0,0,2,18.233333333333334,39.593333333333334,-0.5564999999999998
2002-05-01,62.248387096774195,141.5,56.199999999999974,31,8.04,12,2,0.0,0,0,16.329032258064515,32.87096774193548,-5.049677419354836
2002-06-01,76.41666666666667,0.0,342.49999999999994,30,2.46,6,0,0.0,1,0,15.236666666666668,18.85666666666667,-0.3504999999999967
2002-07-01,80.69677419354838,0.0,486.6000000000001,31,2.76,5,1,0.0,14,0,15.225806451612904,13.703225806451613,-0.33500000000000796
2002-08-01,77.85483870967742,0.0,398.4999999999999,31,2.08,6,0,0.0,7,0,14.751612903225807,19.587096774193547,-1.3669354838709609
2002-09-01,72.89,15.399999999999999,252.10000000000002,30,1.03,5,0,0.0,7,0,14.216666666666667,15.243333333333334,1.6450000000000102
2002-10-01,52.061290322580646,421.8,20.700000000000003,31,3.16,11,1,0.0,1,1,13.7,46.66451612903226,-6.203225806451613
2002-11-01,42.64333333333333,670.7,0.0,30,0.38,4,0,0.0,0,12,14.896666666666667,29.92,-3.5786666666666704
2002-12-01,37.08064516129032,865.5000000000001,0.0,31,0.0,0,0,0.0,0,22,14.890322580645162,23.55806451612903,2.172419354838709
2003-01-01,28.006666666666668,1109.7999999999997,0.0,30,0.29000000000000004,4,0,0.0,0,27,15.416666666666666,34.6,-3.6225376344086015
2003-02-01,30.92142857142857,954.1999999999998,0.0,28,2.19,6,1,0.0,0,24,13.885714285714286,44.675000000000004,-4.012777093596064
2003-03-01,45.13225806451613,617.1999999999999,1.2999999999999972,31,1.58,5,0,0.0,0,13,16.15483870967742,35.803225806451614,-1.769999999999996
2003-04-01,58.10666666666667,254.59999999999997,47.8,30,3.8600000000000003,10,1,0.0,0,2,17.7,44.620000000000005,0.3201666666666654
2003-05-01,64.99032258064516,54.5,54.19999999999999,31,2.22,10,0,0.0,1,0,15.370967741935484,31.493548387096773,-2.3077419354838753
2003-06-01,72.31333333333333,19.4,238.79999999999995,30,4.86,11,2,0.0,1,0,14.69,32.806666666666665,-4.4538333333333355
2003-07-01,83.09032258064516,0.0,560.8,31,0.5,4,0,0.0,22,0,15.825806451612904,6.848387096774194,2.058548387096778
2003-08-01,82.63870967741936,0.29999999999999716,547.1,31,9.44,8,2,0.0,22,0,13.212903225806452,19.51290322580645,3.4169354838709722
2003-09-01,66.74,64.5,116.69999999999996,30,2.39,8,0,0.0,0,0,13.646666666666667,27.11,-4.5049999999999955
2003-10-01,59.193548387096776,192.3,12.300000000000011,31,1.23,4,0,0.0,0,0,13.719354838709679,22.65806451612903,0.9290322580645167
2003-11-01,44.943333333333335,601.7,0.0,30,1.21,7,0,0.0,0,8,15.416666666666666,44.656666666666666,-1.2786666666666662
2003-12-01,37.222580645161294,861.1,0.0,31,2.92,7,1,0.0,0,17,15.712903225806452,40.20645161290323,2.314354838709683
2004-01-01,28.748387096774195,1123.8000000000002,0.0,31,1.18,4,0,0.0,0,26,15.216129032258063,36.751612903225805,-2.8808172043010742
2004-02-01,33.73103448275862,906.7999999999998,0.0,29,1.35,7,0,0.0,0,19,15.137931034482758,36.92413793103448,-1.2031711822660114
2004-03-01,49.29032258064516,491.09999999999997,4.099999999999994,31,4.41,10,1,0.0,0,3,18.64516129032258,46.34516129032258,2.3880645161290346
2004-04-01,58.21666666666667,235.5,32.0,30,2.37,8,0,0.0,0,0,17.833333333333332,26.853333333333335,0.4301666666666648
2004-05-01,68.64516129032258,79.69999999999999,192.70000000000002,31,7.59,12,3,0.0,0,0,18.316129032258065,32.58064516129032,1.3470967741935453
2004-06-01,72.36333333333333,1.5,222.39999999999998,30,6.76,13,2,0.0,0,0,15.126666666666667,34.9,-4.403833333333338
2004-07-01,76.94193548387096,0.9000000000000057,371.1,31,7.84,8,3,0.0,4,0,14.319354838709677,26.57741935483871,-4.089838709677423
2004-08-01,73.76774193548388,5.399999999999999,277.19999999999993,31,10.01,10,4,0.0,4,0,13.912903225806453,32.60645161290322,-5.454032258064501
2004-09-01,71.85,6.399999999999999,211.9,30,1.1,3,0,0.0,0,0,14.056666666666667,7.463333333333333,0.605000000000004
2004-10-01,59.15161290322581,200.60000000000002,19.30000000000001,31,3.77,14,1,0.0,0,0,14.109677419354838,48.225806451612904,0.8870967741935516
2004-11-01,47.34,529.8,0.0,30,2.88,14,0,0.0,0,4,14.136666666666667,58.68666666666666,1.118000000000002
2004-12-01,36.900000000000006,871.0999999999999,0.0,31,0.54,3,0,0.0,0,19,15.951612903225806,21.419354838709676,1.9917741935483946
2005-01-01,29.783870967741937,1091.7,0.0,31,3.62,8,1,0.0,0,25,13.003225806451614,64.51290322580645,-1.8453333333333326
2005-02-01,40.13214285714286,696.3,0.0,28,2.69,7,0,0.0,0,11,13.089285714285714,44.714285714285715,5.197937192118225
2005-03-01,45.68709677419355,600.1999999999999,1.5,31,0.94,5,0,0.0,0,9,16.85483870967742,34.2,-1.2151612903225768
2005-04-01,58.75,226.2,38.70000000000002,30,2.06,8,0,0.0,0,0,16.593333333333334,39.81333333333334,0.9634999999999962
2005-05-01,66.3741935483871,82.39999999999999,125.0,31,4.38,8,2,0.0,0,0,15.680645161290323,23.596774193548388,-0.9238709677419337
2005-06-01,77.28333333333333,0.0,368.5,30,10.05,11,4,0.0,7,0,15.576666666666666,17.86,0.5161666666666633
2005-07-01,81.0741935483871,0.0,498.29999999999995,31,1.22,5,0,0.0,15,0,13.106451612903227,8.935483870967742,0.04241935483871373
2005-08-01,78.76451612903226,0.0,426.7,31,9.17,13,4,0.0,11,0,12.55483870967742,28.99032258064516,-0.4572580645161253
2005-09-01,73.44,21.79999999999999,275.0,30,2.88,7,1,0.0,0,0,13.383333333333333,19.383333333333333,2.1950000000000074
2005-10-01,57.79032258064516,277.29999999999995,53.80000000000001,31,2.24,7,0,0.0,0,0,12.996774193548386,22.951612903225808,-0.47419354838709893
2005-11-01,48.31666666666667,504.0,3.5,30,0.95,4,0,0.0,0,7,16.266666666666666,28.303333333333335,2.0946666666666687
2005-12-01,31.5,1038.4999999999998,0.0,31,0.9099999999999999,5,0,0.0,0,22,14.758064516129032,40.11612903225806,-3.408225806451611
2006-01-01,42.07741935483871,710.6,0.0,31,0.79,4,0,0.0,0,11,15.848387096774195,32.55483870967742,10.448215053763441
