date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,27.38064516129032,1166.2000000000003,0.0,31,0.48,5,0,31.68,0,31,19.061290322580643,63.980645161290326,0.09130498533724207
2000-02-01,31.224137931034484,979.5,0.0,29,1.21,8,0,55.66,0,22,17.158620689655173,72.06206896551723,3.730886699507394
2000-03-01,40.196774193548386,768.9,0.0,31,0.65,2,0,7.09,0,19,20.787096774193547,65.90967741935484,2.292903225806448
2000-04-01,47.02333333333333,539.3,0.0,30,1.27,10,0,1.18,0,7,20.033333333333335,73.76333333333334,0.9266666666666694
2000-05-01,56.270967741935486,282.90000000000003,12.299999999999997,31,0.75,7,0,0.0,0,0,20.27741935483871,78.56774193548387,1.104354838709682
2000-06-01,63.87,103.19999999999999,69.3,30,1.2,11,0,0.0,3,0,19.026666666666664,68.17333333333333,-1.0203333333333333
2000-07-01,75.35483870967742,0.0,321.0,31,0.42000000000000004,7,0,0.0,13,0,18.274193548387096,55.76129032258064,0.5977419354838673
2000-08-01,73.46451612903226,12.500000000000007,274.90000000000003,31,0.06,1,0,0.0,11,0,18.26451612903226,45.99032258064516,1.7646774193548396
2000-09-01,59.419999999999995,220.59999999999997,53.2,30,1.58,10,0,7.09,1,3,17.706666666666667,57.94666666666667,-1.9011666666666756
2000-10-01,46.83870967741935,563.0,0.0,31,0.68,7,0,0.0,0,5,15.654838709677419,49.903225806451616,-0.8270967741935493
2000-11-01,26.240000000000002,1162.8,0.0,30,0.2,2,0,28.53,0,28,21.87,39.62,-10.118666666666662
2000-12-01,19.970967741935485,1395.9,0.0,31,0.16,4,0,30.82,0,29,20.206451612903226,51.15806451612904,-6.906935483870971
2001-01-01,30.061290322580643,1083.1,0.0,31,0.21,2,0,24.72,0,28,21.980645161290322,38.645161290322584,2.771950146627564
2001-02-01,20.228571428571428,1253.6,0.0,28,0.24000000000000002,2,0,71.11,0,28,18.667857142857144,63.996428571428574,-7.264679802955662
2001-03-01,38.02903225806452,836.1000000000001,0.0,31,0.7000000000000001,5,0,9.05,0,21,18.57741935483871,56.903225806451616,0.1251612903225805
2001-04-01,45.90333333333333,573.9999999999999,1.0999999999999943,30,1.06,7,0,2.36,0,11,20.259999999999998,57.0,-0.19333333333333513
2001-05-01,59.4741935483871,204.8,33.500000000000014,31,0.42000000000000004,5,0,0.0,0,1,19.52258064516129,41.84516129032258,4.307580645161295
2001-06-01,63.29333333333333,128.39999999999998,77.19999999999999,30,4.0200000000000005,9,1,0.0,1,0,18.64333333333333,50.64666666666667,-1.5970000000000013
2001-07-01,73.14193548387097,0.0,252.4,31,0.97,11,0,0.0,6,0,17.80322580645161,43.5516129032258,-1.6151612903225896
2001-08-01,75.48387096774194,0.0,325.0,31,0.01,0,0,0.0,12,0,15.848387096774195,25.683870967741935,3.7840322580645136
2001-09-01,63.54333333333333,131.0,87.3,30,1.06,3,0,0.0,3,0,14.996666666666666,35.43333333333333,2.2221666666666593
2001-10-01,47.84193548387096,534.2,2.299999999999997,31,0.69,7,0,0.0,0,5,21.009677419354837,50.99032258064516,0.17612903225806065
2001-11-01,40.983333333333334,720.4999999999999,0.0,30,0.22000000000000003,3,0,15.23,0,11,18.573333333333334,41.806666666666665,4.62466666666667
2001-12-01,27.961290322580645,1148.1999999999998,0.0,31,0.04,1,0,6.29,0,26,19.258064516129032,40.91935483870968,1.0833870967741888
2002-01-01,28.038709677419355,1145.8,0.0,31,0.2,3,0,26.7,0,27,23.067741935483873,55.53225806451613,0.7493695014662762
2002-02-01,32.46785714285714,910.9,0.0,28,0.1,2,0,16.34,0,23,25.139285714285712,46.95357142857143,4.974605911330052
2002-03-01,24.42258064516129,1257.9,0.0,31,0.07,1,0,24.669999999999998,0,28,20.406451612903226,63.28387096774193,-13.481290322580648
2002-04-01,40.84666666666667,724.6,0.0,30,1.8499999999999999,5,0,15.129999999999999,0,18,19.823333333333334,51.75333333333333,-5.249999999999993
2002-05-01,51.99354838709677,408.9000000000001,5.700000000000003,31,1.1,9,0,1.57,0,5,20.54516129032258,51.31290322580645,-3.173064516129031
2002-06-01,65.52,102.20000000000002,117.80000000000001,30,1.44,7,0,0.0,4,0,19.18,44.059999999999995,0.6296666666666653
2002-07-01,76.3967741935484,0.0,353.29999999999995,31,0.49000000000000005,4,0,0.0,17,0,20.361290322580647,35.619354838709675,1.6396774193548396
2002-08-01,66.1774193548387,40.39999999999999,76.90000000000002,31,0.65,6,0,0.0,2,0,18.896774193548385,38.4,-5.522419354838718
2002-09-01,61.083333333333336,182.00000000000003,64.50000000000001,30,1.23,6,0,0.0,2,0,16.916666666666668,41.00333333333333,-0.23783333333333445
2002-10-01,40.461290322580645,760.7,0.0,31,0.7100000000000001,6,0,7.35,0,12,17.496774193548386,54.36451612903225,-7.204516129032257
2002-11-01,39.27333333333333,771.7999999999998,0.0,30,0.05,1,0,6.1,0,13,23.833333333333332,40.916666666666664,2.914666666666669
