date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,42.42580645161291,703.5000000000002,3.700000000000003,31,6.88,12,3,11.809999999999999,0,14,14.103225806451613,51.16129032258065,-0.07064516129031517
2000-02-01,47.641379310344824,503.40000000000003,0.0,29,3.22,9,1,0.0,0,5,12.482758620689655,28.637931034482758,1.7919334975369452
2000-03-01,55.49677419354839,313.20000000000005,18.599999999999994,31,4.9,10,1,0.0,0,0,14.606451612903227,34.403225806451616,2.910161290322584
2000-04-01,59.44666666666667,186.1,19.5,30,9.459999999999999,15,3,0.0,0,0,15.4,50.126666666666665,-2.4908333333333275
2000-05-01,71.85806451612903,16.39999999999999,229.0,31,6.170000000000001,11,3,0.0,6,0,14.33548387096774,29.519354838709678,1.9620967741935402
2000-06-01,77.51333333333334,0.0,375.3999999999999,30,6.14,11,3,0.0,15,0,12.696666666666665,31.69,0.4038333333333384
2000-07-01,76.7741935483871,0.0,365.00000000000006,31,14.54,19,5,0.0,5,0,11.667741935483871,45.829032258064515,-2.634999999999991
2000-08-01,77.00322580645161,0.0,372.09999999999997,31,15.47,20,7,0.0,9,0,11.53225806451613,51.36129032258064,-1.1367741935483906
2000-09-01,73.45666666666666,6.799999999999997,260.5,30,10.1,13,3,0.0,2,0,11.07,53.04,0.6213333333333253
2000-10-01,62.78709677419355,127.09999999999998,58.499999999999986,31,0.45,7,0,0.0,0,0,10.558064516129033,19.448387096774194,0.4193548387096868
2000-11-01,50.29333333333333,449.09999999999997,7.8999999999999915,30,4.28,11,2,0.0,0,6,11.036666666666667,40.669999999999995,-1.6736666666666693
2000-12-01,37.903225806451616,840.0000000000002,0.0,31,3.12,13,1,8.27,0,22,12.993548387096775,46.29354838709677,-7.967096774193543
2001-01-01,42.91612903225807,684.5999999999999,0.0,31,2.43,13,0,0.0,0,18,13.206451612903225,43.58387096774193,0.4196774193548478
2001-02-01,48.728571428571435,458.0,2.4000000000000057,28,4.16,11,2,0.0,0,8,12.910714285714286,49.339285714285715,2.879125615763556
2001-03-01,50.73870967741936,446.5,4.400000000000006,31,10.469999999999999,15,2,0.0,0,6,14.516129032258064,47.5516129032258,-1.8479032258064478
2001-04-01,62.413333333333334,171.20000000000005,93.6,30,3.9,9,2,0.0,1,0,13.786666666666667,26.38,0.475833333333334
2001-05-01,69.00645161290322,25.0,149.2,31,8.26,16,2,0.0,1,0,12.570967741935483,41.0258064516129,-0.8895161290322733
2001-06-01,77.48333333333333,0.0,374.50000000000006,30,10.82,15,5,0.0,6,0,11.643333333333334,40.59,0.37383333333333724
2001-07-01,76.8483870967742,0.0,367.3,31,16.62,20,5,0.0,6,0,11.73225806451613,31.248387096774195,-2.5608064516128906
2001-08-01,78.19354838709677,0.0,409.0000000000001,31,16.8,16,6,0.0,10,0,10.229032258064517,32.770967741935486,0.053548387096768124
2001-09-01,69.67333333333333,31.299999999999997,171.5,30,7.82,11,4,0.0,0,0,10.75,35.830000000000005,-3.162000000000006
2001-10-01,61.067741935483866,178.5,56.599999999999994,31,1.94,3,1,0.0,0,2,10.796774193548387,18.39032258064516,-1.2999999999999972
2001-11-01,57.519999999999996,243.3,18.89999999999999,30,2.34,10,1,0.0,0,2,11.073333333333332,30.403333333333332,5.552999999999997
2001-12-01,51.38709677419355,428.90000000000003,6.900000000000006,31,1.75,7,0,0.0,0,9,12.283870967741937,31.919354838709676,5.516774193548393
2002-01-01,46.05483870967742,593.0999999999998,5.799999999999997,31,9.27,17,3,14.18,0,12,12.651612903225805,41.561290322580646,3.5583870967741973
2002-02-01,47.9,485.59999999999997,6.799999999999997,28,2.81,8,1,0.0,0,8,13.696428571428571,30.235714285714288,2.0505541871921196
2002-03-01,55.935483870967744,299.3,18.299999999999997,31,7.72,14,2,0.0,0,5,13.587096774193547,49.748387096774195,3.348870967741938
2002-04-01,65.72,106.39999999999999,127.99999999999999,30,2.9699999999999998,12,1,0.0,3,0,12.870000000000001,36.00666666666667,3.782499999999999
2002-05-01,69.46774193548387,57.6,196.10000000000002,31,5.01,12,1,0.0,2,0,13.370967741935484,35.303225806451614,-0.42822580645162134
