date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2005-01-01,47.3448275862069,513.5,1.5,29,0.38,4,0,0.0,0,9,9.417241379310346,46.5,
2005-02-01,47.43571428571429,491.79999999999995,0.0,28,2.1,11,0,0.0,0,2,9.75,45.71071428571428,
2005-03-01,51.0258064516129,433.8,0.5999999999999943,31,4.47,10,1,0.0,0,4,14.683870967741935,34.487096774193546,
2005-04-01,59.40333333333333,183.00000000000003,15.09999999999998,30,1.2,13,0,0.0,0,0,13.09,38.45666666666667,
2005-05-01,65.18064516129031,59.20000000000001,64.80000000000003,31,0.78,5,0,0.0,0,0,9.038709677419355,41.248387096774195,
2005-06-01,72.93333333333334,9.600000000000001,247.59999999999997,30,4.53,11,2,0.0,0,0,7.62,51.89,
2005-07-01,79.10967741935484,0.0,437.4,31,6.800000000000001,12,2,0.0,11,0,7.909677419354838,38.932258064516134,
2005-08-01,80.23548387096774,0.0,472.29999999999995,31,2.02,5,1,0.0,15,0,7.861290322580646,35.92903225806452,
2005-09-01,74.42,1.7999999999999972,284.4,30,0.13,2,0,0.0,1,0,10.153333333333334,28.13,
2005-10-01,60.696774193548386,176.0,42.59999999999998,31,6.33,3,2,0.0,0,1,9.916129032258064,39.50967741935484,
2005-11-01,51.18333333333333,416.09999999999997,1.5999999999999943,30,3.74,6,1,0.0,0,5,10.65,33.63666666666667,
2005-12-01,39.29333333333333,771.1999999999999,0.0,30,3.6599999999999997,9,2,0.0,0,17,8.05,43.483333333333334,
2015-04-01,59.190000000000005,189.60000000000002,15.299999999999997,30,6.01,17,2,0.0,0,1,14.073333333333332,46.96666666666667,
2017-01-01,44.806451612903224,626.0000000000001,0.0,31,4.14,13,1,0.0,0,12,14.85483870967742,46.94516129032258,
2017-02-01,48.475,462.70000000000005,0.0,28,0.8400000000000001,7,0,0.0,0,9,15.439285714285715,28.885714285714283,
2017-03-01,48.958064516129035,497.29999999999995,0.0,31,8.38,16,2,0.0,0,10,17.096774193548388,35.648387096774194,
2017-04-01,60.8,151.10000000000002,25.09999999999998,30,7.51,16,3,0.0,0,0,14.360000000000001,38.343333333333334,
2017-05-01,65.19354838709677,66.49999999999997,72.5,31,7.48,13,2,0.0,0,0,14.116129032258065,27.232258064516127,
2017-06-01,70.85333333333332,0.7000000000000028,176.29999999999998,30,5.77,19,1,0.0,0,0,12.020000000000001,33.803333333333335,
2017-07-01,74.91935483870968,0.0,307.49999999999994,31,7.13,19,1,0.0,2,0,10.574193548387097,28.870967741935484,
2017-08-01,72.57741935483871,0.0,234.89999999999998,31,7.33,18,3,0.0,0,0,10.44516129032258,40.748387096774195,
2017-09-01,67.17666666666666,34.699999999999996,99.99999999999996,30,4.13,6,1,0.0,0,0,11.226666666666667,29.27333333333333,
2017-10-01,59.23548387096774,235.09999999999997,56.39999999999999,31,9.55,9,4,0.0,0,0,12.483870967741936,29.33225806451613,
2017-11-01,49.43,467.09999999999997,0.0,30,1.72,9,0,0.0,0,6,11.893333333333334,31.436666666666667,
2017-12-01,40.50322580645161,759.4000000000001,0.0,31,2.63,6,0,0.0,0,16,14.809677419354838,34.722580645161294,
2018-11-01,45.10666666666667,596.8,0.0,30,7.68,15,2,0.0,0,10,14.0,43.36,
2019-01-01,39.08709677419355,803.3,0.0,31,5.41,10,1,0.0,0,18,15.435483870967742,37.225806451612904,
2019-02-01,47.07857142857143,503.1,1.2999999999999972,28,7.16,15,3,0.0,0,5,14.921428571428573,46.028571428571425,
2019-03-01,47.458064516129035,543.8,0.0,31,2.94,11,0,0.0,0,8,15.083870967741936,32.593548387096774,
2019-04-01,60.269999999999996,160.7,18.799999999999997,30,9.110000000000001,10,2,0.0,0,1,15.536666666666667,27.453333333333333,
