date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,41.62903225806452,726.1,1.5999999999999943,31,5.16,8,2,3.15,0,16,15.725806451612904,45.7,-2.6535645161290304
2000-02-01,48.27241379310345,486.19999999999993,1.0999999999999943,29,0.35000000000000003,2,0,0.0,0,9,14.568965517241379,30.24827586206897,0.5932266009852327
2000-03-01,56.567741935483866,272.7,11.300000000000011,31,3.79,6,1,0.0,0,1,16.474193548387095,47.47096774193548,2.603709677419353
2000-04-01,60.583333333333336,157.30000000000004,24.80000000000001,30,6.71,10,2,0.0,0,0,17.583333333333332,56.46333333333334,-2.018499999999996
2000-05-01,71.96451612903226,6.5,222.4,31,0.91,3,0,0.0,4,0,16.45483870967742,47.13225806451613,1.7472580645161315
2000-06-01,77.11999999999999,0.0,363.59999999999997,30,3.71,7,1,0.0,6,0,13.966666666666667,59.983333333333334,0.15083333333332405
2000-07-01,78.03225806451613,0.0,404.0,31,3.8499999999999996,3,1,0.0,8,0,13.896774193548387,68.91612903225807,-1.3506451612903163
2000-08-01,77.3225806451613,0.0,382.00000000000006,31,34.660000000000004,13,8,0.0,5,0,13.916129032258066,67.30967741935484,-1.1325806451612834
2000-09-01,73.55666666666666,4.699999999999996,261.3999999999999,30,48.6,17,13,0.0,0,0,13.216666666666667,69.81,-0.478500000000011
2000-10-01,61.835483870967735,144.9,46.79999999999998,31,0.6,4,0,0.0,0,0,12.399999999999999,34.1741935483871,-2.4611290322580714
2000-11-01,52.28333333333333,394.19999999999993,12.700000000000003,30,28.94,10,6,0.0,0,3,13.333333333333334,48.583333333333336,-1.9626666666666708
2000-12-01,40.880645161290325,748.8000000000001,1.0999999999999943,31,4.9,11,2,0.0,0,15,14.825806451612904,51.73870967741936,-7.400161290322579
2001-01-01,44.099999999999994,647.9000000000001,0.0,31,1.3,6,0,0.0,0,15,15.348387096774195,57.63225806451613,-0.1825967741935557
2001-02-01,50.478571428571435,406.6,0.0,28,4.75,10,1,0.0,0,4,15.114285714285714,64.45714285714286,2.799384236453214
2001-03-01,52.0258064516129,407.1,4.900000000000006,31,8.95,13,4,0.0,0,6,17.08709677419355,60.97096774193548,-1.9382258064516122
2001-04-01,61.79,167.7,71.39999999999999,30,3.94,4,1,0.0,0,1,16.656666666666666,47.483333333333334,-0.8118333333333325
2001-05-01,68.10967741935484,27.300000000000004,123.69999999999999,31,5.97,11,2,0.0,1,0,14.600000000000001,55.86774193548387,-2.107580645161292
2001-06-01,76.49666666666667,0.0,344.9,30,13.530000000000001,12,4,0.0,1,0,14.15,70.24333333333334,-0.4724999999999966
2001-07-01,76.14838709677419,0.0,345.59999999999997,31,5.91,13,2,0.0,1,0,12.725806451612904,64.7741935483871,-3.234516129032258
2001-08-01,77.72258064516129,0.0,394.3999999999999,31,14.05,13,3,0.0,6,0,12.587096774193547,49.487096774193546,-0.732580645161292
2001-09-01,70.32666666666667,24.400000000000006,184.2,30,8.81,10,1,0.0,0,0,12.153333333333334,56.99,-3.708500000000001
2001-10-01,61.38709677419355,168.00000000000003,56.00000000000003,31,1.5999999999999999,4,1,0.0,0,2,13.76774193548387,33.099999999999994,-2.909516129032255
2001-11-01,58.49,210.0,14.699999999999974,30,3.32,7,2,0.0,0,2,13.28,43.376666666666665,4.244
2001-12-01,52.62580645161291,388.00000000000006,4.400000000000006,31,20.56,7,3,0.0,1,8,13.035483870967743,46.42903225806452,4.345000000000006
2002-01-01,47.38387096774194,548.5,2.4000000000000057,31,5.63,16,2,1.97,0,11,15.332258064516129,55.91935483870968,3.1012741935483916
2002-02-01,47.824999999999996,485.49999999999994,4.599999999999994,28,6.68,10,2,0.0,0,9,16.039285714285715,45.17142857142857,0.14581280788177509
2002-03-01,55.829032258064515,301.6,17.299999999999997,31,9.77,16,4,0.0,0,6,15.958064516129031,55.45483870967742,1.865000000000002
2002-04-01,65.83666666666666,95.6,120.7,30,9.43,12,3,0.0,0,0,16.576666666666668,58.4,3.2348333333333272
