date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,23.62258064516129,1282.6999999999998,0.0,31,2.37,10,0,0.0,0,27,16.59032258064516,42.31935483870968,-1.8266129032258078
2000-02-01,29.66896551724138,1024.6000000000001,0.0,29,3.19,9,1,0.0,0,23,14.379310344827585,49.741379310344826,1.6168165024630525
2000-03-01,40.858064516129026,748.4,0.0,31,3.38,9,1,0.0,0,14,15.170967741935485,47.11290322580645,4.814354838709669
2000-04-01,46.21,563.6999999999999,0.0,30,6.05,13,2,0.0,0,3,15.51,65.20333333333333,-1.9551666666666634
2000-05-01,56.81290322580645,271.3,17.5,31,2.97,13,0,0.0,0,0,14.583870967741936,53.58387096774193,-2.0440322580645187
2000-06-01,66.37666666666667,87.29999999999998,128.60000000000002,30,3.81,13,1,0.0,1,0,13.086666666666668,47.736666666666665,-1.1948333333333352
2000-07-01,68.59677419354838,8.29999999999999,119.79999999999998,31,5.02,11,2,0.0,0,0,13.348387096774195,48.46451612903226,-4.831774193548384
2000-08-01,68.50645161290322,12.500000000000021,121.20000000000002,31,1.85,8,0,0.0,0,0,11.829032258064515,43.57096774193548,-3.4898279569892594
2000-09-01,61.233333333333334,151.8,38.80000000000001,30,2.6799999999999997,9,0,0.0,0,0,13.323333333333332,34.49666666666667,-3.3026034482758604
2000-10-01,50.24516129032258,457.40000000000003,0.0,31,2.4699999999999998,7,0,0.0,0,1,12.941935483870967,41.0258064516129,-1.897580645161291
2000-11-01,40.65333333333333,730.4,0.0,30,3.68,9,1,0.0,0,10,12.17,56.76,-0.5848333333333358
2000-12-01,25.396774193548385,1227.6999999999996,0.0,31,2.45,7,1,0.0,0,30,15.687096774193549,42.7,-5.683548387096778
2001-01-01,24.425806451612903,1257.8,0.0,31,1.8900000000000001,11,0,0.0,0,31,11.583870967741936,47.403225806451616,-1.0233870967741936
2001-02-01,27.539285714285715,1048.9,0.0,28,1.76,8,0,0.0,0,27,15.664285714285715,45.353571428571435,-0.5128633004926115
2001-03-01,32.79032258064516,998.5000000000001,0.0,31,5.8100000000000005,11,2,0.0,0,23,15.051612903225807,58.25483870967742,-3.2533870967741976
2001-04-01,47.13333333333333,540.6999999999999,4.699999999999989,30,0.8400000000000001,5,0,0.0,0,7,15.270000000000001,37.88,-1.0318333333333314
2001-05-01,59.038709677419355,226.70000000000002,41.900000000000006,31,1.81,10,1,0.0,2,1,15.061290322580644,46.938709677419354,0.1817741935483852
2001-06-01,69.58,32.2,169.6,30,5.54,10,2,0.0,2,0,12.473333333333333,37.11,2.008499999999998
2001-07-01,69.36451612903227,8.20000000000001,143.5,31,2.55,6,0,0.0,3,0,13.138709677419355,34.24193548387097,-4.0640322580645005
2001-08-01,73.43548387096774,0.09999999999999432,261.6,31,2.0,6,0,0.0,5,0,11.606451612903227,30.44193548387097,1.4392043010752644
2001-09-01,63.266666666666666,101.30000000000001,49.30000000000001,30,3.13,7,1,0.0,0,0,12.476666666666667,33.693333333333335,-1.269270114942529
2001-10-01,52.4741935483871,394.2,5.900000000000006,31,0.96,6,0,0.0,0,5,13.341935483870968,31.60967741935484,0.3314516129032299
2001-11-01,44.02333333333333,629.3,0.0,30,1.12,8,0,0.0,0,12,12.273333333333333,44.059999999999995,2.785166666666669
2001-12-01,35.34193548387096,919.3999999999999,0.0,31,1.87,9,0,0.0,0,22,12.46774193548387,39.75483870967742,4.261612903225799
2002-01-01,32.5258064516129,1006.6999999999999,0.0,31,2.31,12,0,0.0,0,27,13.12258064516129,46.725806451612904,7.076612903225804
2002-02-01,31.50714285714286,937.7999999999998,0.0,28,1.1400000000000001,5,0,0.0,0,26,14.271428571428572,39.074999999999996,3.4549938423645337
