date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,31.70967741935484,1032.0,0.0,31,3.09,14,0,28.75,0,25,18.27741935483871,37.170967741935485,-2.4261290322580678
2000-02-01,37.310344827586206,802.9999999999999,0.0,29,2.44,8,0,15.35,0,21,16.56206896551724,35.97586206896552,1.2733312807881774
2000-03-01,46.99032258064516,558.3,0.0,31,5.64,8,2,0.0,0,8,18.616129032258065,34.89354838709678,4.1306451612903246
2000-04-01,50.69666666666667,429.09999999999997,0.0,30,3.44,14,0,0.0,0,3,17.44,55.236666666666665,-1.7853333333333339
2000-05-01,62.49354838709677,148.5,70.79999999999998,31,4.59,16,0,0.0,1,1,15.667741935483871,38.68387096774194,0.617903225806451
2000-06-01,71.66333333333334,27.10000000000001,227.00000000000006,30,6.21,15,2,0.0,4,0,14.196666666666665,35.72666666666667,0.38433333333334474
2000-07-01,71.74193548387096,0.0,209.0,31,10.3,17,3,0.0,0,0,12.370967741935484,41.68709677419355,-3.9917741935483946
2000-08-01,71.96451612903226,4.299999999999997,220.2,31,10.05,19,2,0.0,1,0,12.096774193548388,39.45483870967742,-3.261612903225796
2000-09-01,65.24333333333333,99.19999999999999,106.5,30,8.08,11,3,0.0,0,0,12.396666666666667,40.413333333333334,-3.745500000000007
2000-10-01,55.648387096774194,302.3,12.400000000000006,31,0.22,4,0,0.0,0,1,13.603225806451613,21.067741935483873,-2.8072580645161267
2000-11-01,43.95,631.4999999999999,0.0,30,4.61,9,2,0.0,0,12,15.129999999999999,35.87,-3.9593333333333334
2000-12-01,30.306451612903224,1075.5,0.0,31,2.41,9,0,22.05,0,28,16.403225806451612,33.41290322580645,-9.281935483870967
2001-01-01,32.0,1023.0000000000001,0.0,31,3.8400000000000003,15,1,61.84,0,23,14.97741935483871,38.61612903225806,-2.1358064516129076
2001-02-01,36.885714285714286,787.2,0.0,28,4.0,12,1,20.48,0,17,17.317857142857143,37.846428571428575,0.8487007389162571
2001-03-01,39.858064516129026,779.4,0.0,31,6.52,17,3,3.15,0,18,18.92258064516129,50.90967741935484,-3.001612903225812
2001-04-01,52.88333333333333,377.4,13.899999999999977,30,3.26,18,0,0.0,0,3,15.816666666666666,39.230000000000004,0.40133333333332644
2001-05-01,62.041935483870965,131.10000000000002,39.39999999999999,31,2.0,13,0,0.0,0,0,14.838709677419354,39.95161290322581,0.16629032258064314
2001-06-01,72.94,6.5,244.7,30,5.87,14,1,0.0,2,0,13.479999999999999,32.67666666666666,1.6610000000000014
2001-07-01,72.19999999999999,0.0,223.19999999999996,31,4.66,12,1,0.0,4,0,14.393548387096773,29.56451612903226,-3.533709677419367
