date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,29.970967741935485,1085.9,0.0,31,2.37,7,0,0.0,0,24,17.983870967741936,42.89032258064516,-1.9437096774193563
2000-02-01,35.813793103448276,846.4000000000002,0.0,29,1.59,8,0,13.79,0,22,15.744827586206897,47.08275862068966,1.5259852216748797
2000-03-01,46.11290322580645,585.5,0.0,31,3.02,8,1,0.0,0,7,16.26451612903226,46.21612903225807,4.413387096774187
2000-04-01,50.25,442.5,0.0,30,3.3200000000000003,10,1,0.0,0,1,15.893333333333334,59.833333333333336,-2.7095000000000056
2000-05-01,62.483870967741936,145.9,67.89999999999999,31,4.1899999999999995,13,0,0.0,2,0,14.190322580645162,53.41612903225807,-0.4901612903225825
2000-06-01,71.14666666666668,33.400000000000006,217.8,30,4.17,12,1,0.0,3,0,13.686666666666667,50.15333333333333,-0.8733333333333348
2000-07-01,72.26774193548388,0.0,225.3,31,5.91,11,2,0.0,0,0,12.654838709677419,55.24516129032258,-5.0998387096774
2000-08-01,72.8967741935484,0.7000000000000028,245.5,31,3.4,11,0,0.0,1,0,11.703225806451613,59.86451612903225,-2.9022580645161185
2000-09-01,66.22,87.9,124.50000000000004,30,4.98,12,1,0.0,0,0,12.34,46.7,-2.8859999999999957
2000-10-01,55.68709677419355,292.59999999999997,3.8999999999999915,31,0.71,6,0,0.0,0,0,12.600000000000001,37.25483870967742,-1.6872580645161293
2000-11-01,44.766666666666666,606.9999999999999,0.0,30,3.5300000000000002,7,2,0.0,0,8,14.106666666666666,47.29666666666667,-2.0575000000000045
2000-12-01,30.53548387096774,1068.3999999999999,0.0,31,2.91,6,0,27.16,0,27,15.7,43.15161290322581,-7.085322580645158
2001-01-01,31.23225806451613,1046.8,0.0,31,2.57,9,0,113.66,0,25,12.432258064516128,44.87096774193548,-0.6824193548387107
2001-02-01,34.96071428571428,841.0999999999999,0.0,28,1.4300000000000002,5,0,9.25,0,21,15.799999999999999,52.853571428571435,0.6729064039408854
2001-03-01,38.96774193548387,807.0,0.0,31,6.88,14,4,4.72,0,13,16.480645161290322,58.03225806451613,-2.7317741935483895
2001-04-01,52.516666666666666,382.59999999999997,8.099999999999994,30,1.81,9,0,0.0,0,0,13.643333333333334,48.13666666666666,-0.44283333333333985
2001-05-01,62.91612903225807,134.5,69.90000000000002,31,2.3,7,0,0.0,2,0,13.87741935483871,48.18387096774194,-0.05790322580644869
2001-06-01,73.05666666666666,6.5,248.20000000000002,30,4.1899999999999995,7,1,0.0,3,0,13.21,42.580000000000005,1.0366666666666475
2001-07-01,73.17096774193548,0.7000000000000028,254.00000000000006,31,1.65,7,0,0.0,2,0,13.564516129032258,40.65806451612904,-4.196612903225798
2001-08-01,77.0516129032258,0.0,373.6,31,3.28,10,0,0.0,6,0,12.625806451612904,44.354838709677416,1.252580645161288
2001-09-01,66.13333333333334,67.5,101.49999999999999,30,4.93,8,2,0.0,0,0,12.45,37.12,-2.9726666666666546
2001-10-01,56.829032258064515,267.4,14.099999999999994,31,0.7000000000000001,5,0,0.0,0,0,14.661290322580646,30.848387096774193,-0.5453225806451627
2001-11-01,50.65,430.50000000000006,0.0,30,1.16,8,0,0.0,0,5,14.413333333333334,37.76,3.8258333333333283
2001-12-01,42.019354838709674,712.3999999999999,0.0,31,2.38,9,0,0.0,0,12,13.929032258064517,47.622580645161285,4.398548387096774
2002-01-01,38.141935483870974,832.6,0.0,31,1.8,10,0,0.0,0,16,14.493548387096775,50.29677419354839,6.227258064516132
2002-02-01,39.107142857142854,724.9999999999999,0.0,28,0.77,6,0,0.0,0,16,16.65357142857143,40.50714285714286,4.819334975369458
2002-03-01,43.33870967741935,671.5000000000001,0.0,31,3.68,10,0,0.0,0,12,16.80322580645161,56.81612903225806,1.639193548387091
2002-04-01,54.63333333333333,365.09999999999997,54.099999999999994,30,5.18,13,2,0.0,1,3,16.25,48.21333333333334,1.6738333333333273
2002-05-01,59.725806451612904,203.29999999999998,39.79999999999998,31,5.15,9,2,0.0,0,0,15.583870967741936,47.81290322580645,-3.2482258064516145
2002-06-01,71.21666666666667,25.900000000000013,212.39999999999998,30,4.390000000000001,10,1,0.0,4,0,13.46,44.20666666666667,-0.8033333333333417
2002-07-01,78.1032258064516,0.0,406.2,31,1.6500000000000001,3,1,0.0,12,0,13.158064516129034,36.97096774193548,0.7356451612903214
2002-08-01,76.49032258064516,3.200000000000003,359.3999999999999,31,5.09,7,3,0.0,11,0,12.616129032258065,36.141935483870974,0.6912903225806417
2002-09-01,69.40666666666667,17.400000000000006,149.60000000000002,30,5.56,8,3,0.0,1,0,12.47,36.45333333333333,0.30066666666667174
2002-10-01,55.012903225806454,341.09999999999997,31.5,31,4.93,10,3,0.0,0,0,13.006451612903225,53.75806451612903,-2.361451612903224
2002-11-01,44.66,610.9000000000001,0.7000000000000028,30,4.83,11,1,0.0,0,6,14.503333333333334,55.29666666666667,-2.1641666666666737
2002-12-01,34.3,951.6999999999999,0.0,31,3.67,10,1,31.02,0,22,15.970967741935485,52.648387096774194,-3.3208064516129028
2003-01-01,26.661290322580644,1188.5,0.0,31,3.36,8,1,0.0,0,29,15.364516129032259,55.803225806451614,-5.253387096774198
2003-02-01,28.67142857142857,1017.1999999999999,0.0,28,2.8000000000000003,10,1,26.380000000000003,0,23,15.285714285714286,56.09285714285714,-5.616379310344826
2003-03-01,41.406451612903226,731.4,0.0,31,4.16,10,1,11.42,0,14,15.219354838709679,46.18387096774194,-0.2930645161290357
2003-04-01,48.71666666666667,493.7,5.200000000000003,30,2.43,10,0,0.0,0,3,15.35,50.60333333333333,-4.242833333333337
2003-05-01,58.03548387096774,218.79999999999998,2.8999999999999915,31,4.21,13,1,0.0,0,0,13.103225806451613,61.44516129032258,-4.93854838709678
2003-06-01,68.42333333333333,48.199999999999996,150.9,30,8.23,11,2,0.0,4,0,12.229999999999999,55.12,-3.5966666666666782
2003-07-01,76.13870967741936,0.0,345.29999999999995,31,1.65,10,0,0.0,3,0,13.245161290322581,36.63870967741936,-1.2288709677419263
