date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,31.07741935483871,1051.6000000000001,0.0,31,1.77,8,0,0.0,0,22,19.638709677419353,32.248387096774195,-1.3735144312393857
2000-02-01,36.16206896551724,836.3,0.0,29,1.03,8,0,0.0,0,20,18.406896551724138,33.5551724137931,1.3236159031531045
2000-03-01,45.86129032258064,593.3000000000001,0.0,31,2.74,6,0,0.0,0,12,19.741935483870968,39.141935483870974,4.16757215619694
2000-04-01,50.059999999999995,448.19999999999993,0.0,30,2.83,12,0,0.0,0,1,19.066666666666666,48.51,-2.203202475685245
2000-05-01,61.432258064516134,175.8,65.19999999999999,31,2.56,8,0,0.0,2,0,16.519354838709678,43.538709677419355,-0.26375979008014383
2000-06-01,70.60333333333332,40.2,208.3,30,2.04,6,0,0.0,5,0,15.323333333333332,34.906666666666666,-0.07894202898552294
2000-07-01,70.93333333333334,0.7000000000000028,160.89999999999998,27,5.33,8,2,0.0,1,0,13.103703703703705,46.17777777777778,-4.779447177775879
2000-08-01,71.17096774193548,5.1000000000000085,196.39999999999998,31,0.75,4,0,0.0,1,0,12.48709677419355,46.95483870967742,-2.9071340007415643
2000-09-01,66.46538461538461,63.6,101.70000000000002,26,4.04,5,1,0.0,0,0,12.165384615384616,55.05769230769231,-1.3112147558699405
2000-10-01,55.99032258064516,292.90000000000003,13.600000000000009,31,0.0,0,0,0.0,0,1,12.667741935483871,35.65483870967742,-0.57642546640934
2000-11-01,45.50833333333333,467.79999999999995,0.0,24,0.53,1,0,0.0,0,10,13.191666666666668,58.574999999999996,-0.9494499999999988
2000-12-01,28.56,911.0,0.0,25,0.26,1,0,0.0,0,21,13.084000000000001,40.448,-9.279688172043013
2001-01-01,31.032258064516128,1053.0,0.0,31,1.32,4,0,0.0,0,26,15.003225806451614,37.987096774193546,-1.4186757215619679
2001-02-01,36.49230769230769,741.1999999999999,0.0,26,0.02,1,0,0.0,0,17,18.373076923076923,58.09615384615385,1.6538546299435524
2001-03-01,38.854838709677416,810.5000000000001,0.0,31,5.5,7,1,0.0,0,16,20.799999999999997,54.483870967741936,-2.8388794567062874
2001-04-01,52.04666666666667,404.99999999999994,16.39999999999999,30,1.57,10,0,0.0,0,3,17.10666666666667,18.733333333333334,-0.2165358090185734
2001-05-01,61.36774193548387,167.2,54.60000000000001,31,0.62,8,0,0.0,1,0,16.20967741935484,48.141935483870974,-0.32827591911240717
2001-06-01,71.61,8.199999999999996,206.5,30,2.79,13,1,0.0,3,0,15.096666666666668,41.36,0.9277246376811519
2001-07-01,71.47741935483872,1.5,202.29999999999995,31,0.0,0,0,0.0,2,0,15.335483870967742,37.306451612903224,-4.2353611562705
2001-08-01,75.68620689655172,0.0,309.9,29,0.66,3,0,0.0,4,0,13.089655172413794,34.210344827586205,1.608105153874675
2001-09-01,65.03,79.39999999999999,80.3,30,1.81,6,0,0.0,0,0,13.88,14.853333333333333,-2.746599371254547
2001-10-01,56.50645161290323,279.8,16.499999999999986,31,1.61,3,1,0.0,0,2,16.19677419354839,22.812903225806455,-0.060296434151275946
2001-11-01,50.79,426.9,0.5999999999999943,30,0.13,1,0,0.0,0,3,15.66,28.526666666666664,4.3322166666666675
