date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,30.074193548387097,1082.6999999999998,0.0,31,2.95,10,0,0.0,0,24,16.23548387096774,41.67741935483871,-1.2217741935483843
2000-02-01,35.800000000000004,846.8,0.0,29,2.39,12,0,13.79,0,22,14.168965517241379,46.293103448275865,2.108115763546806
2000-03-01,46.10322580645161,585.8,0.0,31,3.35,10,1,0.0,0,7,14.812903225806451,43.55483870967742,4.8116129032258
2000-04-01,49.96666666666667,451.0,0.0,30,3.6,10,1,0.0,0,3,14.433333333333334,57.95,-2.6685000000000016
2000-05-01,62.11612903225806,154.5,65.1,31,4.1499999999999995,13,0,0.0,3,0,12.97741935483871,49.86774193548387,-0.46112903225807145
2000-06-01,70.62333333333332,36.5,205.20000000000005,30,4.94,16,1,0.0,3,0,12.436666666666667,45.96333333333334,-0.8871666666666869
2000-07-01,71.67096774193548,0.0,206.8,31,7.81,12,3,0.0,0,0,11.62258064516129,49.74193548387097,-5.077741935483871
2000-08-01,71.97419354838709,2.5,218.69999999999996,31,5.84,17,1,0.0,1,0,10.654838709677419,53.803225806451614,-3.149516129032264
2000-09-01,65.21,102.40000000000002,108.7,30,6.09,14,2,0.0,0,0,11.316666666666666,41.19666666666667,-3.146000000000001
2000-10-01,54.78064516129032,319.3,2.5,31,0.73,8,0,0.0,0,0,11.37741935483871,33.400000000000006,-1.8280645161290323
2000-11-01,43.763333333333335,637.1000000000001,0.0,30,3.75,7,2,0.0,0,8,12.713333333333333,45.90333333333333,-2.3533333333333317
2000-12-01,29.806451612903224,1090.9999999999998,0.0,31,3.5700000000000003,7,2,27.16,0,30,14.458064516129031,41.012903225806454,-7.112096774193553
2001-01-01,30.42258064516129,1071.8999999999999,0.0,31,3.57,16,0,113.66,0,25,11.141935483870967,42.36451612903225,-0.8733870967741915
