date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,49.91290322580645,467.69999999999993,0.0,31,0.0,0,0,0.0,0,6,17.98709677419355,36.81612903225806,5.898387096774194
2000-02-01,54.45172413793103,306.29999999999995,0.4000000000000057,29,0.03,1,0,0.0,0,4,20.303448275862067,40.91379310344828,5.721336206896545
2000-03-01,58.229032258064514,216.79999999999998,6.900000000000006,31,0.06,1,0,0.0,0,0,20.351612903225806,41.81612903225806,1.863064516129036
2000-04-01,69.31,51.50000000000001,180.79999999999998,30,0.28,2,0,0.0,6,0,21.596666666666668,32.42666666666666,4.9338333333333395
2000-05-01,80.23870967741935,1.0,473.40000000000003,31,0.0,0,0,0.0,21,0,19.467741935483872,27.95483870967742,7.609999999999999
2000-06-01,80.15,0.0,454.5,30,2.45,8,0,0.0,17,0,19.85666666666667,56.14666666666667,-1.798333333333332
2000-07-01,84.3741935483871,0.0,600.5999999999999,31,1.55,3,1,0.0,27,0,17.05806451612903,60.57419354838709,2.59854838709677
2000-08-01,81.53225806451613,0.0,512.5,31,0.71,5,0,0.0,25,0,14.46774193548387,50.47741935483871,1.6583870967741916
2000-09-01,79.37666666666668,2.8999999999999986,434.20000000000005,30,0.0,0,0,0.0,17,0,14.756666666666666,32.39666666666667,4.973833333333346
2000-10-01,62.4741935483871,151.7,73.39999999999999,31,0.84,10,0,0.0,4,0,14.496774193548386,57.20322580645161,-1.4120967741935502
2000-11-01,46.39666666666667,558.1,0.0,30,0.92,4,0,0.0,0,10,15.576666666666666,45.943333333333335,-4.94383333333333
2000-12-01,43.26774193548387,673.6999999999999,0.0,31,0.42,3,0,0.0,0,18,14.90967741935484,40.9483870967742,-0.027096774193552164
2001-01-01,42.0,713.0,0.0,31,0.05,1,0,0.0,0,19,15.90967741935484,51.99677419354839,-2.014516129032259
2001-02-01,50.471428571428575,406.79999999999995,0.0,28,0.25,2,0,0.0,0,6,16.985714285714288,56.35,1.7410406403940897
2001-03-01,55.4483870967742,301.9,5.800000000000011,31,0.46,2,0,0.0,0,3,18.996774193548386,44.21935483870968,-0.91758064516128
2001-04-01,64.4,95.30000000000001,77.29999999999995,30,0.02,1,0,0.0,0,0,21.03666666666667,39.74,0.02383333333334292
2001-05-01,77.03225806451613,0.0,373.0,31,0.18,1,0,0.0,15,0,21.461290322580645,46.12580645161291,4.403548387096777
2001-06-01,83.60333333333332,0.0,558.1000000000001,30,0.3,3,0,0.0,26,0,19.1,45.24333333333333,1.654999999999987
2001-07-01,83.98387096774194,0.0,588.5,31,0.36,4,0,0.0,29,0,18.387096774193548,62.34838709677419,2.2082258064516083
2001-08-01,79.43870967741935,0.0,447.6,31,1.93,11,0,0.0,19,0,15.974193548387097,46.99032258064516,-0.43516129032258277
2001-09-01,74.48333333333333,0.0,284.5,30,0.8500000000000001,5,0,0.0,6,0,14.586666666666668,25.823333333333334,0.08050000000000068
2001-10-01,66.38709677419355,27.200000000000003,70.20000000000002,31,0.08,1,0,0.0,0,0,15.038709677419355,28.81935483870968,2.5008064516129025
2001-11-01,51.99,392.30000000000007,2.0,30,0.52,4,0,0.0,0,7,15.046666666666665,44.12,0.6495000000000033
2001-12-01,40.748387096774195,751.8000000000001,0.0,31,0.19,2,0,0.0,0,25,14.419354838709678,33.099999999999994,-2.546451612903226
2002-01-01,43.693548387096776,660.4999999999999,0.0,31,0.15,2,0,0.0,0,17,16.664516129032258,32.05483870967742,-0.3209677419354833
2002-02-01,45.31071428571429,551.3,0.0,28,1.33,4,0,0.0,0,14,15.646428571428572,31.05,-3.419673645320195
2002-03-01,54.21612903225807,337.2,2.9000000000000057,31,0.0,0,0,0.0,0,4,19.596774193548388,26.851612903225806,-2.149838709677411
2002-04-01,67.4,24.099999999999994,96.09999999999997,30,0.0,0,0,0.0,0,0,20.863333333333333,31.55666666666667,3.023833333333343
2002-05-01,72.64193548387097,1.8999999999999986,238.80000000000004,31,0.06,1,0,0.0,4,0,19.596774193548388,24.14516129032258,0.013225806451615085
2002-06-01,83.14333333333335,0.0,544.3,30,0.35,3,0,0.0,27,0,16.833333333333332,19.34,1.1950000000000074
2002-07-01,79.62258064516129,0.0,453.3,31,1.87,12,0,0.0,20,0,16.37741935483871,38.02903225806452,-2.153064516129035
2002-08-01,83.21935483870968,0.0,564.8000000000001,31,0.9,6,0,0.0,26,0,15.893548387096773,52.00645161290323,3.3454838709677404
2002-09-01,76.72666666666667,0.0,351.79999999999995,30,0.6300000000000001,4,0,0.0,10,0,15.196666666666667,39.806666666666665,2.32383333333334
2002-10-01,63.064516129032256,113.60000000000001,53.59999999999998,31,1.53,11,0,0.0,0,0,13.980645161290322,44.622580645161285,-0.8217741935483929
2002-11-01,51.84,395.3999999999999,0.5999999999999943,30,0.08,2,0,0.0,0,3,15.03,37.306666666666665,0.4995000000000047
2002-12-01,43.274193548387096,673.5000000000001,0.0,31,1.91,7,0,1.97,0,13,13.96774193548387,42.877419354838715,-0.02064516129032512
2003-01-01,48.37419354838709,515.4,0.0,31,0.0,0,0,0.0,0,7,12.72258064516129,36.53548387096774,4.359677419354831
2003-02-01,49.074999999999996,445.90000000000003,0.0,28,1.51,6,0,1.18,0,4,17.664285714285715,50.246428571428574,0.34461206896551033
2003-03-01,54.76129032258064,320.09999999999997,2.700000000000003,31,0.22999999999999998,4,0,0.0,0,1,17.38064516129032,43.593548387096774,-1.6046774193548359
2003-04-01,64.22333333333333,91.4,68.1,30,0.02,1,0,0.0,0,0,20.933333333333334,31.57,-0.1528333333333336
2003-05-01,75.37741935483871,0.0,321.7,31,0.0,0,0,0.0,13,0,18.348387096774193,27.783870967741933,2.748709677419356
2003-06-01,81.24333333333334,0.0,487.3,30,0.61,5,0,0.0,26,0,20.333333333333332,29.073333333333334,-0.7049999999999983
2003-07-01,84.75161290322582,0.0,612.2999999999998,31,0.6699999999999999,4,0,0.0,29,0,16.003225806451614,38.28387096774193,2.9759677419354915
2003-08-01,83.0516129032258,0.0,559.5999999999999,31,0.71,5,0,0.0,23,0,14.906451612903224,31.916129032258063,3.1777419354838656
2003-09-01,76.94333333333334,0.0,358.29999999999995,30,0.15,4,0,0.0,13,0,14.196666666666665,33.3,2.5405000000000086
2003-10-01,67.99032258064516,38.199999999999996,130.9,31,0.46,6,0,0.0,0,0,12.890322580645162,35.89354838709678,4.104032258064507
2003-11-01,54.20666666666667,334.2,10.400000000000006,30,0.73,3,0,0.0,0,3,15.979999999999999,39.65,2.866166666666672
2003-12-01,43.512903225806454,666.0999999999999,0.0,31,0.01,0,0,0.0,0,18,15.470967741935485,35.23225806451613,0.21806451612903288
2004-01-01,46.599999999999994,570.3999999999999,0.0,31,0.35000000000000003,3,0,0.0,0,8,14.887096774193548,51.27096774193548,2.5854838709677352
2004-02-01,45.51379310344828,565.0999999999999,0.0,29,0.05,2,0,0.0,0,14,16.73103448275862,50.106896551724134,-3.2165948275862064
2004-03-01,60.18709677419355,191.9,42.7,31,0.8099999999999999,3,0,0.0,0,0,17.596774193548388,52.016129032258064,3.821129032258071
2004-04-01,63.64333333333333,106.1,65.39999999999999,30,1.21,6,0,0.0,0,0,19.136666666666667,51.269999999999996,-0.7328333333333319
2004-05-01,76.02903225806452,7.200000000000003,349.09999999999997,31,0.5,1,0,0.0,14,0,19.116129032258065,28.638709677419353,3.4003225806451667
2004-06-01,80.74333333333334,0.0,472.30000000000007,30,1.5100000000000002,4,0,0.0,23,0,18.633333333333333,24.34,-1.2049999999999983
2004-07-01,82.97741935483872,0.0,557.3,31,1.7000000000000002,6,1,0.0,26,0,15.861290322580645,38.73870967741936,1.2017741935483883
2004-08-01,78.88709677419355,0.0,430.5,31,1.86,7,0,0.0,17,0,16.032258064516128,45.1741935483871,-0.9867741935483849
2004-09-01,73.96000000000001,5.399999999999999,274.2,30,0.7400000000000001,6,0,0.0,8,0,14.343333333333334,43.480000000000004,-0.44283333333332564
2004-10-01,65.64838709677419,49.4,69.49999999999999,31,0.44,3,0,0.0,0,0,16.348387096774193,54.61612903225806,1.7620967741935374
2004-11-01,50.13333333333333,445.99999999999994,0.0,30,2.0,7,0,0.0,0,2,16.333333333333332,51.763333333333335,-1.2071666666666658
2004-12-01,43.78387096774193,657.7,0.0,31,0.38,4,0,1.18,0,11,15.17741935483871,39.38709677419355,0.4890322580645119
2005-01-01,48.251612903225805,519.1999999999999,0.0,31,0.78,7,0,0.0,0,5,13.648387096774194,55.667741935483875,4.237096774193546
2005-02-01,49.364285714285714,437.8,0.0,28,1.6500000000000001,10,0,0.0,0,1,16.639285714285716,62.232142857142854,0.6338977832512285
2005-03-01,54.50967741935484,325.20000000000005,0.0,31,0.08,3,0,0.0,0,3,19.46451612903226,41.79677419354839,-1.8562903225806409
2005-04-01,64.80333333333333,73.79999999999998,67.89999999999999,30,0.06,1,0,0.0,0,2,21.509999999999998,33.18666666666667,0.4271666666666647
2005-05-01,73.96451612903226,11.000000000000007,288.8999999999999,31,2.01,5,0,0.0,7,0,16.60967741935484,32.825806451612905,1.3358064516129105
2005-06-01,82.56666666666666,0.0,526.9999999999999,30,0.0,0,0,0.0,25,0,16.343333333333334,19.086666666666666,0.6183333333333252
2005-07-01,85.85806451612903,0.0,646.5999999999999,31,0.83,6,0,0.0,27,0,15.596774193548388,23.654838709677417,4.082419354838706
2005-08-01,79.3483870967742,0.0,444.8,31,5.7299999999999995,10,1,0.0,17,0,13.745161290322581,40.619354838709675,-0.525483870967733
2005-09-01,77.68333333333334,0.0,380.50000000000006,30,2.79,8,2,0.0,14,0,14.716666666666667,32.123333333333335,3.2805000000000035
2005-10-01,64.56129032258065,74.89999999999999,61.30000000000001,31,2.01,7,0,0.0,0,0,13.422580645161291,36.52903225806452,0.6749999999999972
2005-11-01,56.059999999999995,281.00000000000006,12.799999999999997,30,0.0,0,0,0.0,0,2,15.233333333333333,31.493333333333332,4.7194999999999965
2005-12-01,48.37096774193548,515.4999999999999,0.0,31,0.0,0,0,0.0,0,10,15.461290322580645,43.28064516129032,5.076129032258059
2006-01-01,49.65483870967742,475.7,0.0,31,0.02,1,0,0.0,0,9,17.958064516129035,39.10322580645161,5.640322580645162
2006-02-01,52.721428571428575,344.5,0.7000000000000028,28,0.27,4,0,0.0,0,5,18.3,49.44285714285714,3.9910406403940897
