date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,40.487096774193546,759.9,0.0,31,0.24,3,0,0.0,0,19,14.319354838709678,49.190322580645166,3.0585483870967707
2000-02-01,45.36551724137931,569.3999999999999,0.0,29,0.34,2,0,1.18,0,10,16.620689655172413,54.96896551724138,3.256644088669951
2000-03-01,47.751612903225805,534.7,0.0,31,1.2,6,0,0.0,0,6,21.112903225806452,52.78387096774193,-2.488064516129029
2000-04-01,59.190000000000005,185.4,11.099999999999994,30,0.0,0,0,0.0,0,1,22.153333333333332,36.95,1.211500000000008
2000-05-01,71.4,26.599999999999994,225.0,31,0.07,1,0,0.0,7,0,19.864516129032257,39.34838709677419,4.4988709677419365
2000-06-01,75.83,0.0,324.8999999999999,30,0.61,5,0,0.0,9,0,22.523333333333333,53.96333333333334,-1.7323333333333295
2000-07-01,79.00645161290322,0.0,434.2,31,0.85,8,0,0.0,23,0,20.551612903225806,61.34516129032258,0.1577419354838696
2000-08-01,77.79032258064517,0.0,396.5,31,0.49,4,0,0.0,13,0,18.651612903225807,57.52903225806452,1.3270967741935493
2000-09-01,72.91000000000001,16.9,254.2,30,0.37,3,0,0.0,6,0,18.553333333333335,38.21666666666667,2.3726666666666745
2000-10-01,55.28064516129032,324.99999999999994,23.700000000000003,31,2.48,8,0,0.0,0,0,16.212903225806453,58.987096774193546,-3.2630645161290346
2000-11-01,39.46,766.1999999999999,0.0,30,0.87,4,0,0.0,0,15,14.703333333333335,45.916666666666664,-6.525333333333336
2000-12-01,37.15483870967742,863.1999999999999,0.0,31,0.25,2,0,5.91,0,21,15.693548387096774,46.041935483870965,0.1606451612903257
2001-01-01,33.49677419354839,976.6,0.0,31,0.25,4,0,2.36,0,29,17.97741935483871,48.60645161290322,-3.931774193548385
2001-02-01,42.83571428571429,620.6,0.0,28,0.27,4,0,0.0,0,11,16.425,51.54642857142857,0.7268411330049318
2001-03-01,48.71290322580645,504.90000000000003,0.0,31,0.27,4,0,0.0,0,2,18.516129032258064,56.55483870967742,-1.526774193548384
2001-04-01,57.95666666666667,218.2,6.900000000000006,30,0.51,3,0,0.0,0,0,21.623333333333335,47.43333333333333,-0.021833333333326266
2001-05-01,69.21290322580644,37.1,167.70000000000005,31,0.3,3,0,0.0,3,0,22.948387096774194,50.79354838709677,2.3117741935483735
2001-06-01,77.14333333333335,2.3999999999999986,366.7000000000001,30,0.25,6,0,0.0,17,0,20.223333333333336,45.54,-0.4189999999999827
2001-07-01,78.80322580645162,0.0,427.9000000000001,31,1.25,7,0,0.0,20,0,18.85483870967742,69.48709677419355,-0.04548387096772899
2001-08-01,74.81290322580645,0.0,304.1999999999999,31,1.3900000000000001,9,0,0.0,5,0,19.809677419354838,68.7290322580645,-1.6503225806451667
2001-09-01,72.00333333333333,1.8999999999999986,212.00000000000006,30,0.5,4,0,0.0,1,0,17.2,43.580000000000005,1.465999999999994
2001-10-01,61.067741935483866,132.00000000000003,10.099999999999994,31,0.09999999999999999,1,0,0.0,0,0,16.638709677419353,50.63870967741936,2.5240322580645085
2001-11-01,47.943333333333335,511.7,0.0,30,0.6799999999999999,4,0,0.0,0,6,17.073333333333334,58.43666666666666,1.9579999999999984
2001-12-01,36.31935483870968,889.1000000000001,0.0,31,0.25,4,0,0.0,0,27,15.16451612903226,43.770967741935486,-0.6748387096774167
2002-01-01,37.04838709677419,866.5,0.0,31,0.35,4,0,3.15,0,21,14.899999999999999,52.21935483870968,-0.38016129032258306
2002-02-01,40.489285714285714,686.3,0.0,28,0.07,1,0,0.0,0,19,17.75,42.80714285714286,-1.6195874384236433
2002-03-01,48.34838709677419,516.1999999999999,0.0,31,0.0,0,0,0.0,0,13,21.48709677419355,42.82258064516129,-1.8912903225806446
2002-04-01,62.89333333333333,90.1,26.89999999999999,30,0.31,2,0,0.0,0,0,22.78666666666667,54.29333333333333,4.914833333333334
2002-05-01,68.66129032258064,18.6,132.09999999999997,31,0.02,1,0,0.0,2,0,20.95483870967742,42.00322580645161,1.7601612903225714
2002-06-01,79.47,0.0,434.1,30,0.18,2,0,0.0,24,0,23.573333333333334,40.01,1.907666666666671
2002-07-01,77.53225806451613,0.0,388.50000000000006,31,0.8300000000000001,6,0,0.0,13,0,22.029032258064515,62.06774193548387,-1.3164516129032222
2002-08-01,77.35161290322581,0.0,382.9,31,1.54,5,0,0.0,12,0,19.46451612903226,53.648387096774194,0.8883870967741956
2002-09-01,68.93333333333334,16.799999999999997,134.8,30,1.55,7,0,0.0,2,0,16.39,51.04666666666667,-1.6039999999999992
2002-10-01,56.809677419354834,256.1,2.200000000000003,31,0.54,5,0,0.0,0,0,18.26774193548387,48.5,-1.7340322580645235
2002-11-01,44.769999999999996,606.9000000000001,0.0,30,0.49,3,0,0.0,0,6,16.59,44.019999999999996,-1.2153333333333407
2002-12-01,36.53548387096774,882.3999999999999,0.0,31,0.34,1,0,0.0,0,24,13.983870967741936,51.38709677419355,-0.45870967741935686
2003-01-01,43.803225806451614,657.1,0.0,31,0.0,0,0,0.0,0,12,15.312903225806451,34.79032258064516,6.374677419354839
2003-02-01,40.90714285714286,674.6,0.0,28,0.98,7,0,1.97,0,14,18.135714285714286,62.025,-1.2017302955664988
2003-03-01,47.858064516129026,531.4,0.0,31,1.43,6,0,0.0,0,7,16.361290322580643,47.49354838709677,-2.3816129032258075
2003-04-01,57.230000000000004,236.2,3.0999999999999943,30,0.0,0,0,0.0,0,0,21.77,43.10666666666667,-0.7484999999999928
2003-05-01,67.95806451612903,47.49999999999999,139.2,31,0.09,2,0,0.0,0,0,21.858064516129033,51.02903225806452,1.0569354838709586
2003-06-01,74.47333333333333,0.0,284.2,30,0.19999999999999998,2,0,0.0,9,0,23.066666666666666,45.41,-3.0889999999999986
2003-07-01,83.6258064516129,0.0,577.4000000000001,31,0.41000000000000003,2,0,0.0,26,0,20.677419354838708,50.332258064516125,4.777096774193552
2003-08-01,77.51935483870967,0.0,388.1,31,0.64,5,0,0.0,15,0,20.4741935483871,61.248387096774195,1.056129032258056
2003-09-01,70.4,3.3999999999999986,165.4,30,0.3,3,0,0.0,0,0,20.209999999999997,39.45333333333333,-0.13733333333333064
