date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,34.66451612903226,940.4000000000001,0.0,31,0.35,3,0,0.0,0,28,16.806451612903224,21.370967741935484,3.249032258064517
2000-02-01,39.658620689655166,734.8999999999999,0.0,29,0.02,0,0,0.0,0,24,20.186206896551724,18.872413793103448,4.075837438423633
2000-03-01,42.31935483870968,703.1,0.0,31,1.0999999999999999,8,0,9.059999999999999,0,21,20.887096774193548,32.667741935483875,-1.2056451612903203
2000-04-01,53.05,358.50000000000006,0.0,30,0.49,3,0,0.0,0,4,21.696666666666665,15.403333333333334,1.74016666666666
2000-05-01,65.27741935483871,85.4,93.99999999999999,31,0.22,2,0,0.0,5,0,22.05806451612903,5.16774193548387,5.079677419354837
2000-06-01,69.71333333333334,0.0,141.39999999999998,30,2.59,10,1,0.0,2,0,22.65666666666667,15.59,-1.1741666666666646
2000-07-01,72.2741935483871,8.5,234.00000000000003,31,2.95,12,1,0.0,6,0,21.093548387096774,16.34193548387097,-0.3870967741935374
2000-08-01,71.84516129032258,3.1000000000000014,215.29999999999998,31,2.11,6,1,0.0,3,0,17.84193548387097,19.73548387096774,1.758064516129025
2000-09-01,66.92666666666666,48.39999999999999,106.19999999999999,30,0.43000000000000005,3,0,0.0,0,1,18.153333333333332,11.76,2.7491666666666674
2000-10-01,49.50322580645161,482.8,2.4000000000000057,31,4.84,11,2,0.0,0,1,17.483870967741936,40.36774193548387,-2.592741935483879
2000-11-01,32.08,987.6,0.0,30,1.3900000000000001,7,0,5.91,0,28,15.983333333333333,27.89,-7.752333333333333
2000-12-01,30.335483870967742,1074.6,0.0,31,0.5700000000000001,3,0,11.03,0,30,16.851612903225806,17.038709677419355,-0.8124193548387098
2001-01-01,26.635483870967743,1189.3,0.0,31,0.67,7,0,8.66,0,31,17.903225806451612,28.11935483870968,-4.779999999999998
2001-02-01,35.94642857142857,813.4999999999999,0.0,28,0.2,4,0,5.12,0,25,19.446428571428573,20.539285714285715,0.3636453201970369
2001-03-01,41.403225806451616,731.5,0.0,31,0.65,3,0,0.0,0,25,18.438709677419357,31.4741935483871,-2.121774193548383
2001-04-01,51.306666666666665,410.79999999999995,0.0,30,0.47000000000000003,4,0,0.0,0,8,23.763333333333332,19.836666666666666,-0.003166666666672313
2001-05-01,61.82258064516129,134.2,35.70000000000002,31,1.54,5,0,0.0,0,0,21.4741935483871,15.938709677419354,1.6248387096774124
2001-06-01,70.02666666666667,13.199999999999996,164.0,30,1.95,8,0,0.0,2,0,21.316666666666666,8.07,-0.860833333333332
2001-07-01,73.04193548387097,0.0,249.29999999999998,31,1.23,12,0,0.0,6,0,19.26774193548387,25.03870967741935,0.38064516129033166
2001-08-01,68.1,3.200000000000003,99.30000000000003,31,5.04,17,2,0.0,0,0,16.68064516129032,26.393548387096775,-1.9870967741935601
2001-09-01,64.98666666666666,30.999999999999986,30.60000000000001,30,1.06,5,0,0.0,0,0,17.696666666666665,10.493333333333334,0.8091666666666697
2001-10-01,53.851612903225806,345.59999999999997,0.0,31,0.12,2,0,0.0,0,3,17.858064516129033,9.925806451612903,1.7556451612903174
2001-11-01,41.580000000000005,702.6,0.0,30,0.4,4,0,3.15,0,13,16.94,35.0,1.7476666666666745
2001-12-01,29.741935483870968,1092.9999999999998,0.0,31,0.3,3,0,6.3,0,31,16.84193548387097,20.56451612903226,-1.4059677419354841
2002-01-01,31.299999999999997,1044.7,0.0,31,0.41,3,0,6.6899999999999995,0,31,18.306451612903224,20.4741935483871,-0.11548387096774348
2002-02-01,32.61071428571429,906.8999999999999,0.0,28,0.01,0,0,1.97,0,27,19.389285714285712,11.553571428571429,-2.972068965517245
2002-03-01,41.248387096774195,736.2999999999997,0.0,31,0.01,0,0,0.0,0,26,20.532258064516128,10.23225806451613,-2.2766129032258036
2002-04-01,56.193333333333335,264.19999999999993,0.0,30,0.49,2,0,0.0,0,2,22.176666666666666,10.913333333333332,4.883499999999998
2002-05-01,62.02258064516129,124.9,32.60000000000001,31,0.31,3,0,0.0,2,0,22.038709677419355,5.84516129032258,1.8248387096774152
2002-06-01,72.59666666666666,5.599999999999994,233.49999999999997,30,0.74,6,0,0.0,11,0,21.396666666666665,6.62,1.7091666666666612
2002-07-01,71.46129032258065,0.0,200.29999999999995,31,3.52,17,0,0.0,3,0,19.55806451612903,21.799999999999997,-1.1999999999999886
2002-08-01,71.98709677419355,0.0,216.6,31,1.02,8,0,0.0,10,0,18.135483870967743,13.680645161290323,1.8999999999999915
2002-09-01,62.723333333333336,116.20000000000002,47.900000000000006,30,5.7700000000000005,17,1,0.0,0,0,17.68,28.886666666666667,-1.4541666666666586
2002-10-01,50.66451612903226,444.3999999999999,0.0,31,2.46,11,0,0.0,0,2,17.516129032258064,26.451612903225808,-1.4314516129032313
2002-11-01,38.07,807.9,0.0,30,0.8300000000000001,5,0,0.0,0,25,17.089999999999996,21.946666666666665,-1.7623333333333306
2002-12-01,30.483870967741936,1070.0,0.0,31,0.97,3,0,11.03,0,31,16.083870967741934,25.093548387096774,-0.6640322580645162
