date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,38.645161290322584,816.9999999999999,0.0,31,2.1,9,0,0.0,0,18,17.02258064516129,70.07741935483871,6.5104838709677395
2000-02-01,41.06206896551724,694.2,0.0,29,0.99,8,0,0.0,0,15,16.131034482758622,75.25172413793103,6.283965517241377
2000-03-01,45.516129032258064,603.9999999999998,0.0,31,0.39,3,0,0.0,0,8,16.151612903225807,54.019354838709674,4.691129032258061
2000-04-01,54.3,321.0,0.0,30,0.35,2,0,0.0,0,0,19.58,43.42999999999999,8.381833333333333
2000-05-01,60.725806451612904,189.4,56.900000000000006,31,0.25,3,0,0.0,1,1,19.858064516129033,48.13870967741936,6.417419354838707
2000-06-01,71.53,19.699999999999996,215.59999999999997,30,0.23,2,0,0.0,12,0,20.323333333333334,29.596666666666668,7.832333333333331
2000-07-01,73.84516129032258,5.299999999999997,279.49999999999994,31,0.0,0,0,0.0,18,0,19.822580645161292,27.780645161290323,3.244516129032263
2000-08-01,73.71290322580644,0.0,270.09999999999997,31,0.79,3,0,0.0,14,0,19.493548387096773,25.16774193548387,5.47048387096774
2000-09-01,63.49333333333333,108.00000000000001,62.8,30,0.04,1,0,0.0,1,0,15.1,25.146666666666665,2.9081666666666663
2000-10-01,49.97096774193548,469.89999999999986,4.0,31,0.67,7,0,0.0,0,6,13.509677419354839,37.17741935483871,1.0608064516128977
2000-11-01,34.28333333333333,921.5,0.0,30,0.52,6,0,0.0,0,27,10.316666666666666,45.233333333333334,-4.243166666666667
2000-12-01,33.57419354838709,974.2000000000002,0.0,31,0.54,4,0,0.0,0,30,9.106451612903227,41.012903225806454,1.6940322580645102
2001-01-01,29.661290322580644,1095.5,0.0,31,0.4,5,0,0.0,0,30,10.429032258064517,51.76129032258064,-2.4733870967742
2001-02-01,32.18928571428571,918.6999999999999,0.0,28,0.51,8,0,0.0,0,28,13.289285714285715,53.56785714285714,-2.5888177339901546
2001-03-01,43.39677419354839,669.7,0.0,31,0.31,6,0,0.0,0,17,13.106451612903227,48.00967741935484,2.5717741935483858
2001-04-01,43.056666666666665,658.3000000000001,0.0,30,1.06,7,0,0.0,0,17,16.803333333333335,48.71666666666667,-2.8614999999999995
2001-05-01,61.141935483870974,131.4,11.800000000000011,31,0.02,0,0,0.0,1,1,15.30967741935484,25.76451612903226,6.833548387096776
2001-06-01,64.11999999999999,69.39999999999999,43.0,30,0.02,1,0,0.0,1,0,17.706666666666667,30.483333333333334,0.4223333333333201
2001-07-01,68.1,14.699999999999989,110.79999999999998,31,0.1,2,0,0.0,4,0,14.687096774193549,28.26774193548387,-2.500645161290322
2001-08-01,69.92903225806452,5.600000000000001,158.40000000000003,31,0.1,1,0,0.0,10,0,14.738709677419354,20.093548387096774,1.6866129032258215
2001-09-01,62.21,95.29999999999998,11.600000000000009,30,0.16,2,0,0.0,0,0,12.96,24.696666666666665,1.624833333333335
2001-10-01,55.04516129032258,310.50000000000006,1.8999999999999915,31,0.24000000000000002,1,0,0.0,0,3,11.587096774193547,36.75806451612903,6.134999999999998
2001-11-01,40.03,749.1,0.0,30,1.69,6,0,0.0,0,21,12.413333333333332,52.25666666666667,1.5035000000000025
2001-12-01,32.622580645161285,1003.7000000000002,0.0,31,2.4899999999999998,13,1,0.0,0,26,13.887096774193548,65.4,0.7424193548387024
2002-01-01,30.141935483870967,1080.6000000000001,0.0,31,0.6599999999999999,7,0,0.0,0,25,11.44516129032258,44.2,-1.9927419354838776
2002-02-01,35.17857142857143,835.0,0.0,28,0.39,5,0,0.0,0,25,11.185714285714285,40.496428571428574,0.4004679802955664
2002-03-01,37.983870967741936,837.5,0.0,31,0.64,6,0,0.0,0,25,14.725806451612904,46.190322580645166,-2.841129032258067
2002-04-01,46.24,562.8,0.0,30,1.1,7,0,0.0,0,11,14.246666666666666,51.15,0.32183333333333763
2002-05-01,53.15161290322581,372.19999999999993,4.900000000000006,31,0.26,3,0,0.0,0,4,15.193548387096774,38.97096774193549,-1.1567741935483866
2002-06-01,64.68666666666667,67.69999999999999,58.30000000000001,30,0.05,1,0,0.0,3,0,15.666666666666666,25.33,0.9889999999999972
2002-07-01,72.2258064516129,3.3999999999999986,227.40000000000003,31,0.36000000000000004,3,0,0.0,11,0,14.248387096774193,30.2,1.6251612903225805
2002-08-01,67.58709677419354,29.9,110.10000000000002,31,0.82,2,0,0.0,9,0,13.496774193548386,11.129032258064516,-0.6553225806451621
2002-09-01,60.6,148.09999999999997,16.09999999999998,30,0.0,0,0,0.0,0,0,13.9,14.383333333333333,0.014833333333335474
2002-10-01,47.66129032258065,537.5,0.0,31,0.11000000000000001,2,0,0.0,0,16,9.516129032258064,18.532258064516128,-1.2488709677419365
2002-11-01,39.22666666666667,773.2,0.0,30,1.93,6,0,0.0,0,23,11.31,30.553333333333335,0.7001666666666679
2002-12-01,33.858064516129026,965.4000000000001,0.0,31,2.95,11,1,0.0,0,26,15.641935483870967,54.04516129032258,1.9779032258064433
2003-01-01,37.96774193548387,838.0,0.0,31,0.18,3,0,0.0,0,22,8.574193548387097,41.31935483870968,5.833064516129028
