date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,51.519354838709674,417.9,0.0,31,0.0,0,0,0.0,0,6,13.04516129032258,60.23870967741936,3.2382258064516094
2000-02-01,54.06896551724138,317.0,0.0,29,2.0500000000000003,9,0,0.0,0,0,16.041379310344826,65.82758620689656,2.0540394088669984
2000-03-01,59.29354838709677,181.39999999999998,4.5,31,0.33,3,0,0.0,0,0,16.351612903225806,48.770967741935486,-1.0703225806451613
2000-04-01,72.18,10.399999999999999,225.8,30,0.01,0,0,0.0,4,0,18.10666666666667,35.233333333333334,4.5801666666666705
2000-05-01,81.8967741935484,0.0,523.8,31,0.0,0,0,0.0,21,0,20.893548387096775,41.00645161290323,4.6293548387096735
2000-06-01,90.07666666666667,0.0,752.3,30,0.0,0,0,0.0,28,0,17.666666666666668,32.61,1.4933333333333252
2000-07-01,93.47741935483872,0.0,882.7999999999998,31,0.0,0,0,0.0,31,0,19.14516129032258,29.938709677419357,0.24258064516129707
2000-08-01,90.74838709677418,0.0,798.1999999999999,31,1.1099999999999999,6,0,0.0,28,0,18.761290322580646,47.519354838709674,0.1474193548387035
2000-09-01,82.17,0.0,515.0999999999999,30,0.0,0,0,0.0,23,0,15.59,24.94,-0.6041666666666714
2000-10-01,67.85483870967742,73.6,162.1,31,1.1600000000000001,6,0,0.0,5,0,15.754838709677419,48.78709677419355,-1.1783870967741876
2000-11-01,50.36666666666667,438.99999999999994,0.0,30,0.0,0,0,0.0,0,1,13.566666666666666,34.91,-5.780833333333334
2000-12-01,48.75806451612903,503.5,0.0,31,0.04,1,0,0.0,0,2,11.148387096774194,41.641935483870974,2.07403225806452
2001-01-01,45.900000000000006,592.1,0.0,31,1.1400000000000001,5,0,0.0,0,0,13.0,51.5,-2.381129032258059
2001-02-01,49.92142857142857,422.20000000000005,0.0,28,2.75,7,0,0.0,0,0,16.507142857142856,62.017857142857146,-2.0934975369458115
2001-03-01,61.093548387096774,176.5,55.400000000000006,31,0.17,3,0,0.0,0,0,14.293548387096775,49.564516129032256,0.729677419354843
2001-04-01,65.91,108.1,135.39999999999998,30,0.05,1,0,0.0,3,0,19.27,42.13333333333333,-1.6898333333333397
2001-05-01,83.3483870967742,0.9000000000000057,569.7,31,0.03,1,0,0.0,26,0,16.89032258064516,34.148387096774194,6.080967741935481
2001-06-01,89.42333333333333,0.0,732.7,30,0.0,0,0,0.0,27,0,19.62,29.990000000000002,0.8399999999999892
2001-07-01,91.45806451612903,0.0,820.2,31,0.46,1,0,0.0,30,0,18.55806451612903,33.20322580645161,-1.7767741935483912
2001-08-01,92.66129032258064,0.0,857.5000000000001,31,0.13,2,0,0.0,31,0,16.119354838709675,34.9483870967742,2.0603225806451633
2001-09-01,85.57,0.0,617.1,30,0.0,0,0,0.0,29,0,15.26,19.78666666666667,2.79583333333332
2001-10-01,72.25161290322582,0.20000000000000284,225.00000000000003,31,0.0,0,0,0.0,4,0,12.941935483870967,45.519354838709674,3.218387096774208
2001-11-01,58.373333333333335,210.7,11.900000000000006,30,0.16,2,0,0.0,0,0,14.586666666666668,43.486666666666665,2.225833333333334
2001-12-01,45.31290322580645,610.3000000000001,0.0,31,0.01,0,0,0.0,0,6,11.616129032258065,56.02903225806452,-1.371129032258061
2002-01-01,46.11290322580645,585.5,0.0,31,0.0,0,0,0.0,0,5,12.735483870967743,45.41290322580645,-2.1682258064516162
2002-02-01,51.989285714285714,364.29999999999995,0.0,28,0.0,0,0,0.0,0,3,13.814285714285715,38.232142857142854,-0.025640394088668472
2002-03-01,56.332258064516125,288.5,19.80000000000001,31,0.11,1,0,0.0,0,1,16.161290322580644,43.16129032258065,-4.031612903225806
2002-04-01,70.58,27.9,195.3,30,0.0,0,0,0.0,2,0,17.933333333333334,37.32,2.980166666666662
2002-05-01,77.06774193548387,4.300000000000004,378.4,31,0.0,0,0,0.0,15,0,16.16774193548387,33.516129032258064,-0.19967741935485606
2002-06-01,89.3,0.0,728.9999999999998,30,0.0,0,0,0.0,27,0,15.356666666666666,20.23,0.7166666666666544
2002-07-01,95.12258064516128,0.0,933.8,31,0.53,1,0,0.0,31,0,15.141935483870967,39.148387096774194,1.8877419354838594
2002-08-01,91.16451612903225,0.0,811.1,31,0.0,0,0,0.0,31,0,15.02258064516129,28.76774193548387,0.5635483870967732
2002-09-01,83.14333333333335,0.0,544.3000000000001,30,0.38,2,0,0.0,22,0,14.5,37.24,0.36916666666667197
2002-10-01,67.53225806451613,44.199999999999996,122.70000000000002,31,0.5,4,0,0.0,2,0,11.412903225806453,42.86774193548386,-1.500967741935483
2002-11-01,56.830000000000005,250.30000000000004,5.200000000000003,30,0.16,1,0,0.0,0,0,12.443333333333333,43.4,0.6825000000000045
2002-12-01,47.59032258064516,539.7,0.0,31,0.12,3,0,0.0,0,3,11.364516129032259,56.435483870967744,0.9062903225806451
2003-01-01,53.54838709677419,355.00000000000006,0.0,31,0.03,1,0,0.0,0,0,9.635483870967741,48.358064516129026,5.2672580645161275
2003-02-01,51.732142857142854,371.50000000000006,0.0,28,2.76,8,0,0.0,0,4,13.625,52.896428571428565,-0.28278325123152825
2003-03-01,59.87419354838709,183.79999999999998,24.90000000000002,31,0.45999999999999996,4,0,0.0,0,0,14.790322580645162,44.79354838709677,-0.489677419354841
2003-04-01,63.40333333333333,101.2,53.30000000000001,30,0.48,2,0,0.0,0,0,18.866666666666667,49.81666666666667,-4.1965000000000074
2003-05-01,78.54193548387097,8.999999999999993,428.79999999999984,31,0.0,0,0,0.0,16,0,15.59032258064516,44.26129032258064,1.27451612903225
2003-06-01,88.89666666666668,0.0,716.8999999999999,30,0.0,0,0,0.0,29,0,16.026666666666667,20.986666666666668,0.3133333333333326
2003-07-01,95.35161290322581,0.0,940.9,31,1.21,5,0,0.0,31,0,15.78709677419355,49.8258064516129,2.1167741935483946
2003-08-01,90.38709677419355,0.0,787.0,31,0.96,3,0,0.0,30,0,15.370967741935484,51.78709677419355,-0.2138709677419257
2003-09-01,84.53666666666666,0.0,586.0999999999999,30,0.52,1,0,0.0,26,0,14.256666666666666,27.459999999999997,1.7624999999999886
2003-10-01,74.98064516129033,7.700000000000003,317.1,31,0.0,0,0,0.0,10,0,12.596774193548388,30.532258064516128,5.947419354838715
2003-11-01,52.376666666666665,378.7,0.0,30,0.72,2,0,0.0,0,0,10.756666666666666,58.0,-3.7708333333333357
2003-12-01,47.33548387096774,547.5999999999999,0.0,31,1.16,4,0,0.0,0,1,11.387096774193548,56.97096774193548,0.6514516129032302
2004-01-01,46.86451612903225,562.1999999999999,0.0,31,0.03,1,0,0.0,0,4,11.341935483870968,43.62580645161291,-1.4166129032258112
2004-02-01,48.675862068965515,473.40000000000003,0.0,29,1.94,7,0,0.0,0,1,14.544827586206896,56.5551724137931,-3.3390640394088678
2004-03-01,66.64516129032258,74.30000000000001,125.29999999999998,31,0.29000000000000004,2,0,0.0,3,0,14.235483870967743,41.332258064516125,6.281290322580645
2004-04-01,67.96666666666667,30.9,119.89999999999998,30,1.32,3,0,0.0,2,0,17.98,39.843333333333334,0.36683333333333223
2004-05-01,79.5,0.0,449.5000000000001,31,0.0,0,0,0.0,14,0,17.280645161290323,31.86774193548387,2.2325806451612777
2004-06-01,88.88333333333334,0.0,716.5000000000001,30,0.08,1,0,0.0,28,0,16.076666666666668,27.923333333333336,0.29999999999999716
