date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,30.15806451612903,1080.1000000000001,0.0,31,3.09,7,0,4.85,0,24,20.83225806451613,39.400000000000006,-1.5379032258064527
2000-02-01,34.44137931034483,886.2,0.0,29,2.14,7,0,0.0,0,21,17.851724137931036,40.57586206896552,1.1415517241379334
2000-03-01,43.277419354838706,673.4,0.0,31,4.66,7,2,0.0,0,10,18.787096774193547,40.97741935483871,3.4959677419354804
2000-04-01,47.12,536.3999999999999,0.0,30,5.8,12,2,0.0,0,6,17.876666666666665,58.38666666666666,-2.721500000000006
2000-05-01,59.38709677419355,204.89999999999998,30.900000000000006,31,2.97,14,0,0.0,0,0,16.23548387096774,55.03548387096774,0.06467741935483673
2000-06-01,68.00666666666667,49.5,139.7,30,7.38,10,2,0.0,0,0,15.75,49.25333333333333,-0.659333333333322
2000-07-01,70.98064516129033,0.0,185.40000000000003,31,3.93,7,1,0.0,1,0,13.893548387096773,48.18709677419355,-3.7772580645161327
2000-08-01,70.70967741935483,2.6000000000000014,179.60000000000002,31,3.59,14,0,0.0,0,1,13.129032258064516,49.432258064516134,-3.0832258064516083
2000-09-01,64.86333333333333,105.80000000000001,101.70000000000003,30,4.87,10,2,0.0,0,0,14.386666666666667,41.24333333333333,-2.4405
2000-10-01,54.24516129032258,334.9,1.5,31,0.21,4,0,0.0,0,0,14.561290322580644,35.190322580645166,-2.15145161290323
2000-11-01,43.85666666666667,634.3000000000001,0.0,30,4.18,8,2,0.0,0,8,16.64,40.373333333333335,-2.363499999999995
2000-12-01,30.483870967741936,1070.0,0.0,31,3.0100000000000002,9,1,13.19,0,28,19.112903225806452,38.83870967741935,-7.057258064516134
2001-01-01,30.112903225806452,1081.5000000000002,0.0,31,3.33,9,0,91.37,0,26,14.803225806451614,37.961290322580645,-1.5830645161290313
2001-02-01,33.95,869.4,0.0,28,1.99,7,0,13.39,0,19,18.489285714285717,44.85,0.6501724137931078
2001-03-01,37.04516129032258,866.6,0.0,31,8.39,14,3,29.6,0,17,18.780645161290323,56.09032258064516,-2.7362903225806434
2001-04-01,49.29666666666667,471.09999999999997,0.0,30,1.93,8,0,0.0,0,1,16.0,42.46666666666667,-0.5448333333333366
2001-05-01,59.84838709677419,189.90000000000003,30.200000000000003,31,3.29,8,2,0.0,0,0,16.64516129032258,42.84193548387096,0.5259677419354745
2001-06-01,70.61999999999999,13.399999999999999,182.0,30,3.88,5,1,0.0,0,0,14.55,39.223333333333336,1.9539999999999935
2001-07-01,71.03870967741935,1.6000000000000014,188.8,31,1.31,7,0,0.0,1,0,14.82258064516129,28.293548387096774,-3.7191935483871106
2001-08-01,74.97419354838709,0.0,309.2,31,4.97,8,1,0.0,3,0,14.119354838709677,41.75483870967742,1.1812903225806508
2001-09-01,65.49666666666667,72.89999999999999,87.79999999999998,30,2.1,6,0,0.0,0,0,14.93,34.39,-1.8071666666666601
2001-10-01,55.97096774193548,285.49999999999994,5.599999999999994,31,1.44,4,0,0.0,0,1,16.432258064516127,28.10967741935484,-0.42564516129032626
2001-11-01,49.64,460.80000000000007,0.0,30,0.5700000000000001,6,0,0.0,0,6,16.663333333333334,29.459999999999997,3.4198333333333366
2001-12-01,41.980645161290326,713.6,0.0,31,2.0500000000000003,8,0,0.0,0,12,15.993548387096775,39.0774193548387,4.439516129032256
2002-01-01,37.83870967741935,842.0,0.0,31,2.3,11,0,5.12,0,17,17.467741935483872,40.16129032258065,6.142741935483869
2002-02-01,37.878571428571426,759.3999999999999,0.0,28,0.91,7,0,0.0,0,20,19.342857142857145,33.746428571428574,4.578743842364531
2002-03-01,42.00322580645161,712.9000000000001,0.0,31,4.14,10,1,0.0,0,11,19.116129032258065,50.438709677419354,2.2217741935483843
2002-04-01,52.1,410.30000000000007,23.30000000000001,30,4.12,10,1,0.0,1,3,17.803333333333335,43.69666666666667,2.258499999999998
2002-05-01,57.53548387096774,243.0,11.599999999999994,31,3.2399999999999998,7,1,0.0,0,0,17.612903225806452,38.79677419354839,-1.7869354838709768
2002-06-01,67.81666666666666,49.1,133.60000000000002,30,3.6,9,1,0.0,0,0,16.186666666666667,37.370000000000005,-0.8493333333333339
2002-07-01,75.55483870967741,0.20000000000000284,327.4,31,1.0999999999999999,5,0,0.0,6,0,15.219354838709679,29.074193548387097,0.7969354838709535
2002-08-01,74.33225806451614,3.1000000000000014,292.3999999999999,31,5.34,9,1,0.0,2,0,14.48709677419355,34.270967741935486,0.5393548387096985
2002-09-01,67.35,23.299999999999997,93.80000000000001,30,4.59,9,2,0.0,0,0,15.056666666666667,39.11333333333334,0.04616666666666447
2002-10-01,54.47741935483871,349.29999999999995,23.10000000000001,31,4.35,7,2,0.0,0,0,16.18064516129032,46.880645161290325,-1.9191935483870992
2002-11-01,44.57333333333334,612.8,0.0,30,4.62,13,0,0.0,0,10,18.453333333333333,50.21333333333333,-1.6468333333333263
