date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2005-01-01,20.506451612903227,1379.3,0.0,31,2.72,9,1,39.39,0,28,13.83,56.20322580645161,
2005-02-01,26.585714285714285,1075.6,0.0,28,1.03,6,0,29.15,0,26,14.65,48.73571428571428,
2005-03-01,29.603225806451615,1097.3,0.0,31,3.49,8,1,40.17,0,28,16.19677419354839,49.78064516129032,
2005-04-01,47.913333333333334,512.5999999999999,0.0,30,5.34,8,1,0.0,0,6,15.833333333333334,38.940000000000005,
2005-05-01,51.99677419354839,403.30000000000007,0.20000000000000284,31,1.3599999999999999,8,0,0.0,0,4,13.964516129032257,42.751612903225805,
2005-06-01,67.95333333333333,42.3,130.90000000000003,30,1.5899999999999999,6,0,0.0,1,0,11.286666666666667,33.26,
2005-07-01,70.6,6.300000000000004,179.89999999999998,31,1.87,9,0,0.0,1,0,12.296774193548387,36.62580645161291,
2005-08-01,69.80322580645162,10.20000000000001,159.10000000000002,31,2.49,10,1,0.0,2,0,11.745161290322581,38.50645161290323,
2005-09-01,62.470370370370375,90.19999999999999,21.89999999999999,27,1.04,4,0,0.0,0,0,12.08148148148148,22.70740740740741,
2005-10-01,49.4483870967742,483.5,1.4000000000000057,31,7.72,8,2,0.0,0,2,14.94516129032258,62.15161290322581,
2005-11-01,39.89666666666667,753.1,0.0,30,0.02,0,0,3.15,0,15,15.063333333333333,46.306666666666665,
2005-12-01,24.480645161290322,1256.1,0.0,31,0.8900000000000001,5,0,41.36,0,29,14.709677419354838,53.39354838709678,
2008-01-01,30.583870967741937,1066.9,0.0,31,0.0,0,0,0.0,0,25,6.233333333333333,0.0,
2008-02-01,28.944827586206895,1045.6,0.0,29,0.0,0,0,0.0,0,26,5.95,0.0,
2008-03-01,36.225806451612904,891.9999999999999,0.0,31,0.0,0,0,0.0,0,21,6.308695652173912,0.0,
2008-04-01,52.54,375.80000000000007,2.0,30,0.0,0,0,0.0,0,4,5.423333333333333,0.0,
2008-05-01,56.57096774193548,278.79999999999995,17.499999999999986,31,0.0,0,0,0.0,0,1,2.896774193548387,0.0,
2008-06-01,70.22666666666667,11.999999999999993,168.79999999999995,30,0.0,0,0,0.0,4,0,2.0566666666666666,0.0,
2008-07-01,73.7709677419355,0.0,271.90000000000003,31,0.0,0,0,0.0,5,0,1.935483870967742,0.0,
2008-08-01,67.76451612903226,12.600000000000001,98.3,31,0.0,0,0,0.0,0,0,1.3875000000000002,0.0,
2008-09-01,64.30333333333333,101.20000000000002,80.30000000000001,30,0.0,0,0,0.0,0,0,,0.0,
2008-10-01,49.9741935483871,465.79999999999995,0.0,31,0.0,0,0,0.0,0,4,8.075,0.0,
2008-11-01,41.63,701.0999999999999,0.0,30,0.0,0,0,0.0,0,11,4.96,0.0,
2008-12-01,32.14333333333333,985.7,0.0,30,0.0,0,0,0.0,0,24,5.566666666666666,0.0,
