date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,27.40967741935484,1165.3,0.0,31,5.5,15,1,73.84,0,27,15.203225806451613,60.95483870967742,-1.3072580645161302
2000-02-01,37.810344827586206,789.0,0.5,29,3.41,10,2,43.4,0,20,14.727586206896552,64.8896551724138,6.031988916256157
2000-03-01,46.28064516129032,580.3,0.0,31,4.23,9,1,4.64,0,11,14.616129032258065,55.49677419354839,4.6225806451612925
2000-04-01,51.406666666666666,407.79999999999995,0.0,30,7.75,11,1,0.0,0,3,14.046666666666665,60.766666666666666,-2.2165000000000035
2000-05-01,65.45806451612903,73.5,87.7,31,6.17,19,1,0.0,0,0,14.693548387096774,61.858064516129026,1.7254838709677358
2000-06-01,71.45333333333333,18.800000000000004,212.39999999999995,30,5.19,13,1,0.0,0,0,13.343333333333334,54.519999999999996,-0.06016666666666026
2000-07-01,72.19999999999999,0.0,223.19999999999996,31,6.87,11,1,0.0,0,0,11.074193548387097,53.83870967741935,-2.314032258064529
2000-08-01,71.56129032258065,2.700000000000003,206.09999999999997,31,3.98,13,1,0.0,0,0,12.358064516129033,45.50645161290323,-1.8432258064516134
2000-09-01,64.15666666666667,118.0,92.69999999999999,30,4.8100000000000005,13,1,0.0,0,0,12.58,44.59,-2.639499999999998
2000-10-01,56.96774193548387,263.5,14.5,31,4.83,8,1,0.0,0,2,10.399999999999999,42.487096774193546,2.0043548387096806
2000-11-01,41.16,715.2,0.0,30,4.050000000000001,11,1,0.0,0,10,13.976666666666667,69.72666666666667,-2.1896666666666675
2000-12-01,22.574193548387097,1315.2,0.0,31,4.31,13,1,48.14,0,29,14.390322580645162,75.68387096774192,-10.91741935483871
2001-01-01,29.09032258064516,1113.1999999999998,0.0,31,1.86,8,0,23.6,0,28,13.503225806451614,66.76129032258065,0.37338709677419146
2001-02-01,35.06428571428571,838.2,0.0,28,2.7199999999999998,11,1,6.3999999999999995,0,20,15.357142857142858,74.37857142857142,3.2859298029556605
2001-03-01,37.89032258064516,840.3999999999999,0.0,31,2.37,11,0,1.18,0,17,14.52258064516129,66.27741935483871,-3.767741935483869
2001-04-01,56.53333333333333,301.70000000000005,47.69999999999999,30,6.89,11,2,0.0,0,3,16.193333333333335,50.486666666666665,2.9101666666666617
2001-05-01,63.2,105.3,49.5,31,9.43,18,1,0.0,0,0,12.85483870967742,57.29677419354839,-0.5325806451612891
2001-06-01,69.49666666666667,33.3,168.20000000000002,30,6.28,18,2,0.0,0,0,11.33,50.93666666666666,-2.0168333333333237
2001-07-01,73.49677419354839,2.8999999999999986,266.3,31,10.95,14,3,0.0,0,0,10.23225806451613,45.309677419354834,-1.0172580645161275
2001-08-01,73.51612903225806,0.0,264.0,31,10.86,17,4,0.0,1,0,10.829032258064515,46.08387096774193,0.11161290322580442
2001-09-01,62.67666666666666,125.9,56.2,30,6.83,10,2,0.0,0,0,11.753333333333334,43.41,-4.119500000000002
2001-10-01,54.619354838709675,327.29999999999995,5.499999999999986,31,9.07,11,4,0.0,0,1,15.683870967741935,53.89677419354839,-0.3440322580645159
2001-11-01,48.059999999999995,508.19999999999993,0.0,30,4.46,12,1,0.0,0,6,13.356666666666666,43.49666666666667,4.710333333333331
2001-12-01,37.18064516129032,862.4000000000001,0.0,31,5.390000000000001,9,1,2.36,0,16,14.270967741935483,66.57741935483871,3.6890322580645147
2002-01-01,34.829032258064515,935.3,0.0,31,2.6,11,0,10.459999999999999,0,22,15.187096774193549,59.59032258064516,6.112096774193546
2002-02-01,34.660714285714285,849.5000000000001,0.0,28,3.0,9,0,2.36,0,22,16.728571428571428,57.24285714285714,2.8823583743842356
2002-03-01,39.23225806451613,798.8000000000001,0.0,31,6.18,17,2,2.36,0,14,16.55806451612903,70.3967741935484,-2.4258064516128997
2002-04-01,53.55,375.4,31.900000000000006,30,8.6,18,2,0.0,0,4,14.93,61.77333333333333,-0.0731666666666726
2002-05-01,58.63548387096775,228.5,31.200000000000017,31,10.21,17,2,0.0,0,0,13.461290322580645,58.18064516129032,-5.097096774193545
2002-06-01,72.14,14.300000000000004,228.50000000000003,30,6.79,13,3,0.0,0,0,11.023333333333333,44.806666666666665,0.6265000000000072
2002-07-01,77.14516129032258,0.0,376.5,31,5.12,7,2,0.0,11,0,10.735483870967743,39.02903225806452,2.631129032258059
2002-08-01,75.16451612903225,0.0,315.1,31,1.4,7,0,0.0,9,0,11.46774193548387,40.41290322580645,1.759999999999991
2002-09-01,69.47,33.800000000000004,167.90000000000003,30,9.14,9,2,0.0,5,0,10.32,38.64,2.6738333333333344
2002-10-01,51.91612903225807,434.6,29.0,31,4.35,10,1,0.0,0,1,11.612903225806452,61.24516129032258,-3.0472580645161216
2002-11-01,40.50666666666667,734.8,0.0,30,4.61,10,1,3.54,0,15,15.306666666666667,68.47333333333333,-2.8429999999999964
2002-12-01,32.00322580645162,1022.8999999999999,0.0,31,5.0200000000000005,14,1,12.79,0,23,14.635483870967741,70.53225806451613,-1.48838709677419
2003-01-01,22.345161290322583,1322.3,0.0,31,1.9400000000000002,14,1,44.22,0,29,14.83548387096774,70.1258064516129,-6.3717741935483865
2003-02-01,26.264285714285712,1084.6,0.0,28,3.2399999999999998,18,0,80.23,0,25,15.542857142857143,75.21071428571429,-5.514070197044337
2003-03-01,42.82258064516129,687.4999999999999,0.0,31,3.59,13,0,6.55,0,14,14.390322580645162,59.012903225806454,1.1645161290322577
2003-04-01,54.626666666666665,324.4,13.199999999999989,30,2.48,9,0,0.0,0,1,15.57,52.84,1.0034999999999954
2003-05-01,61.12580645161291,144.79999999999998,24.700000000000003,31,9.08,22,3,0.0,0,0,13.832258064516129,70.84193548387097,-2.6067741935483824
2003-06-01,67.38666666666667,48.5,120.10000000000002,30,7.3,14,1,0.0,0,0,11.729999999999999,49.51333333333333,-4.126833333333323
2003-07-01,72.66129032258064,0.0,237.5,31,11.73,17,5,0.0,1,0,11.874193548387098,47.53548387096774,-1.852741935483877
2003-08-01,73.31612903225808,0.4000000000000057,258.19999999999993,31,6.16,14,1,0.0,1,0,10.27741935483871,40.458064516129035,-0.08838709677418422
2003-09-01,63.623333333333335,90.2,48.89999999999998,30,9.03,8,4,0.0,0,0,11.043333333333333,41.16,-3.1728333333333296
2003-10-01,53.196774193548386,370.8,4.8999999999999915,31,3.66,8,1,0.0,0,1,12.383870967741935,42.84193548387096,-1.7666129032258056
2003-11-01,47.15,535.5999999999999,0.09999999999999432,30,5.2,12,1,0.0,0,10,15.063333333333333,59.68666666666666,3.8003333333333345
2003-12-01,33.96451612903226,962.1,0.0,31,3.09,11,0,7.379999999999999,0,25,14.36774193548387,67.24516129032257,0.47290322580645494
2004-01-01,24.635483870967743,1251.3,0.0,31,6.88,12,2,14.43,0,27,15.587096774193547,75.42258064516129,-4.081451612903226
2004-02-01,31.955172413793104,958.3,0.0,29,1.5999999999999999,8,0,5.57,0,25,14.0,59.42758620689656,0.1768165024630548
2004-03-01,43.60645161290322,663.1999999999998,0.0,31,4.5,18,0,13.37,0,12,15.654838709677419,69.63225806451612,1.9483870967741908
2004-04-01,53.25333333333333,367.30000000000007,14.900000000000006,30,4.86,13,1,0.0,0,2,15.756666666666666,57.21,-0.36983333333333945
2004-05-01,66.46129032258065,82.1,127.40000000000003,31,11.33,17,3,0.0,0,0,14.770967741935483,57.18064516129032,2.72870967741936
2004-06-01,69.82,7.500000000000014,152.10000000000002,30,5.17,15,1,0.0,0,0,11.696666666666665,49.06666666666667,-1.6935000000000002
2004-07-01,72.35806451612903,4.299999999999997,232.39999999999998,31,5.72,14,0,0.0,0,0,11.929032258064517,56.229032258064514,-2.155967741935484
2004-08-01,69.33870967741936,20.6,155.10000000000002,31,5.9799999999999995,10,2,0.0,0,0,11.203225806451613,49.10322580645161,-4.0658064516129
2004-09-01,66.70666666666666,44.09999999999999,95.30000000000001,30,0.63,5,0,0.0,0,0,10.116666666666667,36.97666666666667,-0.08950000000000102
2004-10-01,54.9483870967742,322.1,10.5,31,4.18,13,1,0.0,0,0,11.62258064516129,52.79677419354839,-0.014999999999993463
2004-11-01,46.830000000000005,545.1,0.0,30,5.22,14,0,0.0,0,8,11.883333333333333,70.11,3.4803333333333413
2004-12-01,32.56774193548387,1005.4000000000001,0.0,31,3.22,12,0,82.87,0,20,14.706451612903225,66.21612903225805,-0.9238709677419337
2005-01-01,30.69677419354839,1063.4,0.0,31,8.66,14,3,36.23,0,20,15.270967741935483,64.13225806451612,1.97983870967742
2005-02-01,34.642857142857146,850.0,0.0,28,1.6300000000000001,10,0,3.54,0,19,14.239285714285714,59.28928571428571,2.864501231527097
2005-03-01,37.099999999999994,864.9,0.0,31,3.41,10,1,2.36,0,21,15.461290322580645,57.9741935483871,-4.558064516129036
2005-04-01,53.730000000000004,345.2,7.1000000000000085,30,5.57,12,3,0.0,0,2,16.076666666666668,49.29333333333333,0.10683333333333422
2005-05-01,58.722580645161294,209.6,15.0,31,3.18,11,0,0.0,0,0,13.2,43.99677419354839,-5.009999999999998
2005-06-01,73.49333333333334,2.5,257.3,30,5.3100000000000005,12,2,0.0,3,0,12.096666666666666,38.42333333333333,1.979833333333346
2005-07-01,75.66451612903225,0.0,330.6000000000001,31,4.18,13,1,0.0,3,0,10.961290322580645,41.541935483870965,1.150483870967733
2005-08-01,75.14516129032258,0.0,314.5,31,5.62,14,1,0.0,7,0,11.748387096774193,37.358064516129026,1.7406451612903169
2005-09-01,68.95,22.1,140.6,30,8.7,10,2,0.0,0,0,10.873333333333333,29.996666666666666,2.1538333333333384
2005-10-01,54.725806451612904,345.59999999999997,27.10000000000001,31,3.34,8,1,0.0,0,2,10.612903225806452,54.270967741935486,-0.2375806451612874
2005-11-01,44.95666666666667,601.3,0.0,30,4.32,13,2,1.18,0,12,16.65,56.64,1.6070000000000064
2005-12-01,28.16774193548387,1141.7999999999997,0.0,31,2.54,12,0,55.88,0,22,14.761290322580646,72.68709677419355,-5.323870967741936
2006-01-01,39.84838709677419,779.7,0.0,31,2.95,13,0,4.46,0,17,16.783870967741933,67.26774193548388,11.13145161290322
2006-02-01,32.339285714285715,914.5,0.0,28,2.11,8,0,10.03,0,24,15.353571428571428,60.98571428571428,0.5609298029556662
2006-03-01,40.45161290322581,761.0000000000001,0.0,31,4.8500000000000005,16,1,4.5,0,16,14.993548387096775,59.432258064516134,-1.2064516129032228
2006-04-01,55.64333333333333,288.20000000000005,7.5,30,5.83,14,1,0.0,0,1,15.313333333333333,42.63,2.020166666666661
2006-05-01,60.29354838709677,208.60000000000002,62.70000000000002,31,5.11,18,0,0.0,0,0,12.709677419354838,54.34193548387096,-3.439032258064522
2006-06-01,68.83666666666666,20.6,135.69999999999996,30,4.84,13,2,0.0,0,0,11.163333333333332,43.46666666666667,-2.6768333333333345
2006-07-01,75.74516129032257,0.0,333.1,31,6.32,13,2,0.0,3,0,11.845161290322581,45.400000000000006,1.2311290322580533
2006-08-01,74.04193548387097,0.0,280.29999999999995,31,3.69,11,1,0.0,2,0,11.154838709677419,48.63870967741936,0.6374193548387126
2006-09-01,62.39,105.4,27.099999999999994,30,6.390000000000001,12,1,0.0,0,0,11.979999999999999,59.19666666666667,-4.406166666666664
2006-10-01,51.31935483870968,435.00000000000006,10.900000000000006,31,5.71,11,2,0.0,0,3,14.80967741935484,55.516129032258064,-3.644032258064513
2006-11-01,44.330000000000005,620.1,0.0,30,3.71,8,1,0.0,0,9,12.346666666666666,57.440000000000005,0.9803333333333413
2006-12-01,38.619354838709675,817.8000000000001,0.0,31,4.36,9,1,3.15,0,16,15.62258064516129,58.9741935483871,5.1277419354838685
2007-01-01,33.39354838709678,979.8000000000002,0.0,31,5.05,13,2,10.28,0,23,16.809677419354838,72.6741935483871,4.676612903225809
2007-02-01,19.932142857142857,1261.8999999999999,0.0,28,2.75,7,0,70.54,0,27,15.549999999999999,51.86785714285714,-11.846213054187192
2007-03-01,46.725806451612904,573.1,6.599999999999994,31,5.2,10,2,0.0,0,13,15.748387096774193,58.76451612903226,5.067741935483873
2007-04-01,49.63333333333333,470.0,9.0,30,4.47,11,2,0.0,0,7,16.82,58.730000000000004,-3.989833333333337
2007-05-01,66.38709677419355,71.69999999999999,114.70000000000002,31,2.64,7,1,0.0,0,0,12.990322580645161,42.019354838709674,2.6545161290322596
2007-06-01,72.29333333333334,2.799999999999997,221.60000000000008,30,2.95,11,0,0.0,2,0,12.953333333333335,43.67,0.7798333333333431
2007-07-01,72.02580645161291,0.5,218.3,31,3.8800000000000003,11,2,0.0,1,0,11.812903225806451,45.60322580645161,-2.4882258064516094
2007-08-01,77.17096774193548,0.0,377.3,31,3.62,9,1,0.0,11,0,12.206451612903225,40.05483870967742,3.766451612903225
2007-09-01,69.02666666666667,38.10000000000001,158.89999999999998,30,4.1499999999999995,6,1,0.0,4,0,10.54,30.493333333333332,2.2305000000000064
2007-10-01,60.29677419354839,208.4,62.599999999999994,31,3.9499999999999997,10,2,0.0,0,0,13.329032258064515,50.73870967741935,5.333387096774196
2007-11-01,42.60666666666667,671.7999999999998,0.0,30,4.03,9,2,0.0,0,12,14.633333333333333,64.85333333333332,-0.742999999999995
2007-12-01,33.50967741935484,976.2,0.0,31,5.44,15,1,14.11,0,20,14.735483870967743,74.71290322580644,0.01806451612903004
2008-01-01,29.129032258064516,1112.0,0.0,31,2.65,13,1,12.07,0,24,17.887096774193548,65.59354838709677,0.4120967741935466
2008-02-01,29.17241379310345,1039.0,0.0,29,5.41,14,2,25.83,0,24,16.23103448275862,77.68620689655172,-2.6059421182266007
2008-03-01,38.18387096774194,831.3,0.0,31,9.17,14,3,33.41,0,19,15.516129032258064,68.22258064516129,-3.474193548387092
2008-04-01,53.44666666666667,356.1,9.5,30,2.51,10,0,0.0,0,3,14.8,51.65333333333333,-0.17649999999999721
2008-05-01,59.12580645161291,204.29999999999998,22.200000000000003,31,6.12,17,1,0.0,0,0,15.593548387096773,58.512903225806454,-4.606774193548382
