date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,27.648387096774194,1157.9,0.0,31,3.9799999999999995,16,1,84.3,0,27,14.97741935483871,57.76129032258064,-1.504193548387093
2000-02-01,38.04137931034483,781.8,0.0,29,3.31,12,1,73.36,0,21,13.60344827586207,58.66206896551724,6.095369458128083
2000-03-01,46.91612903225807,560.6,0.0,31,3.35,10,0,1.18,0,9,14.745161290322581,48.10645161290322,5.156451612903226
2000-04-01,52.13666666666666,387.1,1.2000000000000028,30,5.23,11,2,0.0,0,3,13.803333333333335,51.656666666666666,-1.6914999999999978
2000-05-01,65.53225806451613,74.30000000000001,90.8,31,5.88,15,1,0.0,0,0,14.848387096774195,52.73225806451613,1.5558064516129022
2000-06-01,71.94,19.099999999999994,227.30000000000004,30,4.65,17,1,0.0,1,0,14.166666666666666,42.830000000000005,0.1353333333333211
2000-07-01,72.19354838709677,1.2999999999999972,224.30000000000004,31,5.47,14,0,0.0,0,0,11.761290322580646,44.645161290322584,-2.2101612903225885
2000-08-01,71.50322580645161,3.8000000000000043,205.4,31,6.08,15,1,0.0,0,0,11.674193548387096,37.67741935483871,-1.5488709677419337
2000-09-01,64.26333333333334,114.9,92.8,30,7.93,16,2,0.0,0,0,12.270000000000001,41.77333333333333,-2.2976666666666716
2000-10-01,56.95483870967742,262.1,12.700000000000003,31,3.73,7,1,0.0,0,4,10.193548387096774,37.81612903225806,2.1987096774193446
2000-11-01,41.026666666666664,719.2,0.0,30,2.75,13,0,0.0,0,11,14.156666666666666,66.11,-2.3001666666666694
2000-12-01,23.677419354838708,1281.0,0.0,31,4.01,15,1,50.01,0,29,15.561290322580644,73.45483870967742,-10.144354838709685
2001-01-01,29.799999999999997,1091.1999999999998,0.0,31,1.3499999999999999,10,0,31.5,0,27,12.55483870967742,60.84193548387096,0.6474193548387106
2001-02-01,36.04285714285714,810.8,0.0,28,2.05,11,0,3.54,0,16,14.782142857142858,70.55357142857143,4.09684729064039
2001-03-01,38.12580645161291,833.1,0.0,31,1.56,9,0,1.18,0,17,14.519354838709678,63.08387096774193,-3.6338709677419345
2001-04-01,56.919999999999995,289.4,47.000000000000014,30,5.16,13,2,0.0,0,4,15.82,46.723333333333336,3.0918333333333337
2001-05-01,63.270967741935486,102.29999999999998,48.7,31,10.64,19,5,0.0,0,0,13.438709677419356,53.23548387096774,-0.7054838709677398
2001-06-01,71.19666666666667,25.199999999999996,211.1,30,5.76,17,0,0.0,2,0,11.770000000000001,44.906666666666666,-0.6080000000000041
2001-07-01,74.13870967741936,3.0,286.3,31,10.129999999999999,16,4,0.0,3,0,10.76774193548387,41.42903225806452,-0.26500000000000057
2001-08-01,74.52580645161291,0.0,295.29999999999995,31,7.029999999999999,20,2,0.0,2,0,10.66451612903226,43.87419354838709,1.4737096774193645
2001-09-01,63.51,109.19999999999999,64.49999999999999,30,3.11,12,0,0.0,0,0,11.963333333333333,42.32666666666667,-3.051000000000009
2001-10-01,55.4741935483871,308.0,12.699999999999989,31,5.16,11,1,0.0,0,1,16.31935483870968,48.96774193548387,0.7180645161290258
2001-11-01,48.71333333333334,488.6,0.0,30,4.9799999999999995,10,1,0.0,0,5,13.436666666666667,37.04,5.386500000000005
2001-12-01,38.38709677419355,824.9999999999999,0.0,31,3.77,10,1,2.36,0,15,14.038709677419355,62.59032258064516,4.565322580645159
2002-01-01,35.83870967741935,904.0000000000001,0.0,31,2.1,11,0,9.059999999999999,0,21,15.193548387096774,57.15161290322581,6.686129032258066
2002-02-01,35.628571428571426,822.4000000000001,0.0,28,2.21,8,0,1.18,0,21,17.132142857142856,53.93928571428571,3.6825615763546793
2002-03-01,41.16451612903226,738.9,0.0,31,4.5,13,0,0.0,0,15,16.858064516129033,63.693548387096776,-0.5951612903225865
2002-04-01,55.68333333333333,323.29999999999995,43.8,30,6.33,17,2,0.0,0,3,15.513333333333332,58.473333333333336,1.855166666666669
2002-05-01,60.196774193548386,193.20000000000005,44.30000000000001,31,9.86,19,3,0.0,0,0,13.735483870967743,53.41935483870968,-3.77967741935484
2002-06-01,74.48,5.399999999999999,289.79999999999995,30,9.38,14,3,0.0,5,0,11.326666666666666,41.34,2.6753333333333273
2002-07-01,78.68387096774192,0.0,424.19999999999993,31,4.18,9,1,0.0,9,0,9.83548387096774,35.73225806451613,4.280161290322567
2002-08-01,76.19354838709677,0.0,346.99999999999994,31,3.45,8,1,0.0,8,0,10.212903225806452,31.40967741935484,3.141451612903225
2002-09-01,70.18333333333334,24.200000000000017,179.7,30,5.97,10,2,0.0,5,0,9.893333333333334,34.336666666666666,3.62233333333333
2002-10-01,54.012903225806454,376.09999999999997,35.5,31,2.9,10,1,0.0,0,0,11.393548387096773,56.49032258064516,-0.7432258064516191
2002-11-01,41.86333333333334,694.1,0.0,30,2.8200000000000003,11,1,3.15,0,10,15.093333333333334,63.163333333333334,-1.4634999999999962
2002-12-01,32.825806451612905,997.4000000000001,0.0,31,3.18,14,0,6.3,0,21,14.070967741935483,65.3,-0.9959677419354875
2003-01-01,23.651612903225807,1281.8,0.0,31,1.74,12,0,42.14,0,27,14.638709677419355,69.76129032258065,-5.500967741935479
2003-02-01,27.214285714285715,1058.0,0.0,28,3.9499999999999997,17,1,104.73,0,24,14.664285714285715,73.42142857142858,-4.731724137931032
2003-03-01,43.44516129032258,668.9999999999999,0.7999999999999972,31,2.27,12,0,7.4799999999999995,0,15,13.94516129032258,54.061290322580646,1.6854838709677367
2003-04-01,55.236666666666665,301.1000000000001,8.199999999999989,30,4.26,12,1,0.0,0,1,15.673333333333334,45.88333333333333,1.4085000000000036
2003-05-01,61.91612903225807,118.9,23.299999999999997,31,9.540000000000001,23,3,0.0,0,0,13.516129032258064,67.01290322580645,-2.060322580645156
2003-06-01,68.77666666666667,36.800000000000004,150.10000000000002,30,5.6,15,1,0.0,1,0,11.566666666666666,52.723333333333336,-3.028000000000006
2003-07-01,73.42903225806452,0.0,261.3,31,6.08,21,0,0.0,1,0,11.429032258064517,41.31612903225806,-0.9746774193548333
2003-08-01,73.63548387096773,0.0,267.7,31,11.18,18,4,0.0,0,0,9.203225806451613,43.23225806451613,0.5833870967741888
2003-09-01,64.54333333333334,70.5,56.8,30,7.28,16,3,0.0,0,0,9.486666666666668,45.99666666666667,-2.0176666666666705
2003-10-01,53.829032258064515,351.79999999999995,5.5,31,2.11,9,0,0.0,0,2,10.958064516129031,46.73870967741936,-0.9270967741935578
2003-11-01,48.593333333333334,494.9,2.700000000000003,30,3.15,13,0,1.18,0,10,13.186666666666667,55.45666666666667,5.266500000000001
2003-12-01,35.07419354838709,927.7,0.0,31,2.75,12,0,5.12,0,23,12.461290322580645,59.18064516129032,1.2524193548387004
2004-01-01,26.193548387096776,1203.0,0.0,31,5.32,14,2,27.169999999999998,0,27,14.296774193548387,72.4483870967742,-2.9590322580645108
2004-02-01,33.286206896551725,919.7,0.0,29,1.83,8,0,6.3,0,26,11.979310344827585,40.43793103448276,1.3401970443349782
2004-03-01,44.61290322580645,631.9999999999999,0.0,31,3.38,17,0,6.3,0,12,13.82258064516129,63.019354838709674,2.8532258064516043
2004-04-01,54.18,341.6,17.0,30,4.13,13,0,0.0,0,2,15.173333333333334,44.17333333333333,0.35183333333333877
2004-05-01,67.78064516129032,73.1,159.29999999999995,31,7.59,23,3,0.0,0,0,14.016129032258064,38.193548387096776,3.8041935483870972
2004-06-01,71.14666666666668,2.20000000000001,186.60000000000002,30,5.51,15,1,0.0,2,0,11.879999999999999,31.236666666666668,-0.6580000000000013
2004-07-01,74.52903225806452,0.0,295.40000000000003,31,7.8100000000000005,17,3,0.0,1,0,11.248387096774193,33.18387096774194,0.125322580645161
2004-08-01,70.6774193548387,5.900000000000006,181.9,31,4.99,14,1,0.0,0,0,10.429032258064517,32.47096774193548,-2.374677419354839
2004-09-01,67.62333333333333,29.39999999999999,108.09999999999997,30,3.65,7,2,0.0,0,0,8.95,24.163333333333334,1.0623333333333278
2004-10-01,55.696774193548386,295.40000000000003,7.0,31,3.8200000000000003,15,1,0.0,0,0,10.770967741935483,38.75806451612903,0.9406451612903126
2004-11-01,47.22666666666667,533.1999999999999,0.0,30,4.24,18,0,0.0,0,8,11.84,57.91,3.8998333333333335
2004-12-01,33.5516129032258,974.9,0.0,31,3.53,15,1,25.46,0,19,13.932258064516128,58.73548387096774,-0.27016129032259073
2005-01-01,32.35806451612903,1011.9,0.0,31,9.27,15,3,33.93,0,20,13.987096774193548,68.87741935483871,3.205483870967747
2005-02-01,34.93928571428571,841.6999999999999,0.0,28,4.45,11,1,8.26,0,18,11.717857142857143,57.73571428571428,2.9932758620689626
2005-03-01,38.722580645161294,814.6,0.0,31,3.06,10,1,12.6,0,17,13.361290322580645,55.119354838709675,-3.03709677419355
2005-04-01,55.35666666666667,301.90000000000003,12.600000000000009,30,4.46,13,1,1.18,0,0,14.206666666666667,41.32666666666667,1.5285000000000082
2005-05-01,60.04516129032258,176.2,22.599999999999994,31,3.76,12,1,0.0,0,0,11.85483870967742,35.71290322580645,-3.9312903225806437
2005-06-01,74.99333333333334,0.0,299.79999999999995,30,3.81,9,1,0.0,6,0,10.273333333333333,35.343333333333334,3.1886666666666628
2005-07-01,73.98387096774194,0.0,278.50000000000006,31,3.4200000000000004,14,1,0.0,2,0,9.661290322580646,30.02258064516129,-0.4198387096774212
2005-08-01,72.62258064516129,0.0,236.29999999999995,31,5.84,11,2,0.0,6,0,8.990322580645161,28.438709677419357,-0.4295161290322511
2005-09-01,67.03,27.5,88.40000000000003,30,5.7,9,1,0.0,0,0,10.066666666666666,27.290000000000003,0.4689999999999941
2005-10-01,52.99354838709677,385.09999999999997,12.900000000000006,31,2.03,10,0,0.0,0,4,11.003225806451614,50.099999999999994,-1.7625806451613002
2005-11-01,44.77333333333333,606.8,0.0,30,3.44,12,1,1.18,0,13,16.12333333333333,57.63666666666666,1.4465000000000003
2005-12-01,28.26774193548387,1138.7,0.0,31,1.4200000000000002,11,0,24.419999999999998,0,24,14.0,74.16774193548386,-5.554032258064524
2006-01-01,39.78064516129032,781.8,0.0,31,2.68,13,0,2.36,0,17,16.532258064516128,68.4483870967742,10.628064516129037
2006-02-01,32.489285714285714,910.3,0.0,28,1.54,8,0,3.15,0,23,15.535714285714286,61.896428571428565,0.5432758620689668
2006-03-01,40.21935483870968,768.1999999999998,0.0,31,3.49,13,1,3.15,0,20,14.464516129032257,59.73548387096774,-1.5403225806451672
2006-04-01,55.79333333333333,280.80000000000007,4.6000000000000085,30,2.97,14,0,0.0,0,1,15.636666666666667,39.85666666666667,1.9651666666666685
2006-05-01,60.66451612903226,199.6,65.19999999999999,31,3.37,16,0,0.0,2,0,12.870967741935484,52.064516129032256,-3.3119354838709683
2006-06-01,69.44,15.300000000000004,148.50000000000003,30,5.07,13,0,0.0,0,0,11.879999999999999,44.28666666666666,-2.364666666666679
2006-07-01,76.1258064516129,0.0,344.9,31,5.45,14,1,0.0,8,0,11.387096774193548,40.7,1.7220967741935453
2006-08-01,75.49032258064516,0.0,325.19999999999993,31,3.47,14,0,0.0,6,0,9.751612903225807,35.73870967741936,2.4382258064516122
2006-09-01,63.419999999999995,85.6,38.19999999999999,30,5.48,13,1,0.0,0,0,11.136666666666667,54.44666666666667,-3.1410000000000124
2006-10-01,52.645161290322584,393.5,10.5,31,6.08,12,3,0.0,0,0,13.919354838709678,52.53548387096774,-2.1109677419354895
