date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,27.02258064516129,1177.2999999999997,0.0,31,3.8200000000000003,14,1,81.72,0,28,16.112903225806452,61.26451612903226,-1.9417741935483832
2000-02-01,37.29655172413793,803.4000000000002,0.0,29,2.65,10,1,69.67,0,22,14.424137931034483,63.37586206896552,5.6121736453201905
2000-03-01,46.08064516129032,586.5,0.0,31,2.9299999999999997,7,0,1.18,0,10,15.287096774193548,52.02258064516129,4.601935483870967
2000-04-01,51.416666666666664,407.79999999999995,0.29999999999999716,30,5.08,10,2,0.0,0,5,14.966666666666667,54.65333333333333,-2.1216666666666697
2000-05-01,65.05806451612904,81.99999999999997,83.80000000000001,31,5.3999999999999995,12,1,0.0,0,0,15.738709677419354,54.91612903225807,1.354032258064521
2000-06-01,71.53333333333333,21.9,217.9,30,3.29,12,0,0.0,1,0,15.22,46.76,-0.1496666666666755
2000-07-01,71.92258064516129,1.7000000000000028,216.3,31,4.26,8,0,0.0,0,0,12.47741935483871,48.480645161290326,-2.807741935483861
2000-08-01,71.14516129032258,5.20000000000001,195.7,31,4.65,14,1,0.0,0,0,12.793548387096775,40.95161290322581,-2.4275806451612993
2000-09-01,64.03333333333333,119.4,90.4,30,4.4399999999999995,14,1,0.0,0,0,13.076666666666666,43.51,-2.967333333333329
2000-10-01,56.564516129032256,272.59999999999997,11.099999999999994,31,2.96,5,1,0.0,0,4,11.035483870967743,39.75483870967742,1.608870967741936
2000-11-01,41.06666666666667,718.0,0.0,30,2.31,11,0,0.0,0,13,14.406666666666666,67.11333333333333,-2.370666666666665
2000-12-01,23.906451612903226,1273.9,0.0,31,3.21,10,1,45.58,0,29,16.12258064516129,73.62258064516129,-9.904516129032253
2001-01-01,29.94516129032258,1086.7,0.0,31,1.27,10,0,29.23,0,28,13.612903225806452,64.80322580645162,0.9808064516129065
2001-02-01,35.364285714285714,829.7999999999998,0.0,28,1.5,10,0,3.54,0,19,15.835714285714287,74.28928571428571,3.679907635467977
2001-03-01,37.906451612903226,839.9,0.0,31,1.05,4,0,1.18,0,17,15.100000000000001,64.86774193548388,-3.5722580645161273
2001-04-01,56.526666666666664,300.09999999999997,45.900000000000006,30,4.18,11,1,0.0,0,5,16.406666666666666,46.13666666666666,2.9883333333333297
