date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,26.261290322580646,1200.9,0.0,31,2.18,11,1,57.21,0,26,16.13225806451613,83.4483870967742,-0.29725806451612513
2000-02-01,33.665517241379305,908.7,0.0,29,1.72,12,0,56.58,0,23,14.710344827586209,74.83448275862068,4.864519704433494
2000-03-01,42.94516129032258,684.2,0.5,31,1.94,12,0,1.97,0,12,15.841935483870968,67.51935483870967,5.42274193548387
2000-04-01,47.983333333333334,510.4999999999999,0.0,30,4.86,13,2,1.18,0,9,14.306666666666667,72.09666666666666,-1.9804999999999993
2000-05-01,60.95483870967742,180.29999999999995,54.89999999999999,31,5.03,17,0,0.0,0,0,13.670967741935485,70.20645161290322,0.747096774193551
2000-06-01,68.01666666666667,57.9,148.39999999999998,30,5.53,18,1,0.0,0,0,13.763333333333332,68.91666666666667,0.14983333333333348
2000-07-01,67.2741935483871,19.700000000000017,90.2,31,5.38,16,1,0.0,0,0,10.990322580645161,62.599999999999994,-4.295806451612904
2000-08-01,67.43548387096774,31.199999999999996,106.7,31,4.72,13,1,0.0,0,0,11.438709677419356,60.690322580645166,-2.642741935483869
2000-09-01,61.25333333333333,177.10000000000002,64.7,30,3.56,13,1,0.0,0,0,12.906666666666666,57.693333333333335,-2.4991666666666674
2000-10-01,53.46774193548387,357.5,0.0,31,2.93,12,1,0.0,0,3,11.8,56.75806451612903,1.0830645161290278
2000-11-01,38.693333333333335,789.2,0.0,30,1.78,15,0,11.35,0,16,14.2,84.21666666666667,-3.0181666666666658
2000-12-01,21.625806451612902,1344.5999999999997,0.0,31,3.13,15,1,78.03999999999999,0,30,15.319354838709677,88.8258064516129,-10.353387096774195
2001-01-01,27.403225806451612,1165.5,0.0,31,1.29,12,0,134.08,0,28,13.638709677419355,84.66774193548386,0.8446774193548414
2001-02-01,31.910714285714285,926.5000000000001,0.0,28,1.81,12,0,12.149999999999999,0,23,16.24642857142857,85.96428571428571,3.1097167487684736
2001-03-01,33.403225806451616,979.5,0.0,31,2.18,16,0,23.11,0,23,14.69032258064516,80.59354838709677,-4.119193548387095
2001-04-01,51.92666666666666,413.09999999999997,20.89999999999999,30,3.39,16,0,0.0,0,7,15.773333333333333,63.89333333333333,1.9628333333333288
2001-05-01,59.20322580645161,203.19999999999996,23.500000000000014,31,5.47,17,0,0.0,0,0,13.370967741935484,72.14838709677419,-1.004516129032254
