date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,39.667741935483875,785.3,0.0,31,0.9400000000000001,5,0,0.0,0,18,13.374193548387098,36.12580645161291,
2000-02-01,47.57241379310344,505.3999999999999,0.0,29,1.46,4,0,0.0,0,12,15.637931034482758,31.73793103448276,
2000-03-01,52.46451612903226,389.7,1.0999999999999943,31,3.59,16,0,0.0,0,5,14.341935483870968,41.76129032258064,
2000-04-01,59.74,184.3,26.5,30,3.2399999999999998,7,1,0.0,0,1,15.023333333333333,29.45,
2000-05-01,71.25806451612904,25.5,219.49999999999997,31,11.360000000000001,11,3,0.0,5,0,15.422580645161291,35.00645161290323,
2000-06-01,74.16000000000001,0.7999999999999972,275.5999999999999,30,6.27,12,1,0.0,1,0,14.053333333333335,40.53,
2000-07-01,80.30967741935484,0.0,474.6,31,3.94,8,1,0.0,18,0,13.238709677419356,14.461290322580645,
2000-08-01,83.99354838709678,0.0,588.8000000000001,31,0.2,1,0,0.0,29,0,12.600000000000001,2.587096774193548,
2000-09-01,74.23666666666666,43.29999999999999,320.4,30,1.28,1,1,0.0,14,0,12.783333333333333,9.366666666666667,
2000-10-01,63.55806451612903,130.6,85.89999999999998,31,6.3,14,2,0.0,3,2,13.93225806451613,38.829032258064515,
2000-11-01,42.89,664.5,1.2000000000000028,30,3.79,11,0,0.0,0,18,11.26,38.35333333333333,-6.615000000000002
2000-12-01,29.161290322580644,1111.0,0.0,31,1.47,7,0,0.0,0,29,12.274193548387096,45.25483870967742,
2001-01-01,34.53548387096774,944.3999999999999,0.0,31,2.46,8,1,0.0,0,27,11.074193548387097,32.880645161290325,
2001-02-01,40.74285714285714,679.9999999999999,0.7999999999999972,28,3.72,9,1,0.0,0,16,14.735714285714286,49.725,
2001-03-01,46.809677419354834,563.9,0.0,31,1.08,6,0,0.0,0,7,11.825806451612904,38.82258064516129,
2001-04-01,65.68666666666667,94.0,114.60000000000001,30,1.46,5,0,0.0,0,1,17.23,34.733333333333334,
2001-05-01,69.4483870967742,21.500000000000007,159.39999999999998,31,8.27,14,3,0.0,0,0,14.12258064516129,31.30322580645161,
2001-06-01,77.86999999999999,0.0,386.1,30,3.72,6,2,0.0,9,0,13.696666666666665,20.63,
2001-07-01,85.81935483870969,0.0,645.4,31,0.4,2,0,0.0,27,0,12.735483870967743,10.070967741935483,
2001-08-01,83.92258064516129,0.0,586.6,31,1.32,4,0,0.0,28,0,12.40967741935484,13.883870967741935,
2001-09-01,70.49,29.200000000000003,193.89999999999998,30,2.43,6,0,0.0,5,0,10.843333333333334,24.513333333333332,
2001-10-01,60.096774193548384,187.99999999999994,35.999999999999986,31,3.52,5,2,0.0,0,1,15.109677419354838,21.68064516129032,
2001-11-01,53.99333333333333,335.9,5.700000000000003,30,3.03,7,1,0.0,0,6,12.69,42.519999999999996,4.48833333333333
2001-12-01,42.16129032258065,711.4000000000001,3.3999999999999915,31,1.9,5,1,0.0,0,19,13.151612903225805,27.929032258064513,
2002-01-01,39.248387096774195,798.3,0.0,31,2.81,6,1,0.0,0,24,13.96774193548387,24.206451612903226,
2002-02-01,41.23571428571428,665.4000000000001,0.0,28,1.1,5,0,0.0,0,19,14.082142857142857,24.614285714285717,
2002-03-01,46.87096774193548,564.4,2.4000000000000057,31,2.83,6,0,0.0,0,11,16.54516129032258,37.15161290322581,
2002-04-01,62.50333333333333,146.7,71.8,30,3.81,11,1,0.0,0,1,15.756666666666666,38.35666666666667,
2002-05-01,67.30645161290323,58.7,130.2,31,5.1499999999999995,12,2,0.0,1,0,14.370967741935484,47.483870967741936,
2002-06-01,77.60666666666665,0.0,378.19999999999993,30,4.88,8,1,0.0,7,0,12.436666666666667,21.45,
2002-07-01,81.22258064516129,0.0,502.90000000000003,31,2.66,6,0,0.0,19,0,12.083870967741936,18.89032258064516,
