date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,40.02903225806452,774.1,0.0,31,7.109999999999999,21,0,0.0,0,10,14.880645161290323,70.62258064516129,-1.244193548387095
2000-02-01,43.5103448275862,623.1999999999999,0.0,29,6.88,19,1,0.0,0,6,11.831034482758621,65.1103448275862,0.5260775862068954
2000-03-01,44.63548387096775,631.3000000000001,0.0,31,3.01,15,0,0.0,0,4,12.174193548387096,58.9483870967742,-2.1901612903225782
2000-04-01,51.833333333333336,395.00000000000006,0.0,30,1.25,11,0,0.0,0,1,12.526666666666667,45.013333333333335,1.183166666666672
2000-05-01,55.248387096774195,302.30000000000007,0.0,31,1.6400000000000001,14,0,0.0,0,0,13.870967741935484,66.08709677419354,-1.7685483870967715
2000-06-01,63.41,99.19999999999999,51.5,30,0.78,6,0,0.0,3,0,13.773333333333333,32.06333333333333,1.0278333333333265
2000-07-01,65.84516129032258,41.70000000000001,67.90000000000003,31,0.1,2,0,0.0,2,0,12.496774193548386,34.41290322580645,-2.7666129032258056
2000-08-01,65.49354838709677,47.3,62.60000000000001,31,0.030000000000000002,1,0,0.0,0,0,12.670967741935485,21.664516129032258,-2.9346774193548413
2000-09-01,62.19666666666667,116.5,32.400000000000006,30,0.78,6,0,0.0,0,0,12.563333333333333,43.223333333333336,-0.6389999999999958
2000-10-01,53.34838709677419,361.2,0.0,31,2.42,10,0,0.0,0,0,11.887096774193548,49.9483870967742,-0.4114516129032353
2000-11-01,41.49,705.3000000000001,0.0,30,2.59,11,0,0.0,0,12,10.69,48.66,-4.127333333333333
2000-12-01,40.487096774193546,759.9000000000002,0.0,31,3.82,14,0,0.0,0,9,11.274193548387096,59.851612903225806,-0.20887096774193736
2001-01-01,40.70967741935484,753.0000000000001,0.0,31,1.86,12,0,0.0,0,10,11.438709677419356,56.65806451612904,-0.5635483870967732
2001-02-01,41.75714285714286,650.8000000000001,0.0,28,1.27,12,0,0.0,0,12,11.682142857142859,49.542857142857144,-1.227124384236447
2001-03-01,47.16129032258065,553.0,0.0,31,2.89,17,0,0.0,0,2,13.258064516129032,57.535483870967745,0.33564516129032285
2001-04-01,48.11333333333334,506.6000000000001,0.0,30,2.55,15,0,0.0,0,3,14.036666666666667,63.473333333333336,-2.536833333333327
2001-05-01,57.851612903225806,243.2,21.60000000000001,31,1.4700000000000002,5,1,0.0,1,0,13.348387096774195,24.519354838709678,0.8346774193548399
2001-06-01,58.86666666666667,192.0,8.0,30,1.93,10,0,0.0,0,0,12.673333333333334,46.126666666666665,-3.515500000000003
2001-07-01,65.54193548387097,38.80000000000001,55.599999999999994,31,0.21999999999999997,3,0,0.0,0,0,12.374193548387098,31.993548387096777,-3.0698387096774127
2001-08-01,66.77741935483871,16.700000000000003,71.80000000000004,31,0.79,3,0,0.0,2,0,11.874193548387098,24.838709677419356,-1.650806451612894
2001-09-01,63.05,88.30000000000001,29.799999999999997,30,0.58,3,0,0.0,0,0,10.696666666666665,23.516666666666666,0.21433333333332882
2001-10-01,53.08387096774193,369.4,0.0,31,4.74,14,1,0.0,0,0,13.303225806451614,57.722580645161294,-0.6759677419354944
2001-11-01,47.91,512.6999999999999,0.0,30,12.47,20,3,0.0,0,3,15.979999999999999,76.53333333333333,2.292666666666662
2001-12-01,42.067741935483866,710.9,0.0,31,11.36,26,3,0.0,0,3,20.574193548387097,78.50645161290322,1.371774193548383
2002-01-01,41.46451612903226,729.5999999999999,0.0,31,8.74,21,1,0.0,0,5,16.39032258064516,82.30967741935484,0.19129032258064882
2002-02-01,43.589285714285715,599.4999999999999,0.0,28,3.79,12,2,0.0,0,6,13.678571428571429,49.73571428571428,0.6050184729064085
2002-03-01,43.88709677419355,654.5000000000001,0.0,31,4.49,15,2,0.0,0,5,15.561290322580644,61.432258064516134,-2.9385483870967732
2002-04-01,50.72666666666667,428.20000000000005,0.0,30,1.84,11,0,0.0,0,0,13.626666666666667,56.38333333333333,0.0765000000000029
2002-05-01,54.18064516129032,335.3999999999999,0.0,31,1.54,13,0,0.0,0,1,12.361290322580645,52.406451612903226,-2.836290322580645
2002-06-01,62.31333333333334,122.20000000000002,41.60000000000001,30,1.3800000000000001,6,0,0.0,2,0,13.346666666666666,40.093333333333334,-0.06883333333333042
2002-07-01,68.46774193548387,13.5,121.0,31,0.12,2,0,0.0,6,0,13.303225806451612,16.106451612903225,-0.14403225806451303
2002-08-01,67.92903225806452,21.00000000000002,111.80000000000001,31,0.04,1,0,0.0,4,0,14.687096774193549,43.05483870967742,-0.4991935483870833
2002-09-01,63.93,73.8,41.70000000000002,30,1.1099999999999999,4,0,0.0,0,0,13.436666666666667,46.32666666666667,1.0943333333333314
2002-10-01,53.78387096774193,347.70000000000005,0.0,31,0.63,3,0,0.0,0,0,12.706451612903225,51.31935483870968,0.024032258064508483
2002-11-01,47.4,528.0,0.0,30,1.97,10,0,0.0,0,2,13.873333333333333,64.49666666666667,1.782666666666664
2002-12-01,43.24516129032258,674.3999999999997,0.0,31,8.07,22,1,0.0,0,2,17.88064516129032,84.86774193548388,2.5491935483870947
2003-01-01,44.8,626.2,0.0,31,7.6899999999999995,16,1,0.0,0,7,12.606451612903227,55.42903225806452,3.526774193548384
2003-02-01,43.23571428571428,609.4000000000001,0.0,28,2.88,11,0,0.0,0,9,12.810714285714285,50.36785714285714,0.25144704433497367
2003-03-01,48.851612903225806,500.6,0.0,31,4.9,24,0,0.0,0,1,15.896774193548387,70.78064516129032,2.0259677419354816
2003-04-01,48.88,483.6000000000001,0.0,30,5.65,25,1,0.0,0,0,14.643333333333334,76.60333333333332,-1.7701666666666611
2003-05-01,55.8,291.4,6.200000000000003,31,1.78,11,0,0.0,0,0,11.899999999999999,46.59032258064516,-1.2169354838709694
2003-06-01,64.47333333333333,96.00000000000003,80.19999999999999,30,0.62,4,0,0.0,4,0,13.83,34.05,2.091166666666659
2003-07-01,70.03870967741935,7.299999999999997,163.49999999999994,31,0.0,0,0,0.0,8,0,13.303225806451614,10.835483870967742,1.4269354838709631
2003-08-01,68.09032258064516,5.399999999999984,101.19999999999997,31,0.04,1,0,0.0,2,0,12.345161290322581,21.283870967741933,-0.3379032258064427
2003-09-01,64.36999999999999,77.1,58.199999999999974,30,0.9400000000000001,3,0,0.0,4,0,12.493333333333334,27.9,1.534333333333322
2003-10-01,56.65161290322581,268.2,9.400000000000006,31,2.53,12,0,0.0,0,0,14.348387096774195,48.4741935483871,2.891774193548386
2003-11-01,43.81666666666667,635.4999999999999,0.0,30,5.04,16,1,0.0,0,5,14.256666666666666,68.16,-1.8006666666666646
2003-12-01,41.938709677419354,714.9,0.0,31,9.93,27,2,3.15,0,4,12.932258064516128,69.6258064516129,1.2427419354838705
2004-01-01,39.39032258064516,793.8999999999997,0.0,31,6.71,24,0,19.3,0,8,12.829032258064515,78.72258064516129,-1.8829032258064515
2004-02-01,43.606896551724134,620.4,0.0,29,5.16,17,0,0.0,0,6,11.817241379310344,64.75862068965517,0.622629310344827
2004-03-01,49.26774193548387,487.7,0.0,31,1.42,8,0,0.0,0,0,13.764516129032257,43.07741935483871,2.442096774193544
2004-04-01,52.78333333333333,366.49999999999983,0.0,30,2.15,10,0,0.0,0,0,13.333333333333334,38.75333333333333,2.1331666666666678
2004-05-01,56.78064516129032,254.80000000000004,0.0,31,2.08,13,0,0.0,0,0,12.816129032258065,62.65161290322581,-0.23629032258064342
2004-06-01,63.09666666666667,102.19999999999999,45.09999999999998,30,1.8,7,0,0.0,1,0,13.583333333333334,45.68,0.714500000000001
2004-07-01,69.59032258064516,9.399999999999999,151.7,31,0.09,2,0,0.0,4,0,12.94516129032258,20.23548387096774,0.9785483870967795
2004-08-01,69.3967741935484,10.599999999999994,146.89999999999998,31,1.1,6,0,0.0,6,0,13.558064516129033,27.519354838709678,0.9685483870967886
2004-09-01,60.28666666666666,141.9,0.5,30,2.04,8,0,0.0,0,0,11.223333333333333,50.89666666666667,-2.5490000000000066
2004-10-01,53.932258064516134,343.1,0.0,31,3.5900000000000003,15,0,0.0,0,0,12.280645161290321,54.667741935483875,0.17241935483870918
2004-11-01,43.74,637.8000000000001,0.0,30,2.15,9,1,0.0,0,5,10.756666666666666,68.82333333333332,-1.8773333333333326
2004-12-01,42.49677419354839,697.6,0.0,31,3.99,17,0,0.0,0,2,12.393548387096773,72.35161290322581,1.8008064516129068
2005-01-01,41.73225806451613,721.3000000000001,0.0,31,1.53,12,0,0.0,0,9,13.16451612903226,57.23225806451613,0.45903225806451786
2005-02-01,40.71071428571429,680.0999999999999,0.0,28,0.53,5,0,0.0,0,13,10.578571428571427,39.17142857142857,-2.273552955665018
2005-03-01,48.42258064516129,513.9,0.0,31,4.16,12,2,0.0,0,1,13.04516129032258,52.32258064516129,1.5969354838709648
2005-04-01,50.52333333333333,434.3,0.0,30,2.91,14,0,0.0,0,0,13.503333333333334,61.593333333333334,-0.12683333333333024
2005-05-01,57.777419354838706,241.3,17.39999999999999,31,4.87,17,0,0.0,0,0,13.16451612903226,60.87096774193548,0.7604838709677395
2005-06-01,59.480000000000004,170.9,5.299999999999997,30,1.83,10,0,0.0,0,0,12.546666666666669,60.21,-2.902166666666666
2005-07-01,68.85161290322581,13.499999999999986,132.89999999999998,31,0.22,4,0,0.0,6,0,12.85483870967742,28.467741935483872,0.2398387096774286
2005-08-01,68.58064516129032,9.799999999999997,120.80000000000001,31,0.07,1,0,0.0,7,0,12.54516129032258,11.958064516129031,0.15241935483871316
2005-09-01,60.24666666666667,152.2,9.599999999999994,30,1.02,3,0,0.0,0,0,11.406666666666666,23.3,-2.5889999999999986
2005-10-01,54.16129032258065,335.9999999999999,0.0,31,2.9699999999999998,17,0,0.0,0,0,11.893548387096773,64.65161290322581,0.40145161290322307
2005-11-01,42.13666666666666,685.9,0.0,30,6.14,15,1,0.0,0,13,13.003333333333332,52.16,-3.4806666666666715
