date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,35.33870967741935,919.5,0.0,31,1.49,16,0,0.0,0,20,14.02258064516129,60.71290322580645,0.628548387096771
2000-02-01,38.90344827586207,756.8,0.0,29,2.7800000000000002,14,0,0.0,0,13,10.744827586206897,58.36896551724138,1.3814470443349762
2000-03-01,44.44516129032258,637.2,0.0,31,1.9300000000000002,13,0,1.18,0,10,14.158064516129032,38.03548387096774,-0.8079032258064487
2000-04-01,54.806666666666665,306.09999999999997,0.29999999999999716,30,0.65,6,0,0.0,0,0,16.016666666666666,25.27,3.2508333333333397
2000-05-01,59.729032258064514,187.59999999999997,24.200000000000003,31,1.7200000000000002,14,0,0.0,0,0,17.41290322580645,35.038709677419355,-0.47274193548387444
2000-06-01,67.96,38.500000000000014,127.3,30,0.6000000000000001,3,0,0.0,7,0,15.963333333333333,12.996666666666668,0.6973333333333329
2000-07-01,73.3258064516129,6.3999999999999915,264.5,31,0.06,2,0,0.0,15,0,15.716129032258063,5.841935483870968,-2.486129032258063
2000-08-01,72.38064516129033,8.099999999999994,236.89999999999998,31,0.0,0,0,0.0,11,0,15.593548387096773,3.7709677419354835,-1.1599999999999824
2000-09-01,61.38,154.29999999999998,45.699999999999974,30,1.54,8,0,0.0,0,2,14.043333333333333,26.459999999999997,-2.3443333333333314
2000-10-01,49.78064516129032,471.80000000000007,0.0,31,2.06,8,0,0.0,0,4,12.01290322580645,28.177419354838708,-1.61758064516129
2000-11-01,34.730000000000004,908.1,0.0,30,1.56,8,0,0.0,0,23,10.806666666666667,55.10666666666667,-5.564499999999995
2000-12-01,31.174193548387095,1048.6,0.0,31,0.8,10,0,0.0,0,31,11.558064516129033,72.61612903225806,-2.523870967741942
2001-01-01,33.3,982.6999999999998,0.0,31,1.04,10,0,0.0,0,24,10.067741935483872,72.5516129032258,-1.4101612903225842
2001-02-01,35.66428571428572,821.4,0.0,28,0.58,7,0,0.0,0,22,10.975,57.9,-1.857715517241374
2001-03-01,45.33548387096774,609.6,0.0,31,0.8,8,0,0.0,0,12,15.541935483870969,31.75483870967742,0.08241935483871288
2001-04-01,49.21666666666667,475.59999999999997,2.0999999999999943,30,2.0300000000000002,9,0,0.0,0,3,15.086666666666668,41.940000000000005,-2.3391666666666566
2001-05-01,60.96774193548387,188.7,63.7,31,0.53,8,0,0.0,4,0,15.03225806451613,10.974193548387097,0.7659677419354836
2001-06-01,63.8,90.4,54.400000000000006,30,1.08,9,0,0.0,2,0,16.166666666666668,27.316666666666666,-3.4626666666666637
2001-07-01,72.79354838709678,7.700000000000003,249.30000000000007,31,0.49,5,0,0.0,13,0,14.98709677419355,10.829032258064515,-3.018387096774191
2001-08-01,74.36774193548388,3.3999999999999986,293.80000000000007,31,0.13,2,0,0.0,16,0,13.135483870967741,4.45483870967742,0.8270967741935635
2001-09-01,65.87666666666667,60.300000000000004,86.60000000000005,30,0.1,2,0,0.0,2,0,14.29,6.816666666666666,2.152333333333331
2001-10-01,51.31935483870968,424.09999999999997,0.0,31,1.9000000000000001,8,0,0.0,0,2,16.148387096774194,30.325806451612905,-0.0788709677419348
2001-11-01,42.28333333333333,681.5,0.0,30,1.21,12,0,0.0,0,8,14.226666666666667,44.64666666666667,1.9888333333333321
2001-12-01,36.96774193548387,868.9999999999999,0.0,31,0.91,12,0,0.0,0,19,15.841935483870968,66.33870967741936,3.269677419354835
2002-01-01,37.55483870967742,850.8000000000001,0.0,31,0.63,10,0,0.0,0,19,16.22258064516129,57.05806451612903,2.844677419354838
2002-02-01,37.88928571428572,759.1,0.0,28,0.88,4,0,0.0,0,22,15.950000000000001,26.09642857142857,0.36728448275862746
2002-03-01,41.61612903225806,724.9000000000001,0.0,31,0.95,9,0,0.0,0,14,17.60967741935484,49.31612903225806,-3.636935483870971
2002-04-01,51.059999999999995,418.20000000000005,0.0,30,1.44,7,0,0.0,0,5,15.666666666666666,28.816666666666666,-0.49583333333333
2002-05-01,57.57741935483871,235.80000000000004,5.700000000000003,31,1.06,8,0,0.0,0,1,16.15483870967742,27.887096774193548,-2.624354838709678
2002-06-01,68.18333333333334,56.99999999999999,152.49999999999997,30,1.34,8,0,0.0,7,0,16.573333333333334,16.586666666666666,0.9206666666666763
2002-07-01,76.64516129032258,1.8999999999999986,362.9,31,0.06,3,0,0.0,21,0,16.94516129032258,2.325806451612903,0.8332258064516083
2002-08-01,71.51935483870967,3.1000000000000014,205.20000000000002,31,0.04,1,0,0.0,9,0,14.541935483870969,5.493548387096775,-2.02129032258064
2002-09-01,63.586666666666666,99.4,57.000000000000014,30,0.14,2,0,0.0,3,0,13.616666666666667,10.26,-0.13766666666666794
2002-10-01,47.92580645161291,529.3,0.0,31,0.6300000000000001,3,0,0.0,0,13,10.925806451612903,15.780645161290321,-3.4724193548387063
2002-11-01,40.13,746.1,0.0,30,0.30000000000000004,7,0,0.0,0,14,10.403333333333334,35.763333333333335,-0.16449999999999676
2002-12-01,39.26129032258064,797.9000000000001,0.0,31,3.09,14,0,0.0,0,12,12.55483870967742,71.50645161290322,5.563225806451605
