date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,40.0258064516129,774.2000000000002,0.0,31,7.13,21,0,0.0,0,10,14.95483870967742,70.4483870967742,-1.328548387096781
2000-02-01,43.5551724137931,621.9000000000001,0.0,29,6.74,19,1,0.0,0,6,11.844827586206897,64.72413793103448,0.525997536945809
2000-03-01,44.60322580645161,632.3000000000001,0.0,31,3.02,15,0,0.0,0,4,12.229032258064517,58.696774193548386,-2.2627419354838736
2000-04-01,51.806666666666665,395.80000000000007,0.0,30,1.24,11,0,0.0,0,1,12.596666666666666,44.36333333333334,1.1089999999999947
2000-05-01,55.20967741935484,303.5,0.0,31,1.6,14,0,0.0,0,0,13.958064516129031,65.8,-1.8793548387096735
2000-06-01,63.38333333333333,99.80000000000001,51.3,30,0.77,6,0,0.0,3,0,13.796666666666669,31.453333333333333,0.9083333333333314
2000-07-01,65.83548387096775,41.899999999999984,67.80000000000001,31,0.1,2,0,0.0,2,0,12.551612903225807,34.11612903225806,-2.9332258064516026
2000-08-01,65.48709677419355,47.79999999999999,62.90000000000002,31,0.030000000000000002,1,0,0.0,0,0,12.719354838709679,21.161290322580644,-3.1028862478777626
2000-09-01,62.16,117.60000000000002,32.40000000000002,30,0.75,5,0,0.0,0,0,12.616666666666667,42.85666666666667,-0.7336116152450103
2000-10-01,53.3258064516129,361.9,0.0,31,2.41,9,0,0.0,0,0,11.887096774193548,49.60322580645161,-0.46655348047538325
2000-11-01,41.46666666666667,706.0,0.0,30,2.58,11,0,0.0,0,12,10.713333333333333,48.3,-4.051228070175441
2000-12-01,40.47741935483871,760.2000000000002,0.0,31,3.71,14,0,0.0,0,9,11.238709677419354,59.15806451612904,-0.12173174872665271
2001-01-01,40.7,753.3000000000002,0.0,31,1.87,12,0,0.0,0,10,11.435483870967742,56.196774193548386,-0.6543548387096791
2001-02-01,41.771428571428565,650.4000000000001,0.0,28,1.28,12,0,0.0,0,12,11.696428571428571,49.125,-1.2577463054187277
2001-03-01,47.15806451612904,553.1,0.0,31,2.87,17,0,0.0,0,2,13.329032258064515,57.17741935483871,0.29209677419355273
2001-04-01,48.1,507.00000000000006,0.0,30,2.54,15,0,0.0,0,3,14.276666666666667,63.233333333333334,-2.597666666666669
2001-05-01,57.79032258064516,244.7,21.19999999999999,31,1.48,5,1,0.0,1,0,13.506451612903225,23.970967741935485,0.7012903225806468
2001-06-01,58.9,191.00000000000003,8.0,30,1.93,10,0,0.0,0,0,12.686666666666667,45.029999999999994,-3.575000000000003
2001-07-01,65.54193548387097,39.10000000000001,55.89999999999998,31,0.19,3,0,0.0,0,0,12.406451612903227,31.593548387096774,-3.22677419354838
2001-08-01,66.73225806451612,16.89999999999999,70.6,31,0.79,3,0,0.0,2,0,11.929032258064517,24.26774193548387,-1.8577249575551917
2001-09-01,63.07333333333334,87.9,30.100000000000023,30,0.58,3,0,0.0,0,0,10.620000000000001,22.209999999999997,0.17972171808833082
2001-10-01,52.5258064516129,386.70000000000005,0.0,31,3.08,9,0,0.0,0,0,11.04516129032258,38.63548387096775,-1.2665534804753804
2001-11-01,46.49666666666667,555.1,0.0,30,7.97,19,2,0.0,0,3,12.389999999999999,51.40333333333333,0.9787719298245605
2001-12-01,41.36451612903225,732.7,0.0,31,6.61,20,2,0.0,0,3,13.62258064516129,57.832258064516125,0.7653650254668918
2002-01-01,41.622580645161285,724.6999999999998,0.0,31,8.31,20,1,0.0,0,5,15.338709677419354,81.66129032258064,0.26822580645160343
2002-02-01,43.625,598.4999999999999,0.0,28,3.62,13,2,0.0,0,7,13.653571428571428,48.364285714285714,0.5958251231527072
2002-03-01,43.725806451612904,659.5000000000001,0.0,31,4.3,15,2,0.0,0,5,15.609677419354838,60.5774193548387,-3.140161290322581
2002-04-01,50.72,428.4,0.0,30,1.74,11,0,0.0,0,0,13.67,57.056666666666665,0.022333333333328653
2002-05-01,54.08387096774193,338.40000000000003,0.0,31,1.42,13,0,0.0,0,1,12.396774193548387,52.25483870967742,-3.005161290322583
2002-06-01,61.93333333333333,128.79999999999998,36.800000000000026,30,1.22,6,0,0.0,1,0,13.083333333333334,40.693333333333335,-0.5416666666666714
2002-07-01,68.53870967741935,13.800000000000004,123.49999999999999,31,0.03,1,0,0.0,6,0,13.338709677419354,14.935483870967742,-0.23000000000000398
2003-01-01,44.806451612903224,626.0,0.0,31,7.5,16,1,0.0,0,7,12.648387096774194,54.95483870967742,3.452096774193542
2003-02-01,43.21071428571429,610.1000000000001,0.0,28,2.9,11,0,0.0,0,9,12.860714285714286,50.15,0.18153940886699615
2003-03-01,48.854838709677416,500.5,0.0,31,4.89,24,0,0.0,0,1,16.00967741935484,70.50645161290322,1.9888709677419314
2003-04-01,48.85333333333333,484.4,0.0,30,5.67,25,1,0.0,0,0,14.72,76.44333333333334,-1.8443333333333385
