date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,29.042857142857144,1015.0000000000001,8.200000000000003,28,1.92,5,0,0.0,0,23,18.071428571428573,40.30357142857143,-1.1891244239631291
2000-02-01,33.04827586206896,926.6000000000003,0.0,29,2.5,9,0,0.0,0,21,15.041379310344826,43.148275862068964,0.6530049261083661
2000-03-01,45.696774193548386,598.4000000000002,0.0,31,6.16,10,1,0.0,0,10,17.383870967741935,37.89677419354839,4.671290322580646
2000-04-01,50.513333333333335,434.6,0.0,30,2.31,9,0,0.0,0,2,17.236666666666668,55.193333333333335,-1.8889999999999958
2000-05-01,62.78387096774193,134.7,66.0,31,3.9099999999999997,13,0,0.0,0,0,15.061290322580644,38.40967741935484,0.24177419354838747
2000-06-01,70.55,25.200000000000003,191.69999999999996,30,8.200000000000001,14,1,0.0,1,0,14.19,38.473333333333336,-0.7420000000000044
2000-07-01,70.53225806451613,2.700000000000003,174.2,31,1.79,8,0,0.0,0,0,10.95483870967742,42.622580645161285,-4.612903225806448
2000-08-01,70.83870967741936,8.300000000000004,189.29999999999995,31,1.31,9,0,0.0,0,0,12.44516129032258,39.15483870967742,-2.5346774193548356
2000-09-01,62.873333333333335,143.4,79.60000000000001,30,7.45,9,3,0.0,0,0,12.15,35.29333333333333,-3.9949999999999903
2000-10-01,53.561290322580646,355.1,0.5,31,0.78,5,0,0.0,0,0,12.283870967741937,23.851612903225806,-1.6614516129032282
2000-11-01,41.38333333333333,708.4999999999999,0.0,30,1.83,6,0,0.0,0,13,15.433333333333334,42.4,-2.88366666666667
2000-12-01,26.780645161290323,1184.7999999999997,0.0,31,4.41,4,2,0.0,0,31,17.812903225806455,39.667741935483875,-8.499677419354839
2001-01-01,28.816129032258065,1121.7,0.0,31,2.08,9,0,0.0,0,28,13.245161290322581,42.67741935483871,-1.4158525345622088
