date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,75.83870967741936,0.0,336.0,31,2.9,23,0,0.0,0,0,17.009677419354837,48.196774193548386,-1.077419354838696
2000-02-01,76.11379310344829,0.0,322.3,29,1.11,19,0,0.0,0,0,15.46206896551724,51.327586206896555,-0.8606096059113213
2000-03-01,76.0,0.0,340.99999999999994,31,1.11,17,0,0.0,0,0,16.638709677419353,48.99677419354839,-1.5864516129032324
2000-04-01,78.77333333333334,0.0,413.20000000000005,30,1.3900000000000001,25,0,0.0,0,0,16.326666666666668,45.00666666666667,-0.2113333333333287
2000-05-01,80.26129032258065,0.0,473.1000000000001,31,5.1,23,1,0.0,0,0,15.412903225806453,46.561290322580646,-0.18870967741935374
2000-06-01,81.89333333333335,0.0,506.79999999999995,30,3.23,21,0,0.0,7,0,18.46333333333333,38.693333333333335,-0.2506666666666604
2000-07-01,82.60645161290323,0.0,545.8000000000001,31,3.8899999999999997,26,1,0.0,10,0,17.706451612903226,34.693548387096776,0.06790322580646091
2000-08-01,82.89354838709677,0.0,554.7,31,9.9,25,1,0.0,21,0,16.835483870967742,38.13548387096775,0.29048387096774775
2000-09-01,81.61,0.0,498.29999999999995,30,3.63,26,0,0.0,12,0,13.713333333333333,31.796666666666667,-0.6921666666666653
2000-10-01,81.02258064516128,0.0,496.7,31,4.15,19,0,0.0,4,0,13.229032258064517,26.693548387096776,-0.47096774193548185
2000-11-01,79.63000000000001,0.0,438.9,30,2.42,23,0,0.0,0,0,14.636666666666667,35.7,-0.11983333333331814
2000-12-01,77.99354838709678,0.0,402.8,31,3.3600000000000003,15,0,0.0,0,0,14.003225806451614,32.79032258064516,-0.06451612903225623
2001-01-01,76.71612903225805,0.0,363.19999999999993,31,3.13,17,0,0.0,0,0,14.135483870967741,39.58064516129032,-0.20000000000000284
2001-02-01,76.70714285714287,0.0,327.79999999999995,28,4.03,22,0,0.0,0,0,17.192857142857143,42.028571428571425,-0.2672598522167391
2001-03-01,78.24838709677418,0.0,410.7,31,1.67,16,0,0.0,0,0,16.338709677419356,33.33870967741935,0.6619354838709484
2001-04-01,79.28999999999999,0.0,428.70000000000005,30,2.7,20,0,0.0,2,0,17.236666666666668,43.29333333333333,0.3053333333333228
