date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,27.725806451612904,1155.5,0.0,31,4.18,6,2,16.54,0,25,18.89032258064516,60.05483870967742,-2.051290322580641
2000-02-01,33.87586206896552,902.6000000000001,0.0,29,2.43,7,1,22.84,0,21,17.46206896551724,60.90689655172414,2.0975431034482774
2000-03-01,42.99032258064516,682.3,0.0,31,5.33,8,3,2.36,0,7,18.58709677419355,62.519354838709674,4.503225806451617
2000-04-01,47.059999999999995,538.1999999999999,0.0,30,4.98,13,1,0.0,0,2,19.55,78.26333333333334,-1.9253333333333416
2000-05-01,58.33870967741935,230.5,24.0,31,3.74,11,0,0.0,2,0,16.84193548387097,71.47741935483872,-0.25387096774193196
2000-06-01,67.36666666666666,63.39999999999999,134.4,30,4.54,10,1,0.0,1,0,15.383333333333333,69.81333333333333,-0.0801666666666705
2000-07-01,70.29032258064517,2.4000000000000057,166.4,31,2.8899999999999997,9,0,0.0,0,0,14.206451612903226,71.34516129032258,-3.433709677419344
2000-08-01,69.71935483870968,4.800000000000004,151.1,31,2.44,13,0,0.0,0,0,13.980645161290324,66.3225806451613,-2.919838709677421
2000-09-01,63.49333333333333,116.19999999999999,71.00000000000003,30,3.74,10,1,0.0,0,0,14.583333333333334,57.47,-2.232833333333339
2000-10-01,52.983870967741936,372.59999999999997,0.09999999999999432,31,1.32,8,0,0.0,0,0,14.358064516129033,57.86129032258064,-1.6529032258064547
2000-11-01,43.13333333333333,656.0,0.0,30,4.69,7,2,0.0,0,8,13.770000000000001,68.05333333333333,-1.524333333333331
2000-12-01,29.335483870967742,1105.6000000000001,0.0,31,4.06,9,1,12.209999999999999,0,29,16.780645161290323,52.093548387096774,-6.201935483870969
2001-01-01,29.496774193548386,1100.6000000000001,0.0,31,2.41,9,0,42.13,0,29,13.887096774193548,56.66129032258065,-0.2803225806451586
2001-02-01,32.36785714285714,913.6999999999999,0.0,28,1.93,8,0,13.39,0,23,18.710714285714285,57.67142857142857,0.5895381773399002
2001-03-01,36.122580645161285,895.2,0.0,31,8.52,10,3,26.39,0,18,17.91290322580645,69.71290322580644,-2.3645161290322605
