date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,44.04838709677419,649.5,0.0,31,8.69,13,3,0.0,0,11,11.209677419354838,43.42580645161291,-1.876935483870966
2000-02-01,50.02413793103448,434.49999999999994,0.20000000000000284,29,1.17,4,0,0.0,0,8,10.786206896551725,18.74827586206897,0.3588546798029526
2000-03-01,58.95161290322581,196.0,8.5,31,4.29,6,2,0.0,0,0,11.880645161290323,33.20322580645161,2.1170967741935485
2000-04-01,61.69666666666667,127.69999999999999,28.60000000000001,30,1.91,7,0,0.0,0,0,13.333333333333334,39.79333333333333,-3.582833333333326
2000-05-01,76.01290322580645,0.0,341.40000000000003,31,0.87,4,0,0.0,7,0,12.674193548387096,21.070967741935487,2.9485483870967784
2000-06-01,79.57,0.0,437.1,30,3.6300000000000003,12,1,0.0,18,0,11.073333333333332,25.563333333333333,0.11199999999999477
2000-07-01,80.69677419354838,0.0,486.6,31,3.08,12,0,0.0,15,0,10.461290322580645,34.619354838709675,-0.8706451612903265
2000-08-01,80.0,0.0,464.99999999999994,31,3.79,8,0,0.0,14,0,9.387096774193548,31.009677419354837,-0.747741935483873
2000-09-01,72.66333333333334,9.29999999999999,239.2,30,6.26,11,2,0.0,1,0,10.213333333333333,44.309999999999995,-3.203000000000003
2000-10-01,62.512903225806454,119.8,42.69999999999999,31,0.0,0,0,0.0,0,0,7.570967741935483,12.603225806451613,-2.7311290322580675
2000-11-01,52.56666666666667,388.40000000000003,15.400000000000006,30,3.42,8,2,0.0,0,2,9.703333333333335,36.10333333333333,-1.9088333333333267
2000-12-01,38.09032258064516,834.1999999999998,0.0,31,0.9,9,0,0.0,0,18,10.741935483870968,44.28709677419354,-10.557419354838714
2001-01-01,44.53548387096774,634.3999999999999,0.0,31,1.91,5,0,0.0,0,16,10.890322580645162,42.670967741935485,-1.38983870967742
2001-02-01,52.07142857142857,361.99999999999994,0.0,28,1.95,6,0,0.0,0,2,11.182142857142859,50.028571428571425,2.406145320197041
2001-03-01,53.564516129032256,357.00000000000006,2.5,31,5.64,9,3,0.0,0,3,14.138709677419355,43.10322580645161,-3.270000000000003
2001-04-01,65.95666666666666,93.6,122.30000000000001,30,0.6599999999999999,7,0,0.0,1,0,13.356666666666666,32.87,0.6771666666666647
2001-05-01,73.30000000000001,0.0,257.3,31,3.86,11,2,0.0,3,0,11.861290322580645,31.73225806451613,0.23564516129033564
2001-06-01,77.89333333333335,0.0,386.79999999999995,30,3.9299999999999997,15,1,0.0,9,0,11.253333333333334,39.419999999999995,-1.5646666666666533
2001-07-01,79.73225806451612,0.0,456.7000000000001,31,5.45,17,1,0.0,11,0,10.293548387096775,38.39032258064516,-1.8351612903225885
2001-08-01,81.36129032258064,0.0,507.1999999999999,31,3.3,10,1,0.0,19,0,10.358064516129033,26.770967741935483,0.6135483870967704
2001-09-01,72.64666666666668,12.20000000000001,241.6,30,1.79,6,0,0.0,1,0,9.653333333333334,33.39,-3.2196666666666687
2001-10-01,62.564516129032256,146.7,71.20000000000002,31,0.16000000000000003,1,0,0.0,0,1,11.529032258064515,21.46451612903226,-2.6795161290322653
