date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,43.170967741935485,676.7,0.0,31,6.1000000000000005,15,2,6.3,0,13,14.806451612903226,42.351612903225806,-1.9477419354838688
2000-02-01,49.37586206896552,454.09999999999997,1.0,29,1.57,6,0,0.0,0,7,13.437931034482759,21.096551724137928,0.7262500000000003
2000-03-01,57.99354838709677,230.39999999999998,13.200000000000003,31,3.67,11,1,0.0,0,0,15.303225806451612,27.061290322580643,2.400483870967733
2000-04-01,60.943333333333335,147.1,25.39999999999999,30,3.87,12,0,0.0,0,0,15.623333333333333,35.940000000000005,-3.1651666666666713
2000-05-01,73.55806451612904,3.799999999999997,269.1,31,2.72,6,1,0.0,9,0,14.241935483870968,18.251612903225805,1.8045161290322653
2000-06-01,77.39666666666668,0.0,371.8999999999999,30,4.94,17,1,0.0,11,0,13.283333333333333,24.3,-0.9541666666666515
2000-07-01,78.49677419354839,0.0,418.40000000000003,31,7.430000000000001,16,3,0.0,12,0,11.896774193548387,33.306451612903224,-1.8958064516128985
2000-08-01,77.83870967741936,0.0,398.0000000000001,31,10.09,16,4,0.0,10,0,12.919354838709678,26.845161290322583,-1.5709677419354762
2000-09-01,73.00333333333333,9.999999999999993,250.1,30,9.33,12,4,0.0,0,0,12.49,43.0,-1.6231666666666626
2000-10-01,62.88387096774194,117.99999999999997,52.39999999999998,31,0.11,1,0,0.0,0,0,11.051612903225807,9.80967741935484,-1.6093548387096774
2000-11-01,52.919999999999995,377.3,14.899999999999991,30,4.42,6,2,0.0,0,3,11.683333333333334,27.753333333333334,-1.238500000000009
2000-12-01,39.190322580645166,800.1,0.0,31,1.92,11,0,0.0,0,18,13.770967741935483,40.75483870967742,-9.275967741935482
2001-01-01,45.05483870967742,619.0,0.7000000000000028,31,1.8900000000000001,8,0,0.0,0,14,13.396774193548387,32.65483870967742,-0.06387096774193424
2001-02-01,52.0,367.99999999999994,4.0,28,3.6100000000000003,10,1,0.0,0,2,13.821428571428571,39.4,3.350387931034483
2001-03-01,53.41612903225807,363.1,4.0,31,5.67,12,2,0.0,0,2,16.567741935483873,35.46451612903226,-2.1769354838709702
2001-04-01,65.0,110.3,110.30000000000001,30,1.46,7,0,0.0,2,0,15.033333333333333,18.88,0.8914999999999935
2001-05-01,72.01612903225806,0.0,217.50000000000006,31,4.48,15,1,0.0,4,0,13.600000000000001,22.01290322580645,0.2625806451612931
2001-06-01,76.07666666666667,0.0,332.30000000000007,30,10.55,14,4,0.0,3,0,12.643333333333334,28.16,-2.274166666666659
2001-07-01,77.21612903225805,0.0,378.70000000000005,31,7.819999999999999,15,3,0.0,3,0,12.212903225806452,32.1,-3.176451612903236
2001-08-01,79.35161290322581,0.0,444.8999999999999,31,10.73,14,4,0.0,15,0,12.503225806451614,15.754838709677419,-0.05806451612902208
2001-09-01,70.17666666666668,28.099999999999994,183.39999999999998,30,6.83,14,1,0.0,0,0,11.879999999999999,25.62666666666667,-4.449833333333316
2001-10-01,61.37096774193548,169.50000000000003,57.00000000000003,31,2.07,4,0,0.0,0,0,12.238709677419356,15.561290322580646,-3.1222580645161386
2001-11-01,59.266666666666666,196.79999999999998,24.80000000000001,30,1.84,8,1,0.0,0,2,11.786666666666667,24.636666666666667,5.108166666666662
2001-12-01,52.251612903225805,397.7,2.5,31,0.87,9,0,0.0,0,7,13.119354838709677,25.861290322580647,3.7853225806451576
2002-01-01,47.26774193548387,554.5000000000001,4.800000000000011,31,3.61,16,0,7.4799999999999995,0,10,13.193548387096774,34.04838709677419,2.1490322580645156
2002-02-01,48.11071428571428,480.2,7.299999999999997,28,1.6500000000000001,7,0,0.0,0,8,14.814285714285715,22.50357142857143,-0.5388977832512367
2002-03-01,57.00322580645161,266.59999999999997,18.700000000000003,31,6.25,11,2,0.0,0,4,14.616129032258065,36.645161290322584,1.41016129032257
2002-04-01,67.71666666666667,65.5,146.99999999999997,30,6.12,12,2,0.0,3,0,14.583333333333334,28.9,3.608166666666662
2002-05-01,68.91935483870968,52.4,173.89999999999998,31,10.13,12,4,0.0,0,0,14.635483870967741,27.02258064516129,-2.8341935483870913
2002-06-01,77.34666666666666,0.0,370.40000000000003,30,6.51,12,1,0.0,11,0,13.393333333333334,26.243333333333332,-1.0041666666666629
2002-07-01,81.12903225806451,0.0,500.0,31,9.190000000000001,17,3,0.0,19,0,12.561290322580644,23.76451612903226,0.7364516129032239
2002-08-01,78.51935483870967,0.0,419.0999999999999,31,16.689999999999998,16,5,0.0,15,0,12.896774193548387,30.57741935483871,-0.8903225806451616
2002-09-01,75.40333333333334,0.0,312.1,30,6.1,11,1,0.0,1,0,11.71,44.35,0.776833333333343
2002-10-01,65.75483870967743,91.4,114.80000000000003,31,6.56,16,2,0.0,1,0,10.73225806451613,56.58064516129032,1.26161290322581
2002-11-01,51.65,404.9,4.400000000000006,30,3.6,10,1,0.0,0,3,11.936666666666667,31.243333333333336,-2.508500000000005
2002-12-01,43.33870967741935,671.5000000000001,0.0,31,3.25,11,0,0.0,0,10,13.387096774193548,33.09032258064516,-5.127580645161295
2003-01-01,40.92903225806452,746.1999999999999,0.0,31,9.940000000000001,8,1,1.18,0,19,15.12258064516129,30.287096774193547,-4.189677419354837
2003-02-01,46.13214285714286,528.3,0.0,28,5.26,12,2,0.0,0,6,14.657142857142858,44.55357142857143,-2.5174692118226574
2003-03-01,56.75806451612903,264.0,8.499999999999986,31,7.14,19,3,0.0,0,1,13.883870967741935,48.73870967741936,1.164999999999992
2003-04-01,60.986666666666665,144.90000000000003,24.5,30,4.4,14,1,0.0,0,0,13.596666666666668,38.626666666666665,-3.121833333333342
2003-05-01,69.99032258064516,12.399999999999999,167.10000000000002,31,10.46,16,3,0.0,1,0,14.412903225806453,40.63870967741936,-1.763225806451615
2003-06-01,75.58999999999999,0.0,317.70000000000005,30,7.37,19,3,0.0,2,0,12.879999999999999,30.970000000000002,-2.7608333333333377
2003-07-01,78.09354838709677,0.0,405.9,31,15.15,23,5,0.0,6,0,12.180645161290323,34.73548387096774,-2.299032258064514
2003-08-01,78.72258064516129,0.0,425.4,31,9.42,17,3,0.0,7,0,10.396774193548387,34.89354838709678,-0.6870967741935488
2003-09-01,71.99666666666667,10.0,219.89999999999998,30,5.5200000000000005,11,2,0.0,2,0,13.013333333333334,33.07,-2.6298333333333233
2003-10-01,62.99032258064516,98.1,35.8,31,4.58,13,1,0.0,0,0,11.958064516129031,37.277419354838706,-1.502903225806456
2003-11-01,58.4,230.8,32.79999999999998,30,2.07,7,0,0.0,0,3,12.353333333333333,29.153333333333332,4.241499999999995
2003-12-01,43.24516129032258,674.4,0.0,31,9.6,7,1,0.0,0,14,12.345161290322581,31.393548387096775,-5.2211290322580695
2004-01-01,42.21612903225807,709.8000000000001,3.5,31,0.63,5,0,0.0,0,18,14.219354838709679,26.751612903225805,-2.9025806451612866
2004-02-01,44.50689655172414,594.3000000000001,0.0,29,4.05,10,1,0.0,0,10,15.00344827586207,45.40689655172414,-4.142715517241378
2004-03-01,57.15161290322581,255.09999999999997,11.799999999999997,31,0.53,5,0,0.0,0,3,15.474193548387097,25.574193548387097,1.5585483870967707
2004-04-01,63.44666666666667,114.80000000000001,68.19999999999999,30,15.579999999999998,12,3,0.0,0,0,15.596666666666668,22.34333333333333,-0.6618333333333339
2004-05-01,74.46451612903226,10.100000000000009,303.5,31,4.46,10,2,0.0,9,0,13.85483870967742,24.019354838709678,2.710967741935491
2004-06-01,78.11666666666666,0.0,393.49999999999994,30,17.22,24,4,0.0,5,0,13.35,37.72,-0.23416666666666686
2004-07-01,79.60967741935484,0.0,452.9,31,12.6,23,4,0.0,13,0,12.758064516129032,26.345161290322583,-0.7829032258064501
2004-08-01,76.1032258064516,0.0,344.2,31,17.7,19,7,0.0,2,0,12.938709677419356,41.53548387096774,-3.3064516129032313
2004-09-01,73.07333333333332,2.3999999999999986,244.6,30,11.78,10,5,0.0,0,0,14.436666666666667,46.43333333333333,-1.5531666666666695
