date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,47.193548387096776,552.0,0.0,31,4.02,12,1,1.18,0,7,15.225806451612904,40.16129032258065,-1.4901612903225754
2000-02-01,52.57241379310344,361.4,1.0,29,2.0,1,1,0.0,0,5,15.558620689655172,20.517241379310345,0.5609298029556626
2000-03-01,60.8258064516129,150.0,20.599999999999994,31,3.67,7,1,0.0,0,0,16.635483870967743,26.39032258064516,2.703387096774186
2000-04-01,62.80333333333333,94.30000000000001,28.400000000000006,30,1.8,9,0,0.0,0,0,17.086666666666666,30.363333333333333,-2.617666666666679
2000-05-01,74.76774193548388,0.0,302.8,31,0.5700000000000001,3,0,0.0,7,0,15.864516129032259,13.270967741935484,1.843064516129047
2000-06-01,78.58999999999999,0.0,407.69999999999993,30,3.62,7,1,0.0,10,0,15.726666666666667,23.416666666666668,-0.43233333333334656
2000-07-01,80.60967741935484,0.0,483.9,31,10.82,10,5,0.0,14,0,13.832258064516129,24.193548387096776,-0.47080645161290136
2000-08-01,78.83548387096775,0.0,428.9000000000001,31,4.51,13,1,0.0,9,0,12.887096774193548,25.80322580645161,-1.4496774193548276
2000-09-01,74.31,3.0,282.29999999999995,30,8.9,12,5,0.0,0,0,14.8,40.513333333333335,-1.75833333333334
2000-10-01,64.17096774193548,89.69999999999999,64.0,31,0.0,0,0,0.0,0,0,12.319354838709677,12.683870967741935,-3.049999999999997
2000-11-01,55.47666666666667,306.4,20.700000000000003,30,2.75,7,1,0.0,0,1,13.256666666666666,22.740000000000002,-1.8758333333333326
2000-12-01,42.21612903225807,706.2999999999998,0.0,31,2.6599999999999997,9,0,0.0,0,15,15.05483870967742,40.25483870967742,-9.866451612903226
2001-01-01,46.12903225806452,585.0,0.0,31,1.08,6,0,0.0,0,15,14.62258064516129,30.583870967741937,-2.5546774193548316
2001-02-01,54.357142857142854,305.2,7.199999999999989,28,2.27,7,1,0.0,0,0,15.064285714285715,37.93928571428571,2.3456588669950733
2001-03-01,56.196774193548386,280.59999999999997,7.700000000000003,31,6.34,10,2,0.0,0,1,17.26774193548387,34.693548387096776,-1.9256451612903263
2001-04-01,64.83333333333333,90.50000000000003,85.5,30,0.9400000000000001,4,0,0.0,0,0,17.003333333333334,18.790000000000003,-0.5876666666666779
2001-05-01,72.3741935483871,0.0,228.6,31,1.3599999999999999,5,0,0.0,2,0,15.064516129032258,18.26451612903226,-0.5504838709677387
2001-06-01,77.67333333333333,0.0,380.20000000000005,30,8.23,16,3,0.0,8,0,14.776666666666667,26.876666666666665,-1.3490000000000038
2001-07-01,79.06451612903226,0.0,436.00000000000006,31,9.74,15,3,0.0,5,0,14.670967741935485,31.08709677419355,-2.0159677419354836
2001-08-01,80.02903225806452,0.0,465.9,31,1.68,6,0,0.0,11,0,12.77741935483871,19.096774193548388,-0.25612903225805894
