date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,17.896774193548385,1460.1999999999998,0.0,31,0.12,3,0,0.0,0,31,18.309677419354838,40.84838709677419,2.316451612903222
2000-02-01,27.099999999999998,1099.1000000000001,0.0,29,0.58,4,0,0.0,0,26,18.04137931034483,38.41724137931034,10.40383620689655
2000-03-01,37.28387096774193,859.2000000000002,0.0,31,2.41,7,1,0.0,0,24,19.848387096774193,31.14516129032258,6.9480322580645115
2000-04-01,44.79666666666667,606.1,0.0,30,1.3699999999999999,5,0,0.0,0,13,20.836666666666666,39.45333333333333,0.8566666666666691
2000-05-01,57.08709677419355,252.2,6.900000000000006,31,3.3600000000000003,11,1,0.0,0,1,20.370967741935484,33.987096774193546,1.4627419354838693
2000-06-01,64.38666666666667,95.2,76.79999999999998,30,2.7600000000000002,9,0,0.0,2,0,19.496666666666666,28.966666666666665,-1.5688333333333304
2000-07-01,72.85161290322581,17.89999999999999,261.30000000000007,31,1.59,3,1,0.0,8,0,18.283870967741933,22.932258064516127,0.11096774193549663
2000-08-01,73.00322580645161,5.0,253.10000000000002,31,0.68,3,0,0.0,9,0,18.983870967741936,10.587096774193547,3.302258064516124
2000-09-01,61.96333333333334,161.7,70.6,30,0.47,3,0,0.0,4,3,19.45,21.77,1.316833333333335
2000-10-01,49.89354838709678,468.30000000000007,0.0,31,0.88,4,0,0.0,0,4,16.94193548387097,43.432258064516134,4.462096774193554
2000-11-01,25.123333333333335,1196.3,0.0,30,0.38,5,0,0.0,0,27,20.066666666666666,52.81666666666667,-6.120333333333331
2000-12-01,8.019354838709678,1766.3999999999999,0.0,31,0.08,2,0,0.0,0,31,19.241935483870968,52.61290322580645,-10.281129032258065
2001-01-01,20.93548387096774,1366.0,0.0,31,0.04,1,0,0.0,0,30,16.441935483870967,26.258064516129032,5.355161290322577
2001-02-01,9.275,1560.3,0.0,28,0.1,2,0,0.0,0,28,17.175,34.839285714285715,-7.421163793103448
2001-03-01,29.18064516129032,1110.3999999999999,0.0,31,0.06,2,0,0.0,0,30,16.4,37.42580645161291,-1.1551935483870999
2001-04-01,45.91,585.1999999999999,12.5,30,1.33,5,0,0.0,0,10,19.63,43.72666666666667,1.9699999999999989
2001-05-01,57.690322580645166,232.79999999999998,6.200000000000003,31,2.13,9,0,0.0,0,0,18.43548387096774,32.78709677419355,2.065967741935488
2001-06-01,65.61999999999999,95.39999999999999,113.99999999999999,30,3.67,11,1,0.0,5,0,18.78666666666667,26.733333333333334,-0.33550000000001035
2001-07-01,74.53548387096774,9.600000000000001,305.19999999999993,31,4.6,10,1,0.0,7,0,19.112903225806452,20.700000000000003,1.7948387096774212
2001-08-01,74.46129032258065,0.0,293.29999999999995,31,0.33999999999999997,3,0,0.0,10,0,18.212903225806453,5.580645161290323,4.760322580645166
2001-09-01,62.63,148.39999999999998,77.3,30,1.1,5,0,0.0,4,0,18.546666666666667,27.273333333333333,1.9834999999999994
2001-10-01,46.33870967741935,578.5,0.0,31,1.01,4,0,0.0,0,10,20.12258064516129,23.703225806451613,0.9072580645161281
2001-11-01,38.690000000000005,789.3,0.0,30,0.01,0,0,0.0,0,17,16.186666666666667,25.68,7.446333333333339
