date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,37.24516129032258,860.4999999999999,0.09999999999999432,31,4.52,12,1,14.18,0,20,14.193548387096774,67.24516129032257,0.3533870967741919
2000-02-01,46.186206896551724,548.1,2.5,29,5.69,10,2,0.0,0,11,14.696551724137931,66.66896551724139,5.6191502463054235
2000-03-01,52.50322580645161,394.9000000000001,7.5,31,4.63,13,2,0.0,0,2,13.98709677419355,61.593548387096774,2.8293548387096763
2000-04-01,56.980000000000004,250.29999999999998,9.699999999999989,30,9.98,14,3,0.0,0,2,13.393333333333334,63.28666666666667,-2.8121666666666556
2000-05-01,70.18387096774192,18.400000000000006,179.09999999999997,31,12.56,15,5,0.0,0,0,13.98709677419355,74.66129032258064,2.0420967741935385
2000-06-01,75.47333333333333,2.5,316.70000000000005,30,2.94,9,1,0.0,3,0,11.479999999999999,61.79333333333333,-0.05116666666667413
2000-07-01,78.56451612903226,0.0,420.5,31,3.29,9,2,0.0,17,0,12.174193548387096,58.81935483870968,0.41758064516128
2000-08-01,78.8967741935484,0.0,430.8,31,3.99,14,0,0.0,11,0,11.180645161290323,51.82258064516129,1.5340322580645278
2000-09-01,69.81666666666666,46.19999999999999,190.7,30,4.46,10,1,0.0,3,0,11.793333333333333,52.87,-1.1504999999999939
2000-10-01,62.5258064516129,147.50000000000003,70.80000000000003,31,0.74,3,0,0.0,0,3,10.219354838709679,52.18709677419355,2.844032258064523
2000-11-01,46.580000000000005,559.8000000000002,7.200000000000003,30,8.59,10,3,0.0,0,9,12.503333333333334,68.65666666666667,-1.8606666666666598
2000-12-01,28.606451612903225,1128.2,0.0,31,5.83,14,2,17.99,0,30,13.14516129032258,78.18064516129031,-11.500000000000004
2001-01-01,34.39354838709678,948.8,0.0,31,4.46,11,3,6.6899999999999995,0,20,12.680645161290323,68.08387096774193,-2.4982258064516074
2001-02-01,43.839285714285715,592.4999999999999,0.0,28,11.06,10,5,0.0,0,9,13.889285714285714,75.63928571428572,3.272229064039415
2001-03-01,44.16451612903226,645.9000000000001,0.0,31,4.16,10,1,0.0,0,12,13.280645161290321,64.7516129032258,-5.509354838709676
2001-04-01,63.906666666666666,132.89999999999998,100.10000000000002,30,4.36,10,1,0.0,0,0,14.573333333333332,64.40333333333334,4.114500000000007
2001-05-01,68.73225806451612,22.300000000000004,138.00000000000003,31,10.870000000000001,13,5,0.0,0,0,12.161290322580646,68.88387096774194,0.5904838709677307
2001-06-01,73.47666666666667,7.3999999999999915,261.70000000000005,30,6.970000000000001,14,1,0.0,3,0,10.99,59.583333333333336,-2.0478333333333296
2001-07-01,78.98387096774194,0.0,433.5,31,4.96,11,1,0.0,12,0,10.048387096774194,64.55806451612904,0.8369354838709597
2001-08-01,77.85806451612903,0.0,398.6,31,7.02,16,1,0.0,10,0,10.748387096774193,66.0,0.49532258064516554
2001-09-01,68.77666666666667,52.800000000000004,166.10000000000005,30,6.2,11,2,0.0,1,0,11.783333333333333,49.91,-2.190499999999986
2001-10-01,58.02258064516129,241.7,25.39999999999999,31,9.92,8,5,0.0,0,2,13.36774193548387,41.67741935483871,-1.659193548387087
2001-11-01,52.89333333333333,363.9000000000001,0.7000000000000028,30,12.65,9,3,0.0,0,2,12.016666666666667,37.26,4.452666666666666
2001-12-01,43.38709677419355,670.0,0.0,31,7.319999999999999,11,3,0.0,0,11,12.209677419354838,50.89677419354839,3.280645161290323
2002-01-01,41.190322580645166,740.3000000000001,2.200000000000003,31,6.92,12,2,2.36,0,19,13.183870967741935,53.49032258064516,4.29854838709678
2002-02-01,40.00714285714286,699.8,0.0,28,3.1199999999999997,10,0,0.0,0,15,14.132142857142856,55.425,-0.5599137931034406
2002-03-01,48.225806451612904,520.0,0.0,31,13.35,15,4,0.0,0,10,14.829032258064515,72.50645161290322,-1.4480645161290298
2002-04-01,61.516666666666666,187.20000000000005,82.69999999999997,30,8.05,13,1,0.0,0,0,14.096666666666666,63.22666666666667,1.7245000000000061
2002-05-01,64.90322580645162,103.0,100.0,31,11.88,15,3,0.0,0,0,12.393548387096773,73.97741935483872,-3.2385483870967704
2002-06-01,76.10333333333332,0.0,333.09999999999997,30,1.97,10,0,0.0,5,0,11.18,57.31666666666667,0.5788333333333213
2002-07-01,79.1258064516129,0.0,437.90000000000003,31,6.46,13,2,0.0,10,0,11.212903225806452,61.57741935483871,0.9788709677419263
2002-08-01,78.2709677419355,0.0,411.4,31,5.81,13,2,0.0,11,0,11.648387096774194,55.53548387096774,0.9082258064516253
2002-09-01,73.28333333333333,6.700000000000003,255.2,30,13.219999999999999,10,3,0.0,8,0,11.486666666666668,53.28666666666666,2.3161666666666747
2002-10-01,59.222580645161294,222.0,42.89999999999999,31,8.07,13,1,0.0,0,0,11.303225806451612,78.6032258064516,-0.45919354838708415
2002-11-01,45.13333333333333,598.3000000000001,2.299999999999997,30,4.82,11,3,0.0,0,12,14.020000000000001,63.70666666666667,-3.3073333333333323
2002-12-01,39.13225806451613,801.9000000000001,0.0,31,10.75,15,4,8.66,0,18,13.603225806451613,68.41935483870968,-0.9741935483870989
2003-01-01,30.700000000000003,1063.3,0.0,31,3.61,9,1,18.509999999999998,0,24,15.287096774193548,58.270967741935486,-6.191774193548383
2003-02-01,36.232142857142854,805.5,0.0,28,12.19,17,3,11.42,0,16,16.264285714285716,83.20714285714287,-4.334913793103446
2003-03-01,50.538709677419355,448.3,0.0,31,4.43,12,2,0.0,0,8,14.32258064516129,63.95483870967742,0.8648387096774215
2003-04-01,60.24,183.00000000000003,40.19999999999999,30,8.11,11,2,0.0,0,0,14.963333333333333,58.45666666666667,0.4478333333333424
2003-05-01,66.70645161290322,31.39999999999999,84.29999999999998,31,11.31,16,3,0.0,0,0,14.258064516129032,71.6258064516129,-1.4353225806451633
2003-06-01,70.56333333333333,13.000000000000014,179.90000000000003,30,10.79,14,3,0.0,0,0,10.65,60.2,-4.961166666666671
2003-07-01,77.4258064516129,0.0,385.20000000000005,31,6.1,12,2,0.0,3,0,10.790322580645162,52.21935483870968,-0.7211290322580766
2003-08-01,77.74516129032257,0.0,395.1,31,6.3,11,1,0.0,10,0,11.59032258064516,49.20967741935484,0.38241935483870293
2003-09-01,68.19333333333333,36.20000000000001,132.0,30,12.4,7,4,0.0,0,0,12.633333333333333,46.24,-2.7738333333333287
2003-10-01,60.08709677419355,172.6,20.30000000000001,31,3.85,10,1,0.0,0,0,11.616129032258065,53.00967741935484,0.40532258064516924
2003-11-01,53.419999999999995,356.29999999999995,8.899999999999977,30,7.77,12,3,0.0,0,4,13.843333333333334,67.06666666666666,4.979333333333329
2003-12-01,39.87419354838709,778.9,0.0,31,5.1499999999999995,14,1,2.36,0,17,13.64516129032258,65.54838709677419,-0.23225806451613806
2004-01-01,36.58709677419355,883.4,2.5999999999999943,31,4.06,10,1,0.0,0,22,15.429032258064517,67.06451612903226,-0.3046774193548387
2004-02-01,39.54827586206897,738.1000000000001,0.0,29,6.14,10,2,0.0,0,18,13.255172413793103,74.52758620689656,-1.018780788177331
2004-03-01,52.53225806451613,401.3,14.799999999999997,31,6.5,10,3,0.0,0,5,14.600000000000001,68.91612903225807,2.8583870967741944
2004-04-01,58.766666666666666,219.2,32.2,30,10.83,12,6,1.18,0,1,14.716666666666667,62.776666666666664,-1.0254999999999939
2004-05-01,71.30322580645162,39.4,234.8,31,11.41,15,3,0.0,0,0,13.996774193548386,66.73548387096774,3.1614516129032353
2004-06-01,74.0,0.0,270.0,30,6.43,17,1,0.0,1,0,10.463333333333333,47.38666666666666,-1.5245000000000033
2004-07-01,75.56451612903226,0.0,327.5,31,5.86,14,1,0.0,1,0,10.53225806451613,34.78064516129032,-2.58241935483872
2004-08-01,71.94193548387096,6.3999999999999915,221.6,31,5.93,14,2,0.0,1,0,10.529032258064515,34.83548387096774,-5.420806451612904
2004-09-01,69.81666666666666,13.399999999999991,157.9,30,6.47,7,3,0.0,1,0,10.583333333333334,27.913333333333334,-1.1504999999999939
2004-10-01,62.516129032258064,112.39999999999999,35.39999999999999,31,5.96,14,2,0.0,0,0,11.483870967741936,50.858064516129026,2.834354838709686
2004-11-01,52.233333333333334,388.6000000000001,5.599999999999994,30,9.540000000000001,16,4,0.0,0,2,12.066666666666666,58.57333333333334,3.792666666666669
2004-12-01,37.57096774193548,850.3,0.0,31,7.55,12,2,24.419999999999998,0,19,13.483870967741936,45.877419354838715,-2.535483870967745
2005-01-01,41.37096774193548,732.5,0.0,31,4.31,12,0,0.0,0,14,14.55483870967742,64.06451612903226,4.479193548387094
2005-02-01,43.278571428571425,608.2,0.0,28,2.89,8,0,0.0,0,13,13.421428571428573,53.5,2.7115147783251246
2005-03-01,46.65483870967742,569.5,0.7999999999999972,31,2.9200000000000004,8,1,0.0,0,12,15.729032258064517,49.222580645161294,-3.019032258064513
2005-04-01,58.91,198.6,15.899999999999991,30,6.28,15,2,0.0,0,0,14.863333333333333,43.47,-0.882166666666663
2005-05-01,65.06451612903226,93.29999999999998,95.29999999999998,31,0.33,3,0,0.0,0,0,12.187096774193549,22.9,-3.07725806451613
2005-06-01,75.27666666666667,0.0,308.3,30,3.25,8,0,0.0,7,0,10.57,30.720000000000002,-0.24783333333333246
2005-07-01,78.11290322580645,0.0,406.49999999999994,31,4.48,12,1,0.0,10,0,10.709677419354838,35.380645161290325,-0.03403225806452781
2005-08-01,78.95806451612903,0.0,432.7000000000001,31,8.85,14,4,0.0,21,0,10.687096774193549,26.990322580645163,1.5953225806451599
2005-09-01,72.31,14.0,233.29999999999995,30,3.75,9,1,0.0,0,0,10.203333333333335,23.810000000000002,1.3428333333333455
2005-10-01,59.10967741935484,235.39999999999998,52.8,31,0.14,2,0,0.0,0,3,10.687096774193549,34.599999999999994,-0.5720967741935397
2005-11-01,50.49666666666667,449.79999999999995,14.700000000000003,30,5.0,8,3,0.0,0,12,14.233333333333333,39.233333333333334,2.0560000000000045
2005-12-01,35.49354838709677,914.6999999999999,0.0,31,2.85,9,0,0.0,0,17,13.503225806451614,54.81290322580645,-4.6129032258064555
2006-01-01,44.94193548387097,621.8,0.0,31,5.37,12,3,1.18,0,12,16.225806451612904,48.41612903225807,8.050161290322585
2006-02-01,38.324999999999996,746.9000000000002,0.0,28,3.22,16,0,7.819999999999999,0,20,13.528571428571428,51.699999999999996,-2.2420566502463046
2006-03-01,49.76774193548387,486.8,14.599999999999994,31,3.18,7,1,0.0,0,12,15.016129032258064,42.3258064516129,0.09387096774193537
2006-04-01,63.766666666666666,109.6,72.6,30,2.58,17,0,1.97,0,0,14.87,32.61,3.974500000000006
2006-05-01,65.7,79.4,101.10000000000001,31,6.85,19,3,0.0,0,0,12.577419354838709,43.53225806451613,-2.441774193548383
2006-06-01,73.63666666666667,0.0,259.09999999999997,30,2.87,8,0,0.0,2,0,11.58,22.959999999999997,-1.887833333333333
2006-07-01,77.86774193548388,0.0,398.9000000000001,31,6.28,10,3,0.0,15,0,10.529032258064515,25.596774193548388,-0.27919354838709864
2006-08-01,78.64516129032258,0.0,423.0,31,4.66,11,1,0.0,16,0,10.787096774193548,31.799999999999997,1.2824193548387086
2006-09-01,66.70666666666666,44.20000000000002,95.39999999999998,30,5.9399999999999995,11,1,0.0,0,0,11.03,45.38,-4.260499999999993
2006-10-01,55.76451612903226,304.50000000000006,18.200000000000003,31,4.51,8,2,0.0,0,3,12.693548387096774,42.809677419354834,-3.917258064516119
2006-11-01,48.309999999999995,503.59999999999997,2.9000000000000057,30,5.43,11,1,0.0,0,10,11.373333333333333,45.79,-0.13066666666667004
2006-12-01,43.061290322580646,680.1000000000001,0.0,31,3.48,9,1,0.0,0,14,12.419354838709678,38.774193548387096,2.954838709677418
2007-01-01,39.4741935483871,791.3,0.0,31,6.14,10,2,0.0,0,17,13.751612903225807,60.07741935483871,2.582419354838713
2007-02-01,34.36071428571429,857.9000000000001,0.0,28,4.04,10,1,3.54,0,21,13.742857142857144,55.43571428571429,-6.206342364532013
2007-03-01,57.10645161290322,284.3,39.60000000000002,31,2.05,5,1,0.0,0,5,14.974193548387097,48.64193548387097,7.432580645161288
2007-04-01,55.89666666666667,313.3,40.20000000000002,30,3.4,14,1,0.0,0,6,14.446666666666665,47.480000000000004,-3.8954999999999913
2007-05-01,70.15483870967742,24.700000000000003,184.5,31,3.18,7,1,0.0,0,0,10.94516129032258,25.996774193548386,2.0130645161290346
2007-06-01,75.05666666666666,0.0,301.7,30,6.56,10,2,0.0,3,0,11.633333333333333,21.256666666666668,-0.46783333333334554
2007-07-01,77.4258064516129,0.0,385.20000000000005,31,0.39,5,0,0.0,11,0,10.029032258064515,25.36774193548387,-0.7211290322580766
2007-08-01,84.21935483870968,0.0,595.8,31,1.37,3,1,0.0,30,0,11.280645161290321,16.6,6.856612903225809
2007-09-01,73.62666666666668,6.600000000000001,265.4000000000001,30,3.33,8,1,0.0,8,0,10.53,29.573333333333334,2.6595000000000226
2007-10-01,63.306451612903224,152.69999999999996,100.2,31,10.45,10,3,0.0,0,0,11.861290322580645,38.66451612903226,3.624677419354846
2007-11-01,47.84,514.8,0.0,30,1.88,12,0,0.0,0,8,12.296666666666665,39.77333333333333,-0.6006666666666618
2007-12-01,42.88387096774194,685.6,0.0,31,7.3,17,1,0.0,0,13,12.87741935483871,59.91290322580645,2.777419354838713
2008-01-01,36.15806451612904,894.0999999999999,0.0,31,5.41,10,2,0.0,0,22,13.85483870967742,49.15806451612904,-0.7337096774193483
2008-02-01,39.758620689655174,735.1,3.0999999999999943,29,3.39,15,0,1.18,0,16,15.10689655172414,70.54827586206896,-0.808435960591126
2008-03-01,47.90967741935484,530.6999999999999,0.9000000000000057,31,7.64,14,3,8.78,0,8,15.509677419354839,53.53548387096774,-1.764193548387091
2008-04-01,56.763333333333335,266.5,19.400000000000006,30,8.84,16,3,0.0,0,1,13.84,45.71,-3.028833333333324
2008-05-01,65.44516129032257,57.899999999999984,71.7,31,5.01,9,1,0.0,0,0,13.667741935483871,44.54516129032258,-2.6966129032258124
2008-06-01,76.50333333333333,0.0,345.1,30,1.04,3,0,0.0,5,0,12.41,27.416666666666668,0.978833333333327
2008-07-01,78.02580645161291,0.0,403.79999999999995,31,6.28,14,2,0.0,10,0,10.829032258064515,29.103225806451615,-0.12112903225806804
2008-08-01,76.01290322580645,0.0,341.3999999999999,31,0.8699999999999999,3,0,0.0,7,0,9.254838709677419,20.05806451612903,-1.3498387096774138
2008-09-01,71.83333333333333,3.6000000000000014,208.59999999999997,30,1.73,3,1,0.0,4,0,11.103333333333333,26.05,0.8661666666666719
2008-10-01,58.0516129032258,246.20000000000005,30.799999999999997,31,4.39,5,2,0.0,0,3,9.896774193548387,24.851612903225806,-1.630161290322576
2008-11-01,45.03666666666666,598.9000000000001,0.0,30,1.58,7,0,0.0,0,10,11.270000000000001,41.22666666666667,-3.4040000000000035
