date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,38.88387096774194,810.3000000000001,0.7000000000000028,31,2.85,9,0,3.15,0,19,13.296774193548387,67.5741935483871,0.15161290322581067
2000-02-01,46.95862068965517,524.4999999999999,1.2999999999999972,29,3.74,9,0,0.0,0,10,14.062068965517241,64.90689655172413,4.420190886699508
2000-03-01,53.9483870967742,350.79999999999995,8.200000000000003,31,3.32,9,1,0.0,0,1,13.706451612903225,64.55806451612904,2.6440322580645272
2000-04-01,57.18333333333333,241.10000000000002,6.6000000000000085,30,5.45,12,1,0.0,0,2,14.013333333333332,66.4,-3.7931666666666715
2000-05-01,70.8225806451613,8.300000000000004,188.79999999999995,31,7.6,13,1,0.0,0,0,13.961290322580645,72.88387096774194,1.4933870967741996
2000-06-01,76.6,1.0,349.00000000000006,30,1.78,6,1,0.0,7,0,11.59,65.1,-0.3166666666666629
2000-07-01,79.62903225806451,0.0,453.5000000000002,31,2.25,6,0,0.0,13,0,12.812903225806451,62.34838709677419,0.0032258064516099694
2000-08-01,79.64516129032258,0.0,453.99999999999994,31,1.95,7,0,0.0,11,0,13.258064516129032,53.05483870967742,0.6608064516128991
2000-09-01,70.92333333333333,30.900000000000006,208.59999999999997,30,1.9,8,0,0.0,0,0,12.379999999999999,60.1,-1.752833333333328
2000-10-01,63.40967741935484,126.5,77.19999999999997,31,0.26,3,0,0.0,0,1,9.906451612903227,54.725806451612904,2.2708064516129056
2000-11-01,48.559999999999995,505.79999999999995,12.600000000000009,30,6.41,10,2,0.0,0,5,12.536666666666667,68.71666666666667,-1.3376666666666708
2000-12-01,31.467741935483872,1039.5,0.0,31,3.4499999999999997,6,2,2.36,0,25,13.041935483870969,78.9,-10.632903225806452
2001-01-01,35.90967741935484,901.8000000000002,0.0,31,3.19,7,1,0.0,0,19,11.461290322580645,68.68387096774192,-2.8225806451612883
2001-02-01,45.396428571428565,548.9000000000001,0.0,28,8.549999999999999,9,4,0.0,0,10,13.942857142857141,76.68928571428572,2.8579987684729034
2001-03-01,45.86451612903225,593.2000000000002,0.0,31,2.7399999999999998,8,1,0.0,0,9,13.14516129032258,61.04838709677419,-5.439838709677417
2001-04-01,64.01,121.30000000000001,91.60000000000004,30,2.43,7,0,0.0,0,0,14.576666666666666,66.11,3.0335000000000036
2001-05-01,69.10645161290323,17.099999999999994,144.39999999999998,31,5.47,12,1,0.0,0,0,12.480645161290322,64.69677419354838,-0.22274193548386734
2001-06-01,73.5,3.3999999999999986,258.4000000000001,30,4.62,12,1,0.0,1,0,12.610000000000001,59.28333333333333,-3.416666666666657
2001-07-01,79.39354838709677,0.0,446.19999999999993,31,2.77,7,1,0.0,7,0,11.51290322580645,62.07741935483871,-0.23225806451613096
2001-08-01,78.08064516129032,0.0,405.4999999999999,31,4.07,11,1,0.0,6,0,11.893548387096773,65.75483870967743,-0.9037096774193571
2001-09-01,70.03666666666666,46.099999999999994,197.2,30,1.7999999999999998,7,0,0.0,1,0,12.656666666666666,47.906666666666666,-2.639499999999998
2001-10-01,58.71935483870968,224.5,29.799999999999997,31,4.63,7,2,0.0,0,2,14.912903225806453,41.21612903225807,-2.41951612903226
2001-11-01,54.3,322.2999999999999,1.2999999999999972,30,5.11,6,1,0.0,0,2,12.59,44.059999999999995,4.402333333333331
2001-12-01,45.403225806451616,607.5,0.0,31,3.33,9,1,0.0,0,11,13.567741935483872,58.541935483870965,3.3025806451612922
2002-01-01,42.751612903225805,692.4999999999999,2.799999999999997,31,4.84,11,1,0.0,0,17,13.929032258064517,60.88709677419355,4.019354838709674
2002-02-01,40.871428571428574,675.5999999999998,0.0,28,2.05,8,0,0.0,0,16,14.228571428571428,54.042857142857144,-1.6670012315270881
2002-03-01,49.774193548387096,476.0,4.0,31,8.93,14,2,0.0,0,9,15.929032258064517,69.28387096774195,-1.5301612903225745
2002-04-01,62.693333333333335,161.70000000000002,92.50000000000001,30,3.27,8,1,0.0,0,0,14.51,58.36666666666667,1.7168333333333337
