date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,33.92903225806452,963.2,0.0,31,3.25,11,0,8.66,0,24,13.206451612903225,52.60967741935484,-1.4682258064516134
2000-02-01,42.48620689655172,652.9,0.0,29,1.87,7,0,0.0,0,15,12.079310344827586,45.86551724137931,3.0854248768472843
2000-03-01,49.39032258064516,483.90000000000003,0.0,31,3.8000000000000003,9,2,0.0,0,7,12.625806451612902,36.167741935483875,2.096612903225804
2000-04-01,52.85333333333333,364.4,0.0,30,3.59,15,1,0.0,0,3,12.786666666666667,51.419999999999995,-3.900666666666666
2000-05-01,66.40967741935484,29.9,73.6,31,3.13,9,0,0.0,0,0,13.548387096774194,37.854838709677416,1.6006451612903305
2000-06-01,71.33666666666666,10.5,200.60000000000002,30,4.53,12,1,0.0,0,0,11.456666666666667,35.92666666666666,-0.17150000000000887
2000-07-01,72.36774193548388,0.0,228.39999999999998,31,4.91,9,1,0.0,0,0,10.464516129032257,44.11290322580645,-1.4583870967741888
2000-08-01,71.35806451612903,0.0,197.09999999999997,31,3.71,11,1,0.0,0,0,10.02258064516129,37.099999999999994,-1.9012903225806497
2000-09-01,66.32,80.70000000000002,120.3,30,1.6800000000000002,7,0,0.0,0,0,10.366666666666667,39.269999999999996,-1.5221666666666636
2000-10-01,55.729032258064514,287.8,0.4000000000000057,31,0.030000000000000002,1,0,0.0,0,6,8.829032258064515,25.44516129032258,-1.0514516129032216
2000-11-01,43.836666666666666,634.8999999999999,0.0,30,2.46,11,1,0.0,0,16,12.856666666666666,47.46333333333334,-2.0260000000000034
2000-12-01,30.561290322580643,1067.6000000000001,0.0,31,1.71,12,0,9.44,0,26,12.609677419354838,56.3258064516129,-8.670322580645166
2001-01-01,33.516129032258064,976.0000000000001,0.0,31,2.58,7,1,3.54,0,25,11.558064516129033,48.435483870967744,-1.881129032258066
2001-02-01,43.19642857142857,610.5,0.0,28,4.55,10,0,0.0,0,15,12.339285714285714,47.775,3.7956465517241327
2001-03-01,42.80322580645161,688.1000000000003,0.0,31,3.76,12,1,0.0,0,15,14.899999999999999,54.50967741935484,-4.490483870967751
2001-04-01,58.03,234.89999999999998,25.799999999999983,30,1.84,8,0,0.0,0,3,13.833333333333334,40.14333333333333,1.2760000000000034
2001-05-01,64.90967741935484,60.1,57.3,31,4.06,12,0,0.0,0,0,12.216129032258063,45.119354838709675,0.10064516129033052
2001-06-01,70.27,2.5,160.59999999999997,30,4.42,12,1,0.0,0,0,10.416666666666666,41.15333333333333,-1.2381666666666717
2001-07-01,72.55806451612904,0.0,234.3,31,8.74,12,4,0.0,0,0,9.470967741935485,49.31935483870968,-1.26806451612903
2001-08-01,73.37096774193549,0.0,259.5,31,4.970000000000001,12,2,0.0,0,0,8.864516129032259,46.20645161290323,0.11161290322580442
2001-09-01,63.53333333333333,115.89999999999998,71.9,30,2.22,6,0,0.0,0,0,8.43,33.31333333333333,-4.308833333333325
2001-10-01,53.358064516129026,364.1,3.1999999999999886,31,0.8500000000000001,3,0,0.0,0,5,11.870967741935484,20.596774193548388,-3.422419354838709
2001-11-01,49.99,450.70000000000005,0.4000000000000057,30,0.5,4,0,0.0,0,13,9.54,15.703333333333335,4.127333333333333
2001-12-01,42.49354838709677,697.6999999999999,0.0,31,3.44,10,0,0.0,0,14,11.603225806451613,38.08064516129032,3.261935483870964
2002-01-01,38.08709677419355,834.3000000000001,0.0,31,4.33,8,2,0.0,0,24,11.070967741935483,43.46774193548387,2.6898387096774172
2002-02-01,38.56071428571429,740.3,0.0,28,0.9,6,0,0.0,0,22,13.885714285714286,41.528571428571425,-0.8400677339901463
2002-03-01,47.167741935483875,552.8,0.0,31,5.91,12,2,0.0,0,13,13.748387096774193,46.58387096774193,-0.125967741935483
2002-04-01,59.919999999999995,200.60000000000002,48.2,30,0.99,5,0,0.0,0,4,13.65,38.13,3.165999999999997
2002-05-01,62.096774193548384,150.8,60.80000000000001,31,2.41,10,0,0.0,0,0,12.935483870967742,44.71935483870968,-2.7122580645161207
