date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,56.11612903225806,297.09999999999997,21.700000000000003,31,1.6800000000000002,3,1,0.0,0,0,17.787096774193547,44.81935483870968,3.5738709677419322
2000-02-01,61.33103448275862,147.39999999999998,41.000000000000014,29,0.72,4,0,0.0,0,0,17.075862068965517,41.52413793103448,4.770080049261082
2000-03-01,66.2290322580645,66.89999999999999,105.00000000000001,31,2.91,6,1,0.0,0,0,16.961290322580645,40.880645161290325,3.4551612903225717
2000-04-01,68.49333333333334,37.0,141.8,30,8.69,3,3,0.0,0,0,16.613333333333333,41.940000000000005,-0.630833333333328
2000-05-01,77.40322580645162,0.0,384.49999999999994,31,8.43,6,2,0.0,0,0,16.76451612903226,52.26129032258064,1.591774193548389
2000-06-01,80.69666666666667,0.0,470.9,30,0.12,3,0,0.0,6,0,14.926666666666668,30.553333333333335,-0.2978333333333296
2000-07-01,82.48709677419355,0.0,542.1,31,1.34,1,1,0.0,27,0,13.816129032258065,13.90967741935484,0.42370967741935317
2000-08-01,82.97096774193548,0.0,557.0999999999999,31,0.89,3,0,0.0,26,0,13.093548387096776,12.651612903225805,0.6120967741935459
2000-09-01,78.70666666666666,4.0,415.20000000000005,30,3.06,9,1,0.0,11,0,15.426666666666668,21.133333333333333,0.13016666666666765
2000-10-01,70.45483870967742,48.5,217.60000000000002,31,1.31,5,0,0.0,0,0,15.635483870967743,31.625806451612902,0.0682258064516077
2000-11-01,58.593333333333334,246.6,54.400000000000006,30,10.22,15,3,0.0,0,0,16.756666666666668,50.50666666666667,-2.596333333333334
2000-12-01,47.97741935483871,527.6999999999998,0.0,31,2.0,9,0,0.0,0,4,17.106451612903225,52.806451612903224,-6.694032258064517
2001-01-01,48.309677419354834,517.4000000000001,0.0,31,5.84,11,2,0.0,0,5,15.206451612903225,48.690322580645166,-4.232580645161292
2001-02-01,59.35357142857142,187.90000000000003,29.80000000000001,28,1.6500000000000001,3,1,0.0,0,0,16.33214285714286,58.85,2.7926169950738853
2001-03-01,57.54838709677419,235.89999999999998,4.900000000000006,31,7.33,10,3,0.0,0,0,15.890322580645162,39.92258064516129,-5.225483870967743
2001-04-01,71.42333333333333,13.899999999999999,206.59999999999997,30,1.76,2,1,0.0,0,0,18.0,51.916666666666664,2.2991666666666646
2001-05-01,75.16451612903225,0.0,315.09999999999997,31,1.4,4,0,0.0,0,0,16.048387096774192,33.148387096774194,-0.6469354838709762
2001-06-01,79.68,0.0,440.3999999999999,30,11.290000000000001,11,3,0.0,3,0,15.08,37.05333333333333,-1.3144999999999953
2001-07-01,81.73548387096774,0.0,518.8000000000001,31,3.42,8,1,0.0,18,0,12.470967741935485,22.89032258064516,-0.3279032258064518
2001-08-01,81.06451612903226,0.0,498.0,31,12.649999999999999,12,4,0.0,19,0,12.62258064516129,29.103225806451615,-1.2943548387096797
2001-09-01,76.14666666666668,1.0,335.4,30,10.15,12,2,0.0,4,0,13.556666666666667,21.686666666666667,-2.4298333333333204
2001-10-01,66.91612903225807,61.2,120.60000000000002,31,5.62,5,3,0.0,0,0,14.648387096774194,28.63225806451613,-3.4704838709677404
2001-11-01,63.90333333333333,94.39999999999999,61.499999999999986,30,4.52,5,2,0.0,0,0,13.523333333333333,29.92666666666667,2.7136666666666613
2001-12-01,56.47096774193548,296.0,31.60000000000001,31,2.18,10,0,0.0,0,1,15.280645161290321,44.73225806451613,1.7995161290322557
2002-01-01,54.73870967741936,334.5,16.39999999999999,31,3.42,7,1,0.0,0,4,16.706451612903226,41.99677419354839,2.196451612903232
2002-02-01,51.707142857142856,375.6,3.4000000000000057,28,0.92,5,0,0.0,0,1,16.821428571428573,38.23571428571428,-4.85381157635468
2002-03-01,61.84838709677419,180.0,82.3,31,2.35,5,1,0.0,0,2,19.822580645161292,54.225806451612904,-0.9254838709677458
2002-04-01,71.40666666666667,17.0,209.19999999999996,30,3.63,1,1,0.0,0,0,15.823333333333332,50.34666666666667,2.282499999999999
2002-05-01,75.74193548387096,1.7000000000000028,334.70000000000005,31,1.3,3,1,0.0,0,0,17.57741935483871,34.96774193548387,-0.0695161290322659
2002-06-01,80.47,0.0,464.1000000000001,30,5.22,9,1,0.0,10,0,14.270000000000001,30.14333333333333,-0.5245000000000033
2002-07-01,82.14516129032258,0.0,531.4999999999999,31,4.91,11,1,0.0,19,0,13.029032258064516,18.63225806451613,0.08177419354838378
2002-08-01,82.13870967741936,0.0,531.3,31,10.57,13,2,0.0,17,0,12.651612903225805,23.135483870967743,-0.22016129032257936
2002-09-01,78.93,0.0,417.9,30,5.760000000000001,10,1,0.0,7,0,14.473333333333333,36.166666666666664,0.353500000000011
2002-10-01,71.1774193548387,13.899999999999991,205.4,31,13.719999999999999,17,4,0.0,0,0,14.851612903225808,53.88387096774194,0.7908064516128945
2002-11-01,58.69666666666667,214.09999999999997,25.0,30,2.91,7,1,0.0,0,0,14.71,35.82333333333334,-2.492999999999995
2002-12-01,54.36774193548387,339.0,9.399999999999991,31,8.219999999999999,8,3,0.0,0,0,15.774193548387096,51.099999999999994,-0.30370967741935573
2003-01-01,49.53225806451613,480.6,1.0999999999999943,31,1.2800000000000002,3,1,0.0,0,4,14.709677419354838,42.88387096774194,-3.009999999999998
2003-02-01,53.85357142857142,314.5,2.4000000000000057,28,5.85,8,4,0.0,0,0,17.07857142857143,64.68571428571428,-2.7073830049261147
2003-03-01,61.28387096774193,133.8,18.599999999999994,31,1.88,5,0,0.0,0,0,14.938709677419356,47.24516129032258,-1.490000000000002
2003-04-01,68.98666666666666,30.699999999999996,150.3,30,1.31,3,0,0.0,0,0,16.193333333333335,42.833333333333336,-0.13750000000000284
2003-05-01,78.3741935483871,0.0,414.6000000000001,31,0.01,0,0,0.0,5,0,16.20967741935484,43.774193548387096,2.5627419354838707
2003-06-01,80.91666666666667,0.0,477.5,30,6.06,11,2,0.0,11,0,14.330000000000002,32.60666666666666,-0.07783333333333076
