date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2002-05-01,76.55483870967741,3.799999999999997,362.0,31,0.09,2,0,0.0,8,2,14.106451612903227,33.561290322580646,0.9336999487967148
2002-06-01,83.61111111111111,0.0,502.5,27,0.19,4,0,0.0,23,0,10.885185185185186,34.42962962962963,1.5512546296296392
2002-07-01,84.89354838709677,0.0,616.7,31,0.45,6,0,0.0,26,0,10.593548387096773,26.799999999999997,1.3256414687462978
2002-08-01,85.68709677419355,0.0,641.3,31,0.56,1,0,0.0,30,0,9.83548387096774,24.583870967741937,1.2389838797958959
2002-09-01,80.26206896551724,0.0,442.59999999999997,29,0.48,3,0,0.0,15,0,9.748275862068965,25.117241379310343,0.12274995438788494
2002-10-01,71.7,13.199999999999996,207.5,29,0.79,5,0,0.0,5,0,9.324137931034482,66.87931034482759,0.32317786738352083
2002-11-01,58.45,166.8,22.700000000000003,22,0.5,2,0,0.0,0,0,8.886363636363637,34.9,-2.070628493788817
2003-01-01,52.43181818181818,286.3999999999999,9.900000000000006,22,0.06,1,0,0.0,0,3,13.345454545454546,35.32727272727273,0.2914078413244141
2003-03-01,59.82592592592592,167.4,27.700000000000017,27,0.51,5,0,0.0,0,0,13.462962962962964,45.98888888888889,-2.884461289580507
2003-04-01,67.80689655172414,41.20000000000002,122.60000000000002,29,0.02,0,0,0.0,0,0,14.93448275862069,46.49310344827586,-1.06788303650373
2003-05-01,76.57,0.0,347.1,30,0.13,1,0,0.0,3,0,12.24,45.93666666666666,0.9488612391192959
2003-06-01,77.824,0.0,320.6,25,2.17,7,0,0.0,6,0,12.704,35.628,-4.235856481481477
2004-01-01,52.49677419354839,398.3,10.700000000000003,31,0.61,7,0,0.0,0,5,12.887096774193548,59.81935483870968,0.35636385305462426
2004-02-01,49.57931034482758,447.19999999999993,0.0,29,0.56,7,0,0.0,0,3,14.36896551724138,51.65172413793104,-6.517698070607558
2004-03-01,64.56129032258065,68.0,54.400000000000006,31,0.21000000000000002,4,0,0.0,0,0,12.738709677419354,50.435483870967744,1.8509031070742168
2004-04-01,66.98,50.7,110.1,30,0.44000000000000006,6,0,0.0,0,0,14.1,47.47,-1.8947795882278626
2004-05-01,76.6032258064516,2.799999999999997,362.5,31,0.39,5,0,0.0,6,0,14.10967741935484,51.83870967741935,0.982087045570907
2004-06-01,80.7875,0.0,378.9,24,0.7,6,0,0.0,8,0,9.604166666666666,40.77916666666667,-1.2723564814814807
2004-07-01,80.26428571428572,0.0,427.4,28,0.0,0,0,0.0,11,0,6.785714285714286,10.282142857142857,-3.303621204064754
2004-08-01,82.71290322580644,0.0,549.1,31,0.27,2,0,0.0,23,0,10.383870967741935,17.648387096774194,-1.7352096685912102
2004-09-01,80.02592592592592,0.0,405.69999999999993,27,0.01,0,0,0.0,14,0,9.033333333333333,22.325925925925926,-0.11339308520344105
2004-10-01,75.82083333333334,0.5,260.2,24,0.22999999999999998,3,0,0.0,4,0,10.2375,35.03333333333333,4.444011200716858
