date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-09-01,74.05925925925925,44.10000000000001,288.69999999999993,27,0.06,2,0,0.0,16,0,18.114814814814817,13.474074074074075,3.4869342273307637
2000-10-01,57.064516129032256,279.90000000000003,33.90000000000002,31,5.03,9,1,0.0,3,0,17.567741935483873,36.10322580645161,-1.2938709677419382
2000-11-01,38.769999999999996,786.9000000000001,0.0,30,0.51,4,0,0.0,0,20,18.863333333333333,20.220000000000002,-7.861000000000004
2000-12-01,34.229032258064514,953.8999999999999,0.0,31,0.82,4,0,0.0,0,27,19.103225806451615,13.254838709677419,-3.7830645161290377
2001-01-01,32.65806451612903,1002.6,0.0,31,0.19,3,0,0.0,0,31,17.04516129032258,27.18064516129032,-5.1113563478589015
2001-02-01,42.00714285714286,643.8,0.0,28,0.43999999999999995,3,0,0.0,0,19,21.342857142857145,18.532142857142855,0.810072595281305
2001-03-01,45.58064516129032,602.0,0.0,31,2.7199999999999998,7,1,0.0,0,3,18.138709677419353,32.70322580645161,-4.5375212224108665
2001-04-01,60.93,141.60000000000002,19.5,30,0.05,1,0,0.0,0,1,26.44333333333333,9.683333333333334,2.5633723196881135
2001-05-01,64.78387096774193,83.2,76.50000000000003,31,1.05,6,0,0.0,3,0,20.26774193548387,19.419354838709676,-2.37704466951584
2001-06-01,75.75666666666666,0.0,322.69999999999993,30,2.3000000000000003,6,1,0.0,17,0,18.959999999999997,13.506666666666666,-1.5625062656641688
2001-07-01,82.36129032258064,0.0,538.1999999999999,31,0.8300000000000001,5,0,0.0,31,0,16.80322580645161,16.858064516129033,2.705432937181655
2001-08-01,76.97741935483872,0.0,371.30000000000007,31,3.43,8,0,0.0,18,0,15.970967741935485,18.316129032258065,-0.5247877758913262
2001-09-01,70.61333333333333,12.799999999999997,181.20000000000005,30,0.15,2,0,0.0,8,0,17.10666666666667,10.223333333333333,0.041008301404843905
2001-10-01,59.829032258064515,186.0,25.700000000000017,31,0.07,1,0,0.0,0,2,20.37741935483871,6.958064516129032,1.4706451612903209
2001-11-01,49.36,469.19999999999993,0.0,30,1.26,6,0,0.0,0,6,18.720000000000002,21.803333333333335,2.728999999999999
2001-12-01,38.99354838709677,806.1999999999999,0.0,31,0.060000000000000005,1,0,0.0,0,24,18.0258064516129,11.087096774193547,0.9814516129032214
2002-01-01,39.24516129032258,798.4000000000001,0.0,31,0.38,4,0,0.0,0,23,19.016129032258064,19.200000000000003,1.4757404263346459
2002-02-01,39.93928571428571,701.7,0.0,28,0.08,1,0,0.0,0,23,21.964285714285715,10.075000000000001,-1.2577845475758451
2002-03-01,46.81290322580645,566.1,2.299999999999997,31,0.4,1,0,0.0,0,19,23.219354838709677,9.416129032258064,-3.3052631578947356
2002-04-01,61.470000000000006,162.5,56.60000000000001,30,0.78,2,0,0.0,2,1,24.316666666666666,16.016666666666666,3.1033723196881198
2002-05-01,68.68709677419355,55.70000000000001,169.99999999999997,31,0.46,2,0,0.0,5,0,24.11935483870968,13.309677419354838,1.5261811369357758
2002-06-01,79.46333333333334,0.7999999999999972,434.70000000000005,30,1.02,6,0,0.0,24,0,24.61,14.696666666666665,2.144160401002509
2002-07-01,78.47419354838709,0.0,417.70000000000005,31,1.92,7,0,0.0,19,0,17.851612903225806,21.55483870967742,-1.1816638370118966
2002-08-01,79.7709677419355,0.0,457.9,31,1.29,5,0,0.0,23,0,20.65806451612903,19.14516129032258,2.268760611205451
2002-09-01,69.2551724137931,21.599999999999994,145.0,29,2.4,6,0,0.0,1,0,17.693103448275863,18.46896551724138,-1.3171526181353812
2002-10-01,54.40967741935484,338.4,10.100000000000009,31,0.79,5,0,0.0,0,1,17.606451612903225,34.36129032258064,-3.9487096774193517
2002-11-01,44.04,628.8000000000001,0.0,30,1.25,2,1,0.0,0,12,19.066666666666666,16.313333333333333,-2.591000000000001
2002-12-01,36.49677419354839,883.5999999999999,0.0,31,0.68,3,0,0.0,0,24,17.848387096774193,18.467741935483872,-1.5153225806451616
