date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,65.00967741935484,97.9,98.2,31,0.62,3,0,0.0,0,0,17.032258064516128,44.851612903225806,4.577096774193549
2000-02-01,69.71724137931034,37.599999999999994,174.39999999999998,29,0.48000000000000004,2,0,0.0,2,0,19.900000000000002,45.00344827586206,4.97038793103448
2000-03-01,73.75806451612904,4.100000000000001,275.6,31,1.4100000000000001,3,1,0.0,3,0,20.73548387096774,55.37096774193548,3.44580645161291
2000-04-01,76.27666666666667,0.0,338.30000000000007,30,0.6,1,0,0.0,9,0,20.259999999999998,36.7,0.07933333333333792
2000-05-01,82.70322580645161,0.0,548.8,31,0.12,2,0,0.0,26,0,22.241935483870968,43.68064516129032,1.4545161290322568
2000-06-01,82.98666666666666,0.0,539.6,30,3.4899999999999998,6,1,0.0,21,0,20.34333333333333,34.72,-2.01966666666668
2000-07-01,86.6258064516129,0.0,670.4000000000001,31,1.41,1,1,0.0,31,0,21.106451612903225,13.05483870967742,0.9772580645161213
2000-08-01,84.06129032258065,0.0,590.9000000000001,31,2.9099999999999997,8,1,0.0,27,0,18.816129032258065,17.86774193548387,-2.406935483870967
2000-09-01,82.03,0.0,510.90000000000003,30,2.69,3,1,0.0,22,0,16.533333333333335,15.076666666666666,-0.22766666666666424
2000-10-01,73.52580645161291,60.49999999999999,324.7999999999999,31,2.87,9,1,0.0,5,0,17.961290322580645,42.94516129032258,-3.1703225806451627
2000-11-01,67.05333333333334,96.79999999999998,158.40000000000003,30,1.48,5,1,0.0,1,0,17.333333333333332,55.37,-1.3458333333333314
2000-12-01,55.28064516129032,323.2,21.900000000000006,31,1.18,7,0,0.0,0,0,15.53225806451613,53.65161290322581,-6.626451612903232
2001-01-01,58.10967741935484,242.8,29.19999999999999,31,0.43,6,0,0.0,0,0,15.82258064516129,53.76451612903226,-2.3229032258064564
2001-02-01,66.61785714285715,94.49999999999999,139.8,28,1.5,6,0,0.0,1,0,20.046428571428574,58.56428571428571,1.8710036945812902
2001-03-01,66.64838709677419,49.699999999999996,100.79999999999998,31,0.5,6,0,0.0,1,0,18.183870967741935,47.0,-3.6638709677419428
2001-04-01,77.76666666666667,4.200000000000003,387.20000000000005,30,0.11,2,0,0.0,14,0,21.44333333333333,51.99,1.5693333333333328
2001-05-01,80.94516129032259,0.0,494.3,31,0.5800000000000001,3,0,0.0,18,0,19.35483870967742,33.458064516129035,-0.3035483870967681
2001-06-01,85.11,0.0,603.3,30,3.3600000000000003,3,1,0.0,30,0,20.52,18.959999999999997,0.1036666666666548
2001-07-01,85.15806451612903,0.0,624.8999999999999,31,2.16,4,1,0.0,29,0,19.80322580645161,13.112903225806452,-0.4904838709677506
2001-08-01,85.66774193548386,0.0,640.6999999999999,31,5.15,6,2,0.0,27,0,19.15806451612903,22.651612903225807,-0.8004838709677529
2001-09-01,80.02666666666667,0.0,450.80000000000007,30,4.54,7,1,0.0,16,0,15.423333333333334,26.37,-2.2309999999999945
2001-10-01,76.11612903225806,0.9000000000000057,345.5,31,0.1,1,0,0.0,9,0,15.23225806451613,27.916129032258063,-0.5800000000000125
2001-11-01,69.24,63.0,190.2,30,4.22,3,1,0.0,0,0,16.486666666666668,38.11333333333334,0.8408333333333218
2001-12-01,61.83548387096774,153.4,55.30000000000001,31,1.26,5,0,0.0,0,0,14.990322580645161,38.12580645161291,-0.07161290322581237
2002-01-01,62.50967741935484,163.79999999999998,86.59999999999998,31,0.11,3,0,0.0,0,1,18.993548387096773,32.225806451612904,2.077096774193542
2002-02-01,59.35,189.09999999999997,30.900000000000006,28,0.34,4,0,0.0,0,0,17.646428571428572,44.9,-5.396853448275856
2002-03-01,68.9483870967742,69.3,191.70000000000005,31,0.11,1,0,0.0,5,0,21.083870967741937,45.483870967741936,-1.3638709677419314
2002-04-01,77.99,1.5,391.2,30,0.8,3,0,0.0,13,0,20.706666666666667,34.21333333333334,1.792666666666662
2002-05-01,81.56774193548387,0.0,513.6,31,1.0,3,0,0.0,24,0,21.996774193548386,24.551612903225806,0.3190322580645102
2002-06-01,84.67666666666668,0.0,590.3,30,2.3200000000000003,5,0,0.0,27,0,18.48,28.64,-0.3296666666666681
2002-07-01,84.74193548387096,0.0,612.0000000000001,31,3.75,7,1,0.0,28,0,19.951612903225808,24.677419354838708,-0.9066129032258203
2002-08-01,86.90967741935484,0.0,679.1999999999999,31,0.24,4,0,0.0,31,0,19.612903225806452,14.774193548387096,0.4414516129032222
2002-09-01,81.34666666666666,0.0,490.4,30,13.23,14,4,0.0,19,0,15.743333333333334,27.96333333333333,-0.9110000000000014
2002-10-01,77.18064516129031,0.0,377.6,31,7.45,13,2,0.0,7,0,15.196774193548388,48.122580645161285,0.4845161290322437
2002-11-01,63.913333333333334,86.19999999999999,53.599999999999994,30,3.26,7,1,0.0,1,0,14.45,36.7,-4.485833333333339
2002-12-01,62.37419354838709,141.10000000000002,59.699999999999974,31,0.32,3,0,0.0,0,0,17.238709677419354,39.39354838709678,0.4670967741935357
2003-01-01,56.4741935483871,276.20000000000005,11.899999999999991,31,6.180000000000001,9,1,0.0,0,0,14.600000000000001,43.68064516129032,-3.958387096774196
2003-02-01,60.646428571428565,182.6,60.69999999999999,28,6.45,10,1,0.0,0,0,17.664285714285715,55.635714285714286,-4.100424876847292
2003-03-01,67.25483870967743,46.599999999999994,116.50000000000001,31,6.970000000000001,10,1,0.0,0,0,16.95483870967742,47.435483870967744,-3.0574193548387
2003-04-01,74.41333333333334,8.5,290.9,30,7.24,7,2,0.0,3,0,18.686666666666667,45.669999999999995,-1.7839999999999918
2003-05-01,83.72258064516129,0.0,580.3999999999999,31,1.95,6,1,0.0,27,0,18.690322580645162,25.34193548387097,2.473870967741931
2003-06-01,86.22333333333333,0.0,636.7,30,12.469999999999999,9,4,0.0,29,0,18.39,24.743333333333332,1.2169999999999845
2003-07-01,85.1741935483871,0.0,625.4,31,9.1,12,2,0.0,28,0,18.88064516129032,14.167741935483871,-0.47435483870968653
2003-08-01,85.66129032258064,0.0,640.5,31,8.35,7,5,0.0,29,0,18.387096774193548,14.44516129032258,-0.8069354838709728
2003-09-01,80.62333333333332,0.0,468.70000000000005,30,12.72,11,3,0.0,16,0,14.94,34.89666666666667,-1.6343333333333447
2003-10-01,74.69354838709677,17.200000000000003,317.69999999999993,31,13.72,14,4,0.0,0,0,14.064516129032258,40.435483870967744,-2.002580645161302
2003-11-01,69.19,59.7,185.39999999999998,30,18.13,7,3,0.0,0,0,16.69,34.45333333333333,0.7908333333333246
2003-12-01,61.303225806451614,152.1,37.499999999999986,31,0.02,0,0,0.0,0,0,16.616129032258065,24.348387096774193,-0.6038709677419405
2004-01-01,61.08709677419355,168.89999999999998,47.60000000000002,31,3.66,8,1,0.0,0,0,15.899999999999999,54.5258064516129,0.6545161290322525
2004-02-01,61.42413793103448,142.39999999999998,38.7,29,0.7100000000000001,4,0,0.0,0,0,17.13448275862069,39.210344827586205,-3.3227155172413774
2004-03-01,71.05806451612904,0.0,187.8,31,3.28,3,1,0.0,0,0,16.329032258064515,39.18387096774194,0.745806451612907
2004-04-01,72.80333333333333,6.300000000000004,240.40000000000003,30,5.14,10,2,0.0,0,0,16.006666666666668,35.980000000000004,-3.3940000000000055
2004-05-01,77.49032258064516,0.0,387.20000000000005,31,1.66,7,0,0.0,8,0,17.648387096774194,29.796774193548387,-3.7583870967742
2004-06-01,82.77,0.0,533.1,30,4.4399999999999995,10,1,0.0,25,0,17.283333333333335,33.68666666666667,-2.2363333333333486
2004-07-01,84.6774193548387,0.0,610.0,31,0.89,11,0,0.0,29,0,15.948387096774193,12.787096774193548,-0.9711290322580766
2004-08-01,85.0,0.0,620.0,31,3.2100000000000004,6,1,0.0,30,0,16.22258064516129,12.948387096774193,-1.4682258064516134
2004-09-01,80.37666666666668,0.0,461.30000000000007,30,5.67,18,2,0.0,18,0,12.296666666666665,20.81,-1.880999999999986
2004-10-01,79.85161290322581,0.0,460.4,31,1.17,7,0,0.0,19,0,15.45483870967742,17.419354838709676,3.1554838709677426
2004-11-01,69.53666666666666,40.3,176.40000000000003,30,0.56,5,0,0.0,1,0,15.493333333333334,31.063333333333333,1.1374999999999886
2004-12-01,59.71612903225807,211.3,47.499999999999986,31,0.9400000000000001,8,0,0.0,0,3,12.948387096774193,30.148387096774194,-2.190967741935488
2005-01-01,63.09032258064516,146.5,87.3,31,1.38,9,0,0.0,0,0,15.412903225806453,43.07419354838709,2.6577419354838625
2005-02-01,63.292857142857144,126.50000000000001,78.69999999999999,28,1.29,12,0,0.0,0,0,15.242857142857144,54.767857142857146,-1.4539963054187126
2005-03-01,68.13548387096773,31.500000000000014,128.70000000000002,31,0.69,7,0,0.0,3,0,17.387096774193548,34.9741935483871,-2.176774193548397
2005-04-01,72.8,4.799999999999997,238.79999999999998,30,0.24,6,0,0.0,3,0,18.503333333333334,26.936666666666667,-3.3973333333333358
2005-05-01,78.24838709677418,0.0,410.69999999999993,31,2.7399999999999998,9,2,0.0,15,0,17.690322580645162,37.25806451612903,-3.000322580645175
2005-06-01,83.93333333333334,0.0,568.0,30,0.63,15,0,0.0,30,0,18.18,26.166666666666668,-1.0730000000000075
2005-07-01,84.58387096774193,0.0,607.0999999999998,31,5.7,12,1,0.0,27,0,16.893548387096775,20.64516129032258,-1.064677419354851
2005-08-01,85.62903225806451,0.0,639.4999999999999,31,1.22,8,0,0.0,30,0,15.174193548387096,12.470967741935485,-0.8391935483871009
2005-09-01,84.68333333333334,0.0,590.4999999999999,30,1.62,6,1,0.0,26,0,14.323333333333332,13.7,2.4256666666666717
2005-10-01,75.98709677419355,8.0,348.59999999999997,31,2.02,9,0,0.0,9,0,14.003225806451614,24.200000000000003,-0.709032258064525
2005-11-01,69.51666666666667,49.5,185.0,30,0.63,8,0,0.0,3,0,14.26,19.44,1.1174999999999926
2005-12-01,61.02258064516129,176.99999999999997,53.699999999999974,31,0.52,5,0,0.0,0,0,13.219354838709679,43.62903225806452,-0.8845161290322636
2006-01-01,64.99354838709677,81.60000000000001,81.39999999999999,31,0.09000000000000001,2,0,0.0,0,0,17.299999999999997,26.348387096774193,4.560967741935471
2006-02-01,63.528571428571425,117.3,76.10000000000001,28,0.14,2,0,0.0,2,0,17.757142857142856,36.88928571428572,-1.2182820197044322
2006-03-01,73.10645161290323,26.4,277.7,31,0.52,3,0,0.0,5,0,19.861290322580647,49.50322580645161,2.794193548387099
2006-04-01,79.57666666666667,0.0,437.30000000000007,30,0.07,1,0,0.0,15,0,19.366666666666667,29.493333333333336,3.379333333333335
2006-05-01,81.9258064516129,0.0,524.6999999999999,31,0.5700000000000001,1,0,0.0,27,0,18.135483870967743,24.36774193548387,0.6770967741935436
2006-06-01,84.42666666666668,0.0,582.8000000000001,30,0.38,3,0,0.0,27,0,17.216666666666665,17.783333333333335,-0.5796666666666681
2006-07-01,84.20322580645161,0.0,595.3000000000001,31,3.5999999999999996,8,1,0.0,29,0,17.845161290322583,17.561290322580643,-1.4453225806451684
2006-08-01,86.26774193548388,0.0,659.3000000000001,31,0.77,9,0,0.0,31,0,18.029032258064515,10.01290322580645,-0.20048387096773013
2006-09-01,82.06666666666666,0.0,511.9999999999999,30,10.9,9,4,0.0,22,0,15.763333333333332,22.196666666666665,-0.1910000000000025
2006-10-01,76.8258064516129,1.8999999999999986,368.4999999999999,31,2.08,11,0,0.0,10,0,14.748387096774193,41.432258064516134,0.12967741935483446
2006-11-01,69.83333333333333,24.999999999999993,170.00000000000006,30,0.09,1,0,0.0,2,0,16.03666666666667,29.816666666666666,1.4341666666666555
2006-12-01,60.88387096774194,179.49999999999994,51.89999999999998,31,2.52,7,0,0.0,0,0,15.103225806451613,53.75806451612903,-1.023225806451613
2007-01-01,55.60967741935484,321.5999999999999,30.5,31,2.2399999999999998,11,0,0.0,0,0,15.490322580645161,49.53548387096774,-4.822903225806456
2007-02-01,62.707142857142856,142.4,78.2,28,0.44999999999999996,3,0,0.0,1,0,15.775,40.88928571428572,-2.0397105911330016
2007-03-01,72.03870967741935,26.900000000000006,245.09999999999997,31,0.73,4,0,0.0,1,0,18.76451612903226,51.99032258064516,1.7264516129032188
2007-04-01,73.37666666666668,37.5,288.8,30,4.1,7,1,0.0,8,0,17.240000000000002,33.553333333333335,-2.8206666666666536
2007-05-01,80.19999999999999,0.0,471.1999999999999,31,1.35,8,0,0.0,18,0,17.07741935483871,31.603225806451615,-1.0487096774193674
2007-06-01,85.44666666666667,0.0,613.4000000000001,30,2.36,9,0,0.0,28,0,18.013333333333332,22.283333333333335,0.4403333333333279
2007-07-01,83.58709677419354,0.0,576.2,31,8.21,11,2,0.0,23,0,16.58709677419355,20.51290322580645,-2.061451612903241
2007-08-01,83.69354838709677,0.0,579.4999999999999,31,3.41,11,1,0.0,25,0,15.32258064516129,9.370967741935484,-2.7746774193548447
2007-09-01,81.7,0.0,500.99999999999994,30,1.6400000000000001,12,0,0.0,24,0,12.703333333333335,16.166666666666668,-0.5576666666666625
2007-10-01,75.85806451612903,2.5,339.09999999999997,31,1.09,3,0,0.0,15,0,14.883870967741935,7.393548387096774,-0.8380645161290374
2007-11-01,69.14333333333335,70.69999999999999,195.0,30,0.31,4,0,0.0,1,0,15.413333333333332,23.176666666666666,0.744166666666672
2007-12-01,66.53548387096774,87.80000000000003,135.4,31,0.98,1,0,0.0,1,0,16.906451612903226,23.170967741935485,4.628387096774183
2008-01-01,59.4741935483871,219.10000000000002,47.8,31,1.6400000000000001,7,1,0.0,0,0,16.770967741935483,29.006451612903227,-0.9583870967741959
2008-02-01,69.18275862068965,34.300000000000004,155.59999999999997,29,0.03,1,0,0.0,2,0,19.06551724137931,25.893103448275863,4.435905172413797
2008-03-01,70.86774193548388,29.000000000000007,210.9,31,4.25,3,2,0.0,5,0,21.783870967741933,30.55483870967742,0.5554838709677483
2008-04-01,76.05,0.0,331.4999999999999,30,1.08,3,0,0.0,8,0,19.683333333333334,38.45333333333333,-0.14733333333333576
2008-05-01,82.8225806451613,0.0,552.5000000000001,31,0.37,2,0,0.0,25,0,17.712903225806453,45.016129032258064,1.5738709677419394
2008-06-01,85.55,0.0,616.5,30,0.2,2,0,0.0,29,0,19.936666666666667,27.996666666666666,0.5436666666666525
2008-07-01,81.85483870967742,0.0,522.5000000000001,31,10.350000000000001,10,4,0.0,22,0,17.703225806451613,34.751612903225805,-3.7937096774193577
2008-08-01,83.51290322580645,0.0,573.9,31,5.53,12,2,0.0,24,0,15.083870967741936,29.570967741935487,-2.9553225806451593
2008-09-01,78.94,0.0,418.2,30,4.02,9,2,0.0,12,0,11.33,24.45,-3.3176666666666677
2008-10-01,73.95806451612903,5.299999999999997,283.0,31,1.7300000000000002,5,1,0.0,3,0,12.593548387096773,25.993548387096773,-2.738064516129043
2008-11-01,67.62666666666667,55.89999999999999,134.70000000000002,30,0.74,5,0,0.0,0,0,13.266666666666667,32.18333333333333,-0.772500000000008
2008-12-01,62.309677419354834,171.29999999999998,87.89999999999999,31,0.21000000000000002,4,0,0.0,0,0,17.11935483870968,45.622580645161285,0.40258064516127945
2009-01-01,63.04838709677419,122.6,62.09999999999998,31,0.05,1,0,0.0,0,0,15.548387096774194,33.903225806451616,2.6158064516128974
2009-02-01,69.26428571428572,31.799999999999997,151.2,28,0.59,4,0,0.0,3,0,19.157142857142855,37.239285714285714,4.5174322660098625
2009-03-01,70.48387096774194,65.30000000000001,235.30000000000007,31,0.33,4,0,0.0,4,0,18.970967741935485,35.770967741935486,0.1716129032258067
2009-04-01,77.90666666666667,1.5,388.7,30,0.15,1,0,0.0,17,0,19.976666666666667,31.046666666666667,1.7093333333333334
2009-05-01,82.5,0.0,542.5,31,2.42,4,0,0.0,25,0,19.01290322580645,33.729032258064514,1.251290322580644
2009-06-01,86.08333333333333,0.0,632.5,30,2.06,4,0,0.0,29,0,17.39,24.293333333333337,1.076999999999984
2009-07-01,89.61612903225806,0.0,763.0999999999998,31,0.15,2,0,0.0,31,0,21.206451612903226,15.30967741935484,3.967580645161277
2009-08-01,88.35806451612903,0.0,724.0999999999999,31,0.31999999999999995,2,0,0.0,30,0,19.46451612903226,11.451612903225806,1.88983870967742
2009-09-01,82.40333333333334,0.0,522.1000000000001,30,5.37,13,2,0.0,25,0,14.94,30.029999999999998,0.1456666666666706
2009-10-01,77.78387096774195,1.500000000000007,397.80000000000007,31,3.0500000000000003,6,1,0.0,13,0,17.73548387096774,33.89354838709678,1.0877419354838764
2009-11-01,68.06,26.599999999999994,118.40000000000003,30,1.56,5,0,0.0,0,0,13.860000000000001,26.816666666666666,-0.33916666666667084
2009-12-01,57.02903225806452,270.99999999999994,23.900000000000006,31,5.050000000000001,9,2,0.0,0,1,13.635483870967741,51.88709677419355,-4.878064516129037
2010-01-01,59.13225806451613,222.2,40.3,31,0.81,7,0,0.0,0,1,16.280645161290323,48.332258064516125,-1.3003225806451653
2010-02-01,58.15,200.5,8.700000000000003,28,2.62,10,1,0.0,0,0,16.142857142857142,43.53214285714286,-6.5968534482758585
2010-03-01,67.13225806451612,37.9,104.00000000000001,31,0.35000000000000003,1,0,0.0,1,0,17.9741935483871,28.770967741935483,-3.180000000000007
2010-04-01,74.89666666666668,0.20000000000000284,297.1000000000001,30,4.13,8,1,0.0,3,0,18.16,42.53333333333333,-1.3006666666666575
2010-05-01,81.01290322580645,0.0,496.40000000000003,31,3.1999999999999997,4,1,0.0,20,0,18.26774193548387,35.1741935483871,-0.23580645161290192
2010-06-01,84.67,0.0,590.0999999999999,30,9.780000000000001,6,2,0.0,28,0,18.783333333333335,30.966666666666665,-0.3363333333333429
2010-07-01,83.81290322580645,0.0,583.1999999999999,31,5.28,13,2,0.0,24,0,16.60967741935484,26.81935483870968,-1.83564516129033
2010-08-01,86.55483870967741,0.0,668.2000000000002,31,0.3,1,0,0.0,31,0,15.125806451612902,13.483870967741936,0.08661290322579873
2010-09-01,81.82,0.0,504.6,30,6.36,17,2,0.0,18,0,14.226666666666667,29.546666666666667,-0.4376666666666722
2010-10-01,75.97096774193548,0.0,340.1,31,0.0,0,0,0.0,15,0,13.938709677419356,12.209677419354838,-0.725161290322589
2010-11-01,68.94,44.400000000000006,162.60000000000005,30,0.01,0,0,0.0,3,0,17.959999999999997,26.89,0.5408333333333246
2010-12-01,63.851612903225806,122.80000000000001,87.2,31,0.12,2,0,0.0,0,0,15.993548387096775,29.15483870967742,1.9445161290322517
2011-01-01,60.55806451612903,187.39999999999998,49.699999999999974,31,1.04,4,0,0.0,0,0,15.851612903225806,36.47741935483871,0.1254838709677344
2011-02-01,62.589285714285715,212.70000000000002,145.2,28,0.0,0,0,0.0,3,4,19.410714285714285,46.98571428571428,-2.157567733990142
2011-03-01,73.23870967741935,7.600000000000001,263.0,31,0.34,2,0,0.0,4,0,18.283870967741933,45.76451612903226,2.9264516129032216
2011-04-01,80.12333333333332,0.0,453.7,30,0.0,0,0,0.0,24,0,21.046666666666667,37.026666666666664,3.9259999999999877
2011-05-01,81.76451612903226,0.0,519.6999999999999,31,0.31,2,0,0.0,22,0,19.93548387096774,38.97096774193548,0.5158064516129031
2011-06-01,84.91666666666667,0.0,597.5,30,3.62,5,2,0.0,27,0,18.273333333333333,30.19333333333333,-0.08966666666667322
2011-07-01,85.5516129032258,0.0,637.1,31,1.09,5,0,0.0,31,0,17.190322580645162,22.94516129032258,-0.09693548387097906
2011-08-01,88.03548387096774,0.0,714.1000000000001,31,0.74,4,0,0.0,31,0,17.616129032258065,15.26774193548387,1.5672580645161247
2011-09-01,85.37666666666668,0.0,611.3000000000001,30,0.09,2,0,0.0,30,0,16.393333333333334,12.143333333333334,3.119000000000014
2011-10-01,76.93225806451613,3.200000000000003,373.1,31,0.2,2,0,0.0,20,0,16.09032258064516,14.187096774193549,0.23612903225806292
2011-11-01,70.57,38.3,205.4,30,0.16,5,0,0.0,4,0,18.15666666666667,28.423333333333336,2.17083333333332
2011-12-01,61.012903225806454,186.80000000000004,63.2,31,1.9900000000000002,10,1,0.0,0,0,14.94516129032258,56.690322580645166,-0.8941935483871006
