date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,58.04516129032258,251.49999999999994,35.900000000000006,31,2.07,4,1,0.0,0,0,18.12258064516129,68.70967741935483,3.5919354838709694
2000-02-01,62.710344827586205,121.69999999999999,55.29999999999998,29,1.71,7,0,0.0,0,0,15.62413793103448,64.49310344827586,4.340566502463055
2000-03-01,67.39032258064516,52.10000000000001,126.2,31,1.9200000000000002,8,1,0.0,0,0,15.483870967741936,71.69354838709677,3.090161290322584
2000-04-01,69.64,29.000000000000007,168.2,30,4.82,5,3,0.0,0,0,15.533333333333333,59.43666666666666,-0.7858333333333292
2000-05-01,78.23225806451612,0.0,410.19999999999993,31,8.52,9,3,0.0,3,0,15.932258064516128,73.79677419354839,1.1696774193548265
2000-06-01,81.53,0.0,495.9,30,2.53,13,0,0.0,13,0,16.386666666666667,68.76666666666667,-0.7366666666666788
2000-07-01,83.96451612903226,0.0,587.9000000000001,31,1.5699999999999998,3,0,0.0,29,0,15.27741935483871,51.81612903225806,0.5512903225806554
2000-08-01,83.74516129032257,0.0,581.0999999999999,31,2.27,9,1,0.0,29,0,14.14516129032258,44.40967741935484,-0.04354838709677722
2000-09-01,79.48666666666666,2.8999999999999986,437.5,30,5.75,11,1,0.0,13,0,12.96,46.61333333333334,-0.5763333333333378
2000-10-01,71.45483870967742,47.2,247.29999999999998,31,5.87,12,2,0.0,1,0,13.36774193548387,69.54516129032258,-0.870483870967746
2000-11-01,59.626666666666665,219.1,57.90000000000002,30,11.01,16,5,0.0,0,0,14.4,67.86333333333333,-3.4611666666666707
2000-12-01,49.46774193548387,481.5,0.0,31,2.8,10,0,0.0,0,1,15.158064516129032,62.15806451612904,-7.050322580645158
2001-01-01,50.20645161290323,459.00000000000006,0.4000000000000057,31,5.14,14,2,0.0,0,4,13.661290322580646,72.59032258064516,-4.246774193548383
2001-02-01,60.43571428571429,169.5,41.7,28,0.66,8,0,0.0,0,0,14.799999999999999,72.71785714285714,2.0659359605911405
2001-03-01,58.7,204.00000000000006,8.699999999999989,31,7.49,13,3,0.0,0,0,14.680645161290323,63.89677419354839,-5.600161290322575
2001-04-01,72.19333333333334,6.799999999999997,222.60000000000002,30,0.88,6,0,0.0,0,0,16.956666666666667,75.17,1.7675000000000125
2001-05-01,76.36129032258064,0.0,352.2,31,3.61,8,1,0.0,3,0,16.18064516129032,64.70322580645161,-0.7012903225806468
2001-06-01,80.63333333333334,0.0,469.0,30,22.31,15,3,0.0,10,0,13.203333333333335,65.78666666666666,-1.63333333333334
2001-07-01,82.87741935483871,0.0,554.1999999999999,31,6.76,11,3,0.0,24,0,11.16451612903226,41.03548387096774,-0.5358064516128991
2001-08-01,81.87096774193549,0.0,523.0,31,14.8,13,3,0.0,23,0,11.316129032258065,35.86774193548387,-1.9177419354838605
2001-09-01,77.24333333333334,0.0,367.29999999999995,30,11.22,11,4,0.0,4,0,12.020000000000001,38.663333333333334,-2.819666666666663
2001-10-01,67.99677419354839,45.099999999999994,138.00000000000003,31,9.56,9,4,0.0,0,0,12.096774193548388,36.91935483870968,-4.328548387096774
2001-11-01,64.43666666666667,92.7,75.79999999999998,30,7.28,12,2,0.0,0,0,12.163333333333332,42.31333333333334,1.3488333333333316
2001-12-01,57.354838709677416,272.4,35.39999999999999,31,10.55,15,5,0.0,0,0,12.825806451612902,53.49354838709677,0.8367741935483863
2002-01-01,56.099999999999994,302.2,26.30000000000001,31,3.0700000000000003,9,1,0.0,0,3,15.103225806451613,51.900000000000006,1.6467741935483815
