date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,51.846666666666664,401.40000000000003,6.799999999999997,30,2.12,3,1,0.0,0,5,15.376666666666667,34.513333333333335,4.085853494623656
2000-02-01,58.682758620689654,224.8,41.60000000000001,29,0.25,1,0,0.0,0,1,15.799999999999999,32.49310344827586,7.144157000406999
2000-03-01,62.65161290322581,145.8,73.00000000000003,31,1.1600000000000001,5,0,0.0,0,0,16.283870967741937,48.119354838709675,3.790378197997775
2000-04-01,67.40333333333334,64.0,136.10000000000002,30,1.3599999999999999,6,0,0.0,1,0,16.773333333333333,40.080000000000005,1.010921927924926
2000-05-01,76.41428571428571,0.5,320.09999999999997,28,3.77,3,1,0.0,8,0,17.407142857142855,44.31071428571429,2.809828873258411
2000-06-01,79.65,0.0,439.5,30,5.14,10,1,0.0,14,0,15.253333333333334,41.93,-0.55416666666666
2000-07-01,86.20322580645161,0.0,657.3,31,0.53,3,0,0.0,31,0,15.474193548387099,11.60967741935484,3.4820567538811247
2000-08-01,85.86451612903227,0.0,646.8000000000001,31,0.05,1,0,0.0,31,0,13.46774193548387,7.564516129032258,2.788259544643253
2000-09-01,78.72666666666667,15.299999999999997,427.09999999999997,30,1.71,4,1,0.0,17,0,13.856666666666666,17.509999999999998,1.6124768818598199
2000-10-01,68.91333333333334,62.8,180.19999999999993,30,5.56,10,2,0.0,4,0,12.389999999999999,63.29666666666667,1.5380086896886382
2001-01-01,45.564516129032256,602.5000000000001,0.0,31,2.26,7,1,0.0,0,9,13.180645161290323,46.92903225806452,-2.196297043010752
2001-02-01,54.09285714285715,316.40000000000003,11.000000000000014,28,0.7,6,0,0.0,0,5,15.928571428571429,56.99285714285714,2.5542555225744934
2001-03-01,52.803225806451614,379.6,1.5,31,4.43,10,1,0.0,0,0,13.974193548387097,51.564516129032256,-6.058008898776421
2001-04-01,69.11666666666666,28.999999999999993,152.50000000000003,30,1.02,3,0,0.0,0,0,16.07,59.086666666666666,2.72425526125825
2001-05-01,74.60645161290323,0.0,297.80000000000007,31,0.75,6,0,0.0,2,0,15.838709677419354,35.29354838709677,1.0019947718759283
2001-06-01,80.23,0.0,456.90000000000003,30,1.2499999999999998,2,0,0.0,13,0,14.953333333333335,33.57,0.02583333333333826
2001-07-01,85.16451612903225,0.0,625.1,31,0.3,2,0,0.0,27,0,13.483870967741936,15.787096774193548,2.4433470764617624
2001-12-01,50.95161290322581,451.20000000000005,15.699999999999989,31,2.75,8,0,0.0,0,9,13.8,37.86451612903225,1.4408858166922727
2002-01-01,50.519354838709674,465.90000000000003,17.0,31,0.5700000000000001,3,0,0.0,0,9,16.28709677419355,37.87096774193548,2.758541666666666
2002-02-01,48.353571428571435,467.6,1.5,28,0.67,2,0,0.0,0,10,15.614285714285714,21.25,-3.1850301917112205
2002-03-01,57.05806451612903,282.6,36.400000000000006,31,0.61,2,0,0.0,0,5,19.741935483870968,48.88709677419355,-1.8031701890990064
2002-04-01,71.08999999999999,38.800000000000004,221.50000000000003,30,0.6500000000000001,3,0,0.0,3,0,15.853333333333333,50.49,4.697588594591579
2002-05-01,75.70967741935483,1.2999999999999972,333.3,31,4.91,8,1,0.0,5,0,18.129032258064516,38.34193548387096,2.1052205783275326
2002-06-01,80.07666666666667,0.0,452.30000000000007,30,5.18,8,2,0.0,20,0,13.643333333333334,29.726666666666667,-0.12749999999999773
2002-07-01,81.11935483870967,0.0,499.6999999999999,31,5.16,9,3,0.0,19,0,14.516129032258064,31.287096774193547,-1.6018142138608198
2002-08-01,83.75483870967743,0.0,581.3999999999999,31,3.3499999999999996,5,0,0.0,28,0,13.09032258064516,4.635483870967741,0.6785821252884148
