date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,52.28709677419355,402.29999999999995,8.200000000000003,31,3.55,4,2,0.0,0,4,15.516129032258064,42.97096774193548,2.9299999999999997
2000-02-01,59.00689655172414,207.5,33.70000000000002,29,3.8,7,1,0.0,0,1,15.244827586206897,46.755172413793105,5.805615763546804
2000-03-01,62.60967741935484,141.0,66.9,31,2.86,10,0,0.0,0,0,16.193548387096776,55.900000000000006,1.9856451612903214
2000-04-01,67.39333333333333,60.900000000000006,132.70000000000002,30,5.72,6,2,0.0,2,0,16.636666666666667,46.82333333333334,-0.7306781609195383
2000-05-01,77.0,0.0,372.0,31,4.28,7,1,0.0,11,0,16.98709677419355,51.63225806451614,1.9350000000000023
2000-06-01,79.83333333333333,0.0,445.0,30,10.47,12,6,0.0,13,0,14.853333333333333,55.666666666666664,-1.9531666666666752
2000-07-01,86.65806451612903,0.0,671.4000000000001,31,0.28,2,0,0.0,31,0,14.035483870967743,28.009677419354837,2.1219354838709705
2000-08-01,87.14516129032258,0.0,686.5,31,0.28,3,0,0.0,31,0,13.387096774193548,24.029032258064515,1.8396774193548424
2000-09-01,79.97333333333333,12.900000000000006,462.09999999999997,30,6.619999999999999,6,2,0.0,18,0,13.393333333333334,30.126666666666665,0.9009999999999962
2000-10-01,69.11935483870967,58.99999999999999,186.70000000000002,31,7.38,16,3,0.0,3,0,14.583870967741936,69.43870967741935,-0.11967741935484355
2000-11-01,53.16,364.7,9.5,30,11.47,15,3,0.0,0,0,13.613333333333333,59.57666666666667,-5.579666666666668
2000-12-01,43.03548387096774,680.8999999999999,0.0,31,1.83,10,0,0.0,0,10,14.654838709677419,58.92903225806452,-7.455806451612901
2001-01-01,45.92580645161291,591.3,0.0,31,4.9,10,2,0.0,0,5,14.52258064516129,57.97096774193548,-3.4312903225806437
2001-02-01,53.90714285714286,320.79999999999995,10.200000000000003,28,1.53,10,0,0.0,0,2,16.178571428571427,58.99285714285714,0.7058620689655228
2001-03-01,53.45483870967742,359.2,1.2999999999999972,31,7.32,18,2,0.0,0,0,13.86774193548387,58.62580645161291,-7.169193548387099
2001-04-01,69.57,25.000000000000007,162.10000000000002,30,1.75,4,1,0.0,0,0,16.863333333333333,64.32333333333334,1.445988505747124
2001-05-01,75.18387096774192,0.0,315.69999999999993,31,10.860000000000001,8,3,0.0,3,0,15.245161290322581,45.73548387096774,0.11887096774192685
2001-06-01,80.86666666666666,0.0,475.99999999999994,30,4.37,6,1,0.0,15,0,14.84,43.79,-0.9198333333333437
2001-07-01,85.61290322580645,0.0,639.0,31,3.31,2,2,0.0,28,0,13.212903225806452,23.64516129032258,1.0767741935483883
2001-08-01,84.39032258064516,0.0,601.1000000000001,31,9.91,9,3,0.0,26,0,13.106451612903227,41.438709677419354,-0.9151612903225725
2001-09-01,75.59333333333333,1.500000000000007,319.29999999999995,30,7.539999999999999,7,2,0.0,5,0,12.053333333333335,35.01,-3.478999999999999
2001-10-01,65.94516129032257,64.80000000000001,94.09999999999998,31,3.36,6,0,0.0,0,0,14.651612903225805,39.858064516129026,-3.293870967741938
2001-11-01,60.47,172.00000000000003,36.099999999999994,30,8.0,10,2,0.0,0,2,13.376666666666667,54.686666666666675,1.7303333333333342
2001-12-01,51.81935483870968,425.3,16.700000000000003,31,5.26,10,1,0.0,0,5,13.387096774193548,45.9483870967742,1.3280645161290394
2002-01-01,50.62580645161291,459.3999999999999,13.799999999999997,31,0.75,5,0,0.0,0,5,14.535483870967743,45.88709677419355,1.2687096774193591
2002-02-01,48.93214285714286,452.09999999999997,2.200000000000003,28,2.5,4,1,0.0,0,7,15.357142857142858,32.99285714285714,-4.269137931034479
2002-03-01,56.73870967741936,283.90000000000003,27.80000000000001,31,5.99,11,2,0.0,0,3,17.287096774193547,52.93225806451613,-3.885322580645159
2002-04-01,70.33333333333333,42.599999999999994,202.59999999999997,30,13.39,6,3,0.0,3,0,16.08,63.24,2.2093218390804594
2002-05-01,75.01612903225806,2.000000000000007,312.5,31,3.13,11,1,0.0,4,0,16.70967741935484,51.599999999999994,-0.04887096774193367
2002-06-01,79.57,0.0,437.1000000000001,30,5.7,7,2,0.0,14,0,13.96,37.85666666666667,-2.2165000000000106
2002-07-01,81.12903225806451,0.0,500.0000000000001,31,12.4,8,3,0.0,19,0,13.551612903225806,39.31290322580645,-3.4070967741935476
2002-08-01,83.86451612903227,0.0,584.7999999999998,31,0.03,1,0,0.0,27,0,12.364516129032259,30.822580645161292,-1.4409677419354665
2002-09-01,77.99,0.0,389.7,30,3.56,4,2,0.0,8,0,12.923333333333334,32.01,-1.082333333333338
2002-10-01,65.95483870967742,91.50000000000003,121.1,31,10.32,15,2,0.0,2,0,12.574193548387097,67.96451612903226,-3.284193548387094
