date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-04-01,62.11,144.7,57.999999999999986,30,1.67,3,0,0.0,1,0,24.256666666666668,18.683333333333334,0.242833333333337
2000-05-01,74.38064516129033,32.10000000000001,322.90000000000003,31,0.78,2,0,0.0,15,0,22.925806451612903,13.509677419354839,4.063387096774193
2000-06-01,73.33666666666666,5.699999999999996,255.79999999999995,30,8.41,11,3,0.0,3,0,21.516666666666666,46.513333333333335,-5.288500000000013
2000-07-01,80.5225806451613,0.0,481.20000000000005,31,2.06,5,1,0.0,20,0,17.774193548387096,21.29032258064516,-0.41225806451612357
2000-08-01,82.04838709677419,0.0,528.5,31,0.01,0,0,0.0,31,0,16.325806451612905,15.874193548387098,2.3330645161290278
2000-09-01,75.28999999999999,30.599999999999994,339.29999999999995,30,0.0,0,0,0.0,17,0,17.7,7.8966666666666665,3.09966666666665
2000-10-01,61.29032258064516,183.0,67.99999999999999,31,3.2800000000000002,11,0,0.0,4,0,19.603225806451615,53.541935483870965,-0.05048387096773865
2000-11-01,42.38333333333333,678.5,0.0,30,1.01,7,0,4.72,0,15,17.540000000000003,32.266666666666666,-7.237499999999997
2000-12-01,34.50322580645161,945.4,0.0,31,0.93,3,0,26.58,0,28,18.91290322580645,25.835483870967742,-6.130483870967744
2001-01-01,36.16451612903226,893.9,0.0,31,0.32,3,0,13.0,0,26,19.296774193548387,35.435483870967744,-4.223429541595927
2001-02-01,43.6,599.1999999999999,0.0,28,0.52,3,0,0.0,0,12,20.896428571428572,32.0,-0.35620948924034224
2001-03-01,47.42580645161291,544.8000000000001,0.0,31,2.3400000000000003,5,1,2.36,0,3,20.006451612903227,47.88709677419355,-5.845840407470291
2001-04-01,64.27666666666667,87.30000000000001,65.60000000000001,30,0.38,3,0,0.0,1,0,24.526666666666664,19.823333333333334,2.4095000000000084
2001-05-01,69.73870967741935,25.1,171.99999999999997,31,4.16,10,1,0.0,5,0,22.729032258064517,29.4741935483871,-0.578548387096788
2001-06-01,81.09333333333333,0.0,482.80000000000007,30,0.47000000000000003,3,0,0.0,24,0,22.44,17.366666666666667,2.4681666666666615
2001-07-01,85.39032258064516,0.0,632.0999999999998,31,0.6,1,0,0.0,30,0,17.690322580645162,17.11935483870968,4.45548387096774
2001-08-01,78.64193548387097,0.0,422.9000000000001,31,1.1099999999999999,6,0,0.0,18,0,16.65806451612903,27.309677419354838,-1.0733870967741979
2001-09-01,71.36,12.0,202.8,30,0.8500000000000001,4,0,0.0,4,0,17.676666666666666,25.15,-0.8303333333333427
2001-10-01,61.90967741935484,137.3,41.49999999999997,31,0.02,0,0,0.0,0,1,19.838709677419356,8.135483870967741,0.5688709677419439
2001-11-01,51.56666666666667,404.6,1.5999999999999943,30,3.2700000000000005,7,1,8.27,0,4,19.673333333333336,33.873333333333335,1.94583333333334
2001-12-01,41.5258064516129,727.7,0.0,31,0.14,2,0,2.36,0,19,20.187096774193545,21.39032258064516,0.892096774193547
2002-01-01,41.46774193548387,729.4999999999999,0.0,31,0.55,1,0,1.18,0,25,21.032258064516128,17.929032258064513,1.0797962648556876
2002-02-01,41.54642857142857,656.7,0.0,28,0.5,2,0,3.54,0,17,22.635714285714283,15.114285714285714,-2.409780917811773
2002-03-01,48.958064516129035,503.2,5.900000000000006,31,2.16,4,0,0.0,0,16,25.24516129032258,15.964516129032257,-4.313582342954163
2002-04-01,62.55,157.1,83.60000000000002,30,1.28,6,0,0.0,2,0,22.303333333333335,27.19,0.6828333333333347
2002-05-01,70.00645161290322,36.60000000000001,191.79999999999995,31,0.32,2,0,0.0,11,0,24.532258064516128,16.738709677419354,-0.310806451612919
2002-06-01,77.93666666666667,0.0,388.1,30,2.94,5,1,0.0,19,0,22.696666666666665,19.84,-0.6885000000000048
2002-07-01,79.17096774193548,0.0,439.30000000000007,31,1.36,7,0,0.0,16,0,17.44516129032258,30.03548387096774,-1.763870967741937
2002-08-01,80.91290322580646,0.0,493.29999999999995,31,1.31,3,1,0.0,22,0,19.58709677419355,19.361290322580647,1.1975806451612954
2002-09-01,71.67666666666668,5.599999999999994,205.89999999999998,30,1.38,5,0,0.0,4,0,17.076666666666664,23.636666666666667,-0.5136666666666656
2002-10-01,57.16129032258065,270.29999999999995,27.299999999999997,31,5.3,10,1,0.0,0,0,18.14516129032258,57.17741935483871,-4.179516129032251
2002-11-01,46.86666666666667,543.9999999999999,0.0,30,0.4,4,0,0.0,0,5,18.816666666666666,20.93,-2.754166666666663
2002-12-01,40.66451612903226,754.4,0.0,31,1.57,3,1,0.0,0,20,18.825806451612905,25.741935483870968,0.03080645161290363
2003-01-01,40.87096774193548,748.0000000000001,0.0,31,0.04,1,0,0.0,0,23,19.677419354838708,8.761290322580644,0.48302207130729613
2003-02-01,42.71071428571429,624.1,0.0,28,0.060000000000000005,1,0,0.0,0,16,22.228571428571428,44.07142857142857,-1.2454952035260547
2003-03-01,53.13870967741936,368.90000000000003,1.2000000000000028,31,0.25,3,0,1.18,0,5,21.780645161290323,47.406451612903226,-0.1329371816638414
2003-04-01,63.47,120.10000000000001,74.2,30,1.04,5,0,0.0,0,2,25.416666666666668,41.29333333333333,1.6028333333333364
2003-05-01,71.25806451612904,24.400000000000006,218.39999999999998,31,1.3,4,0,0.0,10,0,21.99032258064516,56.92903225806452,0.9408064516129002
