date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2004-06-01,76.81333333333333,0.0,354.4,30,4.26,12,0,0.0,1,0,12.72,44.25666666666667,-4.0568042328042395
2004-07-01,81.28275862068965,0.0,472.20000000000005,29,1.49,2,1,0.0,17,0,11.46896551724138,21.49310344827586,-2.20781503257588
2004-08-01,78.204,0.0,330.1,25,2.06,5,1,0.0,9,0,11.027999999999999,24.12,-5.2005260545905685
2004-09-01,76.5551724137931,0.0,335.09999999999997,29,0.12,1,0,0.0,10,0,10.331034482758621,18.727586206896554,-1.9010919540229878
2004-10-01,69.83870967741936,12.199999999999989,162.2,31,2.9,13,1,0.0,0,0,13.654838709677419,46.26451612903226,3.1087903225806457
2004-11-01,55.34666666666667,289.6,0.0,30,3.6,12,0,0.0,0,0,12.953333333333335,58.163333333333334,-0.2658950617283935
2004-12-01,47.37419354838709,546.8000000000002,0.4000000000000057,31,0.42000000000000004,2,0,0.0,0,6,14.416129032258064,17.887096774193548,-0.2043707686180838
2005-01-01,48.880645161290325,502.79999999999995,3.1000000000000085,31,4.18,9,1,0.0,0,6,14.109677419354838,45.88387096774194,2.290026067122838
2005-02-01,51.892857142857146,374.20000000000005,7.199999999999989,28,1.94,8,0,0.0,0,0,12.85,45.775,1.9526077026421902
2005-03-01,55.92258064516129,286.3,4.8999999999999915,31,2.53,9,0,0.0,0,0,16.387096774193548,34.37096774193548,-1.9569604454685106
2005-04-01,63.983333333333334,74.00000000000003,43.50000000000003,30,0.6,5,0,0.0,0,0,17.176666666666666,28.589999999999996,-0.4670370370370449
2005-05-01,72.29032258064517,33.199999999999996,259.20000000000005,31,3.07,8,1,0.0,5,0,13.483870967741936,33.26129032258064,0.11806882017260989
2005-06-01,82.83,0.0,534.9,30,1.13,3,0,0.0,26,0,13.433333333333334,17.803333333333335,1.9598624338624262
2005-07-01,83.06451612903226,0.0,560.0,31,2.27,9,0,0.0,26,0,13.919354838709678,12.7,-0.42605752423327203
2005-08-01,84.33548387096775,0.0,599.4000000000001,31,1.33,10,0,0.0,28,0,12.403225806451612,15.106451612903227,0.9309578163771874
2005-09-01,82.54333333333334,0.0,526.3000000000002,30,1.75,5,1,0.0,25,0,13.243333333333334,17.14333333333333,4.087068965517247
2005-10-01,67.28387096774195,88.4,159.2,31,1.0299999999999998,6,0,0.0,7,0,12.209677419354838,23.200000000000003,0.5539516129032336
2005-11-01,58.72666666666667,239.30000000000004,51.09999999999998,30,0.19,1,0,0.0,0,1,15.4,24.43,3.114104938271602
2005-12-01,46.519354838709674,573.6,0.7000000000000028,31,0.28,4,0,0.0,0,8,14.948387096774193,21.09032258064516,-1.0592094782955002
2006-01-01,53.62580645161291,356.09999999999997,3.5,31,2.33,2,1,0.0,0,1,18.596774193548388,15.690322580645162,7.035187357445423
2006-02-01,47.760714285714286,484.70000000000005,2.0,28,1.84,3,1,0.0,0,6,16.589285714285715,41.18928571428571,-2.1795351545006696
2006-03-01,59.34838709677419,217.9,42.699999999999974,31,5.73,4,2,0.0,0,1,19.08709677419355,41.86451612903225,1.468846006144389
2006-04-01,69.55185185185185,21.900000000000006,144.8,27,0.62,2,0,0.0,3,0,16.95925925925926,22.87037037037037,5.101481481481471
2006-05-01,74.35217391304347,17.6,232.70000000000002,23,0.09000000000000001,2,0,0.0,1,0,13.008695652173913,31.88695652173913,2.179920152570915
