date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,58.08709677419355,250.6,36.3,31,1.7200000000000002,3,0,0.0,0,0,18.20967741935484,70.24193548387096,3.469677419354845
2000-02-01,62.793103448275865,120.30000000000001,56.29999999999997,29,1.3800000000000001,6,0,0.0,0,0,15.472413793103447,66.15517241379311,4.41534482758621
2000-03-01,67.3967741935484,51.60000000000001,125.89999999999999,31,1.57,3,0,0.0,0,0,15.658064516129032,73.23225806451612,2.8838709677419416
2000-04-01,69.71333333333334,27.9,169.29999999999998,30,4.83,5,3,0.0,0,0,15.72,60.89,-0.9004999999999939
2000-05-01,78.1774193548387,0.0,408.4999999999999,31,6.220000000000001,7,2,0.0,3,0,16.383870967741935,74.92903225806452,0.8898387096774201
2000-06-01,81.46666666666667,0.0,494.0,30,2.33,10,0,0.0,13,0,15.793333333333333,71.83333333333333,-1.0413333333333412
2000-07-01,83.90322580645162,0.0,585.9999999999999,31,1.53,3,0,0.0,29,0,14.806451612903226,54.28064516129032,0.16403225806452326
2000-08-01,83.70967741935483,0.0,580.0,31,2.02,5,1,0.0,28,0,13.638709677419355,46.21935483870968,-0.40193548387097167
2000-09-01,79.50666666666666,2.799999999999997,438.00000000000006,30,5.1,8,1,0.0,13,0,13.183333333333334,48.25333333333333,-0.812333333333342
2000-10-01,71.40322580645162,47.300000000000004,245.8,31,5.96,11,2,0.0,1,0,13.509677419354839,71.25806451612904,-1.2074193548387058
2000-11-01,59.583333333333336,219.49999999999997,56.999999999999986,30,10.1,14,3,0.0,0,0,14.74,69.46666666666667,-3.664666666666669
2000-12-01,49.45161290322581,482.0,0.0,31,2.73,9,0,0.0,0,1,15.548387096774194,63.15161290322581,-7.1280645161290295
2001-01-01,50.29677419354839,456.9,1.0999999999999943,31,4.550000000000001,11,2,0.0,0,5,13.77741935483871,74.59354838709677,-4.320645161290315
2001-02-01,60.574999999999996,167.90000000000003,44.0,28,0.49000000000000005,4,0,0.0,0,0,14.842857142857143,74.68928571428572,2.1972413793103414
2001-03-01,58.76129032258064,202.39999999999998,9.0,31,6.5,11,3,0.0,0,0,14.638709677419355,65.90967741935484,-5.751612903225812
2001-04-01,72.24333333333334,6.799999999999997,224.10000000000008,30,0.47,6,0,0.0,0,0,16.563333333333336,77.18,1.6295000000000073
2001-05-01,76.40322580645162,0.0,353.50000000000006,31,3.32,6,1,0.0,3,0,15.761290322580646,67.41290322580646,-0.8843548387096689
2001-06-01,80.59666666666666,0.0,467.9,30,23.32,12,3,0.0,12,0,13.106666666666666,68.82666666666667,-1.9113333333333458
2001-07-01,83.1516129032258,0.0,562.7,31,3.02,8,1,0.0,23,0,11.67741935483871,61.41612903225807,-0.5875806451612959
2001-08-01,82.23225806451612,0.0,534.2,31,11.940000000000001,10,3,0.0,25,0,12.09032258064516,71.09677419354838,-1.8793548387096877
2001-09-01,77.55,0.0,376.5000000000001,30,8.790000000000001,9,3,0.0,6,0,12.896666666666668,55.1,-2.7690000000000055
2001-10-01,68.59032258064516,36.3,147.6,31,6.15,8,3,0.0,0,0,12.425806451612903,48.516129032258064,-4.020322580645157
2001-11-01,65.02333333333334,87.19999999999999,87.90000000000002,30,5.81,9,2,0.0,0,0,12.696666666666665,59.86666666666667,1.7753333333333359
2001-12-01,57.777419354838706,260.8,36.90000000000002,31,7.3500000000000005,11,4,0.0,0,0,14.17741935483871,65.93548387096774,1.1977419354838688
2002-01-01,56.76451612903226,285.40000000000003,30.099999999999994,31,2.06,6,1,0.0,0,2,15.95483870967742,64.0741935483871,2.1470967741935567
2002-02-01,53.603571428571435,326.9,7.800000000000011,28,1.25,4,0,0.0,0,1,15.592857142857143,60.31428571428571,-4.7741871921182195
2002-03-01,63.08387096774193,143.90000000000003,84.49999999999999,31,3.5,6,1,0.0,0,2,17.270967741935483,72.74838709677418,-1.4290322580645238
2002-04-01,72.77,10.200000000000003,243.3,30,5.3999999999999995,1,1,0.0,1,0,14.04,80.00333333333333,2.156166666666664
2002-05-01,76.53870967741935,0.0,357.70000000000005,31,4.8,7,1,0.0,3,0,14.970967741935485,69.80000000000001,-0.7488709677419365
2002-06-01,80.83666666666666,0.0,475.1,30,3.08,7,1,0.0,11,0,12.793333333333333,62.85333333333333,-1.6713333333333509
2002-07-01,82.69677419354838,0.0,548.6,31,8.48,11,4,0.0,24,0,12.841935483870968,66.30645161290323,-1.0424193548387137
2002-08-01,82.73548387096774,0.0,549.8,31,8.4,10,2,0.0,25,0,11.958064516129031,65.41612903225807,-1.3761290322580635
2002-09-01,79.54666666666667,0.0,436.4000000000001,30,3.5500000000000003,9,0,0.0,8,0,13.893333333333334,62.763333333333335,-0.7723333333333358
2002-10-01,71.80645161290323,11.0,222.00000000000003,31,9.8,14,3,0.0,3,0,13.180645161290323,71.07741935483871,-0.8041935483870901
2002-11-01,60.18333333333333,171.99999999999997,27.5,30,2.89,7,1,0.0,0,0,14.620000000000001,52.36,-3.0646666666666746
2002-12-01,55.92580645161291,301.5,20.200000000000003,31,4.86,8,2,0.0,0,0,16.032258064516128,66.37096774193549,-0.6538709677419305
2003-01-01,51.45161290322581,424.20000000000005,4.200000000000003,31,1.83,5,0,0.0,0,3,14.983870967741936,58.2,-3.1658064516128945
2003-02-01,55.221428571428575,285.20000000000005,11.400000000000006,28,2.36,9,0,0.0,0,0,16.77857142857143,78.35357142857143,-3.1563300492610793
2003-03-01,61.96774193548387,123.5,29.499999999999986,31,1.25,7,0,0.0,0,0,14.86774193548387,68.21290322580644,-2.545161290322582
2003-04-01,70.22666666666667,19.799999999999997,176.60000000000005,30,1.62,4,1,0.0,0,0,14.520000000000001,72.08333333333333,-0.38716666666665844
2003-05-01,80.09032258064516,0.0,467.8,31,0.0,0,0,0.0,13,0,13.96774193548387,67.21612903225805,2.80274193548388
2003-06-01,81.92666666666668,0.0,507.79999999999995,30,7.09,10,2,0.0,20,0,13.376666666666667,69.77,-0.5813333333333333
2003-07-01,82.09677419354838,0.0,530.0,31,5.69,11,1,0.0,17,0,12.087096774193547,72.1741935483871,-1.642419354838708
2003-08-01,82.95161290322581,0.0,556.5,31,5.54,10,2,0.0,23,0,12.170967741935485,71.66774193548386,-1.1599999999999966
2003-09-01,77.28666666666666,0.0,368.6,30,8.8,11,4,0.0,2,0,11.110000000000001,66.48333333333333,-3.032333333333341
2003-10-01,71.7709677419355,16.9,226.8,31,4.4,4,1,0.0,1,0,11.87741935483871,49.49032258064516,-0.8396774193548282
2003-11-01,66.16333333333334,88.7,123.6,30,2.9,5,1,0.0,0,0,14.446666666666665,57.63666666666666,2.9153333333333364
2003-12-01,55.119354838709675,310.1,3.799999999999997,31,3.05,6,1,0.0,0,0,14.993548387096775,48.26129032258064,-1.4603225806451618
2004-01-01,56.18387096774194,298.1000000000001,24.80000000000001,31,3.76,8,0,0.0,0,0,14.958064516129031,78.67096774193548,1.5664516129032364
2004-02-01,54.213793103448275,315.4,2.6000000000000085,29,5.89,12,2,0.0,0,0,14.855172413793104,75.07931034482759,-4.16396551724138
2004-03-01,67.06451612903226,26.1,90.1,31,0.8899999999999999,7,0,0.0,0,0,14.325806451612904,73.80000000000001,2.551612903225802
2004-04-01,69.27,30.799999999999997,158.90000000000003,30,3.46,9,0,0.0,0,0,15.183333333333334,73.51666666666667,-1.343833333333336
2004-05-01,75.83225806451614,1.3999999999999986,337.2,31,6.609999999999999,6,3,0.0,2,0,14.72258064516129,70.30322580645162,-1.455322580645145
2004-06-01,80.78999999999999,0.0,473.7,30,9.41,16,3,0.0,10,0,13.523333333333333,81.01,-1.7180000000000177
2004-07-01,83.26451612903226,0.0,566.1999999999999,31,3.22,8,1,0.0,24,0,11.858064516129033,64.81290322580645,-0.4746774193548333
2004-08-01,82.74516129032257,0.0,550.1,31,4.6,7,2,0.0,19,0,12.709677419354838,67.56451612903226,-1.3664516129032336
2004-09-01,81.02666666666667,0.0,480.79999999999995,30,2.74,6,0,0.0,14,0,11.016666666666667,60.76,0.7076666666666682
2004-10-01,76.65483870967742,0.0,361.2999999999999,31,2.69,6,1,0.0,6,0,13.838709677419354,68.33225806451614,4.044193548387099
2004-11-01,64.07,95.3,67.39999999999998,30,10.38,13,4,0.0,0,0,13.803333333333335,70.77,0.8219999999999885
2004-12-01,56.07096774193548,298.7,21.89999999999999,31,1.93,4,0,0.0,0,3,13.816129032258065,61.68064516129032,-0.508709677419354
2005-01-01,57.309677419354834,275.20000000000005,36.80000000000001,31,0.99,5,0,0.0,0,0,14.029032258064515,72.10645161290323,2.692258064516132
2005-02-01,59.32857142857143,193.90000000000003,35.10000000000001,28,4.27,10,1,0.0,0,0,14.603571428571428,85.12857142857142,0.9508128078817748
2005-03-01,62.82258064516129,121.6,54.09999999999998,31,4.21,9,2,0.0,0,0,14.683870967741935,67.98064516129033,-1.6903225806451658
2005-04-01,69.32333333333332,10.400000000000013,140.1,30,0.89,3,0,0.0,0,0,15.053333333333335,62.269999999999996,-1.2905000000000086
2005-05-01,75.68709677419355,1.7000000000000028,333.0,31,2.35,4,1,0.0,8,0,12.80967741935484,71.71935483870968,-1.6004838709677358
2005-06-01,83.50666666666666,0.0,555.2,30,0.53,4,0,0.0,27,0,12.673333333333334,55.8,0.9986666666666508
2005-07-01,83.68064516129031,0.0,579.1,31,13.799999999999999,16,6,0.0,25,0,13.529032258064515,68.41935483870968,-0.05854838709677779
2005-08-01,84.30645161290323,0.0,598.5,31,2.53,12,1,0.0,28,0,11.338709677419354,70.84516129032258,0.1948387096774269
2005-09-01,83.24666666666667,0.0,547.4,30,1.33,7,0,0.0,24,0,13.116666666666667,54.96333333333334,2.927666666666667
2005-10-01,71.97419354838709,26.999999999999993,243.2,31,1.5299999999999998,5,0,0.0,2,0,12.919354838709678,34.88709677419355,-0.6364516129032296
2005-11-01,65.29666666666667,116.80000000000003,125.69999999999999,30,2.9299999999999997,4,1,0.0,0,0,13.56,53.943333333333335,2.048666666666662
2005-12-01,55.23225806451613,319.00000000000006,16.200000000000003,31,2.36,4,1,0.0,0,0,13.619354838709677,66.48387096774194,-1.3474193548387063
2006-01-01,60.44193548387097,165.29999999999998,24.00000000000003,31,2.21,6,0,0.0,0,0,15.841935483870968,57.012903225806454,5.8245161290322685
2006-02-01,57.15714285714286,234.9,15.299999999999997,28,1.6199999999999999,6,0,0.0,0,1,16.064285714285713,63.521428571428565,-1.220615763546796
2006-03-01,66.5516129032258,71.29999999999998,119.39999999999998,31,1.79,6,0,0.0,0,0,15.787096774193548,73.35161290322581,2.038709677419348
2006-04-01,73.55666666666666,0.0,256.7,30,2.3,3,1,0.0,1,0,14.653333333333334,72.35,2.9428333333333256
2006-05-01,77.11290322580645,0.0,375.5,31,5.970000000000001,5,1,0.0,5,0,15.37741935483871,64.53548387096774,-0.17467741935483616
2006-06-01,81.53333333333333,0.0,496.0,30,12.67,6,2,0.0,21,0,11.676666666666668,58.39,-0.9746666666666783
2006-07-01,81.84193548387097,0.0,522.1,31,8.21,16,2,0.0,17,0,12.44516129032258,74.18709677419355,-1.897258064516123
2006-08-01,83.91612903225807,0.0,586.4,31,0.79,5,0,0.0,27,0,11.174193548387096,65.79354838709678,-0.19548387096773467
2006-09-01,79.12666666666668,0.0,423.79999999999995,30,3.36,9,0,0.0,13,0,11.776666666666667,63.05333333333333,-1.1923333333333233
2006-10-01,73.1516129032258,10.999999999999993,263.70000000000005,31,19.88,8,4,0.0,2,0,13.03225806451613,71.61290322580645,0.540967741935475
2006-11-01,63.263333333333335,123.69999999999999,71.6,30,0.93,4,0,0.0,0,0,13.926666666666668,50.00333333333333,0.015333333333330756
2006-12-01,56.596774193548384,280.40000000000003,19.900000000000006,31,4.56,10,1,0.0,0,0,13.725806451612904,66.55806451612904,0.01709677419354705
2007-01-01,51.86774193548387,421.4000000000001,14.299999999999997,31,6.79,15,2,0.0,0,0,14.116129032258065,75.89354838709677,-2.749677419354832
2007-02-01,56.07142857142857,268.59999999999997,18.599999999999994,28,1.37,5,1,0.0,0,1,14.210714285714285,69.55357142857143,-2.306330049261085
2007-03-01,66.59032258064516,63.4,112.7,31,8.77,7,3,0.0,0,0,15.01290322580645,71.76451612903226,2.0774193548387103
2007-04-01,67.56666666666666,60.1,137.1,30,4.85,11,1,0.0,0,0,15.88,74.78999999999999,-3.0471666666666692
2007-05-01,76.1741935483871,0.0,346.4,31,9.91,12,4,0.0,0,0,14.8,76.35483870967742,-1.11338709677419
2007-06-01,81.81333333333333,0.0,504.4,30,5.63,12,3,0.0,10,0,13.623333333333333,77.68666666666667,-0.6946666666666772
2007-07-01,81.28709677419356,0.0,504.90000000000003,31,10.05,15,3,0.0,13,0,10.496774193548386,86.28709677419356,-2.452096774193535
2007-08-01,84.61612903225806,0.0,608.0999999999999,31,7.73,9,3,0.0,24,0,11.493548387096775,72.47419354838709,0.504516129032254
