date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-04-01,69.89,65.4,212.09999999999997,30,0.57,4,0,0.0,8,0,20.11,18.766666666666666,2.112166666666667
2000-05-01,80.69677419354838,3.700000000000003,490.29999999999995,31,1.2,1,1,0.0,22,0,19.567741935483873,16.838709677419356,5.669193548387085
2000-06-01,79.23333333333333,0.0,427.00000000000006,30,3.3800000000000003,8,1,0.0,10,0,17.513333333333332,33.596666666666664,-2.6836666666666673
2000-07-01,87.15806451612903,0.0,686.9000000000001,31,0.02,1,0,0.0,31,0,15.90967741935484,3.7161290322580647,3.29451612903226
2000-08-01,86.09032258064516,0.0,653.8,31,0.0,0,0,0.0,31,0,15.125806451612902,3.916129032258065,2.4759677419354915
2000-09-01,78.61,18.9,427.2,30,0.5800000000000001,2,0,0.0,20,0,14.573333333333332,5.536666666666666,2.1331666666666678
2000-10-01,65.98064516129033,98.1,128.49999999999997,31,3.62,9,1,0.0,4,0,17.24516129032258,60.41935483870968,-0.4219354838709677
2000-11-01,49.12,476.4,0.0,30,3.11,11,1,0.0,0,4,14.91,44.21,-6.422333333333334
2000-12-01,42.29677419354839,703.8000000000001,0.0,31,0.52,5,0,0.0,0,16,18.15806451612903,38.900000000000006,-5.082258064516132
2001-01-01,42.84838709677419,686.6999999999999,0.0,31,1.3199999999999998,6,0,0.0,0,15,17.783870967741933,34.70645161290323,-3.3381720430107578
2001-02-01,50.73571428571428,400.3,0.9000000000000057,28,2.1999999999999997,7,1,0.0,0,8,18.242857142857144,36.11071428571429,0.03578270388614868
2001-03-01,52.15483870967742,398.8,0.5999999999999943,31,1.27,9,0,0.0,0,1,16.283870967741937,47.987096774193546,-6.958064516129035
2001-04-01,67.35,48.39999999999999,118.90000000000002,30,0.8200000000000001,2,0,0.0,0,0,19.706666666666667,33.13666666666667,-0.4278333333333393
2001-05-01,75.16129032258064,0.4000000000000057,315.4,31,2.46,7,1,0.0,11,0,19.016129032258064,17.299999999999997,0.13370967741934692
2001-06-01,83.44333333333334,0.0,553.3,30,0.26,2,0,0.0,28,0,17.89,6.423333333333334,1.5263333333333406
2001-07-01,87.52903225806452,0.0,698.4,31,0.57,1,0,0.0,29,0,15.119354838709677,7.209677419354839,3.6654838709677477
2001-08-01,82.62903225806451,0.0,546.5,31,3.61,8,0,0.0,23,0,15.403225806451612,19.34193548387097,-0.9853225806451604
2001-09-01,73.74666666666667,11.5,273.90000000000003,30,0.89,6,0,0.0,7,0,14.796666666666665,18.553333333333335,-2.730166666666662
