date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,62.73548387096774,134.60000000000002,64.39999999999999,31,0.0,0,0,0.0,0,0,17.509677419354837,49.20322580645161,4.909193548387094
2000-02-01,68.53448275862068,60.99999999999999,163.5,29,0.0,0,0,0.0,1,0,18.79310344827586,52.6551724137931,5.971834975369447
2000-03-01,74.1258064516129,17.700000000000003,300.6,31,0.0,0,0,0.0,7,0,19.151612903225807,59.567741935483866,4.31564516129032
2000-04-01,77.73666666666666,5.199999999999996,387.29999999999995,30,0.0,0,0,0.0,13,0,19.523333333333333,53.32666666666667,0.8816666666666748
2000-05-01,84.81290322580645,0.0,614.2000000000002,31,0.0,0,0,0.0,25,0,20.074193548387097,52.58709677419355,2.137903225806454
2000-06-01,84.6,0.0,587.9999999999998,30,0.0,0,0,0.0,22,0,20.373333333333335,63.82,-2.915999999999997
2000-07-01,88.54193548387097,0.0,729.8000000000001,31,0.0,0,0,0.0,31,0,21.206451612903226,25.825806451612905,0.6317741935483951
2000-08-01,86.83225806451614,0.0,676.8000000000001,31,0.0,0,0,0.0,30,0,19.77741935483871,40.648387096774194,-1.95370967741934
2000-09-01,84.71000000000001,0.0,591.3,30,0.0,0,0,0.0,24,0,17.923333333333336,29.65666666666667,1.5776666666666728
2000-10-01,73.29032258064517,83.6,340.59999999999997,31,0.0,0,0,0.0,5,0,18.151612903225807,66.12258064516129,-2.949193548387086
2000-11-01,62.37,161.50000000000003,82.6,30,0.0,0,0,0.0,0,0,16.026666666666667,64.07333333333334,-3.9938275862068977
2000-12-01,50.34193548387096,454.8000000000001,0.4000000000000057,31,0.0,0,0,0.0,0,0,16.858064516129033,58.36451612903225,-8.151774193548398
2001-01-01,54.274193548387096,342.5,10.0,31,0.0,0,0,0.0,0,0,16.712903225806453,67.68709677419355,-3.5520967741935507
2001-02-01,63.60357142857142,130.5,91.39999999999998,28,0.0,0,0,0.0,1,0,18.139285714285716,62.88214285714286,1.0409236453201842
2001-03-01,62.55806451612903,135.1,59.40000000000002,31,0.0,0,0,0.0,0,0,17.37741935483871,59.23225806451613,-7.252096774193554
2001-04-01,76.03333333333333,4.799999999999997,335.80000000000007,30,0.0,0,0,0.0,14,0,19.783333333333335,65.61666666666666,-0.8216666666666583
2001-05-01,81.26774193548388,0.0,504.2999999999999,31,0.0,0,0,0.0,20,0,20.858064516129033,45.75806451612903,-1.407258064516114
2001-06-01,86.77333333333333,0.0,653.2,30,0.0,0,0,0.0,28,0,20.526666666666664,40.76,-0.7426666666666648
2001-07-01,88.1516129032258,0.0,717.7,31,0.0,0,0,0.0,30,0,20.20967741935484,27.051612903225806,0.24145161290321937
2001-08-01,87.25806451612904,0.0,690.0000000000002,31,0.0,0,0,0.0,29,0,20.24516129032258,40.44193548387097,-1.5279032258064404
2001-09-01,80.3,0.0,459.0,30,0.0,0,0,0.0,15,0,16.613333333333333,40.669999999999995,-2.832333333333338
2001-10-01,73.56451612903226,1.8999999999999986,267.4,31,0.0,0,0,0.0,6,0,18.493548387096773,37.63870967741936,-2.674999999999997
2001-11-01,66.02666666666667,88.4,119.2,30,0.0,0,0,0.0,0,0,17.57,53.87,-0.3371609195402243
2001-12-01,56.83548387096774,277.80000000000007,24.69999999999999,31,0.0,0,0,0.0,0,0,16.280645161290323,51.28064516129032,-1.6582258064516182
2002-01-01,60.064516129032256,210.7,57.7,31,0.0,0,0,0.0,1,1,18.580645161290324,39.37419354838709,2.2382258064516094
2002-02-01,57.68928571428571,224.39999999999998,19.700000000000003,28,0.0,0,0,0.0,0,1,18.789285714285715,46.396428571428565,-4.873362068965527
2002-03-01,66.4258064516129,104.39999999999999,148.6,31,0.0,0,0,0.0,4,0,20.503225806451614,56.23548387096774,-3.384354838709683
2002-04-01,78.61666666666666,7.100000000000001,415.6,30,0.0,0,0,0.0,21,0,20.316666666666666,55.233333333333334,1.7616666666666703
2002-05-01,82.66451612903225,0.0,547.5999999999999,31,0.0,0,0,0.0,25,0,22.038709677419355,50.23870967741936,-0.010483870967746611
2002-06-01,85.82666666666667,0.0,624.8,30,0.0,0,0,0.0,28,0,20.076666666666664,43.75,-1.6893333333333231
2002-07-01,84.98387096774194,0.0,619.5000000000001,31,1.6,2,1,0.0,26,0,19.345161290322583,55.119354838709675,-2.926290322580641
2002-08-01,87.1258064516129,0.0,685.8999999999999,31,0.0,0,0,0.0,30,0,18.958064516129035,35.26451612903226,-1.660161290322577
2002-09-01,79.99333333333334,0.0,449.79999999999995,30,11.809999999999999,5,3,0.0,16,0,16.926666666666666,50.56333333333334,-3.138999999999996
2002-10-01,74.6258064516129,8.100000000000001,306.5,31,0.11,2,0,0.0,8,0,17.30322580645161,66.2258064516129,-1.613709677419351
2002-11-01,60.8,148.10000000000002,22.099999999999994,30,0.0,0,0,0.0,1,0,15.896666666666667,38.14,-5.563827586206898
2002-12-01,58.0258064516129,245.2,29.0,31,0.0,0,0,0.0,0,0,16.35483870967742,41.38387096774194,-0.4679032258064595
2003-01-01,53.70645161290323,355.2000000000001,5.099999999999994,31,0.14,2,0,0.0,0,0,16.19677419354839,52.41290322580645,-4.119838709677417
2003-02-01,58.34285714285714,228.00000000000003,41.60000000000001,28,0.03,1,0,0.0,0,0,16.914285714285715,64.24642857142858,-4.219790640394095
2003-03-01,66.22258064516129,59.50000000000001,97.4,31,0.0,0,0,0.0,2,0,18.60967741935484,56.67741935483871,-3.587580645161296
2003-04-01,74.97666666666667,4.899999999999999,304.19999999999993,30,0.01,0,0,0.0,10,0,18.973333333333336,65.84333333333333,-1.878333333333316
2003-05-01,84.57741935483871,0.0,606.9,31,1.25,1,1,0.0,23,0,18.348387096774193,49.33870967741935,1.9024193548387132
2003-06-01,86.96666666666667,0.0,658.9999999999999,30,4.98,1,1,0.0,30,0,19.486666666666668,39.59,-0.5493333333333226
2003-07-01,85.62903225806451,0.0,639.5,31,0.0,0,0,0.0,27,0,18.370967741935484,46.6741935483871,-2.2811290322580646
2003-08-01,87.1741935483871,0.0,687.4000000000001,31,5.01,1,1,0.0,29,0,17.90967741935484,32.16451612903226,-1.611774193548385
2003-09-01,79.33,0.0,429.9000000000001,30,0.0,0,0,0.0,11,0,15.360000000000001,62.39666666666667,-3.802333333333337
2003-10-01,73.8967741935484,12.900000000000006,288.7,31,0.49,2,0,0.0,2,0,13.90967741935484,50.08709677419355,-2.3427419354838577
2003-11-01,66.5,88.9,133.9,30,0.15,2,0,0.0,0,0,16.92,52.77333333333333,0.13617241379310485
2003-12-01,59.32258064516129,189.70000000000002,13.699999999999989,31,0.04,1,0,0.0,1,0,16.57741935483871,26.396774193548385,0.8288709677419277
2004-01-01,58.71935483870968,237.29999999999998,42.599999999999994,31,0.0,0,0,0.0,0,0,16.835483870967742,60.29032258064516,0.89306451612903
2004-02-01,59.300000000000004,184.9,19.599999999999994,29,0.0,0,0,0.0,0,0,17.099999999999998,47.141379310344824,-3.262647783251232
2004-03-01,70.53870967741935,2.500000000000007,174.20000000000005,31,0.44000000000000006,2,0,0.0,0,0,17.887096774193548,64.61290322580645,0.7285483870967653
2004-04-01,72.16000000000001,27.299999999999997,242.10000000000002,30,0.0,0,0,0.0,1,0,18.293333333333333,58.56333333333334,-4.694999999999979
2004-05-01,80.05806451612904,0.0,466.80000000000007,31,3.86,1,1,0.0,16,0,19.5,52.57419354838709,-2.616935483870961
2004-06-01,85.66000000000001,0.0,619.8,30,0.0,0,0,0.0,27,0,20.44,48.483333333333334,-1.8559999999999803
2004-07-01,86.98064516129033,0.0,681.4,31,7.109999999999999,3,3,0.0,30,0,18.503225806451614,32.68387096774194,-0.9295161290322511
2004-08-01,86.41612903225807,0.0,663.9,31,0.77,1,0,0.0,29,0,19.048387096774192,34.21935483870968,-2.36983870967741
2004-09-01,81.1,0.0,483.0,30,7.26,5,1,0.0,22,0,14.463333333333333,45.6,-2.032333333333341
2004-10-01,80.11290322580645,0.0,468.49999999999994,31,0.26,1,0,0.0,15,0,16.493548387096773,43.68064516129032,3.873387096774195
2004-11-01,65.64333333333333,71.1,90.4,30,17.07,5,3,0.0,0,0,16.330000000000002,46.669999999999995,-0.7204942528735643
2004-12-01,57.91290322580645,237.29999999999998,17.60000000000001,31,2.29,1,1,0.0,0,1,16.700000000000003,40.15483870967742,-0.5808064516129079
2005-01-01,60.63548387096775,207.7,72.39999999999999,31,13.389999999999999,4,2,0.0,0,0,11.496774193548386,65.57741935483871,2.8091935483871
2005-02-01,60.43214285714286,165.1,37.19999999999999,28,11.27,5,2,0.0,0,0,10.953571428571427,77.08214285714287,-2.1305049261083795
2005-03-01,70.1741935483871,26.6,187.0,31,2.28,2,1,0.0,3,0,14.577419354838709,47.141935483870974,0.3640322580645119
2005-04-01,76.78666666666666,1.6000000000000014,355.2,30,9.16,2,1,0.0,10,0,17.623333333333335,30.43,-0.06833333333332803
2005-05-01,82.81290322580645,0.0,552.2,31,10.01,3,1,0.0,23,0,18.741935483870968,36.512903225806454,0.1379032258064541
2005-06-01,90.15,0.0,754.5000000000001,30,3.06,1,1,0.0,30,0,19.63,17.14,2.6340000000000146
2005-07-01,89.51290322580645,0.0,759.9000000000001,31,4.64,6,1,0.0,29,0,17.996774193548386,17.44516129032258,1.602741935483877
2005-08-01,90.8741935483871,0.0,802.1000000000001,31,0.0,0,0,0.0,31,0,16.48709677419355,12.241935483870968,2.088225806451618
2005-09-01,89.07333333333332,0.0,722.1999999999999,30,2.47,4,2,0.0,30,0,15.21,16.316666666666666,5.940999999999988
2005-10-01,76.52258064516128,12.0,369.2,31,8.120000000000001,7,2,0.0,12,0,14.180645161290323,33.538709677419355,0.2830645161290306
2005-11-01,70.05333333333333,50.3,201.89999999999998,30,0.19,2,0,0.0,6,0,14.176666666666668,19.676666666666666,3.6895057471264323
2005-12-01,59.777419354838706,194.3,32.400000000000006,31,0.26,3,0,0.0,1,0,13.383870967741935,42.170967741935485,1.2837096774193455
2006-01-01,64.53548387096774,79.19999999999999,64.79999999999998,31,0.0,0,0,0.0,2,0,16.258064516129032,13.106451612903227,6.709193548387091
2006-02-01,62.778571428571425,122.69999999999999,60.5,28,0.0,0,0,0.0,2,0,16.589285714285715,29.807142857142857,0.21592364532018848
2006-03-01,74.9258064516129,23.1,330.8,31,0.9400000000000001,2,0,0.0,15,0,18.274193548387096,29.480645161290322,5.115645161290317
2006-04-01,83.02666666666667,0.0,540.8000000000001,30,0.16,1,0,0.0,25,0,18.766666666666666,20.946666666666665,6.171666666666681
2006-05-01,85.80967741935484,0.0,645.1,31,4.95,5,2,0.0,29,0,19.06451612903226,19.716129032258067,3.134677419354844
2006-06-01,88.49,0.0,704.7000000000002,30,1.9600000000000002,3,1,0.0,28,0,18.09,13.266666666666667,0.9740000000000038
2006-07-01,88.45806451612903,0.0,727.1999999999999,31,1.29,4,0,0.0,30,0,18.51290322580645,17.416129032258063,0.5479032258064507
2006-08-01,91.10967741935484,0.0,809.4,31,0.16,3,0,0.0,31,0,18.91290322580645,12.37741935483871,2.323709677419359
2006-09-01,83.98333333333333,0.0,569.5,30,4.48,7,2,0.0,24,0,15.606666666666666,30.386666666666667,0.8509999999999991
2006-10-01,77.41935483870968,0.0,384.99999999999994,31,0.88,2,0,0.0,12,0,13.474193548387097,39.86774193548387,1.1798387096774263
2006-11-01,70.09666666666666,25.700000000000003,178.59999999999997,30,0.0,0,0,0.0,2,0,15.67,27.796666666666667,3.732839080459769
2006-12-01,58.91612903225807,227.20000000000002,38.599999999999994,31,2.76,7,1,0.0,0,0,14.258064516129032,48.093548387096774,0.4224193548387092
2007-01-01,53.622580645161285,369.4,16.700000000000003,31,2.2,6,0,0.0,0,0,13.064516129032258,63.00645161290323,-4.203709677419361
