date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,53.809677419354834,354.9,8.0,31,2.71,5,1,0.0,0,5,17.23225806451613,41.71935483870968,3.008387096774193
2000-02-01,61.641379310344824,161.5,64.10000000000002,29,1.92,5,0,0.0,0,1,17.413793103448278,44.88620689655173,6.682395320197038
2000-03-01,66.32903225806452,91.69999999999999,132.89999999999998,31,1.85,11,0,0.0,1,0,18.59032258064516,53.064516129032256,4.182258064516127
2000-04-01,69.87666666666668,34.2,180.49999999999997,30,1.94,4,0,0.0,2,0,17.470000000000002,41.086666666666666,0.6463333333333452
2000-05-01,78.71612903225805,0.0,425.20000000000005,31,5.76,10,3,0.0,20,0,17.116129032258065,51.16129032258065,2.8912903225806303
2000-06-01,81.58,0.0,497.4,30,8.98,12,3,0.0,26,0,14.639999999999999,47.85333333333333,-0.1426666666666705
2000-07-01,84.29032258064517,0.0,598.0,31,0.5700000000000001,2,0,0.0,31,0,14.358064516129033,22.64516129032258,0.8145161290322704
2000-08-01,84.6258064516129,0.0,608.4,31,0.61,6,0,0.0,31,0,14.325806451612904,16.26451612903226,0.005806451612897945
2000-09-01,79.60666666666665,10.5,448.69999999999993,30,2.11,7,0,0.0,20,0,16.083333333333332,21.883333333333333,0.6706666666666479
2000-10-01,69.6,70.6,213.2,31,9.45,20,3,0.0,4,0,15.906451612903227,67.94193548387096,-0.4200000000000159
2000-11-01,55.54,304.50000000000006,20.700000000000003,30,10.0,19,3,0.0,0,0,13.45,54.84666666666667,-4.43783333333333
2000-12-01,45.403225806451616,607.4999999999999,0.0,31,2.77,11,0,0.0,0,8,15.229032258064517,50.84838709677419,-6.699354838709674
2001-01-01,47.564516129032256,541.5999999999999,1.0999999999999943,31,3.18,12,0,0.0,0,7,15.996774193548388,48.40645161290323,-3.236774193548385
2001-02-01,56.08571428571429,271.9,22.299999999999997,28,1.07,8,0,0.0,0,2,18.317857142857143,59.96071428571429,1.126730295566503
2001-03-01,54.43225806451613,328.10000000000014,0.5,31,4.11,16,1,0.0,0,0,16.087096774193547,54.432258064516134,-7.714516129032262
2001-04-01,69.64333333333335,22.9,162.20000000000002,30,1.29,5,0,0.0,0,0,17.87,65.60333333333332,0.4130000000000109
2001-05-01,74.6516129032258,0.0,299.2,31,6.8100000000000005,12,3,0.0,1,0,15.841935483870968,40.75806451612903,-1.1732258064516259
2001-06-01,80.32,0.0,459.59999999999997,30,3.66,7,1,0.0,17,0,15.383333333333333,34.44666666666667,-1.4026666666666756
2001-07-01,84.62258064516129,0.0,608.3,31,1.16,2,0,0.0,28,0,14.764516129032257,20.174193548387095,1.1467741935483957
2001-08-01,84.2741935483871,0.0,597.5,31,8.24,9,5,0.0,27,0,15.887096774193548,31.996774193548386,-0.34580645161290136
2001-09-01,75.72,2.799999999999997,324.40000000000003,30,9.290000000000001,10,3,0.0,9,0,14.133333333333333,26.256666666666668,-3.216000000000008
2001-10-01,66.93548387096774,54.9,114.9,31,1.91,5,0,0.0,1,0,15.141935483870967,31.57741935483871,-3.0845161290322665
2001-11-01,61.61333333333334,150.70000000000002,49.10000000000002,30,11.76,11,3,0.0,0,1,14.493333333333334,48.5,1.6355000000000075
2001-12-01,53.17741935483871,389.0,22.499999999999986,31,5.7299999999999995,12,3,0.0,0,3,15.19032258064516,40.45161290322581,1.0748387096774223
2002-01-01,53.02903225806452,394.0,22.89999999999999,31,1.22,4,0,0.0,0,5,17.116129032258065,41.25483870967742,2.227741935483877
2002-02-01,50.18214285714286,418.09999999999997,3.200000000000003,28,1.02,3,0,0.0,0,6,17.55,22.82857142857143,-4.776841133004929
2002-03-01,59.303225806451614,229.2,52.60000000000001,31,1.5899999999999999,8,0,0.0,0,4,21.345161290322583,52.31935483870968,-2.8435483870967744
2002-04-01,72.76,20.10000000000001,252.90000000000003,30,3.33,6,1,0.0,3,0,17.916666666666668,54.07333333333334,3.529666666666671
2002-05-01,76.29354838709678,0.7999999999999972,350.9,31,2.71,6,1,0.0,11,0,18.748387096774195,29.42258064516129,0.4687096774193549
2002-06-01,80.56333333333333,0.0,466.9,30,10.16,8,5,0.0,19,0,15.136666666666665,23.896666666666665,-1.1593333333333362
2002-07-01,81.06451612903226,0.0,498.0,31,13.32,15,5,0.0,16,0,13.712903225806452,39.60645161290322,-2.4112903225806406
2002-08-01,83.5741935483871,0.0,575.8000000000001,31,3.08,7,1,0.0,29,0,13.480645161290322,27.938709677419357,-1.0458064516129042
2002-09-01,77.82666666666667,0.0,384.8,30,6.57,9,1,0.0,13,0,14.103333333333332,26.813333333333333,-1.109333333333339
2002-10-01,68.66129032258064,42.400000000000006,155.9,31,11.870000000000001,18,5,0.0,4,0,13.270967741935483,55.358064516129026,-1.3587096774193697
2002-11-01,55.82333333333334,282.40000000000003,7.1000000000000085,30,4.82,5,1,0.0,0,0,16.029999999999998,33.586666666666666,-4.154499999999992
2002-12-01,52.435483870967744,394.99999999999994,5.499999999999986,31,4.94,12,1,0.0,0,1,16.190322580645162,48.067741935483866,0.3329032258064544
2003-01-01,48.23548387096774,519.7,0.0,31,1.6400000000000001,5,1,0.0,0,5,17.190322580645162,43.309677419354834,-2.5658064516129
2003-02-01,51.082142857142856,396.0,6.299999999999997,28,3.9399999999999995,13,1,0.0,0,4,18.38214285714286,64.08214285714286,-3.8768411330049304
2003-03-01,59.561290322580646,187.8,19.19999999999999,31,1.01,7,0,0.0,0,1,16.403225806451612,45.958064516129035,-2.5854838709677423
