date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,46.87096774193548,562.0,0.0,31,1.85,5,0,0.0,0,11,15.180645161290323,34.435483870967744,2.9672580645161304
2000-02-01,54.224137931034484,316.9,4.3999999999999915,29,2.56,6,1,0.0,0,3,15.66551724137931,33.6,6.771748768472911
2000-03-01,57.380645161290325,252.60000000000002,16.40000000000002,31,4.69,14,2,0.0,0,1,15.51290322580645,47.480645161290326,1.2959677419354847
2000-04-01,61.69666666666667,138.2,39.10000000000004,30,6.0,11,1,0.0,0,0,15.15,40.09,-2.162166666666664
2000-05-01,74.29354838709678,12.600000000000001,300.7,31,5.11,10,1,0.0,8,0,15.154838709677419,37.167741935483875,2.5004838709677415
2000-06-01,77.08333333333333,0.0,362.5,30,8.09,15,2,0.0,5,0,13.886666666666667,46.43333333333333,-3.0003333333333444
2000-07-01,84.03225806451613,0.0,590.0,31,1.5300000000000002,6,0,0.0,25,0,13.36774193548387,13.983870967741936,0.06241935483870975
2000-08-01,87.53225806451613,0.0,698.5,31,0.0,0,0,0.0,31,0,11.929032258064517,9.648387096774194,3.354032258064521
2000-09-01,77.68333333333334,23.0,403.5,30,1.83,3,0,0.0,18,0,13.03,17.303333333333335,0.7978333333333296
2000-10-01,67.4,82.39999999999999,156.79999999999995,31,11.25,14,4,0.0,4,0,13.53225806451613,51.15161290322581,1.625
2000-11-01,48.52333333333333,498.6,4.299999999999997,30,10.44,14,3,0.0,0,6,13.933333333333334,49.99666666666667,-6.431833333333337
2000-12-01,38.00967741935484,836.6999999999998,0.0,31,5.36,9,2,0.0,0,20,15.141935483870967,48.55483870967742,-7.551129032258068
2001-01-01,41.24516129032258,736.4000000000001,0.0,31,2.83,11,0,0.0,0,14,13.641935483870967,44.55806451612903,-2.658548387096772
2001-02-01,48.503571428571426,465.0,3.0999999999999943,28,10.2,11,6,0.0,0,9,16.317857142857143,52.721428571428575,1.051182266009853
2001-03-01,50.851612903225806,438.6,0.0,31,5.0200000000000005,12,1,0.0,0,0,13.538709677419355,52.67741935483871,-5.2330645161290334
2001-04-01,67.08,51.49999999999999,113.90000000000002,30,2.53,6,1,0.0,0,0,16.306666666666665,46.68,3.2211666666666616
2001-05-01,73.2709677419355,0.5999999999999943,257.0,31,8.0,12,3,0.0,1,0,16.516129032258064,36.39032258064516,1.4779032258064575
2001-06-01,79.19666666666667,0.0,425.9,30,4.13,8,1,0.0,18,0,13.143333333333334,23.526666666666664,-0.8870000000000005
2001-07-01,86.64193548387097,0.0,670.9000000000001,31,0.42,3,0,0.0,29,0,12.451612903225806,15.535483870967742,2.672096774193548
2001-08-01,84.15806451612903,0.0,593.9,31,5.65,8,1,0.0,24,0,12.600000000000001,26.23225806451613,-0.02016129032257652
2001-09-01,72.90333333333334,12.700000000000003,249.8,30,5.88,12,1,0.0,3,0,12.05,29.293333333333333,-3.9821666666666715
2001-10-01,63.251612903225805,118.9,64.69999999999999,31,2.9699999999999998,5,1,0.0,0,0,15.2,25.096774193548388,-2.5233870967742007
2001-11-01,58.04666666666667,231.79999999999998,23.200000000000017,30,1.8,10,0,0.0,0,5,14.396666666666667,44.43333333333333,3.0914999999999964
2001-12-01,47.906451612903226,535.5999999999999,5.700000000000003,31,3.8600000000000003,8,1,0.0,0,12,14.241935483870968,36.39354838709678,2.345645161290321
2002-01-01,45.8,598.4,3.200000000000003,31,3.76,8,1,0.0,0,14,16.258064516129032,31.5,1.8962903225806471
2002-02-01,45.667857142857144,541.3,0.0,28,1.08,4,0,0.0,0,11,15.407142857142857,29.732142857142858,-1.7845320197044288
2002-03-01,52.751612903225805,395.1,15.40000000000002,31,7.87,10,2,0.0,0,6,18.664516129032258,47.567741935483866,-3.333064516129035
2002-04-01,66.95666666666666,82.1,140.8,30,4.609999999999999,10,1,0.0,0,0,17.016666666666666,51.26,3.0978333333333268
2002-05-01,70.69999999999999,18.89999999999999,195.60000000000005,31,7.36,11,3,0.0,1,0,15.74516129032258,44.4483870967742,-1.093064516129047
2002-06-01,78.92,0.0,417.6,30,5.32,8,2,0.0,14,0,13.55,30.35,-1.1636666666666713
2002-07-01,82.21935483870968,0.0,533.8,31,4.33,12,1,0.0,22,0,12.506451612903225,30.57741935483871,-1.7504838709677415
2002-08-01,83.23225806451612,0.0,565.1999999999999,31,4.46,5,2,0.0,24,0,12.641935483870967,22.58709677419355,-0.9459677419354904
2002-09-01,76.80666666666666,0.0,354.2,30,3.4000000000000004,6,1,0.0,12,0,11.693333333333333,20.323333333333334,-0.07883333333334974
2002-10-01,62.29354838709677,154.59999999999997,70.70000000000002,31,9.23,15,2,0.0,2,0,11.587096774193547,66.26129032258065,-3.4814516129032356
2002-11-01,52.3,386.6,5.599999999999994,30,1.33,5,0,0.0,0,3,14.44,27.63,-2.6551666666666733
2002-12-01,46.832258064516125,563.2,0.0,31,5.13,13,1,0.0,0,10,14.438709677419356,40.8258064516129,1.2714516129032205
2003-01-01,42.61612903225806,693.9,0.0,31,0.17,2,0,0.0,0,13,14.7,36.39677419354839,-1.2875806451612917
2003-02-01,44.82857142857143,567.1,2.299999999999997,28,3.89,11,0,0.0,0,9,15.514285714285714,57.19642857142857,-2.623817733990144
2003-03-01,54.49032258064516,330.0,4.200000000000003,31,1.65,5,0,0.0,0,2,14.73225806451613,35.512903225806454,-1.5943548387096769
2003-04-01,64.30666666666667,92.0,71.20000000000002,30,2.3,7,0,0.0,0,0,19.720000000000002,20.613333333333333,0.4478333333333353
2003-05-01,73.3225806451613,7.799999999999997,265.8,31,4.49,10,1,0.0,4,0,15.109677419354838,43.79032258064516,1.5295161290322596
2003-06-01,77.27666666666667,0.0,368.2999999999999,30,6.56,14,2,0.0,14,0,12.110000000000001,31.233333333333334,-2.807000000000002
2003-07-01,85.12258064516129,0.0,623.8000000000001,31,0.96,5,0,0.0,29,0,12.087096774193547,16.683870967741935,1.1527419354838742
2003-08-01,85.09032258064516,0.0,622.8,31,2.71,11,0,0.0,26,0,11.59032258064516,17.85483870967742,0.9120967741935573
2003-09-01,72.7,0.0,231.00000000000003,30,8.02,8,3,0.0,1,0,11.44,31.1,-4.185500000000005
2003-10-01,67.54193548387097,44.400000000000006,123.19999999999997,31,0.66,5,0,0.0,3,0,12.36774193548387,26.94193548387097,1.7669354838709666
2003-11-01,57.25,278.7,46.19999999999999,30,4.09,13,0,0.0,0,3,15.796666666666665,44.480000000000004,2.2948333333333295
2003-12-01,47.89032258064516,530.4,0.0,31,2.25,4,1,0.0,0,10,16.070967741935483,29.148387096774194,2.329516129032257
2004-01-01,46.23225806451613,588.1000000000001,6.299999999999997,31,3.27,8,1,0.0,0,14,13.774193548387096,41.99032258064516,2.328548387096781
2004-02-01,44.09655172413793,606.2,0.0,29,4.1000000000000005,11,0,0.0,0,10,14.455172413793104,47.36896551724138,-3.3558374384236416
2004-03-01,60.019354838709674,186.49999999999997,32.099999999999994,31,2.4699999999999998,8,1,0.0,0,0,15.970967741935485,44.332258064516125,3.934677419354834
2004-04-01,64.35666666666667,84.4,65.10000000000001,30,7.66,12,3,0.0,0,0,14.973333333333333,42.25333333333333,0.49783333333333246
2004-05-01,72.53225806451613,28.6,262.09999999999997,31,3.89,9,1,0.0,1,0,15.33548387096774,43.79677419354839,0.7391935483870924
2004-06-01,75.96000000000001,0.0,328.80000000000007,30,14.03,27,4,0.0,2,0,10.91,43.11333333333334,-4.123666666666665
2004-07-01,81.06774193548387,0.0,498.09999999999997,31,4.4799999999999995,9,3,0.0,18,0,10.735483870967743,23.519354838709678,-2.902096774193552
2004-08-01,80.35483870967742,0.0,476.0,31,2.93,6,1,0.0,14,0,12.348387096774195,23.700000000000003,-3.8233870967741836
2004-09-01,77.94333333333334,0.0,388.3,30,2.14,3,1,0.0,9,0,11.47,17.509999999999998,1.0578333333333347
2004-10-01,70.18387096774192,12.100000000000001,172.8,31,8.07,18,2,0.0,2,0,14.551612903225807,30.177419354838708,4.408870967741919
2004-11-01,56.24333333333333,263.79999999999995,1.1000000000000085,30,6.41,18,2,0.0,0,0,13.889999999999999,52.76,1.2881666666666618
2004-12-01,47.87419354838709,532.6,1.7000000000000028,31,1.57,3,0,0.0,0,10,15.916129032258064,15.325806451612902,2.3133870967741856
2005-01-01,46.4483870967742,579.8000000000001,4.700000000000003,31,5.76,10,2,0.0,0,11,15.80967741935484,41.903225806451616,2.544677419354848
2005-02-01,48.525,462.80000000000007,1.5,28,2.5300000000000002,12,0,0.0,0,3,13.735714285714286,46.221428571428575,1.0726108374384253
2005-03-01,53.225806451612904,365.4,0.4000000000000057,31,2.19,9,1,0.0,0,1,16.45806451612903,36.377419354838715,-2.858870967741936
2005-04-01,61.14666666666666,138.8,23.19999999999999,30,2.9699999999999998,7,1,0.0,0,0,17.916666666666668,30.456666666666667,-2.7121666666666755
2005-05-01,69.37096774193549,56.9,192.39999999999998,31,3.59,11,0,0.0,5,0,14.087096774193547,37.980645161290326,-2.422096774193548
2005-06-01,80.58666666666666,0.0,467.59999999999997,30,1.46,6,0,0.0,17,0,14.166666666666666,19.15,0.5029999999999859
2005-07-01,80.74193548387096,0.0,487.99999999999994,31,4.68,16,1,0.0,20,0,12.158064516129032,15.587096774193547,-3.2279032258064575
2005-08-01,81.96451612903226,0.0,525.9000000000001,31,2.96,12,0,0.0,23,0,13.016129032258064,16.22258064516129,-2.213709677419345
2005-09-01,79.59666666666666,0.7000000000000028,438.5999999999999,30,2.0900000000000003,5,1,0.0,23,0,13.486666666666668,14.860000000000001,2.7111666666666565
2005-10-01,65.25483870967743,121.09999999999998,129.00000000000003,31,1.51,6,1,0.0,0,0,13.73225806451613,23.625806451612902,-0.5201612903225765
2005-11-01,57.81333333333334,255.3,39.7,30,0.33,2,0,0.0,0,3,17.073333333333334,24.09333333333333,2.858166666666669
2005-12-01,44.487096774193546,635.9,0.0,31,0.45,4,0,0.0,0,12,14.96774193548387,20.387096774193548,-1.0737096774193589
2006-01-01,52.5258064516129,389.29999999999995,2.5999999999999943,31,2.04,2,1,0.0,0,4,16.39032258064516,16.5258064516129,8.622096774193551
2006-02-01,47.00714285714286,505.5,1.6999999999999886,28,2.42,4,1,0.0,0,9,15.507142857142856,40.089285714285715,-0.44524630541871346
2006-03-01,58.648387096774194,244.5,47.60000000000001,31,6.2,13,3,0.0,1,1,18.325806451612905,39.541935483870965,2.5637096774193537
2006-04-01,68.90333333333334,35.1,152.2,30,1.6300000000000001,4,0,0.0,3,0,18.346666666666668,22.1,5.044499999999999
2006-05-01,74.8967741935484,2.8999999999999986,309.69999999999993,31,2.0,7,0,0.0,9,0,15.82258064516129,25.706451612903226,3.10370967741936
2006-06-01,81.61666666666666,0.0,498.5,30,0.79,5,0,0.0,23,0,14.639999999999999,14.456666666666667,1.532999999999987
2006-07-01,86.62258064516129,0.0,670.3,31,0.88,3,0,0.0,27,0,15.361290322580645,15.26774193548387,2.652741935483874
