date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,50.02903225806452,471.2,7.1000000000000085,31,2.26,3,1,0.0,0,8,15.712903225806452,40.277419354838706,2.498709677419356
2000-02-01,57.73103448275862,231.5,20.700000000000003,29,3.1,6,2,0.0,0,2,16.124137931034483,35.94827586206897,6.573817733990147
2000-03-01,60.770967741935486,176.3,45.2,31,2.37,11,0,0.0,0,0,15.841935483870968,43.119354838709675,1.7046344086021534
2000-04-01,63.63333333333333,102.5,61.49999999999997,30,3.8,8,1,0.0,0,0,16.046666666666667,41.263333333333335,-2.728666666666662
2000-05-01,74.36129032258064,0.7999999999999972,291.0,31,8.870000000000001,9,2,0.0,1,0,17.212903225806453,42.15161290322581,0.650483870967733
2000-06-01,77.32666666666667,0.0,369.79999999999995,30,5.23,11,2,0.0,0,0,14.093333333333334,36.556666666666665,-3.1688333333333247
2000-07-01,83.75483870967743,0.0,581.3999999999999,31,0.6,1,0,0.0,23,0,11.993548387096775,10.435483870967742,0.4103225806451718
2000-08-01,86.15483870967742,0.0,655.7999999999998,31,0.0,0,0,0.0,31,0,11.62258064516129,6.535483870967742,2.2279032258064575
2000-09-01,77.50666666666666,18.4,393.6,30,0.01,0,0,0.0,16,0,13.746666666666668,21.66,-0.31166666666668164
2000-10-01,68.13225806451612,64.9,161.99999999999994,31,4.0,5,1,0.0,2,0,13.432258064516128,35.95161290322581,0.7759677419354887
2000-11-01,51.123333333333335,428.9,12.600000000000009,30,12.13,15,4,0.0,0,2,13.413333333333334,52.63666666666666,-5.794666666666657
2000-12-01,39.95483870967742,776.4,0.0,31,5.65,8,3,0.0,0,16,15.264516129032257,49.858064516129026,-9.20322580645162
2001-01-01,43.05806451612903,680.2,0.0,31,4.1499999999999995,8,2,0.0,0,10,13.829032258064515,42.0,-4.472258064516133
2001-02-01,52.34285714285714,361.50000000000006,7.099999999999994,28,6.74,12,3,0.0,0,6,15.742857142857144,52.903571428571425,1.185640394088665
2001-03-01,52.74193548387097,380.2000000000001,0.20000000000000284,31,6.71,12,1,0.0,0,0,13.845161290322581,48.70322580645161,-6.324397849462365
2001-04-01,68.96000000000001,31.0,149.80000000000004,30,0.66,3,0,0.0,0,0,16.49,42.25333333333333,2.598000000000013
