date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,33.46774193548387,977.4999999999999,0.0,31,3.4299999999999997,13,0,65.25,0,19,12.148387096774194,63.71290322580645,5.597903225806455
2000-02-01,38.03793103448275,781.9,0.0,29,4.84,15,1,29.2,0,13,14.89310344827586,62.95517241379311,4.996545566502455
2000-03-01,40.78387096774193,750.6999999999999,0.0,31,2.89,11,0,15.74,0,15,15.461290322580645,45.39354838709678,-2.0400000000000063
2000-04-01,53.54333333333333,346.29999999999995,2.5999999999999943,30,1.33,5,0,0.0,0,0,15.036666666666667,34.18,3.8544999999999945
2000-05-01,60.50645161290323,179.70000000000002,40.39999999999998,31,1.96,8,0,0.0,0,0,14.238709677419354,31.296774193548387,1.5433870967741967
2000-06-01,70.74333333333334,19.6,191.90000000000003,30,0.26,1,0,0.0,2,0,15.526666666666667,15.166666666666666,0.7595000000000027
2000-07-01,79.50967741935484,0.0,449.80000000000007,31,0.35,2,0,0.0,19,0,16.261290322580646,12.829032258064515,0.17919354838710433
2000-08-01,77.38709677419355,3.299999999999997,387.29999999999995,31,4.35,5,2,0.0,15,0,14.67741935483871,21.9741935483871,1.4209677419354847
2000-09-01,63.99666666666667,97.10000000000002,66.99999999999999,30,1.01,4,0,0.0,2,0,14.79,20.553333333333335,-1.4116666666666617
2000-10-01,51.277419354838706,425.4,0.0,31,3.5,9,1,0.0,0,0,15.16451612903226,40.38709677419355,-0.16951612903226732
2000-11-01,30.32,1040.4,0.0,30,1.28,9,0,51.11,0,28,12.376666666666667,49.2,-8.73416666666666
2000-12-01,29.325806451612905,1105.9,0.0,31,1.12,8,0,78.56,0,30,13.051612903225807,43.648387096774194,0.0016129032258085374
2001-01-01,26.53548387096774,1192.4,0.0,31,0.77,7,0,158.37,0,31,12.683870967741935,53.880645161290325,-1.3343548387096753
2001-02-01,31.692857142857143,932.6000000000001,0.0,28,2.02,12,0,155.4,0,23,13.607142857142858,64.75,-1.348528325123155
2001-03-01,43.92580645161291,653.3,0.0,31,1.15,8,0,8.26,0,9,14.667741935483871,47.07096774193548,1.1019354838709674
2001-04-01,49.05333333333333,484.6,6.200000000000003,30,2.34,8,0,11.68,0,5,16.266666666666666,43.91,-0.6355000000000075
2001-05-01,62.32258064516129,145.20000000000002,62.2,31,0.15000000000000002,1,0,0.0,0,0,15.161290322580646,22.258064516129032,3.359516129032258
2001-06-01,69.61999999999999,75.7,214.29999999999998,30,0.8200000000000001,3,0,0.0,6,0,15.366666666666667,17.793333333333333,-0.36383333333334633
2001-07-01,77.93548387096774,0.0,401.00000000000006,31,1.61,9,0,0.0,13,0,17.206451612903226,13.619354838709677,-1.394999999999996
2001-08-01,77.46451612903226,0.0,386.4,31,0.4,2,0,0.0,16,0,15.48709677419355,12.416129032258064,1.498387096774195
2001-09-01,68.46666666666667,41.699999999999996,145.70000000000005,30,0.4,4,0,0.0,0,0,14.773333333333333,10.45,3.058333333333337
2001-10-01,53.68064516129032,354.3,3.4000000000000057,31,1.47,6,0,0.0,0,2,14.890322580645162,24.654838709677417,2.2337096774193483
2001-11-01,41.65,700.5,0.0,30,3.46,11,1,32.09,0,7,13.623333333333333,47.2,2.5958333333333385
2001-12-01,25.338709677419356,1229.4999999999998,0.0,31,2.12,12,0,199.57,0,29,13.983870967741936,60.08709677419355,-3.985483870967741
2002-01-01,25.34193548387097,1229.3999999999999,0.0,31,1.04,13,0,149.37,0,30,14.23225806451613,54.71612903225807,-2.5279032258064476
2002-02-01,27.539285714285715,1048.8999999999999,0.0,28,0.29000000000000004,4,0,116.4,0,26,12.200000000000001,30.560714285714287,-5.5020997536945835
2002-03-01,40.02258064516129,774.3000000000002,0.0,31,1.18,9,0,9.84,0,14,13.529032258064515,40.13225806451613,-2.8012903225806483
2002-04-01,52.45,376.7999999999999,0.29999999999999716,30,3.04,10,1,7.22,0,0,14.913333333333332,37.20666666666667,2.761166666666668
2002-05-01,61.3,197.90000000000003,83.19999999999997,31,1.3,5,0,0.0,2,1,14.519354838709678,30.229032258064517,2.336935483870967
2002-06-01,73.56666666666666,38.40000000000001,295.40000000000003,30,0.16999999999999998,2,0,0.0,13,0,14.946666666666665,11.696666666666665,3.582833333333326
2002-07-01,80.63548387096773,0.0,484.70000000000005,31,0.23,4,0,0.0,21,0,14.464516129032257,8.64516129032258,1.3049999999999926
2002-08-01,74.47096774193548,0.0,293.6,31,0.0,0,0,0.0,4,0,14.251612903225807,6.316129032258064,-1.495161290322585
2002-09-01,63.65,101.49999999999997,61.000000000000014,30,2.7800000000000002,12,1,0.0,0,0,14.026666666666667,28.243333333333332,-1.7583333333333329
2002-10-01,47.78064516129032,533.8000000000001,0.0,31,1.51,8,0,9.84,0,3,12.741935483870968,33.78387096774193,-3.6662903225806502
2002-11-01,36.376666666666665,858.6999999999999,0.0,30,1.49,7,0,0.0,0,19,11.596666666666666,29.276666666666664,-2.677499999999995
2002-12-01,33.86129032258064,965.3,0.0,31,1.73,6,0,12.27,0,23,13.55483870967742,57.26129032258064,4.537096774193547
2003-01-01,36.78387096774193,874.7,0.0,31,1.02,4,0,0.0,0,18,12.103225806451613,45.622580645161285,8.914032258064516
2003-02-01,32.232142857142854,917.5000000000001,0.0,28,2.41,9,1,133.34,0,23,13.882142857142856,56.38928571428572,-0.809242610837444
2003-03-01,43.38709677419355,670.0000000000001,0.0,31,2.86,8,1,13.98,0,8,15.264516129032257,50.15483870967742,0.5632258064516122
2003-04-01,48.96,481.2,0.0,30,2.52,11,0,3.74,0,5,16.716666666666665,41.7,-0.7288333333333341
2003-05-01,60.0,259.5,104.49999999999999,31,2.5,8,1,0.0,3,0,13.87741935483871,31.0,1.0369354838709697
2003-06-01,69.95333333333333,33.699999999999996,182.29999999999995,30,0.69,6,0,0.0,5,0,14.42,14.966666666666667,-0.030500000000003524
2003-07-01,82.45806451612903,0.0,541.2,31,0.51,2,0,0.0,26,0,13.345161290322581,6.464516129032258,3.127580645161288
2003-08-01,77.81935483870969,0.0,397.4,31,1.5,5,0,0.0,14,0,14.561290322580646,13.764516129032257,1.8532258064516185
2003-09-01,64.25333333333333,103.39999999999999,81.0,30,0.95,5,0,0.0,0,0,13.133333333333333,13.24,-1.1550000000000011
2003-10-01,56.038709677419355,292.1,14.299999999999997,31,0.51,2,0,2.75,0,2,13.745161290322581,16.5258064516129,4.591774193548382
