date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,35.34838709677419,919.2,0.0,31,2.46,13,0,34.66,0,18,14.109677419354838,51.541935483870965,8.551129032258064
2000-02-01,38.87931034482759,757.5,0.0,29,2.84,13,0,12.99,0,14,14.975862068965517,43.01379310344828,6.353706896551728
2000-03-01,41.59032258064516,725.6999999999999,0.0,31,1.31,13,0,4.33,0,15,18.190322580645162,34.91935483870968,-0.5414516129032307
2000-04-01,53.35333333333333,350.09999999999997,0.7000000000000028,30,1.1500000000000001,6,0,0.0,0,2,19.19,17.376666666666665,4.325333333333333
2000-05-01,60.932258064516134,170.60000000000002,44.5,31,2.09,11,0,0.0,0,0,17.34193548387097,21.1,2.7150000000000105
2000-06-01,69.5,12.199999999999989,147.2,30,0.24,2,0,0.0,3,0,17.136666666666667,9.69,0.6411666666666633
2000-07-01,77.55806451612904,0.0,389.30000000000007,31,0.47000000000000003,2,0,0.0,22,0,15.861290322580645,4.367741935483871,0.6975806451612954
2000-08-01,75.70322580645161,0.5,332.3,31,1.99,7,0,0.0,13,0,16.603225806451615,16.616129032258065,2.125967741935483
2000-09-01,62.516666666666666,118.99999999999997,44.5,30,2.13,6,0,0.0,3,0,14.35,13.053333333333335,-0.8129999999999953
2000-10-01,50.79354838709677,440.4,0.0,31,2.73,11,0,0.0,0,0,15.30967741935484,34.10645161290322,0.9729032258064478
2000-11-01,31.41,1007.7,0.0,30,1.17,9,0,47.66,0,27,11.729999999999999,64.04666666666667,-6.217666666666663
2000-12-01,30.816129032258065,1059.6999999999998,0.0,31,1.1,5,0,32.69,0,29,11.648387096774194,62.438709677419354,2.2541045606229133
2001-01-01,28.164516129032258,1141.8999999999999,0.0,31,0.66,10,0,27.57,0,29,11.748387096774193,50.47741935483871,1.3672580645161325
2001-02-01,34.625,850.5,0.0,28,2.17,9,0,36.24,0,21,13.896428571428572,48.207142857142856,2.0993965517241406
2001-03-01,44.690322580645166,629.5999999999999,0.0,31,1.44,8,0,2.36,0,7,15.448387096774193,35.00967741935484,2.558548387096778
2001-04-01,49.49666666666667,466.6,1.5,30,2.68,11,0,7.09,0,3,18.033333333333335,31.27,0.468666666666671
2001-05-01,62.42903225806452,140.10000000000002,60.400000000000006,31,1.1099999999999999,2,0,0.0,0,0,18.041935483870965,21.051612903225806,4.211774193548393
2001-06-01,70.33666666666666,60.099999999999994,220.20000000000002,30,1.12,3,0,0.0,10,0,17.023333333333333,19.633333333333333,1.4778333333333222
2001-07-01,76.80967741935484,0.0,366.1,31,0.72,5,0,0.0,16,0,18.283870967741933,9.458064516129031,-0.05080645161289965
2001-08-01,75.91935483870968,0.0,338.49999999999994,31,1.1099999999999999,4,0,0.0,17,0,14.98709677419355,14.103225806451613,2.34209677419355
2001-09-01,67.32,41.30000000000001,110.9,30,0.18,2,0,0.0,3,0,16.84,12.296666666666665,3.990333333333332
2001-10-01,53.13225806451613,368.7999999999999,0.8999999999999915,31,0.68,5,0,0.0,0,7,15.6,25.258064516129032,3.3116129032258073
2001-11-01,41.09666666666667,717.1,0.0,30,2.89,11,0,40.16,0,16,13.803333333333335,44.28333333333333,3.4690000000000083
2001-12-01,26.048387096774192,1207.5,0.0,31,1.31,14,0,56.31,0,28,14.116129032258065,50.67741935483871,-2.5136373748609593
2002-01-01,24.587096774193547,1252.8,0.0,31,0.61,8,0,65.77,0,30,12.825806451612904,42.667741935483875,-2.210161290322578
2002-02-01,27.960714285714285,1037.1,0.0,28,0.29000000000000004,2,0,11.42,0,25,14.585714285714285,22.757142857142856,-4.564889162561574
2002-03-01,38.270967741935486,828.6,0.0,31,2.75,7,0,29.54,0,18,15.306451612903226,38.854838709677416,-3.860806451612902
2002-04-01,51.669999999999995,399.9,0.0,30,4.95,9,1,3.15,0,0,17.509999999999998,23.540000000000003,2.641999999999996
2002-05-01,59.28064516129032,226.8,49.5,31,0.44000000000000006,4,0,0.0,2,1,16.512903225806454,14.793548387096774,1.0633870967741998
2002-06-01,70.40666666666667,42.89999999999999,205.09999999999997,30,2.12,5,1,0.0,10,0,16.78666666666667,4.796666666666667,1.5478333333333296
2002-07-01,80.15806451612903,0.0,469.9000000000001,31,0.28,3,0,0.0,25,0,15.609677419354838,23.758064516129032,3.2975806451612897
2002-08-01,72.63870967741936,0.0,236.8,31,0.03,1,0,0.0,6,0,15.100000000000001,4.04516129032258,-0.9385483870967732
2002-09-01,61.96666666666667,132.20000000000005,41.19999999999999,30,2.6,10,0,0.0,2,0,15.176666666666668,22.166666666666668,-1.3629999999999924
2002-10-01,46.91290322580645,560.7,0.0,31,9.16,7,1,0.0,0,7,12.870967741935484,23.44516129032258,-2.9077419354838696
2002-11-01,35.163333333333334,895.1,0.0,30,1.17,7,0,0.0,0,24,12.266666666666667,21.566666666666666,-2.464333333333329
2002-12-01,32.18709677419355,1017.2000000000002,0.0,31,1.65,6,0,2.36,0,30,11.106451612903227,43.03548387096774,3.6250723025583973
2003-01-01,35.038709677419355,928.8000000000001,0.0,31,0.5800000000000001,4,0,0.0,0,26,9.280645161290321,29.429032258064513,8.24145161290323
2003-02-01,33.44285714285714,883.5999999999999,0.0,28,7.3999999999999995,8,1,28.36,0,19,14.317857142857141,42.396428571428565,0.9172536945812837
2003-03-01,42.829032258064515,687.3,0.0,31,1.47,10,0,3.15,0,13,16.006451612903227,33.87096774193548,0.6972580645161273
2003-04-01,49.526666666666664,464.2,0.0,30,3.49,11,0,2.36,0,4,18.77,27.996666666666666,0.49866666666666504
2003-05-01,60.81290322580645,223.29999999999998,93.50000000000003,31,2.27,8,0,0.0,5,0,16.14193548387097,20.08709677419355,2.595645161290328
2003-06-01,68.78333333333333,35.900000000000006,149.40000000000003,30,1.5899999999999999,4,0,0.0,6,0,16.506666666666668,11.020000000000001,-0.07550000000000523
2003-07-01,79.75483870967743,0.0,457.4000000000001,31,0.36,3,0,0.0,30,0,14.103225806451613,3.1548387096774193,2.8943548387096882
2003-08-01,75.20967741935483,1.6000000000000014,318.09999999999997,31,1.56,7,1,0.0,15,0,16.206451612903226,6.264516129032258,1.632419354838703
2003-09-01,61.82333333333334,141.70000000000002,46.39999999999999,30,1.46,5,0,0.0,0,0,13.9,9.629999999999999,-1.5063333333333233
2003-10-01,53.59354838709677,358.90000000000003,5.299999999999997,31,0.29,4,0,1.18,0,6,13.209677419354838,11.041935483870969,3.772903225806445
2003-11-01,35.53,884.1,0.0,30,1.91,12,0,13.78,0,19,12.226666666666667,50.7,-2.0976666666666617
2003-12-01,32.593548387096774,1004.6000000000001,0.0,31,3.17,12,0,95.27,0,25,13.016129032258064,43.18064516129032,4.031523915461623
2004-01-01,21.574193548387097,1346.2,0.0,31,1.24,4,1,138.24,0,31,10.619354838709677,42.95483870967742,-5.223064516129028
2004-02-01,27.71379310344828,1081.3,0.0,29,2.52,11,0,99.25999999999999,0,27,11.155172413793103,43.255172413793105,-4.811810344827581
2004-03-01,45.89677419354839,592.2,0.0,31,0.94,6,0,4.33,0,12,13.151612903225805,14.480645161290322,3.7650000000000006
2004-04-01,51.07,417.90000000000003,0.0,30,3.09,14,0,0.0,0,0,17.863333333333333,23.586666666666666,2.0420000000000016
2004-05-01,59.61290322580645,186.3,19.30000000000001,31,1.1500000000000001,9,0,0.0,0,0,17.519354838709678,16.538709677419355,1.3956451612903251
2004-06-01,68.34333333333333,26.199999999999996,126.5,30,2.04,7,1,0.0,5,0,15.596666666666666,8.803333333333335,-0.515500000000003
2004-07-01,75.10645161290323,0.0,313.30000000000007,31,1.92,6,0,0.0,12,0,17.296774193548387,5.412903225806452,-1.7540322580645125
2004-08-01,69.8258064516129,21.699999999999996,171.3,31,0.47000000000000003,6,0,0.0,8,0,14.964516129032257,9.770967741935484,-3.7514516129032245
2004-09-01,61.93,150.70000000000005,58.599999999999994,30,0.78,6,0,0.0,2,0,14.726666666666667,11.976666666666667,-1.3996666666666613
2004-10-01,51.10967741935484,432.09999999999997,1.5,31,4.45,13,0,0.0,0,1,14.66451612903226,35.122580645161285,1.2890322580645162
2004-11-01,37.86333333333334,814.1,0.0,30,10.889999999999999,7,1,3.15,0,21,12.520000000000001,41.6,0.23566666666667402
2004-12-01,30.23225806451613,1077.8,0.0,31,2.31,9,0,5.51,0,24,11.7,28.467741935483872,1.6702335928809795
2005-01-01,34.096774193548384,958.0,0.0,31,2.47,8,0,14.57,0,23,12.290322580645162,61.21935483870968,7.299516129032259
2005-02-01,35.19642857142857,834.4999999999999,0.0,28,2.18,10,0,26.78,0,21,11.642857142857142,35.43214285714286,2.67082512315271
2005-03-01,41.31935483870967,734.1000000000001,0.0,31,2.69,10,0,1.18,0,14,15.632258064516128,31.56451612903226,-0.8124193548387169
2005-04-01,48.79,486.29999999999995,0.0,30,11.09,12,1,0.0,0,4,16.516666666666666,38.943333333333335,-0.23799999999999955
2005-05-01,58.016129032258064,232.59999999999997,16.10000000000001,31,8.16,10,1,0.0,0,0,14.138709677419355,33.47741935483871,-0.20112903225805923
2005-06-01,64.72333333333333,116.6,108.30000000000001,30,1.73,11,0,0.0,3,0,15.626666666666667,18.98,-4.1355000000000075
2005-07-01,77.35806451612903,0.0,383.1,31,8.66,1,1,0.0,24,0,12.364516129032259,2.5580645161290323,0.4975806451612925
