date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,35.24193548387097,922.5000000000001,0.0,31,2.01,11,0,34.66,0,18,13.770967741935483,79.45806451612903,6.3888709677419335
2000-02-01,39.08965517241379,751.4,0.0,29,1.75,9,0,12.99,0,13,16.7,80.48965517241379,4.644513546798031
2000-03-01,42.05806451612903,711.2,0.0,31,0.8200000000000001,7,0,4.33,0,10,17.661290322580644,65.43548387096774,-1.9408064516129073
2000-04-01,55.00333333333333,303.4,3.5,30,0.76,5,0,0.0,0,0,17.996666666666666,61.593333333333334,4.243333333333325
2000-05-01,62.57096774193548,143.90000000000003,68.6,31,1.6400000000000001,8,0,0.0,0,0,16.938709677419357,68.51935483870967,2.490645161290324
2000-06-01,72.84333333333332,9.799999999999997,245.09999999999994,30,0.32,2,0,0.0,6,0,18.616666666666667,48.68,1.3444999999999823
2000-07-01,81.49032258064516,0.0,511.20000000000005,31,0.42,1,0,0.0,24,0,19.42258064516129,52.04838709677419,0.8458064516128871
2000-08-01,78.8741935483871,1.2000000000000028,431.30000000000007,31,1.87,4,1,0.0,19,0,18.438709677419357,59.21612903225807,1.6162903225806389
2000-09-01,64.78666666666666,99.79999999999998,93.4,30,1.87,4,0,0.0,2,0,15.24,43.81666666666667,-1.7606666666666797
2000-10-01,52.067741935483866,401.70000000000005,0.7999999999999972,31,2.02,10,0,0.0,0,0,14.46774193548387,57.24516129032258,-0.31483870967743144
2000-11-01,31.45,1006.4999999999998,0.0,30,1.1700000000000002,9,0,47.66,0,27,12.336666666666668,65.34333333333333,-8.307999999999996
2000-12-01,30.55806451612903,1067.7,0.0,31,1.1,5,0,32.69,0,29,12.116129032258065,66.2709677419355,0.2911290322580591
2001-01-01,27.86774193548387,1151.1000000000001,0.0,31,0.63,9,0,27.57,0,31,11.051612903225807,79.8483870967742,-0.985322580645164
2001-02-01,34.46785714285714,854.9000000000001,0.0,28,1.43,7,0,36.24,0,18,14.725,83.0,0.022715517241380212
2001-03-01,45.31935483870968,610.1,0.0,31,1.46,7,0,2.36,0,6,15.041935483870969,76.87096774193549,1.3204838709677418
2001-04-01,50.49,446.19999999999993,10.900000000000006,30,2.42,11,0,7.09,0,3,17.9,71.66666666666667,-0.2700000000000031
2001-05-01,64.27741935483871,111.7,89.3,31,0.19,1,0,0.0,1,0,16.441935483870967,55.725806451612904,4.197096774193554
2001-06-01,72.04333333333334,58.8,270.1,30,1.12,2,0,0.0,12,0,17.19,51.309999999999995,0.5444999999999993
2001-07-01,79.99354838709678,0.0,464.8,31,0.51,4,0,0.0,17,0,19.432258064516127,52.65806451612904,-0.6509677419354887
2001-08-01,79.23548387096774,0.0,441.3000000000001,31,0.8999999999999999,4,0,0.0,20,0,15.961290322580645,53.193548387096776,1.9775806451612823
2001-09-01,69.95666666666666,32.00000000000001,180.7,30,0.05,1,0,0.0,5,0,16.336666666666666,39.980000000000004,3.409333333333322
2001-10-01,55.038709677419355,317.59999999999997,8.799999999999997,31,0.93,5,0,0.0,0,0,15.274193548387096,60.458064516129035,2.6561290322580575
2001-11-01,42.42333333333333,677.3,0.0,30,3.16,8,1,40.16,0,8,14.17,65.9,2.6653333333333364
2001-12-01,27.270967741935483,1169.6000000000001,0.0,31,0.98,13,0,56.31,0,28,14.635483870967741,76.48387096774194,-2.9959677419354875
2002-01-01,27.14516129032258,1173.5,0.0,31,0.5800000000000001,6,0,65.77,0,30,14.119354838709677,74.80322580645162,-1.7079032258064544
2002-02-01,27.814285714285713,1041.2,0.0,28,0.25,2,0,11.42,0,25,13.864285714285714,55.878571428571426,-6.630855911330048
2002-03-01,39.00322580645161,805.8999999999999,0.0,31,1.97,7,0,29.54,0,14,16.158064516129034,70.1258064516129,-4.9956451612903265
2002-04-01,51.84666666666667,395.9,1.2999999999999972,30,2.28,9,0,3.15,0,1,17.53666666666667,62.68666666666666,1.086666666666666
2002-05-01,60.76129032258064,208.7,77.3,31,0.48,4,0,0.0,2,1,17.093548387096774,61.690322580645166,0.6809677419354827
