date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,35.480645161290326,915.1000000000003,0.0,31,2.89,5,1,53.95,0,21,19.82903225806452,60.622580645161285,-0.5674023769100174
2000-02-01,41.53448275862069,680.5,0.0,29,2.07,7,0,27.77,0,11,16.92758620689655,67.17931034482758,2.465258620689653
2000-03-01,51.50645161290323,421.40000000000003,3.0999999999999943,31,3.9000000000000004,10,1,0.0,0,1,17.845161290322583,62.622580645161285,4.503225806451617
2000-04-01,55.483333333333334,286.3,0.7999999999999972,30,5.2,11,2,0.0,0,0,17.36,82.94333333333334,-2.335499999999996
2000-05-01,68.02258064516128,46.7,140.4,31,3.09,9,0,0.0,0,0,15.306451612903226,72.17096774193548,1.0282258064516014
2000-06-01,74.30333333333333,4.300000000000004,283.40000000000003,30,4.17,15,0,0.0,3,0,15.176666666666668,72.58666666666666,-1.3830000000000098
2000-07-01,74.3967741935484,0.0,291.29999999999995,31,5.92,13,1,0.0,0,0,14.280645161290321,78.1258064516129,-5.443053763440844
2000-08-01,74.73225806451612,0.0,301.70000000000005,31,3.72,14,0,0.0,1,0,14.2,76.58387096774193,-3.8117741935483878
2000-09-01,67.39,63.400000000000006,135.1,30,4.94,8,2,0.0,0,0,14.663333333333334,67.73,-4.56216666666667
2000-10-01,59.74193548387097,184.00000000000003,21.0,31,0.02,0,0,0.0,0,0,13.125806451612904,48.58387096774194,-0.6827419354838682
2000-11-01,46.39666666666667,558.1,0.0,30,1.6099999999999999,6,0,0.0,0,8,15.803333333333335,64.05,-3.0236666666666636
2000-12-01,31.883870967741935,1026.6,0.0,31,2.02,6,0,4.07,0,26,16.058064516129033,64.00322580645161,-9.031451612903226
2001-01-01,35.47741935483871,915.2000000000002,0.0,31,2.21,6,1,4.72,0,20,15.083870967741936,66.20645161290322,-0.5706281833616345
2001-02-01,40.69285714285714,680.6,0.0,28,1.9,9,0,5.32,0,12,17.589285714285715,70.95357142857144,1.6236330049261056
2001-03-01,43.34516129032258,671.3000000000001,0.0,31,3.93,11,2,0.0,0,7,19.92258064516129,65.89354838709677,-3.6580645161290306
2001-04-01,57.45333333333333,252.5,26.099999999999994,30,1.7,10,0,0.0,0,0,15.54,68.03333333333333,-0.36549999999999727
2001-05-01,65.51290322580645,54.6,70.50000000000001,31,3.73,9,1,0.0,0,0,15.361290322580645,64.9258064516129,-1.4814516129032285
2001-06-01,75.22,3.700000000000003,310.29999999999995,30,4.73,11,2,0.0,3,0,14.556666666666667,65.29,-0.4663333333333384
2001-07-01,75.05806451612904,0.4000000000000057,312.2000000000001,31,4.8,10,1,0.0,5,0,14.85483870967742,69.63870967741936,-4.781763440860203
