date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,37.26774193548387,859.7,0.0,31,3.5700000000000003,10,0,72.86,0,21,14.493548387096775,56.32258064516129,-1.124354838709678
2000-02-01,44.55172413793103,593.0,0.0,29,1.57,5,0,18.51,0,16,13.275862068965518,48.47931034482759,2.7191133004926087
2000-03-01,53.62580645161291,357.80000000000007,5.200000000000003,31,2.8600000000000003,6,1,0.0,0,3,15.167741935483871,52.932258064516134,4.163225806451621
2000-04-01,56.163333333333334,270.09999999999997,5.0,30,5.84,15,1,0.0,0,0,15.766666666666667,64.95333333333333,-2.9753333333333316
2000-05-01,68.83225806451614,31.699999999999996,150.50000000000003,31,2.34,9,0,0.0,0,0,14.412903225806453,47.641935483870974,1.8354838709677495
2000-06-01,74.92,1.0,298.59999999999997,30,4.02,11,0,0.0,5,0,12.17,57.086666666666666,0.5658333333333445
2000-07-01,74.8741935483871,0.4000000000000057,306.50000000000006,31,2.0,9,0,0.0,1,0,11.980645161290322,65.48064516129033,-2.197096774193554
2000-08-01,74.04193548387097,0.0,280.2999999999999,31,5.23,13,1,0.0,4,0,11.02258064516129,55.75806451612903,-2.1261290322580635
2000-09-01,66.35666666666667,75.7,116.40000000000002,30,11.1,14,3,0.0,0,0,10.906666666666666,48.89,-3.608166666666662
2000-10-01,58.12903225806452,229.5,16.5,31,0.14,1,0,0.0,0,3,10.212903225806452,14.12258064516129,-0.8438709677419354
2000-11-01,45.63333333333333,581.0,0.0,30,2.32,8,0,0.0,0,14,11.706666666666667,30.53666666666667,-2.8419999999999987
2000-12-01,32.090322580645164,1020.2000000000002,0.0,31,1.29,6,0,0.0,0,29,12.925806451612903,35.42903225806452,-9.339677419354835
2001-01-01,37.567741935483866,850.4000000000001,0.0,31,2.12,9,0,0.0,0,22,12.890322580645162,32.77741935483871,-0.8243548387096808
2001-02-01,44.121428571428574,584.5999999999999,0.0,28,2.34,11,0,2.36,0,16,13.567857142857141,37.65,2.2888177339901503
2001-03-01,45.038709677419355,618.8,0.0,31,5.8,15,1,0.0,0,10,16.20967741935484,39.45161290322581,-4.423870967741934
2001-04-01,59.46333333333334,222.90000000000003,56.8,30,1.7999999999999998,7,0,0.0,0,2,15.426666666666668,25.94,0.32466666666667265
2001-05-01,65.40645161290323,51.4,64.00000000000001,31,4.18,14,1,0.0,0,0,11.525806451612903,39.58709677419355,-1.5903225806451644
2001-06-01,73.98333333333333,0.29999999999999716,269.8,30,3.41,12,0,0.0,1,0,11.323333333333332,35.50333333333333,-0.3708333333333229
2001-07-01,73.77741935483871,0.0,272.09999999999997,31,5.720000000000001,14,3,0.0,2,0,11.46774193548387,41.53548387096774,-3.293870967741938
2001-08-01,76.65806451612903,0.0,361.3999999999999,31,5.03,15,1,0.0,5,0,9.793548387096775,21.700000000000003,0.4899999999999949
2001-09-01,66.61,70.9,119.19999999999999,30,3.5,15,1,0.0,0,0,10.8,29.61,-3.354833333333332
2001-10-01,56.461290322580645,282.5,17.800000000000026,31,2.31,4,1,0.0,0,7,12.59032258064516,13.30967741935484,-2.51161290322581
2001-11-01,52.82,366.6000000000001,1.2000000000000028,30,0.62,4,0,0.0,0,11,10.506666666666666,18.166666666666668,4.344666666666669
2001-12-01,45.145161290322584,615.5,0.0,31,3.38,10,0,0.0,0,13,11.94516129032258,33.07741935483871,3.715161290322584
2002-01-01,42.067741935483866,711.9,1.0,31,6.55,13,1,23.24,0,15,12.832258064516129,28.92258064516129,3.675645161290319
2002-02-01,43.082142857142856,614.3000000000001,0.5999999999999943,28,1.27,4,0,0.0,0,18,15.114285714285714,19.096428571428568,1.2495320197044322
2002-03-01,49.622580645161285,479.49999999999994,2.8000000000000114,31,5.41,16,0,0.0,0,10,13.23225806451613,38.406451612903226,0.1599999999999966
2002-04-01,61.94666666666667,160.7,69.1,30,1.52,10,0,0.0,2,2,13.316666666666666,27.603333333333335,2.808000000000007
2002-05-01,65.52903225806452,99.4,115.8,31,7.109999999999999,12,2,0.0,0,0,13.183870967741935,32.270967741935486,-1.4677419354838719
2002-06-01,75.52333333333333,0.0,315.70000000000005,30,4.3,10,1,0.0,8,0,10.556666666666667,19.63,1.1691666666666691
2002-07-01,78.6032258064516,0.0,421.70000000000005,31,5.59,16,0,0.0,18,0,10.796774193548387,28.187096774193545,1.531935483870953
2002-08-01,77.19032258064516,0.20000000000000284,378.1,31,5.9399999999999995,15,2,0.0,19,0,11.474193548387097,30.44193548387097,1.022258064516123
2002-09-01,71.03,1.3000000000000043,182.2,30,3.56,12,0,0.0,1,0,10.313333333333333,38.87,1.06516666666667
2002-10-01,59.983870967741936,219.20000000000002,63.69999999999999,31,10.38,17,2,0.0,0,0,9.770967741935484,63.39677419354839,1.010967741935481
2002-11-01,47.57666666666667,524.8,2.0999999999999943,30,5.58,9,3,0.0,0,6,12.889999999999999,41.18,-0.8986666666666636
2002-12-01,38.729032258064514,814.4,0.0,31,5.79,11,2,12.209999999999999,0,17,13.403225806451612,34.71935483870968,-2.700967741935486
2003-01-01,35.13870967741936,925.6999999999999,0.0,31,2.03,7,0,3.15,0,22,12.922580645161291,39.55806451612903,-3.2533870967741905
2003-02-01,38.292857142857144,747.8000000000001,0.0,28,5.51,14,1,3.94,0,19,13.867857142857144,53.425000000000004,-3.539753694581279
2003-03-01,50.806451612903224,442.1,2.0999999999999943,31,7.7700000000000005,16,3,0.0,0,6,12.67741935483871,50.52258064516129,1.3438709677419354
2003-04-01,57.85333333333333,231.1,16.699999999999974,30,6.97,13,2,0.0,0,0,13.09,45.28333333333333,-1.2853333333333339
2003-05-01,63.832258064516125,95.79999999999998,59.59999999999998,31,10.950000000000001,20,4,0.0,0,0,11.48709677419355,54.309677419354834,-3.1645161290322648
2003-06-01,70.99666666666667,7.299999999999997,187.2,30,11.38,19,5,0.0,0,0,10.463333333333333,38.75333333333333,-3.3574999999999875
