date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2004-06-01,73.92333333333333,0.0,267.7,30,0.0,0,0,0.0,3,0,10.49,42.64333333333333,-1.6163177339901438
2004-07-01,77.49032258064516,0.0,387.20000000000005,31,3.43,12,0,0.0,3,0,10.103225806451613,42.03225806451613,-1.610537634408601
2004-08-01,74.59032258064516,0.0,297.29999999999995,31,5.4399999999999995,13,3,0.0,0,0,9.83548387096774,41.39354838709678,-2.9288762977382277
2004-09-01,70.07666666666667,13.399999999999999,165.7,30,2.69,10,0,0.0,0,0,9.876666666666667,45.38,-1.6677945402298775
2004-10-01,58.65483870967742,217.2,20.5,31,1.7100000000000002,5,1,0.0,0,0,8.612903225806452,49.81612903225806,-2.3467016129032245
2004-11-01,53.18333333333333,435.40000000000003,80.89999999999999,30,0.0,0,0,0.0,3,6,9.216666666666667,38.36666666666667,3.502916666666664
2004-12-01,38.376,665.6,0.0,25,0.32,3,0,0.0,0,14,10.304,30.84,-4.0409548387096805
2005-01-01,40.60322580645161,758.7,2.4000000000000057,31,1.65,7,0,0.0,0,13,9.55483870967742,43.37419354838709,1.5718537634408563
2005-02-01,41.385714285714286,661.2000000000002,0.0,28,1.59,8,0,0.0,0,14,9.6,41.20357142857143,0.05706328154604279
2005-03-01,44.95483870967742,621.4000000000001,0.0,31,2.2399999999999998,13,0,0.0,0,10,11.496774193548386,52.33548387096774,-3.3126881720430106
2005-04-01,59.39666666666667,201.69999999999996,33.60000000000002,30,2.25,10,0,0.0,0,0,12.81,36.516666666666666,0.29847863247863415
2005-05-01,63.91935483870968,94.39999999999998,60.90000000000002,31,3.99,11,1,0.0,0,0,9.90967741935484,45.81290322580645,-3.8713392610973187
2005-06-01,76.90666666666667,0.9000000000000057,358.1,30,0.66,4,0,0.0,7,0,9.91,34.443333333333335,1.3670155993431905
2005-07-01,80.67096774193548,0.0,485.80000000000007,31,5.23,17,1,0.0,15,0,8.396774193548387,26.677419354838708,1.5701075268817277
2005-08-01,79.58709677419354,0.0,452.20000000000005,31,3.7600000000000002,11,1,0.0,15,0,7.509677419354839,27.67096774193548,2.067897895810148
2005-09-01,73.50666666666666,4.0,259.2,30,0.09000000000000001,1,0,0.0,4,0,9.229999999999999,27.94333333333333,1.7622054597701151
2005-10-01,60.648387096774194,180.3,45.39999999999999,31,5.819999999999999,10,2,0.0,0,0,9.883870967741935,50.86451612903225,-0.3531532258064516
2005-11-01,53.74333333333333,348.1,10.399999999999991,30,3.56,10,1,0.0,0,7,11.063333333333333,26.726666666666667,4.062916666666666
2005-12-01,39.196774193548386,799.9000000000001,0.0,31,3.62,13,1,0.0,0,18,10.154838709677419,31.112903225806452,-3.2201806451612924
