date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,18.05806451612903,1455.2,0.0,31,2.6,13,0,62.98,0,29,18.080645161290324,66.50967741935484,-2.483548387096775
2000-02-01,23.196551724137933,1212.3,0.0,29,2.81,13,0,321.65999999999997,0,23,16.599999999999998,63.310344827586206,0.2760960591133035
2000-03-01,37.23870967741936,860.6000000000001,0.0,31,1.64,13,0,13.0,0,23,15.583870967741936,52.16129032258065,5.425322580645165
2000-04-01,42.49,675.3,0.0,30,5.82,16,1,46.46,0,11,15.32,70.86666666666666,-2.7211666666666687
2000-05-01,56.561290322580646,270.29999999999995,8.700000000000003,31,7.05,18,2,0.0,0,1,14.841935483870968,64.1,-1.4846774193548384
2000-06-01,63.78333333333333,116.50000000000001,79.99999999999999,30,4.34,18,0,0.0,0,0,14.706666666666667,59.67666666666666,-2.455833333333331
2000-07-01,67.24838709677418,26.300000000000004,96.0,31,5.180000000000001,20,1,0.0,0,0,13.248387096774193,55.71290322580645,-4.213709677419374
2000-08-01,67.63870967741936,28.19999999999999,109.99999999999999,31,4.71,17,1,0.0,0,0,12.829032258064515,47.0258064516129,-2.3532258064516043
2000-09-01,58.84666666666667,214.3,29.700000000000003,30,4.3,15,1,0.0,0,2,14.35,46.483333333333334,-3.738999999999997
2000-10-01,48.980645161290326,498.30000000000007,1.7000000000000028,31,2.09,15,0,4.33,0,3,14.54516129032258,57.270967741935486,-1.0764516129032202
2000-11-01,37.38666666666666,828.4,0.0,30,3.64,19,0,13.78,0,12,12.813333333333333,78.20333333333333,-1.400500000000001
2000-12-01,20.161290322580644,1390.0,0.0,31,3.2,14,1,94.12,0,30,15.851612903225806,66.62903225806451,-7.355000000000004
2001-01-01,21.032258064516128,1363.0000000000005,0.0,31,1.5,14,0,346.39,0,31,12.916129032258064,71.1032258064516,0.490645161290324
2001-02-01,22.917857142857144,1178.2999999999997,0.0,28,2.0300000000000002,11,0,290.14,0,27,17.41785714285714,66.65714285714286,-0.002598522167485129
2001-03-01,27.703225806451613,1156.1999999999998,0.0,31,4.88,17,1,521.26,0,28,13.680645161290323,54.63870967741936,-4.11016129032258
2001-04-01,43.71666666666667,638.5000000000001,0.0,30,1.44,8,0,98.03,0,15,16.003333333333334,39.41,-1.4945000000000022
2001-05-01,59.067741935483866,204.80000000000007,20.89999999999999,31,4.51,14,1,0.0,0,0,15.016129032258064,47.55483870967742,1.0217741935483815
2001-06-01,67.66666666666667,49.599999999999994,129.59999999999997,30,3.33,12,0,0.0,1,0,12.613333333333333,44.11,1.427500000000009
2001-07-01,68.10967741935484,32.599999999999994,129.0,31,2.66,14,0,0.0,1,0,14.396774193548387,49.096774193548384,-3.352419354838716
2001-08-01,72.30322580645162,5.199999999999996,231.59999999999997,31,5.71,18,1,0.0,4,0,13.974193548387097,37.89032258064516,2.3112903225806605
2001-09-01,61.38,150.2,41.60000000000001,30,2.2,9,0,0.0,0,0,13.656666666666666,39.919999999999995,-1.2056666666666658
2001-10-01,51.46774193548387,424.0999999999999,4.599999999999994,31,2.41,15,0,0.0,0,6,16.54516129032258,57.56774193548387,1.4106451612903257
2001-11-01,42.54333333333333,673.6999999999999,0.0,30,2.38,18,0,0.0,0,14,16.4,74.50333333333333,3.7561666666666653
2001-12-01,33.20322580645161,985.7,0.0,31,2.02,15,0,68.92,0,21,15.44516129032258,67.93548387096774,5.686935483870965
2002-01-01,28.096774193548388,1144.0,0.0,31,1.9300000000000002,16,0,92.16,0,27,16.419354838709676,73.40322580645162,7.555161290322584
2002-02-01,26.99285714285714,1064.2,0.0,28,2.99,13,1,61.82,0,25,17.97142857142857,61.517857142857146,4.072401477832511
2002-03-01,32.83870967741935,997.0,0.0,31,3.04,19,0,22.45,0,25,17.151612903225807,64.26129032258065,1.0253225806451596
