date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,39.332258064516125,795.6999999999998,0.0,31,8.0,22,1,0.0,0,5,17.383870967741935,41.15806451612904,-1.1488888888888908
2000-02-01,42.53103448275862,651.5999999999999,0.0,29,7.25,16,2,0.0,0,3,13.813793103448276,35.4896551724138,1.6682943349753714
2000-03-01,43.76129032258064,658.3999999999999,0.0,31,4.4,18,0,0.0,0,0,14.870967741935484,36.39677419354839,-0.3079032258064558
2000-04-01,49.38,468.6000000000001,0.0,30,1.53,8,0,0.0,0,0,15.129999999999999,26.346666666666668,1.8427500000000023
2000-05-01,52.16129032258065,398.00000000000006,0.0,31,3.9,13,0,0.0,0,0,15.51290322580645,41.57419354838709,-1.483375576036856
2000-06-01,58.14666666666667,215.29999999999995,9.700000000000003,30,3.94,8,2,0.0,0,0,12.389999999999999,32.45666666666667,-0.2540574712643675
2000-07-01,60.60645161290322,139.39999999999998,3.1999999999999886,31,0.77,5,0,0.0,0,0,12.570967741935483,34.31935483870968,-2.349560622914346
2000-08-01,60.03548387096774,154.8,0.9000000000000057,31,0.46,3,0,0.0,0,0,11.577419354838709,28.161290322580644,-3.0162903225806446
2000-09-01,57.79666666666667,219.29999999999995,3.200000000000003,30,0.73,6,0,0.0,0,0,13.113333333333333,29.626666666666665,-0.6058461538461586
2000-10-01,52.377419354838715,391.3,0.0,31,1.28,5,0,0.0,0,0,16.425806451612903,9.329032258064515,1.7520967741935536
2000-11-01,45.32333333333334,590.3,0.0,30,0.0,0,0,0.0,0,0,15.973333333333333,0.6833333333333333,1.4429492753623236
2000-12-01,43.37096774193548,670.4999999999999,0.0,31,0.82,4,0,0.0,0,2,20.216129032258067,1.6193548387096774,3.5831918505942255
2001-01-01,41.806451612903224,719.0000000000001,0.0,31,0.87,7,0,0.0,0,6,13.69032258064516,39.774193548387096,1.325304659498208
2001-02-01,40.11785714285714,696.6999999999999,0.0,28,0.24000000000000002,1,0,0.0,0,8,24.421428571428574,27.257142857142856,-0.744883004926109
2001-03-01,44.75806451612903,627.5,0.0,31,3.04,9,0,0.0,0,1,26.635483870967743,41.47741935483871,0.6888709677419342
2001-04-01,46.36,559.1999999999999,0.0,30,40.11,13,3,0.0,0,0,27.19,36.52333333333333,-1.1772500000000008
2001-05-01,52.65483870967742,382.7,0.0,31,57.11,6,4,0.0,0,0,28.225806451612904,22.88064516129032,-0.9898271889400831
2001-06-01,55.34666666666667,289.6,0.0,30,69.02,12,9,0.0,0,0,27.503333333333334,35.626666666666665,-3.0540574712643647
2001-07-01,59.351612903225806,175.1,0.0,31,12.24,5,3,0.0,0,0,24.183870967741935,30.635483870967743,-3.604399332591761
2001-08-01,61.748387096774195,112.7,11.899999999999991,31,85.77,7,7,0.0,0,0,22.80322580645161,29.480645161290322,-1.3033870967741876
2001-09-01,57.623333333333335,221.29999999999995,0.0,30,13.99,4,3,0.0,0,0,24.163333333333334,22.483333333333334,-0.7791794871794906
2001-10-01,50.10322580645161,461.8,0.0,31,112.47,17,14,0.0,0,0,29.29032258064516,36.38709677419355,-0.5220967741935496
